judge,candidate_chosen,candidate_not_chosen
1,A,B
1,A,C
1,D,A
1,C,B
1,B,D
1,C,D
2,A,B
2,A,C
2,A,D
2,B,C
2,B,D
2,C,D
3,A,B
3,A,C
3,A,D
3,B,C
3,B,D
3,C,D
4,A,B
4,A,C
4,A,D
4,B,C
4,B,D
4,C,D
5,A,B
5,C,A
5,A,D
5,B,C
5,B,D
5,C,D
6,A,B
6,A,C
6,A,D
6,B,C
6,B,D
6,C,D
7,A,B
7,A,C
7,A,D
7,B,C
7,B,D
7,C,D
8,A,B
8,A,D
8,B,C
8,B,D
8,C,D
9,B,A
9,A,C
9,A,D
9,B,D
9,C,D
10,A,B
10,A,C
10,A,D
10,B,C
10,B,D
10,C,D
11,A,B
11,A,C
11,A,D
11,B,C
11,B,D
11,C,D
12,A,B
12,A,C
12,A,D
12,B,C
12,B,D
12,C,D
1,A,B
1,A,C
1,D,A
1,C,B
1,B,D
1,C,D
2,A,B
2,A,C
2,A,D
2,B,C
2,B,D
2,C,D
3,A,B
3,A,C
3,A,D
3,B,C
3,B,D
3,C,D
4,A,B
4,A,C
4,A,D
4,B,C
4,B,D
4,C,D
5,A,B
5,C,A
5,A,D
5,B,C
5,B,D
5,C,D
6,A,B
6,A,C
6,A,D
6,B,C
6,B,D
6,C,D
7,A,B
7,A,C
7,A,D
7,B,C
7,B,D
7,C,D
8,A,B
8,A,D
8,B,C
8,B,D
8,C,D
9,B,A
9,A,C
9,A,D
9,B,D
9,C,D
10,A,B
10,A,C
10,A,D
10,B,C
10,B,D
10,C,D
11,A,B
11,A,C
11,A,D
11,B,C
11,B,D
11,C,D
12,A,B
12,A,C
12,A,D
12,B,C
12,B,D
12,C,D
