judge,candidate_chosen,candidate_not_chosen
llP.,29,43
llP.,12,43
llP.,12,11
llP.,11,14
llP.,7,14
llP.,7,34
llP.,34,26
llP.,26,42
llP.,10,42
llP.,10,25
llP.,20,25
llP.,20,38
llP.,27,38
llP.,18,27
llP.,18,37
llP.,37,13
llP.,13,40
llP.,22,40
llP.,22,33
llP.,33,17
llP.,17,31
llP.,3,41
llP.,3,32
llP.,32,8
llP.,30,8
llP.,30,40
llP.,19,40
llP.,19,26
llP.,12,26
llP.,12,42
llP.,31,42
llP.,18,31
llP.,18,11
llP.,22,11
llP.,22,28
llP.,28,17
llP.,17,35
llP.,35,14
llP.,38,14
llP.,36,38
llP.,2,36
llP.,2,9
ifR.,33,17
ifR.,33,34
ifR.,12,34
ifR.,12,37
ifR.,37,40
ifR.,29,40
ifR.,29,18
ifR.,18,20
ifR.,22,20
ifR.,4,22
ifR.,21,4
ifR.,7,21
ifR.,27,7
ifR.,27,24
ifR.,9,24
ifR.,9,35
ifR.,36,35
ifR.,15,36
ifR.,15,42
ifR.,19,42
ifR.,10,11
ifR.,21,10
ifR.,21,26
ifR.,16,26
ifR.,16,28
ifR.,28,34
ifR.,38,34
ifR.,38,43
ifR.,15,43
ifR.,15,12
ifR.,7,12
ifR.,7,4
ifR.,4,41
ifR.,5,41
ifR.,5,24
ifR.,18,24
ifR.,18,19
ifR.,19,40
ifR.,3,40
ifR.,3,33
ifR.,33,36
ifR.,36,31
i@X.,8,34
i@X.,44,8
i@X.,44,24
i@X.,15,24
i@X.,38,15
i@X.,10,38
i@X.,10,32
i@X.,32,40
i@X.,37,40
i@X.,37,42
i@X.,33,42
i@X.,9,33
i@X.,9,19
i@X.,3,19
i@X.,3,29
i@X.,29,41
i@X.,35,41
i@X.,22,35
i@X.,22,11
i@X.,11,25
i@X.,7,25
i@X.,7,36
i@X.,36,17
i@X.,28,17
i@X.,27,28
i@X.,27,20
i@X.,20,4
i@X.,4,13
i@X.,12,13
i@X.,12,14
i@X.,16,14
i@X.,16,43
i@X.,21,43
i@X.,30,21
i@X.,30,5
i@X.,5,26
i@X.,26,18
i@X.,2,18
i@X.,31,2
i@X.,4,31
i@X.,4,40
i@X.,3,40
@lY.,10,40
@lY.,19,10
@lY.,36,19
@lY.,27,36
@lY.,27,28
@lY.,18,28
@lY.,22,18
@lY.,22,16
@lY.,16,25
@lY.,4,25
@lY.,4,38
@lY.,38,41
@lY.,41,8
@lY.,21,8
@lY.,21,29
@lY.,32,29
@lY.,15,32
@lY.,15,7
@lY.,7,34
@lY.,2,34
@lY.,2,11
@lY.,11,5
@lY.,5,24
@lY.,37,24
@lY.,12,37
@lY.,12,35
@lY.,35,17
@lY.,20,17
@lY.,20,14
@lY.,43,14
@lY.,31,43
@lY.,33,31
@lY.,33,30
@lY.,13,30
@lY.,13,42
@lY.,9,42
@lY.,3,9
@lY.,3,44
@lY.,44,26
@lY.,21,26
@lY.,21,27
@lY.,37,27
6@mj,30,36
6@mj,30,11
6@mj,11,31
6@mj,31,34
6@mj,18,34
6@mj,19,18
6@mj,19,5
6@mj,5,24
6@mj,24,25
6@mj,25,17
6@mj,17,33
6@mj,33,2
6@mj,2,38
6@mj,21,38
6@mj,16,21
6@mj,16,43
6@mj,3,43
6@mj,3,28
6@mj,28,15
6@mj,4,15
6@mj,4,14
6@mj,37,14
6@mj,12,37
6@mj,12,26
6@mj,26,35
6@mj,35,9
6@mj,9,40
6@mj,41,40
6@mj,32,41
6@mj,32,42
6@mj,22,42
6@mj,22,27
6@mj,27,8
6@mj,8,29
6@mj,7,29
6@mj,7,10
6@mj,10,13
6@mj,13,20
6@mj,20,44
6@mj,32,44
6@mj,18,32
6@mj,18,20
crW.,44,21
crW.,44,27
crW.,12,27
crW.,12,14
crW.,34,14
crW.,34,24
crW.,29,24
crW.,15,29
crW.,22,15
crW.,22,31
crW.,16,31
crW.,16,32
crW.,36,32
crW.,36,17
crW.,42,17
crW.,33,42
crW.,13,33
crW.,35,13
crW.,35,5
crW.,2,5
crW.,18,2
crW.,3,18
crW.,3,7
crW.,7,9
crW.,9,43
crW.,20,43
crW.,38,20
crW.,38,19
crW.,19,11
crW.,40,11
crW.,41,40
crW.,41,26
crW.,4,26
crW.,4,30
crW.,37,30
crW.,37,10
crW.,10,28
crW.,8,28
crW.,8,25
crW.,27,25
crW.,19,27
crW.,19,41
rwpm,4,7
rwpm,4,41
rwpm,41,37
rwpm,37,17
rwpm,3,17
rwpm,3,35
rwpm,16,35
rwpm,16,13
rwpm,10,13
rwpm,27,10
rwpm,44,27
rwpm,44,42
rwpm,42,19
rwpm,19,40
rwpm,33,40
rwpm,33,36
rwpm,36,43
rwpm,18,43
rwpm,4,37
rwpm,4,8
rwpm,8,34
rwpm,21,34
rwpm,35,21
rwpm,2,35
rwpm,11,2
rwpm,11,36
rwpm,22,36
rwpm,22,31
rwpm,19,38
rwpm,37,38
rwpm,16,37
rwpm,16,2
rwpm,9,2
rwpm,9,10
rwpm,10,24
rwpm,25,24
rwpm,41,25
rwpm,41,36
rwpm,42,36
rwpm,42,34
rwpm,15,34
rwpm,15,30
t1pm,18,29
t1pm,26,29
t1pm,12,26
t1pm,12,30
t1pm,30,41
t1pm,41,14
t1pm,33,14
t1pm,33,8
t1pm,28,8
t1pm,28,34
t1pm,2,34
t1pm,2,7
t1pm,27,40
t1pm,27,31
t1pm,7,31
t1pm,7,20
t1pm,20,36
t1pm,16,36
t1pm,16,41
t1pm,29,41
t1pm,15,29
t1pm,15,26
t1pm,26,35
t1pm,11,35
t1pm,11,42
t1pm,42,24
t1pm,24,14
t1pm,30,14
t1pm,28,30
t1pm,44,28
t1pm,33,44
t1pm,33,37
t1pm,22,37
t1pm,18,22
t1pm,18,4
t1pm,2,4
t1pm,2,32
t1pm,32,8
t1pm,21,8
t1pm,12,21
t1pm,12,19
t1pm,19,43
2csm,9,27
2csm,4,42
2csm,2,42
2csm,2,31
2csm,20,31
2csm,12,20
2csm,18,12
2csm,18,33
2csm,37,33
2csm,28,37
2csm,28,14
2csm,10,14
2csm,10,40
2csm,34,40
2csm,34,30
2csm,30,41
2csm,43,17
2csm,31,17
2csm,4,31
2csm,4,25
2csm,18,25
2csm,18,41
2csm,16,41
2csm,16,33
2csm,32,33
2csm,9,32
2csm,9,28
2csm,28,12
2csm,30,12
2csm,30,19
2csm,19,7
2csm,24,7
2csm,8,24
2csm,22,8
2csm,22,14
2csm,38,14
2csm,35,38
2csm,3,35
2csm,3,37
2csm,5,37
2csm,5,40
2csm,10,40
bmpm,37,30
bmpm,38,30
bmpm,9,38
bmpm,16,9
bmpm,16,3
bmpm,3,17
bmpm,12,17
bmpm,12,18
bmpm,18,32
bmpm,29,32
bmpm,29,11
bmpm,11,43
bmpm,44,43
bmpm,44,19
bmpm,19,25
bmpm,41,25
bmpm,41,34
bmpm,35,34
bmpm,35,28
bmpm,27,28
bmpm,27,36
bmpm,7,36
bmpm,22,7
bmpm,22,20
bmpm,21,20
bmpm,21,31
bmpm,33,31
bmpm,33,26
bmpm,4,26
bmpm,4,15
bmpm,15,14
bmpm,14,42
bmpm,24,42
bmpm,8,24
bmpm,8,40
bmpm,10,40
bmpm,10,5
bmpm,2,5
bmpm,2,13
bmpm,13,17
bmpm,22,17
bmpm,22,38
anX.,4,28
anX.,28,43
anX.,19,43
anX.,35,32
anX.,20,32
anX.,20,14
anX.,2,14
anX.,2,30
anX.,3,30
anX.,37,4
anX.,37,24
anX.,35,24
anX.,35,38
anX.,3,38
anX.,3,33
anX.,33,15
anX.,7,15
anX.,7,34
anX.,2,34
anX.,2,36
anX.,36,41
anX.,26,41
anX.,29,26
anX.,29,32
anX.,28,32
anX.,28,21
anX.,18,21
anX.,18,30
anX.,30,42
anX.,20,42
anX.,20,27
anX.,44,43
anX.,35,43
anX.,35,41
anX.,12,41
anX.,22,12
anX.,22,4
anX.,4,27
anX.,27,31
anX.,37,31
anX.,37,32
anX.,36,4
ddG.,15,26
ddG.,33,15
ddG.,18,33
ddG.,18,43
ddG.,43,32
ddG.,32,24
ddG.,31,24
ddG.,31,22
ddG.,22,40
ddG.,10,40
ddG.,37,10
ddG.,37,17
ddG.,16,17
ddG.,16,5
ddG.,4,5
ddG.,4,38
ddG.,20,38
ddG.,10,29
ddG.,30,10
ddG.,30,13
ddG.,15,13
ddG.,15,37
ddG.,37,2
ddG.,18,2
ddG.,7,18
ddG.,7,28
ddG.,28,33
ddG.,32,33
ddG.,9,32
ddG.,9,40
ddG.,11,40
ddG.,44,11
ddG.,44,43
ddG.,43,16
ddG.,16,21
ddG.,19,21
ddG.,19,26
ddG.,26,5
ddG.,5,25
ddG.,25,42
ddG.,42,41
ddG.,36,41
2@M.,8,43
2@M.,12,43
2@M.,12,24
2@M.,13,24
2@M.,18,13
2@M.,18,10
2@M.,10,34
2@M.,22,34
2@M.,22,17
2@M.,17,40
2@M.,28,40
2@M.,28,37
2@M.,9,37
2@M.,9,36
2@M.,44,36
2@M.,44,14
2@M.,21,14
2@M.,4,21
2@M.,4,41
2@M.,7,41
2@M.,7,15
2@M.,16,15
2@M.,4,20
2@M.,4,40
2@M.,40,42
2@M.,3,42
2@M.,3,24
2@M.,27,24
2@M.,18,27
2@M.,18,36
2@M.,2,36
2@M.,15,2
2@M.,15,32
2@M.,11,32
2@M.,11,28
2@M.,10,28
2@M.,10,17
2@M.,37,17
2@M.,31,37
2@M.,31,14
2@M.,34,14
2@M.,34,35
anL.,19,24
anL.,19,25
anL.,38,25
anL.,44,38
anL.,44,43
anL.,11,43
anL.,11,14
anL.,4,14
anL.,4,42
anL.,42,8
anL.,22,8
anL.,22,9
anL.,9,18
anL.,33,18
anL.,33,35
anL.,26,35
anL.,26,13
anL.,16,13
anL.,16,29
anL.,29,5
anL.,2,5
anL.,2,10
anL.,12,10
anL.,27,12
anL.,27,31
anL.,28,31
anL.,21,28
anL.,21,41
anL.,34,41
anL.,15,34
anL.,37,15
anL.,37,20
anL.,20,32
anL.,32,36
anL.,30,36
anL.,30,17
anL.,17,40
anL.,7,40
anL.,3,7
anL.,3,18
anL.,18,31
anL.,4,31
DuS.,9,28
DuS.,28,42
DuS.,14,42
DuS.,44,14
DuS.,44,15
DuS.,15,31
DuS.,22,31
DuS.,22,29
DuS.,16,29
DuS.,16,35
DuS.,2,35
DuS.,2,17
DuS.,21,17
DuS.,18,21
DuS.,37,18
DuS.,27,37
DuS.,27,43
DuS.,36,43
DuS.,25,36
DuS.,3,25
DuS.,3,41
DuS.,10,41
DuS.,10,5
DuS.,5,40
DuS.,34,40
DuS.,34,12
DuS.,4,12
DuS.,4,38
DuS.,38,8
DuS.,30,8
DuS.,30,20
DuS.,20,32
DuS.,32,19
DuS.,19,7
DuS.,11,7
DuS.,33,11
DuS.,33,26
DuS.,26,13
DuS.,24,13
DuS.,11,24
DuS.,11,17
DuS.,18,17
esW.,7,12
esW.,12,9
esW.,9,26
esW.,26,41
esW.,4,41
esW.,4,43
esW.,21,43
esW.,21,2
esW.,2,31
esW.,33,9
esW.,16,9
esW.,16,35
esW.,35,15
esW.,7,15
esW.,43,40
esW.,8,40
esW.,8,42
esW.,21,42
esW.,21,33
esW.,33,9
esW.,9,15
esW.,3,15
esW.,3,22
esW.,32,22
esW.,32,38
esW.,38,35
esW.,35,31
esW.,44,31
esW.,44,25
esW.,2,25
esW.,2,30
esW.,30,18
esW.,18,13
esW.,26,13
esW.,28,26
esW.,36,28
esW.,36,17
esW.,19,17
esW.,19,29
esW.,29,10
esW.,16,10
esW.,16,12
u@X.,16,28
u@X.,36,28
u@X.,36,20
u@X.,9,20
u@X.,9,18
u@X.,18,14
u@X.,15,14
u@X.,15,2
u@X.,2,43
u@X.,3,43
u@X.,3,5
u@X.,5,40
u@X.,19,40
u@X.,19,17
u@X.,38,17
u@X.,44,38
u@X.,44,33
u@X.,33,26
u@X.,27,26
u@X.,27,29
u@X.,29,31
u@X.,8,31
u@X.,37,8
u@X.,37,25
u@X.,21,25
u@X.,7,21
u@X.,7,4
u@X.,4,11
u@X.,13,11
u@X.,13,24
u@X.,10,24
u@X.,10,42
u@X.,42,41
u@X.,32,41
u@X.,32,34
u@X.,12,34
u@X.,22,12
u@X.,30,22
u@X.,35,30
u@X.,35,33
u@X.,9,33
u@X.,27,9
@lys,15,14
@lys,30,15
@lys,7,30
@lys,7,42
@lys,42,24
@lys,33,24
@lys,33,8
@lys,8,28
@lys,38,28
@lys,38,26
@lys,26,11
@lys,18,11
@lys,18,9
@lys,2,9
@lys,2,34
@lys,34,27
@lys,27,10
@lys,37,10
@lys,37,29
@lys,29,43
@lys,43,21
@lys,21,41
@lys,36,41
@lys,4,36
@lys,4,35
@lys,3,35
@lys,20,3
@lys,20,19
@lys,19,13
@lys,13,17
@lys,40,17
@lys,31,40
@lys,5,31
@lys,44,5
@lys,44,32
@lys,16,32
@lys,16,25
@lys,25,22
@lys,12,22
@lys,12,9
@lys,9,44
@lys,3,44
c@pm,44,19
c@pm,44,32
c@pm,21,32
c@pm,21,38
c@pm,34,38
c@pm,34,40
c@pm,15,40
c@pm,15,31
c@pm,4,31
c@pm,4,33
c@pm,33,14
c@pm,13,14
c@pm,13,2
c@pm,5,2
c@pm,5,26
c@pm,26,17
c@pm,12,17
c@pm,12,7
c@pm,7,25
c@pm,36,25
c@pm,36,28
c@pm,28,20
c@pm,20,42
c@pm,18,42
c@pm,18,27
c@pm,27,24
c@pm,35,24
c@pm,35,29
c@pm,8,29
c@pm,10,8
c@pm,10,9
c@pm,9,43
c@pm,30,43
c@pm,37,30
c@pm,22,37
c@pm,22,41
c@pm,41,16
c@pm,16,3
c@pm,3,11
c@pm,38,11
c@pm,10,38
c@pm,10,11
onpm,13,24
onpm,13,14
onpm,17,14
onpm,17,43
onpm,38,43
onpm,41,38
onpm,20,41
onpm,20,29
onpm,3,29
onpm,3,10
onpm,10,22
onpm,22,11
onpm,31,11
onpm,31,25
onpm,2,25
onpm,32,2
onpm,32,16
onpm,16,19
onpm,34,19
onpm,34,8
onpm,30,8
onpm,12,30
onpm,12,15
onpm,15,21
onpm,35,21
onpm,44,35
onpm,44,40
onpm,7,40
onpm,7,42
onpm,42,27
onpm,27,26
onpm,4,26
onpm,18,4
onpm,18,28
onpm,37,28
onpm,37,33
onpm,9,33
onpm,9,36
onpm,5,36
onpm,7,5
onpm,7,25
onpm,8,25
o@Y.,33,13
o@Y.,42,13
o@Y.,27,42
o@Y.,27,8
o@Y.,8,26
o@Y.,10,26
o@Y.,18,10
o@Y.,18,11
o@Y.,11,14
o@Y.,14,41
o@Y.,31,41
o@Y.,16,31
o@Y.,16,22
o@Y.,22,25
o@Y.,17,25
o@Y.,37,17
o@Y.,30,37
o@Y.,30,7
o@Y.,7,2
o@Y.,21,2
o@Y.,21,28
o@Y.,28,29
o@Y.,4,29
o@Y.,15,4
o@Y.,15,32
o@Y.,35,32
o@Y.,35,24
o@Y.,44,24
o@Y.,44,9
o@Y.,9,34
o@Y.,34,5
o@Y.,12,5
o@Y.,12,43
o@Y.,43,40
o@Y.,19,40
o@Y.,20,19
o@Y.,20,38
o@Y.,3,38
o@Y.,3,36
o@Y.,36,24
o@Y.,22,24
o@Y.,35,22
kiV.,15,26
kiV.,15,14
kiV.,33,14
kiV.,33,4
kiV.,4,40
kiV.,22,40
kiV.,22,24
kiV.,2,24
kiV.,2,28
kiV.,30,28
kiV.,30,9
kiV.,28,43
kiV.,43,18
kiV.,18,36
kiV.,36,40
kiV.,24,40
kiV.,27,24
kiV.,27,13
kiV.,38,13
kiV.,3,38
kiV.,16,36
kiV.,30,36
kiV.,30,7
kiV.,40,7
kiV.,21,40
kiV.,34,21
kiV.,34,31
kiV.,20,24
kiV.,34,20
kiV.,26,7
kiV.,10,26
kiV.,21,10
kiV.,21,14
kiV.,30,14
kiV.,30,31
kiV.,32,31
kiV.,32,19
kiV.,19,24
kiV.,27,24
kiV.,35,27
kiV.,35,5
kiV.,5,40
anK.,28,14
anK.,5,28
anK.,4,5
anK.,33,4
anK.,33,36
anK.,32,36
anK.,32,7
anK.,27,7
anK.,27,10
anK.,10,38
anK.,38,15
anK.,29,15
anK.,29,42
anK.,44,42
anK.,44,26
anK.,26,25
anK.,31,25
anK.,22,31
anK.,22,30
anK.,30,16
anK.,16,12
anK.,12,21
anK.,21,43
anK.,8,43
anK.,19,8
anK.,19,34
anK.,34,24
anK.,24,40
anK.,2,40
anK.,2,17
anK.,9,17
anK.,3,9
anK.,3,20
anK.,20,13
anK.,13,41
anK.,41,35
anK.,35,18
anK.,18,37
anK.,37,11
anK.,26,11
anK.,44,26
anK.,44,36
oyA.,3,41
oyA.,41,28
oyA.,28,14
oyA.,36,14
oyA.,36,21
oyA.,10,21
oyA.,10,37
oyA.,37,40
oyA.,15,40
oyA.,15,29
oyA.,29,19
oyA.,20,19
oyA.,20,11
oyA.,11,24
oyA.,33,24
oyA.,33,30
oyA.,30,42
oyA.,2,42
oyA.,2,4
oyA.,4,34
oyA.,34,25
oyA.,38,25
oyA.,35,38
oyA.,35,27
oyA.,17,27
