judge,candidate_chosen,candidate_not_chosen
kklp,20,12
kklp,20,13
kklp,8,13
kklp,8,11
kklp,11,19
kklp,19,9
kklp,17,9
kklp,17,1
kklp,14,1
kklp,14,2
kklp,10,2
kklp,18,10
kklp,3,18
kklp,7,3
kklp,7,4
kklp,4,6
kklp,6,5
kklp,16,5
kklp,15,16
kklp,15,3
kklp,7,3
kklp,7,4
kklp,4,12
kklp,12,11
kklp,20,11
kklp,20,9
kklp,10,9
kklp,2,10
kklp,2,5
kklp,15,5
kklp,15,18
kklp,17,18
kklp,17,8
kklp,8,1
kklp,1,6
kklp,14,6
kklp,16,14
kklp,16,13
kklp,19,13
kklp,14,19
kklp,14,2
kklp,17,2
kklp,17,16
kklp,16,10
kklp,13,10
kklp,12,13
kklp,12,7
kklp,7,6
kklp,20,6
kklp,4,20
k8lp,6,5
k8lp,5,13
k8lp,20,13
k8lp,20,19
k8lp,19,11
k8lp,11,7
k8lp,14,7
k8lp,18,14
k8lp,18,8
k8lp,8,12
k8lp,10,12
k8lp,15,10
k8lp,15,17
k8lp,3,17
k8lp,16,3
k8lp,4,16
k8lp,4,2
k8lp,9,2
k8lp,1,9
k8lp,1,17
k8lp,17,10
k8lp,13,10
k8lp,3,13
k8lp,11,3
k8lp,8,11
h@lp,8,2
h@lp,17,2
h@lp,7,17
h@lp,7,5
h@lp,15,5
h@lp,1,15
h@lp,1,18
h@lp,18,14
h@lp,9,14
h@lp,9,10
h@lp,16,10
h@lp,7,2
h@lp,16,2
h@lp,9,16
h@lp,9,5
h@lp,6,5
h@lp,6,18
h@lp,8,18
h@lp,8,10
h@lp,6,13
h@lp,15,13
h@lp,15,5
h@lp,12,5
h@lp,14,12
h@lp,16,14
h@lp,16,10
h@lp,20,10
h@lp,4,20
h@lp,4,18
h@lp,18,3
h@lp,11,3
h@lp,1,11
h@lp,1,7
h@lp,7,19
h@lp,19,17
b1lp,15,11
b1lp,14,11
b1lp,14,1
b1lp,1,2
b1lp,6,2
b1lp,7,6
b1lp,8,7
b1lp,8,10
b1lp,9,10
b1lp,9,20
b1lp,17,20
b1lp,17,18
b1lp,4,18
b1lp,4,16
b1lp,16,19
b1lp,12,19
b1lp,12,5
b1lp,3,5
b1lp,3,13
b1lp,18,13
b1lp,18,2
b1lp,2,13
b1lp,13,10
b1lp,17,10
b1lp,17,11
b1lp,9,11
b1lp,15,9
b1lp,15,20
b1lp,1,20
b1lp,7,1
b1lp,7,3
b1lp,3,6
b1lp,8,6
b1lp,8,14
b1lp,14,12
b1lp,12,19
b1lp,5,19
b1lp,4,5
b1lp,4,16
b1lp,16,13
b1lp,12,13
b1lp,12,19
b1lp,17,19
y@lp,15,17
y@lp,15,9
y@lp,9,18
y@lp,20,18
y@lp,20,16
y@lp,12,16
y@lp,12,2
y@lp,13,2
y@lp,4,13
y@lp,4,3
y@lp,7,3
y@lp,7,1
y@lp,14,1
y@lp,8,14
y@lp,8,6
y@lp,10,6
y@lp,11,10
y@lp,11,5
y@lp,5,19
y@lp,11,19
y@lp,14,11
y@lp,15,14
y@lp,15,3
y@lp,12,3
y@lp,12,5
y@lp,16,5
y@lp,4,16
y@lp,4,19
y@lp,19,17
y@lp,7,17
y@lp,20,7
y@lp,1,20
y@lp,9,1
y@lp,9,10
y@lp,13,10
y@lp,6,13
y@lp,13,2
y@lp,2,17
y@lp,16,17
y@lp,16,11
y@lp,11,19
y@lp,19,3
y@lp,15,3
y@lp,15,4
y@lp,9,4
y@lp,1,9
y@lp,1,7
y@lp,14,7
y@lp,12,14
y@lp,12,8
ayS.,7,13
ayS.,20,13
ayS.,20,19
ayS.,19,11
ayS.,11,2
ayS.,12,2
ayS.,6,12
ayS.,14,6
ayS.,14,8
ayS.,4,8
ayS.,4,5
ayS.,3,5
ayS.,9,3
ayS.,9,16
ayS.,16,18
ayS.,10,18
ayS.,15,10
ayS.,15,17
ayS.,1,17
ayS.,1,12
ayS.,11,12
ayS.,1,11
ayS.,1,17
ayS.,17,18
ayS.,4,18
ayS.,4,5
ayS.,10,5
ayS.,10,3
ayS.,14,3
ayS.,14,20
ayS.,20,6
ayS.,6,13
ayS.,19,13
ayS.,19,7
ayS.,8,7
ayS.,8,9
ayS.,9,2
ayS.,16,2
ayS.,15,16
ayS.,15,6
ayS.,20,6
ayS.,4,20
ayS.,4,18
ayS.,8,18
ayS.,8,9
ayS.,11,9
ayS.,19,11
ayS.,19,12
ayS.,10,12
ayS.,10,16
ous.,1,12
ous.,12,16
ous.,10,16
ous.,10,18
ous.,18,2
ous.,7,2
ous.,6,7
ous.,6,4
ous.,4,3
ous.,14,3
ous.,14,11
ous.,11,20
ous.,17,20
ous.,17,13
ous.,13,5
ous.,8,5
ous.,15,8
ous.,15,9
ous.,9,19
ous.,19,3
ous.,18,3
ous.,17,18
ous.,12,17
ous.,12,4
