judge,candidate_chosen,candidate_not_chosen
kiv.,164,134
kiv.,221,132
kiv.,158,230
kiv.,18,6
kiv.,224,113
kiv.,214,203
kiv.,139,149
kiv.,67,153
kiv.,216,150
kiv.,14,2
kiv.,81,111
kiv.,178,166
kiv.,65,211
kiv.,222,210
kiv.,73,225
kiv.,212,145
kiv.,98,169
kiv.,8,129
kiv.,209,64
kiv.,104,122
kiv.,184,61
kiv.,197,3
kiv.,87,24
kiv.,46,174
kiv.,227,170
kiv.,58,219
kiv.,80,64
kiv.,65,234
kiv.,161,39
kiv.,172,25
kiv.,52,174
kiv.,27,102
kiv.,13,49
kiv.,198,151
kiv.,45,67
kiv.,160,228
kiv.,105,189
kiv.,100,176
kiv.,54,167
kiv.,232,193
kiv.,131,163
kiv.,202,170
kiv.,113,92
kiv.,145,208
kiv.,99,144
kiv.,146,63
kiv.,72,190
kiv.,120,4
kiv.,233,85
kiv.,83,19
kiv.,58,16
kiv.,133,94
kiv.,26,226
kiv.,134,36
kiv.,89,197
kiv.,61,5
kiv.,195,103
kiv.,76,31
kiv.,22,9
kiv.,143,130
kiv.,59,173
kiv.,38,140
kiv.,56,184
kiv.,115,3
kiv.,48,221
kiv.,164,138
kiv.,220,174
kiv.,22,82
kiv.,216,122
kiv.,197,49
kiv.,4,35
kiv.,10,81
kiv.,102,166
kiv.,84,63
kiv.,41,205
kiv.,83,151
kiv.,71,202
kiv.,113,54
kiv.,90,24
kiv.,46,2
kiv.,176,228
kiv.,129,168
kiv.,185,145
kiv.,212,20
kiv.,181,169
kiv.,25,206
kiv.,131,61
kiv.,56,177
kiv.,59,120
kiv.,196,127
kiv.,104,133
kiv.,85,217
kiv.,150,57
kiv.,231,171
kiv.,45,27
kiv.,60,134
kiv.,105,215
kiv.,31,7
kiv.,17,126
kiv.,68,116
kiv.,180,103
kiv.,178,140
kiv.,188,28
kiv.,227,134
kiv.,211,149
kiv.,27,210
kiv.,233,137
kiv.,208,92
kiv.,54,152
kiv.,192,201
kiv.,113,45
kiv.,103,7
kiv.,171,186
kiv.,73,165
kiv.,2,218
kiv.,93,217
kiv.,91,50
kiv.,179,60
kiv.,21,200
kiv.,108,41
kiv.,139,153
kiv.,172,202
kiv.,63,5
kiv.,150,208
kiv.,158,134
kiv.,52,129
kiv.,72,64
kiv.,187,20
kiv.,1,170
kiv.,49,164
kiv.,29,166
kiv.,132,37
kiv.,160,196
kiv.,107,226
kiv.,190,40
kiv.,70,224
kiv.,193,221
kiv.,6,199
kiv.,83,152
kiv.,216,137
kiv.,225,130
kiv.,74,131
kiv.,115,15
kiv.,92,133
kiv.,44,127
kiv.,178,94
kiv.,144,46
kiv.,181,109
kiv.,116,169
kiv.,205,9
kiv.,80,55
kiv.,8,222
kiv.,233,66
kiv.,128,228
kiv.,142,35
kiv.,149,39
kiv.,33,185
kiv.,11,209
kiv.,189,97
kiv.,223,86
kiv.,183,173
kiv.,71,167
kiv.,146,177
kiv.,13,24
kiv.,194,163
kiv.,14,210
kiv.,42,30
kiv.,214,18
kiv.,157,89
kiv.,54,84
kiv.,43,59
kiv.,141,138
kiv.,100,68
kiv.,105,188
kiv.,220,180
kiv.,38,76
kiv.,17,191
kiv.,151,25
kiv.,197,213
kiv.,48,57
kiv.,140,3
kiv.,28,122
kiv.,232,10
kiv.,65,34
kiv.,59,62
kiv.,195,45
kiv.,231,62
kiv.,80,34
kiv.,74,198
