judge,candidate_chosen,candidate_not_chosen
1,93,145
1,139,97
1,53,118
1,76,81
1,93,108
1,96,16
1,68,90
1,103,62
1,132,97
1,109,48
1,86,56
1,86,148
1,45,100
1,36,18
1,30,25
1,142,98
1,35,130
1,127,124
1,103,77
1,109,113
1,122,20
1,92,66
1,129,33
1,114,72
1,145,73
1,50,80
1,43,56
1,109,135
1,30,125
1,3,95
1,121,95
1,132,49
1,6,125
1,12,86
1,143,110
1,122,138
1,108,55
1,137,39
1,133,125
1,133,47
1,148,26
1,25,115
1,85,46
1,21,54
1,37,73
1,45,20
1,147,31
1,87,88
1,137,87
1,121,98
1,11,70
1,22,73
1,150,129
1,22,99
1,99,105
1,122,96
1,95,130
1,125,54
1,145,100
1,61,31
2,58,21
2,1,112
2,106,130
2,89,84
2,79,112
2,142,111
2,77,91
2,116,51
2,58,47
2,45,107
2,86,18
2,82,46
2,34,70
2,143,90
2,69,78
2,126,36
2,29,98
2,121,67
2,64,123
2,63,42
2,148,105
2,50,67
2,13,126
2,41,83
2,78,135
2,93,60
2,93,77
2,111,98
2,91,60
2,26,16
2,139,102
2,124,134
2,101,94
2,14,74
2,110,90
2,59,73
2,85,145
2,107,51
2,130,9
2,38,56
2,63,144
2,127,101
2,11,74
2,81,22
2,128,150
2,20,142
2,104,42
2,35,146
2,37,124
2,63,26
2,131,109
2,16,56
2,32,79
2,139,86
2,10,131
2,94,97
2,95,97
2,11,36
3,34,94
3,126,71
3,97,80
3,32,16
3,102,116
3,48,140
3,122,27
3,111,26
3,10,37
3,79,134
3,19,114
3,65,73
3,12,67
3,57,136
3,99,136
3,145,18
3,16,90
3,83,149
3,53,68
3,40,35
3,87,46
3,148,16
3,34,48
3,120,8
3,141,26
3,82,117
3,81,61
3,10,55
3,145,58
3,113,36
3,29,91
3,143,62
3,86,85
3,63,67
3,95,73
3,40,15
3,14,24
3,83,104
3,96,10
3,63,50
3,31,42
3,10,13
3,139,100
3,109,138
3,17,66
3,88,39
3,50,147
3,67,64
3,57,114
3,94,1
3,111,102
3,123,62
3,10,109
3,9,124
3,20,138
3,35,19
3,74,18
3,29,74
3,118,73
3,10,113
4,144,133
4,137,24
4,122,70
4,114,143
4,99,118
4,35,105
4,72,42
4,39,72
4,105,23
4,127,120
4,128,14
4,32,95
4,139,2
4,132,118
4,119,133
4,133,42
4,42,83
4,53,83
4,35,115
4,46,45
4,116,148
4,97,148
4,122,74
4,94,52
4,131,2
4,140,2
4,55,7
4,92,80
4,136,104
4,3,22
4,17,25
4,85,60
4,101,53
4,121,130
4,123,4
4,89,70
4,143,107
4,117,7
4,33,14
4,44,84
4,102,74
4,74,70
4,117,11
4,109,69
4,34,44
4,107,90
4,120,23
4,25,75
4,133,38
4,62,110
4,51,4
4,89,13
4,68,80
4,118,23
4,28,136
4,131,45
4,53,124
4,53,30
4,117,91
4,106,10
5,75,16
5,78,147
5,3,42
5,84,80
5,58,79
5,50,51
5,108,72
5,13,138
5,50,119
5,37,75
5,23,41
5,109,55
5,20,41
5,113,100
5,12,52
5,129,18
5,56,66
5,121,66
5,96,46
5,55,131
5,44,21
5,23,28
5,65,122
5,131,84
5,23,99
5,61,17
5,55,145
5,127,146
5,124,26
5,93,109
5,30,101
5,62,90
5,8,6
5,2,1
5,30,99
5,143,110
5,145,33
5,108,55
5,92,26
5,45,65
5,63,133
5,79,7
5,24,73
5,150,138
5,15,49
5,119,115
5,141,3
5,78,103
5,15,121
5,92,148
5,82,48
5,57,67
5,59,7
5,65,85
5,123,115
5,127,141
5,75,125
5,136,148
5,144,50
5,111,33
6,88,121
6,35,125
6,115,5
6,82,140
6,88,29
6,68,90
6,30,68
6,46,81
6,117,123
6,14,147
6,95,120
6,18,11
6,24,124
6,149,3
6,55,52
6,47,110
6,118,31
6,86,32
6,84,132
6,97,99
6,95,23
6,122,24
6,39,20
6,52,101
6,73,121
6,123,90
6,23,30
6,98,145
6,74,43
6,41,147
6,108,48
6,113,108
6,106,126
6,84,140
6,52,19
6,150,70
6,42,107
6,50,47
6,47,31
6,34,100
6,98,15
6,66,72
6,12,65
6,44,34
6,42,21
6,142,91
6,113,69
6,32,18
6,69,20
6,132,58
6,137,87
6,11,7
6,74,48
6,112,66
6,23,3
6,131,65
6,107,123
6,99,124
6,122,139
6,50,41
7,36,102
7,32,82
7,49,5
7,148,83
7,88,74
7,93,104
7,30,54
7,7,31
7,8,64
7,106,89
7,94,61
7,109,112
7,18,56
7,44,140
7,11,6
7,129,71
7,46,58
7,103,89
7,137,85
7,105,8
7,52,5
7,66,64
7,114,64
7,79,52
7,79,73
7,131,86
7,147,68
7,101,124
7,150,85
7,72,83
7,51,143
7,15,43
7,136,114
7,149,101
7,76,22
7,117,32
7,101,105
7,149,1
7,83,21
7,53,73
7,120,1
7,5,25
7,14,100
7,54,104
7,81,56
7,49,140
7,4,115
7,82,33
7,144,57
7,70,59
7,90,115
7,71,64
7,132,102
7,5,61
7,76,9
7,23,9
7,97,120
7,84,36
7,135,103
7,51,42
8,85,45
8,12,71
8,139,130
8,131,116
8,52,58
8,27,110
8,13,129
8,146,119
8,20,145
8,40,56
8,126,100
8,107,54
8,18,82
8,89,132
8,97,22
8,26,21
8,20,48
8,111,92
8,103,13
8,103,12
8,67,21
8,23,141
8,8,115
8,128,86
8,85,48
8,38,61
8,30,132
8,135,129
8,7,145
8,80,41
8,150,46
8,21,119
8,108,34
8,134,148
8,101,95
8,59,149
8,140,22
8,75,21
8,2,130
8,12,129
8,99,134
8,47,54
8,59,99
8,94,56
8,94,116
8,39,78
8,66,125
8,133,71
8,16,71
8,132,141
8,110,4
8,55,142
8,131,96
8,149,17
8,149,105
8,75,57
8,1,130
8,40,70
8,6,63
8,77,10
10,15,73
10,22,127
10,103,33
10,17,75
10,141,22
10,120,61
10,37,97
10,7,21
10,27,76
10,33,9
10,61,62
10,54,143
10,16,38
10,40,107
10,18,73
10,113,9
10,24,6
10,38,92
10,103,9
10,19,28
10,121,148
10,88,93
10,51,110
10,88,69
10,81,114
10,43,27
10,43,52
10,130,38
10,78,113
10,44,48
10,63,57
10,130,101
10,105,94
10,12,40
10,31,42
10,51,123
10,99,112
10,22,38
10,106,142
10,134,66
10,132,43
10,111,60
10,84,98
10,105,56
10,44,126
10,147,21
10,114,41
10,68,21
10,79,98
10,108,20
10,120,27
10,137,87
10,119,125
10,40,84
10,86,20
10,28,56
10,138,142
10,57,72
10,68,83
10,16,41
11,122,150
11,59,114
11,87,124
11,39,126
11,7,150
11,102,115
11,56,107
11,81,110
11,81,47
11,14,18
11,93,43
11,100,116
11,100,85
11,76,28
11,59,25
11,10,59
11,13,71
11,108,92
11,103,91
11,49,59
11,141,59
11,89,48
11,19,8
11,91,100
11,17,104
11,137,69
11,1,148
11,127,30
11,118,119
11,103,65
11,34,7
11,44,127
11,120,5
11,95,127
11,88,137
11,37,115
11,12,60
11,64,47
11,128,55
11,118,112
11,63,136
11,136,66
11,37,76
11,67,115
11,108,96
11,49,24
11,41,5
11,14,145
11,14,79
11,85,20
11,113,131
11,64,51
11,87,137
11,28,5
11,132,121
11,108,45
11,55,129
11,51,90
11,126,142
11,23,27
12,41,63
