judge,candidate_chosen,candidate_not_chosen
1,3,18
1,12,9
1,19,2
1,16,5
1,11,10
1,15,6
1,13,8
1,20,1
1,14,7
1,17,4
2,20,3
2,18,5
2,12,11
2,7,16
2,2,1
2,14,9
2,6,17
2,19,4
2,10,13
2,8,15
3,2,4
3,10,15
3,3,1
3,20,5
3,19,6
3,17,8
3,16,9
3,11,14
3,13,12
3,7,18
4,13,14
4,1,4
4,9,18
4,6,2
4,8,19
4,11,16
4,12,15
4,3,5
4,20,7
4,10,17
5,3,7
5,14,15
5,12,17
5,10,19
5,11,18
5,1,5
5,13,16
5,20,9
5,8,2
5,6,4
6,13,18
6,10,2
6,3,9
6,20,11
6,6,1
6,14,17
6,8,4
6,15,16
6,12,19
6,5,7
7,11,3
7,13,20
7,19,14
7,18,15
7,17,16
7,8,6
7,12,2
7,7,1
7,10,4
7,9,5
8,20,15
8,10,6
8,11,5
8,19,16
8,7,9
8,3,13
8,17,18
8,14,2
8,1,8
8,12,4
10,13,7
10,11,9
10,14,6
10,10,1
10,15,5
10,12,8
10,18,2
10,3,17
10,16,4
10,19,20
11,7,15
11,18,4
11,12,10
11,13,9
11,1,11
11,3,19
11,16,6
11,17,5
11,14,8
11,20,2
12,19,5
12,18,6
12,7,17
12,16,8
12,2,3
12,15,9
12,20,4
12,10,14
12,13,11
12,12,1
13,18,8
13,5,2
13,19,7
13,17,9
13,3,4
13,13,1
13,12,14
13,11,15
13,10,16
13,6,20
14,7,2
14,4,5
14,11,17
14,13,15
14,3,6
14,19,9
14,12,16
14,1,14
14,10,18
14,20,8
15,13,17
15,10,20
15,15,1
15,18,12
15,8,3
15,7,4
15,16,14
15,19,11
15,6,5
15,9,2
16,9,4
16,7,6
16,12,20
16,13,19
16,8,5
16,14,18
16,11,2
16,10,3
16,17,15
16,1,16
17,12,3
17,11,4
17,18,16
17,13,2
17,19,15
17,6,9
17,20,14
17,10,5
17,8,7
17,17,1
18,8,9
18,12,5
18,1,18
18,11,6
18,13,4
18,16,20
18,17,19
18,3,14
18,15,2
18,7,10
19,12,7
19,9,10
19,20,18
19,1,19
19,6,13
19,14,5
19,16,3
19,11,8
19,4,15
19,2,17
