judge,candidate_chosen,candidate_not_chosen
10,5,123
10,139,138
10,33,95
10,134,143
10,117,141
10,65,63
10,114,14
10,39,89
10,56,72
10,24,144
10,120,8
10,86,42
10,18,110
10,106,22
10,35,27
10,97,31
10,7,121
10,132,145
10,108,20
10,35,93
10,30,98
10,122,6
10,57,71
10,54,74
10,96,32
10,147,130
10,66,62
10,75,53
10,44,84
10,137,140
10,9,119
10,77,51
10,10,118
10,69,59
10,55,73
10,109,19
10,113,15
10,103,25
10,100,28
10,117,141
10,38,90
10,141,136
10,12,116
10,129,148
10,24,144
10,144,133
10,124,4
10,131,146
10,102,26
10,35,27
10,13,115
10,76,52
10,92,36
10,3,125
10,41,87
10,61,67
10,149,128
10,99,29
10,91,37
10,117,11
10,78,50
10,126,2
10,83,45
10,85,43
10,150,127
10,34,94
10,135,142
10,46,82
10,107,21
10,58,70
11,79,63
11,139,3
11,93,49
11,149,142
11,117,141
11,52,90
11,17,125
11,75,67
11,138,4
11,24,144
11,12,130
11,89,53
11,69,73
11,124,18
11,35,27
11,99,43
11,97,45
11,35,107
11,47,95
11,137,5
11,7,135
11,88,54
11,146,145
11,1,71
11,38,104
11,15,127
11,150,141
11,32,110
11,27,115
11,24,118
11,23,119
11,82,60
11,59,83
11,81,61
11,128,14
11,92,50
11,113,29
11,37,105
11,100,42
11,117,141
11,16,126
11,8,134
11,33,109
11,117,25
11,144,24
11,26,116
11,111,31
11,28,114
11,121,21
11,27,35
11,108,34
11,87,55
11,96,46
11,132,10
11,148,143
11,91,51
11,84,58
11,112,30
11,85,57
11,41,101
11,136,6
11,133,9
11,106,36
11,13,129
11,72,70
12,52,104
12,83,73
12,69,87
12,1,78
12,117,141
12,118,38
12,116,40
12,82,74
12,146,10
12,144,24
12,120,36
12,84,72
12,66,90
12,138,18
12,27,35
12,20,136
12,125,31
12,92,64
12,43,113
12,98,58
12,101,55
12,16,140
12,49,107
12,124,32
12,106,50
12,102,54
12,46,110
12,114,42
12,3,4
12,96,60
12,14,142
12,139,17
12,81,75
12,127,29
12,57,99
12,121,35
12,48,108
12,141,15
12,37,119
12,117,141
12,2,5
12,76,80
12,89,67
12,148,8
12,24,144
12,53,103
12,6,150
12,132,24
12,88,68
12,27,35
12,97,59
12,51,105
12,135,21
12,77,79
12,130,26
12,131,25
12,85,71
12,86,70
12,28,128
12,44,112
12,93,63
12,133,23
12,41,115
12,9,147
12,61,95
12,111,45
12,30,126
12,12,144
13,17,4
13,96,74
13,65,105
13,67,103
13,141,117
13,59,111
13,132,38
13,126,44
13,15,6
13,144,24
13,95,75
13,49,121
13,30,140
13,85,1
13,35,27
13,113,57
13,36,134
13,138,32
13,133,37
13,63,107
13,122,48
13,150,20
13,56,114
13,41,129
13,60,110
13,106,64
13,97,73
13,70,100
13,66,104
13,147,23
13,99,71
13,34,136
13,89,81
13,142,28
13,88,82
13,144,26
13,16,5
13,94,76
13,117,53
13,117,141
13,7,14
13,116,54
13,109,61
13,78,92
13,144,24
13,39,131
13,112,58
13,146,24
13,51,119
13,35,27
13,45,125
13,137,33
13,27,143
13,102,68
13,80,90
13,108,62
13,141,29
13,120,50
13,12,9
13,11,10
13,84,86
13,101,69
13,8,13
13,77,93
13,72,98
13,47,123
13,3,18
13,79,91
13,118,52
13,46,124
16,58,5
16,148,64
16,117,95
16,116,96
16,117,141
16,98,114
16,103,109
16,128,84
16,44,19
16,24,144
16,32,31
16,12,51
16,7,56
16,107,105
16,27,35
16,93,119
16,61,2
16,89,123
16,131,81
16,101,111
16,35,28
16,139,73
16,94,118
16,30,33
16,106,1
16,102,110
16,113,99
16,36,27
16,137,75
16,39,24
16,140,72
16,126,86
16,149,63
16,74,138
16,121,91
16,40,23
16,145,67
16,37,26
16,10,53
16,141,117
16,143,69
16,122,90
16,13,50
16,55,8
16,24,144
16,65,147
16,54,9
16,120,92
16,20,43
16,35,27
16,47,16
16,108,104
16,87,125
16,70,142
16,42,21
16,41,22
16,52,11
16,59,4
16,66,146
16,136,76
16,83,129
16,78,134
16,100,112
16,85,127
16,25,38
16,79,133
16,77,135
16,3,60
16,45,18
17,48,29
17,60,17
17,53,24
17,46,31
17,117,141
17,146,80
17,128,98
17,114,112
17,122,104
17,144,24
17,9,68
17,56,21
17,55,22
17,121,105
17,35,27
17,149,77
17,11,66
17,136,90
17,124,102
17,108,118
17,143,83
17,107,119
17,131,95
17,97,129
17,59,18
17,14,63
17,52,25
17,44,33
17,126,100
17,135,91
17,93,133
17,150,76
17,34,43
17,8,69
17,7,70
17,35,42
17,45,32
17,106,120
17,65,12
17,117,141
17,30,47
17,72,5
17,79,147
17,113,1
17,24,144
17,39,38
17,139,87
17,82,144
17,2,75
17,35,27
17,140,86
17,40,37
17,36,41
17,49,28
17,27,50
17,92,134
17,137,89
17,74,3
17,10,67
17,88,138
17,61,16
17,101,125
17,73,4
17,85,141
17,116,110
17,6,71
17,145,81
17,54,23
17,142,84
18,135,105
18,35,56
18,51,40
18,12,79
18,141,117
18,50,41
18,11,80
18,89,2
18,22,69
18,24,144
18,93,147
18,122,118
18,125,115
18,27,64
18,35,27
18,142,98
18,45,46
18,78,13
18,148,92
18,49,42
18,60,31
18,48,43
18,44,47
18,10,81
18,128,112
18,97,143
18,130,110
18,73,18
18,87,4
18,66,25
18,39,52
18,145,95
18,77,14
18,127,113
18,34,57
18,76,15
18,121,119
18,20,71
18,137,103
18,141,117
18,9,82
18,33,58
18,102,138
18,24,67
18,24,144
18,70,21
18,124,116
18,129,111
18,30,61
18,35,27
18,91,149
18,88,3
18,59,32
18,133,107
18,140,100
18,106,134
18,104,136
18,36,55
18,131,109
18,85,6
18,150,90
18,17,74
18,5,86
18,1,120
18,54,37
18,146,94
18,8,83
18,23,68
18,53,38
18,28,63
1,88,63
1,12,139
1,56,95
1,108,43
1,117,141
1,33,118
1,3,148
1,51,100
1,99,52
1,144,24
1,74,77
1,126,25
1,149,2
1,18,133
1,35,27
1,76,75
1,46,105
1,119,32
1,44,107
1,81,70
1,102,49
1,121,30
1,10,141
1,36,115
1,117,34
1,114,37
1,17,134
1,92,59
1,66,85
1,132,19
1,60,91
1,27,124
1,11,140
1,113,38
1,136,15
1,84,67
1,150,1
1,79,72
1,40,111
1,117,141
1,68,83
1,147,4
1,131,20
1,112,39
1,144,24
1,130,21
1,146,5
1,61,90
1,35,27
1,110,41
1,80,71
1,65,86
1,103,48
1,55,96
1,28,123
1,35,116
1,109,42
1,53,98
1,64,87
1,78,73
1,128,23
1,47,104
1,26,125
1,8,143
1,137,14
1,22,129
1,69,82
1,127,24
1,122,29
2,89,76
2,88,77
2,122,43
2,135,30
2,117,141
2,8,1
2,119,46
2,55,110
2,137,28
2,144,24
2,150,15
2,85,80
2,94,71
2,134,31
2,35,27
2,34,131
2,47,118
2,20,145
2,82,83
2,19,146
2,18,147
2,10,6
2,127,38
2,139,26
2,117,48
2,111,54
2,98,67
2,24,141
2,66,99
2,58,107
2,136,29
2,97,68
2,17,148
2,60,105
2,69,96
2,106,59
2,50,115
2,5,11
2,65,100
2,117,141
2,149,16
2,7,9
2,143,22
2,91,74
2,24,144
2,101,64
2,73,92
2,102,63
2,61,104
2,35,27
2,132,33
2,103,62
2,40,125
2,44,121
2,37,128
2,2,14
2,109,56
2,113,52
2,93,72
2,53,112
2,23,142
2,27,138
2,12,4
2,78,87
2,144,21
2,123,42
2,75,90
2,51,114
2,86,79
3,112,67
3,33,146
3,147,32
3,114,65
3,117,141
3,11,19
3,85,94
3,13,17
3,8,22
3,24,144
3,64,115
3,45,134
3,150,29
3,93,86
3,35,27
3,77,102
3,25,5
3,148,31
3,43,136
3,116,63
3,117,62
3,24,6
3,2,28
3,56,123
3,110,69
3,128,51
3,129,50
3,118,61
3,139,40
3,75,104
3,9,21
3,137,42
3,133,46
3,26,4
3,34,145
3,135,44
3,132,47
3,96,83
3,141,38
3,117,141
3,142,37
3,27,3
3,60,119
3,82,97
3,24,144
3,91,88
3,18,12
3,74,105
3,16,14
3,35,27
3,121,58
3,59,120
3,103,76
3,7,23
3,90,89
3,1,15
3,48,131
3,101,78
3,108,71
3,70,109
3,79,100
3,54,125
3,107,72
3,87,92
3,49,130
3,81,98
3,127,52
3,80,99
3,30,149
3,95,84
4,78,115
4,68,125
4,120,73
4,84,109
4,141,117
4,40,4
4,51,142
4,132,61
4,14,30
4,24,144
4,28,16
4,34,10
4,37,7
4,111,82
4,27,35
4,11,33
4,145,48
4,63,130
4,116,77
4,6,38
4,146,47
4,50,143
4,44,149
4,86,107
4,8,36
4,119,74
4,59,134
4,81,112
4,88,105
4,117,76
4,3,41
4,113,80
4,114,79
4,93,100
4,35,9
4,141,52
4,66,127
4,55,138
4,20,24
4,141,117
4,133,60
4,19,25
4,29,15
4,94,99
4,24,144
4,103,90
4,123,70
4,118,75
4,140,53
4,35,27
4,121,72
4,87,106
4,18,26
4,135,58
4,101,92
4,69,124
4,128,65
4,122,71
4,45,148
4,139,54
4,39,5
4,83,110
4,137,56
4,89,104
4,23,21
4,150,43
4,102,91
4,96,97
4,85,108
4,136,57
5,74,133
5,108,99
5,106,101
5,12,46
5,117,141
5,84,123
5,66,141
5,2,56
5,92,115
5,24,144
5,32,26
5,137,70
5,53,5
5,11,47
5,35,27
5,13,45
5,86,121
5,1,29
5,140,67
5,81,126
5,113,94
5,103,104
5,16,42
5,48,10
5,36,22
5,146,61
5,17,41
5,131,76
5,91,116
5,23,35
5,54,4
5,51,7
5,145,62
5,37,21
5,98,109
5,111,96
5,114,93
5,33,25
5,110,97
5,117,141
5,40,18
5,77,130
5,87,120
5,79,128
5,24,144
5,122,85
5,139,68
5,27,31
5,55,3
5,35,27
5,78,129
5,100,107
5,150,57
5,28,30
5,143,64
5,144,63
5,44,14
5,20,38
5,39,19
5,102,105
5,58,149
5,124,83
5,60,147
5,89,118
5,136,71
5,69,138
5,132,75
5,8,50
5,82,125
5,15,43
6,68,4
6,44,28
6,98,123
6,73,148
6,117,141
6,63,9
6,58,14
6,126,95
6,132,89
6,144,24
6,131,90
6,135,86
6,133,88
6,106,115
6,27,35
6,15,57
6,35,37
6,30,42
6,22,50
6,113,108
6,74,147
6,24,48
6,140,81
6,150,71
6,137,84
6,43,29
6,105,116
6,130,91
6,27,45
6,96,125
6,127,94
6,117,104
6,85,136
6,10,62
6,26,46
6,6,66
6,65,7
6,144,77
6,149,72
6,117,141
6,39,33
6,139,82
6,99,122
6,51,21
6,144,24
6,79,142
6,2,70
6,93,128
6,121,100
6,27,35
6,76,145
6,87,134
6,124,97
6,12,60
6,119,102
6,3,69
6,103,118
6,36,1
7,8,78
7,113,122
7,10,76
7,6,80
7,141,117
7,35,51
7,48,38
7,69,17
7,29,57
7,24,144
7,68,18
7,84,2
7,137,98
7,60,26
7,35,27
7,22,64
7,135,100
7,77,9
7,87,148
7,19,67
7,45,41
7,89,146
7,131,104
7,59,27
7,82,4
7,47,39
7,12,74
7,53,33
7,55,31
7,109,126
7,103,132
7,114,121
7,120,115
7,13,73
7,102,133
7,24,62
7,140,95
7,44,42
7,128,107
7,117,141
7,91,144
7,79,7
7,81,5
7,145,90
7,24,144
7,108,127
7,143,92
7,16,70
7,106,129
7,27,35
7,88,147
7,58,28
7,15,71
7,30,56
7,101,134
7,43,1
7,25,61
7,49,37
7,85,150
7,23,63
7,125,110
7,3,83
7,65,21
7,86,149
7,94,141
7,99,136
7,20,66
7,116,119
7,112,123
7,105,130
8,78,22
8,74,26
8,40,60
8,65,35
8,117,141
8,91,9
8,28,72
8,119,130
8,147,102
8,24,144
8,8,92
8,135,114
8,16,84
8,138,111
8,27,35
8,37,63
8,27,73
8,97,3
8,18,82
8,58,42
8,79,21
8,29,71
8,142,107
8,137,112
8,66,34
8,76,24
8,93,7
8,108,141
8,122,127
8,149,100
8,140,109
8,139,110
8,53,47
8,103,146
8,70,30
8,45,55
8,133,116
8,96,4
8,131,118
8,141,117
8,98,2
8,129,120
8,104,145
8,20,80
8,144,24
8,75,25
8,17,83
8,6,94
8,52,48
8,27,35
8,38,62
8,144,105
8,132,117
8,46,54
8,39,61
8,32,68
8,69,31
8,128,121
8,51,49
8,85,15
8,10,90
8,134,115
8,36,64
8,12,88
8,44,56
8,59,41
8,126,123
8,81,19
8,124,125
8,106,143
9,58,56
9,66,48
9,51,63
9,109,5
9,141,117
9,3,111
9,13,101
9,135,128
9,20,94
9,24,144
9,147,116
9,39,75
9,77,37
9,44,70
9,35,27
9,145,118
9,137,126
9,79,35
9,89,25
9,120,143
9,150,113
9,60,54
9,2,112
9,81,33
