judge,candidate_chosen,candidate_not_chosen
assessor08,0215EMT_Stress_2.pdf,1004_Stress_1.pdf
assessor16,0406_Stress3.pdf,0407_Stress2.pdf
assessor16,0807_Stress3.pdf,0518_stress_2.pdf
assessor08,0205EMT_Stress_3.pdf,0112_Stress_3.pdf
assessor16,0416_Stress1.pdf,0404_Stress3.pdf
assessor16,0105_Stress_1.pdf,0101_Stress2.pdf
assessor08,0913EMT_Stress_2.pdf,0510_Stress_3.pdf
assessor38,0423_Stress2.pdf,0908EMT_stress_3.pdf
assessor16,0603_Stress3.pdf,1009_stress_2.pdf
assessor08,0405_Stress3.pdf,0916EMT_Stress_1.pdf
assessor47,0702EMT Stress2.pdf,0521_stress_1.pdf
assessor16,0709EMT Stress2.pdf,0111_Stress2.pdf
assessor16,0216EMT_Stress_2.pdf,0517_stress_3.pdf
assessor38,0706EMT Stress2.pdf,0110_Stress_1.pdf
assessor47,0613_Stress1.pdf,0907EMT_stress_1.pdf
assessor08,0402_Stress3.pdf,0605_Stress3.pdf
assessor16,0303_Stress_3.pdf,0302_Stress_1.pdf
assessor47,0109_Stress_1.pdf,0404_Stress3.pdf
assessor38,0105_Stress_1.pdf,0518_stress_2.pdf
assessor08,0706EMT Stress2.pdf,0101_Stress2.pdf
assessor16,1004_Stress_1.pdf,0510_Stress_3.pdf
assessor38,0709EMT Stress2.pdf,0406_Stress3.pdf
assessor47,0702EMT Stress2.pdf,0407_Stress2.pdf
assessor16,0913EMT_Stress_2.pdf,0916EMT_Stress_1.pdf
assessor08,0907EMT_stress_1.pdf,0111_Stress2.pdf
assessor47,0405_Stress3.pdf,0216EMT_Stress_2.pdf
assessor16,0205EMT_Stress_3.pdf,1009_stress_2.pdf
assessor38,0807_Stress3.pdf,0303_Stress_3.pdf
assessor16,0603_Stress3.pdf,0215EMT_Stress_2.pdf
assessor08,0402_Stress3.pdf,0908EMT_stress_3.pdf
assessor47,0109_Stress_1.pdf,0605_Stress3.pdf
assessor38,0423_Stress2.pdf,0517_stress_3.pdf
assessor08,0416_Stress1.pdf,0112_Stress_3.pdf
assessor47,0613_Stress1.pdf,0521_stress_1.pdf
assessor16,0302_Stress_1.pdf,0110_Stress_1.pdf
