judge,candidate_chosen,candidate_not_chosen
1,Zelfreflectie 18,Zelfreflectie 8
1,Zelfreflectie 2,Zelfreflectie 5
2,Zelfreflectie 3,Zelfreflectie 4
2,Zelfreflectie 2,Zelfreflectie 22
2,Zelfreflectie 18,Zelfreflectie 10
2,Zelfreflectie 6,Zelfreflectie 8
2,Zelfreflectie 4,Zelfreflectie 11
2,Zelfreflectie 7,Zelfreflectie 20
1,Zelfreflectie 13,Zelfreflectie 17
1,Zelfreflectie 2,Zelfreflectie 12
1,Zelfreflectie 6,Zelfreflectie 9
1,Zelfreflectie 4,Zelfreflectie 20
1,Zelfreflectie 16,Zelfreflectie 14
1,Zelfreflectie 19,Zelfreflectie 15
2,Zelfreflectie 16,Zelfreflectie 13
1,Zelfreflectie 13,Zelfreflectie 22
2,Zelfreflectie 10,Zelfreflectie 21
2,Zelfreflectie 6,Zelfreflectie 5
1,Zelfreflectie 17,Zelfreflectie 12
1,Zelfreflectie 4,Zelfreflectie 1
1,Zelfreflectie 3,Zelfreflectie 16
1,Zelfreflectie 15,Zelfreflectie 8
1,Zelfreflectie 2,Zelfreflectie 14
1,Zelfreflectie 13,Zelfreflectie 10
1,Zelfreflectie 18,Zelfreflectie 22
1,Zelfreflectie 19,Zelfreflectie 9
1,Zelfreflectie 6,Zelfreflectie 12
1,Zelfreflectie 20,Zelfreflectie 5
1,Zelfreflectie 3,Zelfreflectie 7
1,Zelfreflectie 21,Zelfreflectie 17
1,Zelfreflectie 1,Zelfreflectie 9
1,Zelfreflectie 10,Zelfreflectie 11
2,Zelfreflectie 6,Zelfreflectie 19
2,Zelfreflectie 10,Zelfreflectie 15
2,Zelfreflectie 1,Zelfreflectie 20
2,Zelfreflectie 18,Zelfreflectie 7
2,Zelfreflectie 4,Zelfreflectie 22
2,Zelfreflectie 14,Zelfreflectie 11
2,Zelfreflectie 12,Zelfreflectie 3
2,Zelfreflectie 16,Zelfreflectie 8
2,Zelfreflectie 21,Zelfreflectie 5
2,Zelfreflectie 3,Zelfreflectie 14
2,Zelfreflectie 16,Zelfreflectie 22
2,Zelfreflectie 2,Zelfreflectie 15
2,Zelfreflectie 19,Zelfreflectie 1
2,Zelfreflectie 17,Zelfreflectie 5
2,Zelfreflectie 12,Zelfreflectie 21
2,Zelfreflectie 9,Zelfreflectie 13
1,Zelfreflectie 1,Zelfreflectie 11
1,Zelfreflectie 14,Zelfreflectie 8
5,Zelfreflectie 10,Zelfreflectie 14
6,Zelfreflectie 2,Zelfreflectie 3
6,Zelfreflectie 18,Zelfreflectie 15
6,Zelfreflectie 19,Zelfreflectie 16
6,Zelfreflectie 22,Zelfreflectie 17
6,Zelfreflectie 1,Zelfreflectie 6
6,Zelfreflectie 5,Zelfreflectie 11
5,Zelfreflectie 20,Zelfreflectie 9
5,Zelfreflectie 4,Zelfreflectie 12
5,Zelfreflectie 16,Zelfreflectie 20
5,Zelfreflectie 21,Zelfreflectie 8
5,Zelfreflectie 10,Zelfreflectie 5
5,Zelfreflectie 21,Zelfreflectie 22
5,Zelfreflectie 12,Zelfreflectie 13
5,Zelfreflectie 18,Zelfreflectie 2
5,Zelfreflectie 15,Zelfreflectie 1
5,Zelfreflectie 17,Zelfreflectie 6
5,Zelfreflectie 4,Zelfreflectie 7
5,Zelfreflectie 3,Zelfreflectie 9
5,Zelfreflectie 19,Zelfreflectie 14
5,Zelfreflectie 11,Zelfreflectie 8
5,Zelfreflectie 19,Zelfreflectie 11
5,Zelfreflectie 2,Zelfreflectie 1
5,Zelfreflectie 5,Zelfreflectie 13
5,Zelfreflectie 10,Zelfreflectie 8
5,Zelfreflectie 18,Zelfreflectie 3
5,Zelfreflectie 16,Zelfreflectie 6
5,Zelfreflectie 4,Zelfreflectie 14
5,Zelfreflectie 12,Zelfreflectie 22
5,Zelfreflectie 9,Zelfreflectie 17
5,Zelfreflectie 20,Zelfreflectie 21
6,Zelfreflectie 7,Zelfreflectie 13
6,Zelfreflectie 15,Zelfreflectie 7
6,Zelfreflectie 3,Zelfreflectie 11
6,Zelfreflectie 15,Zelfreflectie 17
6,Zelfreflectie 20,Zelfreflectie 22
6,Zelfreflectie 21,Zelfreflectie 14
6,Zelfreflectie 10,Zelfreflectie 9
6,Zelfreflectie 13,Zelfreflectie 6
7,Zelfreflectie 18,Zelfreflectie 12
7,Zelfreflectie 2,Zelfreflectie 4
6,Zelfreflectie 5,Zelfreflectie 7
6,Zelfreflectie 19,Zelfreflectie 8
7,Zelfreflectie 9,Zelfreflectie 21
6,Zelfreflectie 16,Zelfreflectie 1
7,Zelfreflectie 12,Zelfreflectie 5
6,Zelfreflectie 14,Zelfreflectie 7
7,Zelfreflectie 1,Zelfreflectie 13
6,Zelfreflectie 2,Zelfreflectie 11
6,Zelfreflectie 3,Zelfreflectie 15
6,Zelfreflectie 8,Zelfreflectie 17
6,Zelfreflectie 18,Zelfreflectie 16
6,Zelfreflectie 4,Zelfreflectie 10
7,Zelfreflectie 19,Zelfreflectie 20
6,Zelfreflectie 22,Zelfreflectie 6
6,Zelfreflectie 18,Zelfreflectie 21
7,Zelfreflectie 6,Zelfreflectie 15
7,Zelfreflectie 3,Zelfreflectie 13
7,Zelfreflectie 2,Zelfreflectie 17
7,Zelfreflectie 12,Zelfreflectie 16
7,Zelfreflectie 7,Zelfreflectie 8
7,Zelfreflectie 11,Zelfreflectie 22
7,Zelfreflectie 4,Zelfreflectie 19
7,Zelfreflectie 14,Zelfreflectie 5
7,Zelfreflectie 10,Zelfreflectie 1
8,Zelfreflectie 13,Zelfreflectie 20
8,Zelfreflectie 2,Zelfreflectie 9
8,Zelfreflectie 5,Zelfreflectie 15
8,Zelfreflectie 6,Zelfreflectie 4
8,Zelfreflectie 7,Zelfreflectie 11
8,Zelfreflectie 17,Zelfreflectie 20
8,Zelfreflectie 19,Zelfreflectie 12
8,Zelfreflectie 21,Zelfreflectie 6
8,Zelfreflectie 18,Zelfreflectie 1
8,Zelfreflectie 22,Zelfreflectie 8
8,Zelfreflectie 3,Zelfreflectie 10
8,Zelfreflectie 18,Zelfreflectie 14
8,Zelfreflectie 15,Zelfreflectie 11
8,Zelfreflectie 14,Zelfreflectie 12
8,Zelfreflectie 3,Zelfreflectie 17
8,Zelfreflectie 1,Zelfreflectie 5
8,Zelfreflectie 19,Zelfreflectie 21
8,Zelfreflectie 2,Zelfreflectie 16
8,Zelfreflectie 10,Zelfreflectie 20
8,Zelfreflectie 22,Zelfreflectie 9
8,Zelfreflectie 4,Zelfreflectie 13
8,Zelfreflectie 7,Zelfreflectie 12
8,Zelfreflectie 2,Zelfreflectie 8
8,Zelfreflectie 19,Zelfreflectie 5
8,Zelfreflectie 3,Zelfreflectie 22
9,Zelfreflectie 4,Zelfreflectie 16
9,Zelfreflectie 18,Zelfreflectie 11
9,Zelfreflectie 6,Zelfreflectie 14
9,Zelfreflectie 1,Zelfreflectie 8
9,Zelfreflectie 21,Zelfreflectie 13
7,Zelfreflectie 16,Zelfreflectie 9
7,Zelfreflectie 9,Zelfreflectie 15
7,Zelfreflectie 10,Zelfreflectie 7
7,Zelfreflectie 4,Zelfreflectie 17
7,Zelfreflectie 20,Zelfreflectie 11
7,Zelfreflectie 12,Zelfreflectie 15
7,Zelfreflectie 18,Zelfreflectie 19
9,Zelfreflectie 3,Zelfreflectie 8
9,Zelfreflectie 6,Zelfreflectie 10
10,Zelfreflectie 20,Zelfreflectie 14
9,Zelfreflectie 17,Zelfreflectie 1
9,Zelfreflectie 19,Zelfreflectie 13
10,Zelfreflectie 2,Zelfreflectie 7
