judge,candidate_chosen,candidate_not_chosen
assessor11,54938ca135f9858cfb0c2a965718392e,H17
assessor11,C11,E10
assessor11,F18,J15
assessor11,H12,J15
assessor11,54938ca135f9858cfb0c2a965718392e,F16
assessor11,1a044b43ab4eca593fa07c0b69e55cc3,F9
assessor05,F2,3649ba8db06d94c8b79911d940ba289c
assessor05,K21,F5
assessor05,A11,J9
assessor05,3e214041981e81f9fd99ca069cf98325,K26
assessor05,29fe32912c306a55427d86d4a78dde8c,C19
assessor05,J7,5eee9f0e60b7c6c9717def7892237bb6
assessor05,C7,ac669b056cd33482fad55d756497b177
assessor05,ea230cb808b6557485b8dc7db1a0a86a,I12b
assessor05,H0,E3
assessor05,C11,I15
assessor05,K26,K2
assessor05,786709f6b21b9f098a1c6cbea7fdac08,ac669b056cd33482fad55d756497b177
assessor05,e07e3b29c3f3ed23ea6d2d7db0e65cf8,E8
assessor05,A7,D5
assessor05,J13,F9
assessor05,E23,ee7c0339be618ca65973144f3bb849ce
assessor05,K26,F7
assessor05,94d9699732e50f271a89808b9575139b,A18
assessor05,C9,J15
assessor05,I17,1b2bf88d0cf06c8dfb2d58e0b4579f35
assessor05,C18,H2
assessor05,B6,F3
assessor05,ce5eb73aac1ac0832ad9ec9adedb38da,E8
assessor05,3e214041981e81f9fd99ca069cf98325,F7
assessor05,D12,da10dd2f875c94b2f976147315a321cd
assessor05,E24,F18
assessor05,3e214041981e81f9fd99ca069cf98325,e07e3b29c3f3ed23ea6d2d7db0e65cf8
assessor05,786709f6b21b9f098a1c6cbea7fdac08,E21
assessor05,A18,1b2bf88d0cf06c8dfb2d58e0b4579f35
assessor05,I18,A15
assessor05,d7f573c9a18444c1b18c4e62e4b5f9f6,E11
assessor05,9125eb25d10dcb5fb57dfbdb59a1b74b,I17
assessor05,H4,A7
assessor05,K27,A6
assessor05,H0,2920d4f4f2684f38b8167e1a99129821
assessor05,D14,ca4b73cfbaf430ee72a8faf80734c750
assessor05,I18,B6
assessor05,I17,J11
assessor05,E5,ac669b056cd33482fad55d756497b177
assessor05,I19,K24
assessor05,G10,H10
assessor05,D11,J15
assessor05,D11,I2
assessor05,E27,3649ba8db06d94c8b79911d940ba289c
assessor05,29fe32912c306a55427d86d4a78dde8c,201ff93bed1856e467a73afca839da06
assessor05,D11,K2
assessor05,e6a2aa6b4f60dcdfcc0ab434c9db7457,E24
assessor03,786709f6b21b9f098a1c6cbea7fdac08,F13
assessor03,H4,K27
assessor03,f48ab1373fce7ff56fa9d6dc6eb9787b,K14
assessor03,K27,F3
assessor03,K27,C18
assessor03,11932db57791df696a819ee36383b36f,K19
assessor03,B6,ac669b056cd33482fad55d756497b177
assessor03,J11,H17
assessor03,ce5eb73aac1ac0832ad9ec9adedb38da,K14
assessor03,E5,I11
assessor03,J15,A18
assessor03,A18,A16
assessor03,I10,A11
assessor03,G3,E22
assessor03,ca4b73cfbaf430ee72a8faf80734c750,1b2bf88d0cf06c8dfb2d58e0b4579f35
assessor03,H19,C9
