candidate_chosen,judge,candidate_not_chosen,time_taken,choice
86.1,J1,23.2,39.231,right
57.1,J1,21.1,18.56,right
64.1,J1,57.2,34.323,right
102.2,J1,54.2,45.538,right
97.1,J1,26.1,41.313,left
9.2,J1,12.2,32.578,right
120.1,J1,48.1,7.964,right
72.2,J1,83.2,17.183,left
27.1,J1,41.1,23.442,left
98.1,J1,91.1,13.501,right
113.2,J1,113.1,34.775,right
116.1,J1,45.1,1.649,right
92.1,J1,3.2,2.644,right
119.1,J1,68.1,69.218,right
82.1,J1,106.1,64.38,left
58.1,J1,38.1,22.494,right
94.1,J1,76.2,24.819,left
45.2,J1,65.2,11.145,right
34.1,J1,51.1,189.069,right
52.2,J1,115.1,79.189,right
28.1,J1,46.2,42.889,right
74.2,J1,118.2,67.024,left
33.1,J1,90.1,42.188,left
108.2,J1,99.1,29.49,right
111.2,J1,84.2,18.446,left
73.1,J1,60.1,184.495,right
67.2,J1,42.2,20.961,right
17.1,J1,79.2,268.727,right
44.2,J1,52.1,67.202,right
55.1,J1,14.2,56.924,left
75.1,J1,11.2,27.727,right
43.2,J1,41.2,45.388,left
30.1,J1,74.1,36.916,right
61.2,J1,110.2,26.84,left
64.2,J1,80.2,25.394,left
81.2,J1,112.2,2.289,right
105.1,J1,104.2,20.564,left
49.1,J1,115.2,65.535,left
31.1,J1,53.2,7.534,right
56.1,J1,35.1,50.575,right
84.1,J1,77.2,30.438,right
26.2,J1,78.2,13.296,left
44.1,J1,109.2,14.095,right
73.2,J1,83.1,50.197,right
99.2,J1,105.2,3.378,left
47.2,J1,35.2,10.164,right
114.1,J1,72.1,39.612,right
62.1,J1,103.2,21.837,right
63.1,J1,69.2,9.268,left
81.1,J1,15.2,16.508,left
65.1,J1,48.2,1.699,right
37.1,J1,32.1,29.157,left
59.1,J1,101.2,17.336,right
117.1,J1,25.2,17.518,left
93.1,J1,89.1,17.565,right
2.2,J1,109.1,1440.36,right
59.2,J1,10.2,1.647,right
47.1,J1,60.2,11.226,left
58.2,J1,114.2,12.122,left
95.1,J1,25.1,58.81,left
107.1,J1,61.1,14.348,right
34.2,J1,51.2,3.882,right
19.1,J1,22.2,13.558,left
118.1,J1,85.1,23.434,left
22.1,J1,85.1,43.829,right
50.1,J1,22.1,22.158,right
50.1,J1,42.1,7.792,left
77.1,J1,42.1,14.066,right
77.1,J1,20.1,12.197,left
76.1,J1,20.1,10.929,right
18.1,J1,76.1,10.827,right
23.2,J1,18.1,20.402,right
86.1,J1,16.1,18.399,left
13.2,J1,16.1,19.053,right
13.2,J1,21.1,5.147,left
66.1,J1,57.1,27.505,right
112.1,J1,66.1,6.594,right
112.1,J1,57.2,4.236,left
64.1,J1,54.2,23.992,left
102.2,J1,97.1,43.521,left
26.1,J1,12.2,11.454,left
9.2,J1,48.1,5.833,left
120.1,J1,72.2,24.961,left
27.1,J1,83.2,35.902,right
41.1,J1,91.1,15.33,left
98.1,J1,113.1,17.167,left
113.2,J1,45.1,1.72,left
75.2,J1,116.1,21.326,right
75.2,J1,43.1,45.333,left
43.1,J1,3.2,8.347,left
