judge,candidate_chosen,candidate_not_chosen,time_taken
J1,256322-256314-22041283,C34.1 word,12.4
J1,256322-256314-21860772,C65.2 word,12.7
J1,C59.1 word,C61.1 word,19.6
J1,C75.1 word,C42.2 word,11.9
J1,256322-256314-21849538,C114.1 word,15
J1,256322-256314-22759029,C69.2 word,33.8
J1,C56.2 word,C15.2 word,7.6
J1,256322-256314-22824807,C117.1 word,12.8
J1,C63.1 word,C19.1 word,15.3
J1,256322-256314-22824745,C75.1 word,31.8
J1,C35.1 word,C91.1 word,5.8
J1,C59.1 word,C25.1 word,6.1
J1,C83.2 word,C112.2 word,6.1
J1,C98.1 word,C65.2 word,11.8
J1,C58.1 word,256322-256314-22780604,11.8
J1,C19.1 word,C107.1 word,18.7
J1,C29.1 word,C81.2 word,10.3
J1,C58.2 word,C119.1 word,12.7
J1,256322-256314-21950198,C81.1 word,13.2
J1,C29.1 word,C44.2 word,4.8
J1,C14.2 word,C2.2 word,21
J1,C47.1 word,C115.1 word,26.6
J1,C109.1 word,C81.2 word,10.3
J1,C108.2 word,C118.2 word,10.6
J1,C86.1 word,C115.2 word,10.9
J1,256322-256314-21787881,C27.1 word,12.1
J1,C114.2 word,C101.2 word,12.6
J1,C37.1 word,C80.2 word,33.4
J1,C64.1 word,256322-256314-22114669,5.2
J1,C82.1 word,C76.2 word,7.6
J1,256322-256314-21855861,C93.1 word,12.7
J1,C86.1 word,C62.1 word,16.4
J1,C75.2 word,C68.1 word,16.8
J1,256322-256314-22795338,C92.1 word,3.5
J1,256322-256314-22094276,C75.1 word,5.4
J1,C109.1 word,256322-256314-22828688,7.7
J1,C104.2 word,C29.1 word,12.7
J1,C116.1 word,256322-256314-21787935,18.9
J1,C76.1 word,C26.2 word,11.3
J1,256322-256314-21849538,C41.2 word,23
J1,C57.1 word,C97.1 word,24.2
J1,256322-256314-21858879,C84.2 word,11.1
J1,C46.2 word,C93.1 word,57.4
J1,C43.1 word,C113.1 word,4.8
J1,256322-256314-22052022,C113.2 word,6.3
J1,C27.1 word,C99.2 word,8
J1,C21.1 word,256322-256314-22780844,8.4
J1,256322-256314-21788135,C47.2 word,13.6
J1,256322-256314-22067929,C60.2 word,19.4
J1,C59.2 word,C28.1 word,29.5
J1,256322-256314-22041283,C59.2 word,9870.9
J1,256322-256314-22828688,256322-256314-21787935,4.9
J1,C74.2 word,C26.1 word,5.2
J1,256322-256314-21847156,256322-256314-22034134,6.6
J1,256322-256314-22034134,256322-256314-21860772,8
J1,C81.1 word,C28.1 word,9.6
J1,256322-256314-21851432,C62.1 word,10.3
J1,C46.2 word,256322-256314-21787881,4
J1,C118.2 word,C83.1 word,8.9
J1,C30.1 word,C82.1 word,10.1
J1,256322-256314-21858879,C63.1 word,10.6
J1,C99.1 word,C45.2 word,23.6
J1,C55.1 word,C47.1 word,6.8
J1,C33.1 word,C25.1 word,7.6
J1,C68.1 word,256322-256314-21847713,7.7
J1,256322-256314-21799725,256322-256314-22052022,11.3
J1,C41.1 word,C101.2 word,26.5
J1,256322-256314-22759029,C115.1 word,7.6
J1,C60.2 word,C56.2 word,7.8
J1,256322-256314-22779100,256322-256314-21853772,8.1
J1,C22.1 word,C26.2 word,8.8
J1,C14.2 word,C89.1 word,12.2
J1,256322-256314-21787935,C76.1 word,13.5
J1,C75.2 word,C119.1 word,5.8
J1,C106.1 word,256322-256314-22759029,6.1
J1,256322-256314-21860772,C57.1 word,7.2
J1,256322-256314-22795338,C104.2 word,9.4
J1,C34.1 word,C113.1 word,10.1
J1,256322-256314-21950198,C41.2 word,12.3
J1,256322-256314-21788344,C112.2 word,14.2
J1,256322-256314-22824807,C50.1 word,4.5
J1,C63.1 word,C97.1 word,6.4
J1,256322-256314-22113907,C75.2 word,11.9
J1,256322-256314-22118172,C31.1 word,16.7
J1,C84.1 word,C112.2 word,20.7
J1,256322-256314-22824794,C28.1 word,4.6
J1,C112.1 word,C107.1 word,4.9
J1,C81.1 word,C25.2 word,5
J1,256322-256314-21788277,256322-256314-22780604,5.3
J1,C75.2 word,C64.2 word,6
J1,C117.1 word,256322-256314-22824759,7.8
J1,C51.2 word,C9.2 word,9.8
J1,256322-256314-21787437,C115.1 word,15.3
J1,C102.2 word,256322-256314-21788390,6.6
J1,C108.2 word,C65.1 word,8.8
J1,256322-256314-22780844,C11.2 word,10.1
J1,256322-256314-22824759,C58.1 word,10.6
J2,256322-256314-21800794,C89.1 word,13.3
J2,C56.1 word,256322-256314-21788277,13.9
