judge,candidate_chosen,candidate_not_chosen,time_taken
N1,C18.1 word,C95.1 word,37.1
N1,256322-256314-22113907,256322-256314-22824759,51.4
N1,C74.2 word,256322-256314-21855861,49.6
N1,256322-256314-22159528,256322-256314-22824807,5.8
N1,C31.1 word,256322-256314-21788390,12.6
N1,C41.2 word,C3.2 word,14.6
N1,256322-256314-22118172,C73.2 word,16.6
N1,C105.2 word,C64.1 word,55.7
N1,C106.1 word,256322-256314-21839336,10.3
N1,C86.1 word,C69.2 word,19.5
N1,C2.2 word,C16.1 word,27.8
N1,256322-256314-22828688,C48.1 word,13.3
N1,C47.2 word,C64.1 word,24.5
N1,C55.1 word,C65.1 word,30.4
N1,C101.2 word,C115.1 word,15
N1,C118.2 word,C57.1 word,15.6
N1,256322-256314-22034228,C46.2 word,19.5
N1,C51.2 word,C22.2 word,14.6
N1,256322-256314-22052022,256322-256314-21853772,35.4
N1,C80.2 word,C58.2 word,13.8
N1,256322-256314-22088225,C75.1 word,43.4
N1,256322-256314-22779100,256322-256314-21851432,31
N1,256322-256314-21800794,C56.1 word,39.8
N1,C109.1 word,256322-256314-22113907,21.3
N1,C38.1 word,256322-256314-22039885,35.8
N1,C61.2 word,256322-256314-22118172,12.2
N1,C37.1 word,C33.1 word,39
N1,C43.1 word,C93.1 word,7
N1,C77.1 word,C26.1 word,13.6
N1,256322-256314-22041283,C98.1 word,18.9
N1,C45.1 word,C74.1 word,34.3
N1,C104.2 word,C47.1 word,17.5
N1,C44.1 word,C68.1 word,40.5
N1,C29.1 word,C91.1 word,7
N1,C102.2 word,C11.2 word,11.2
N1,C46.2 word,C48.1 word,11.3
N1,C25.1 word,256322-256314-21847713,11.7
N1,C114.2 word,C83.1 word,23.1
N1,C42.1 word,256322-256314-22759029,8.7
N1,C3.2 word,C60.2 word,19.8
N1,C55.1 word,C21.1 word,27.2
N1,C58.1 word,C65.2 word,11
N1,256322-256314-22041283,C64.2 word,14.3
N1,256322-256314-21849538,C43.2 word,15.4
N1,C76.1 word,C92.1 word,3.9
N1,C116.1 word,C72.2 word,4.1
N1,C99.1 word,C94.1 word,12.3
N1,C81.1 word,C61.2 word,28.1
