judge,candidate_chosen,candidate_not_chosen
1,B,A
1,C,A
1,D,A
1,E,A
1,F,A
1,G,A
1,H,A
1,C,B
1,D,B
1,E,B
1,F,B
1,G,B
1,H,B
1,D,C
1,E,C
1,C,F
1,C,G
1,C,H
1,E,D
1,D,F
1,G,D
1,H,D
1,E,F
1,E,G
1,E,H
1,F,G
1,H,F
1,H,G
2,B,A
2,C,A
2,D,A
2,A,E
2,F,A
2,G,A
2,A,H
2,B,C
2,D,B
2,B,E
2,B,F
2,B,G
2,B,H
2,C,D
2,C,E
2,C,F
2,C,G
2,C,H
2,D,E
2,D,F
2,D,G
2,D,H
2,F,E
2,G,E
2,E,H
2,F,G
2,F,H
2,G,H
3,B,A
3,C,A
3,D,A
3,E,A
3,F,A
3,G,A
3,A,H
3,B,C
3,B,D
3,B,E
3,B,F
3,B,G
3,B,H
3,C,D
3,C,E
3,C,F
3,C,G
3,C,H
3,D,E
3,D,F
3,D,G
3,D,H
3,F,E
3,E,G
3,E,H
3,F,G
3,F,H
3,G,H
4,A,B
4,C,A
4,D,A
4,E,A
4,F,A
4,G,A
4,H,A
4,C,B
4,D,B
4,E,B
4,F,B
4,G,B
4,H,B
4,D,C
4,C,E
4,C,F
4,G,C
4,H,C
4,E,D
4,D,F
4,G,D
4,H,D
4,E,F
4,E,G
4,H,E
4,G,F
4,H,F
4,H,G
5,B,A
5,C,A
5,D,A
5,A,E
5,F,A
5,A,G
5,H,A
5,B,C
5,B,D
5,B,E
5,B,F
5,B,G
5,B,H
5,C,D
5,C,E
5,C,F
5,C,G
5,C,H
5,D,E
5,D,F
5,D,G
5,D,H
5,E,F
5,E,G
5,E,H
5,F,G
5,F,H
5,G,H
6,B,A
6,C,A
6,D,A
6,E,A
6,F,A
6,G,A
6,H,A
6,C,B
6,D,B
6,E,B
6,F,B
6,G,B
6,H,B
6,C,D
6,C,E
6,C,F
6,C,G
6,C,H
6,D,E
6,F,D
6,D,G
6,D,H
6,F,E
6,E,G
6,E,H
6,F,G
6,F,H
6,H,G
7,A,B
7,A,C
7,D,A
7,E,A
7,A,F
7,A,G
7,H,A
7,C,B
7,D,B
7,E,B
7,F,B
7,B,G
7,H,B
7,D,C
7,C,E
7,F,C
7,C,G
7,H,C
7,E,D
7,D,F
7,D,G
7,H,D
7,F,E
7,G,E
7,H,E
7,G,F
7,H,F
7,H,G
8,B,A
8,C,A
8,D,A
8,E,A
8,F,A
8,G,A
8,H,A
8,C,B
8,D,B
8,E,B
8,F,B
8,G,B
8,H,B
8,C,D
8,C,E
8,C,F
8,C,G
8,C,H
8,D,E
8,F,D
8,G,D
8,H,D
8,F,E
8,G,E
8,H,E
8,G,F
8,F,H
8,G,H
9,B,A
9,C,A
9,D,A
9,E,A
9,F,A
9,G,A
9,H,A
9,C,B
9,D,B
9,E,B
9,F,B
9,G,B
9,H,B
9,D,C
9,C,E
9,C,F
9,C,G
9,C,H
9,D,E
9,D,F
9,G,D
9,H,D
9,E,F
9,G,E
9,H,E
9,G,F
9,H,F
9,H,G
10,B,A
10,C,A
10,D,A
10,E,A
10,F,A
10,G,A
10,H,A
10,C,B
10,D,B
10,E,B
10,F,B
10,G,B
10,H,B
10,D,C
10,C,E
10,C,F
10,C,G
10,H,C
10,D,E
10,F,D
10,G,D
10,H,D
10,F,E
10,G,E
10,H,E
10,F,G
10,H,F
10,H,G
11,B,A
11,C,A
11,D,A
11,E,A
11,F,A
11,G,A
11,H,A
11,C,B
11,D,B
11,E,B
11,F,B
11,G,B
11,H,B
11,D,C
11,E,C
11,C,F
11,C,G
11,H,C
11,D,E
