judge,candidate_chosen,candidate_not_chosen
judge1,A21-13-01,O23-12-02
judge1,E11-06-01,O22-02-02
judge1,W21-10-01,E23-04-01
judge1,A22-08-01,A22-23-01
judge1,O13-03-02,W21-17-02
judge1,W21-09-01,W21-17-01
judge2,E23-12-01,A23-27-01
judge2,E22-09-02,A21-13-02
judge1,A23-16-02,E21-17-02
judge1,A23-16-01,W21-21-01
judge1,O21-09-01,E22-09-01
judge2,O21-09-02,A13-09-01
judge3,W21-10-02,W21-06-02
judge3,O11-16-01,E23-16-02
judge3,W12-17-02,W22-17-01
judge3,A21-18-02,A11-15-02
judge3,A22-22-01,O23-17-02
judge3,W12-17-01,W22-17-02
judge3,A22-22-02,A22-08-02
judge3,O23-13-01,E21-17-01
judge3,E21-15-02,O13-04-02
judge2,W21-21-02,A21-18-01
judge2,E23-16-01,A11-15-01
judge4,O23-12-01,A21-16-02
judge3,O21-09-02,O23-12-01
judge3,W12-17-02,O23-12-01
judge3,A21-18-02,O21-09-01
judge4,A23-27-02,O22-04-01
judge2,O22-04-01,O13-03-01
judge2,W21-21-02,E23-04-02
judge3,E22-03-02,A21-18-01
judge4,E22-03-01,E21-17-01
judge2,O13-04-01,O23-17-01
judge3,A11-15-01,W22-17-02
judge2,A21-13-01,A21-16-02
judge4,A22-08-02,E23-16-01
judge3,W12-17-01,E22-09-01
judge2,E22-13-02,A13-09-02
judge3,W21-21-01,O23-13-02
judge2,W21-06-02,O13-03-02
judge3,O13-03-01,O23-12-02
judge3,O21-09-02,O13-04-02
judge2,O11-16-02,A21-16-01
judge3,E21-15-01,O11-16-01
judge2,W22-17-02,O13-04-02
judge3,W22-10-01,O23-12-01
judge4,W22-10-01,O22-02-01
judge2,O21-09-01,O23-13-01
judge4,E11-06-01,A23-27-02
judge3,A21-16-02,O22-02-01
judge4,E22-03-01,E22-13-02
judge4,E21-15-02,A13-09-02
judge4,A22-08-01,O11-16-02
judge4,A11-15-02,A21-16-01
judge4,O13-03-01,A22-08-02
judge4,A21-13-01,O13-03-02
judge4,E22-03-02,E22-09-01
judge4,A23-16-02,E22-09-02
judge4,A22-22-01,O23-17-01
judge4,W21-06-02,O22-02-02
judge4,E21-15-01,O23-13-02
judge1,E21-17-01,E23-04-02
judge4,E23-16-02,W21-10-01
judge1,E23-16-01,E21-17-02
judge4,E23-12-01,A21-18-02
judge4,W21-10-02,W21-06-01
judge1,O23-12-02,W21-21-02
judge4,O22-04-01,O22-19-01
judge4,W12-17-01,O11-16-01
judge4,A11-15-01,W22-17-01
judge1,W12-17-02,A21-18-01
judge4,O13-04-01,O23-17-02
judge1,E22-09-02,O23-17-01
judge4,A22-08-01,E23-12-01
judge4,W21-10-02,A13-09-01
judge4,W21-06-02,E21-15-02
judge1,A23-16-02,W21-17-01
judge1,A22-23-01,O23-17-02
judge1,O13-04-01,E21-17-01
judge1,W22-17-01,O23-12-01
judge1,W12-17-01,O13-04-02
