judge,candidate_chosen,candidate_not_chosen,TimeTaken,Internal,DateCreated
zvnzvelnzver,381_alltaskscropped,1783_alltaskscropped,0,undefined,16/02/201716:51:00
zvnzvelnzver,1552_alltaskscropped,1916_alltaskscropped,4,undefined,16/02/201716:55:00
zvnzvelnzver,261_alltaskscropped,1860_alltaskscropped,99,undefined,16/02/201716:50:00
zvnzvelnzver,523_alltaskscropped,1997_alltaskscropped,14,undefined,16/02/201716:55:00
zvnzvelnzver,381_alltaskscropped,1783_alltaskscropped,213,undefined,16/02/201716:51:00
zvnzvelnzver,44_alltaskscropped,637_alltaskscropped,228,undefined,16/02/201716:50:00
zvnzvelnzver,922_alltaskscropped,1797_alltaskscropped,415,undefined,16/02/201716:50:00
zvnzvelnzver,2012_alltaskscropped,1802_alltaskscropped,808,undefined,16/02/201716:55:00
zvnzvelnzver,1854_alltaskscropped,987_alltaskscropped,1035,undefined,16/02/201716:49:00
zvnzvelnzver,537_alltaskscropped,34_alltaskscropped,1304,undefined,16/02/201716:54:00
zjnzjlcnzjla,1282_alltaskscropped,432_alltaskscropped,6,TRUE,10/03/201712:22:00
zjnzjlcnzjla,1939_alltaskscropped,614_alltaskscropped,12,undefined,15/02/201714:25:00
zjnzjlcnzjla,585_alltaskscropped,837_alltaskscropped,33,TRUE,10/03/201713:55:00
zjnzjlcnzjla,784_alltaskscropped,222_alltaskscropped,33,TRUE,10/03/201714:05:00
zjnzjlcnzjla,1425_alltaskscropped,1619_alltaskscropped,37,TRUE,10/03/201714:18:00
zjnzjlcnzjla,1147_alltaskscropped,1205_alltaskscropped,38,TRUE,10/03/201712:12:00
zjnzjlcnzjla,1744_alltaskscropped,605_alltaskscropped,38,TRUE,10/03/201714:06:00
zjnzjlcnzjla,1421_alltaskscropped,1606_alltaskscropped,39,TRUE,10/03/201713:47:00
zjnzjlcnzjla,96_alltaskscropped,1158_alltaskscropped,4,TRUE,10/03/201713:58:00
zjnzjlcnzjla,1484_alltaskscropped,770_alltaskscropped,41,TRUE,28/02/201713:44:00
zjnzjlcnzjla,108_alltaskscropped,914_alltaskscropped,41,TRUE,10/03/201713:09:00
