judge,candidate_chosen,candidate_not_chosen
1,a,b
1,c,a
1,a,d
1,e,a
1,f,a
1,a,g
1,h,a
1,c,b
1,d,b
1,e,b
1,f,b
1,g,b
1,h,b
1,c,d
1,c,e
1,c,f
1,c,g
1,h,c
1,d,e
1,f,d
1,d,g
1,h,d
1,f,e
1,e,g
1,h,e
1,f,g
1,h,f
1,h,g
2,a,b
2,a,c
2,a,d
2,e,a
2,f,a
2,a,g
2,a,h
2,b,c
2,b,d
2,e,b
2,f,b
2,g,b
2,h,b
2,c,d
2,e,c
2,f,c
2,c,g
2,c,h
2,e,d
2,f,d
2,d,g
2,h,d
2,e,f
2,e,g
2,e,h
2,f,g
2,f,h
2,h,g
3,b,a
3,c,a
3,a,d
3,e,a
3,a,f
3,a,g
3,a,h
3,b,c
3,b,d
3,e,b
3,b,f
3,b,g
3,b,h
3,c,d
3,e,c
3,c,f
3,c,g
3,c,h
3,e,d
3,d,f
3,d,g
3,d,h
3,e,f
3,e,g
3,e,h
3,f,g
3,h,f
3,h,g
4,a,b
4,c,a
4,a,d
4,e,a
4,a,f
4,g,a
4,a,h
4,b,c
4,b,d
4,e,b
4,b,f
4,b,g
4,h,b
4,c,d
4,e,c
4,c,f
4,g,c
4,h,c
4,d,e
4,d,f
4,g,d
4,d,h
4,f,e
4,e,g
4,h,e
4,f,g
4,h,f
4,g,h
5,a,b
5,c,a
5,a,d
5,e,a
5,a,f
5,a,g
5,h,a
5,c,b
5,d,b
5,e,b
5,f,b
5,g,b
5,h,b
5,c,d
5,e,c
5,f,c
5,g,c
5,c,h
5,e,d
5,d,f
5,g,d
5,d,h
5,e,f
5,e,g
5,e,h
5,f,g
5,f,h
5,h,g
6,a,b
6,a,c
6,a,d
6,a,e
6,a,f
6,g,a
6,h,a
6,b,c
6,b,d
6,b,e
6,f,b
6,b,g
6,b,h
6,c,d
6,e,c
6,c,f
6,g,c
6,c,h
6,d,e
6,f,d
6,g,d
6,d,h
6,e,f
6,e,g
6,h,e
6,f,g
6,h,f
6,g,h
7,b,a
7,a,c
7,a,d
7,a,e
7,a,f
7,a,g
7,a,h
7,b,c
7,b,d
7,b,e
7,b,f
7,b,g
7,b,h
7,d,c
7,e,c
7,f,c
7,c,g
7,c,h
7,d,e
7,f,d
7,d,g
7,d,h
7,f,e
7,e,g
7,e,h
7,f,g
7,f,h
7,h,g
8,a,b
8,a,c
8,a,d
8,a,e
8,a,f
8,a,g
8,a,h
8,c,b
8,b,d
8,e,b
8,f,b
8,b,g
8,b,h
8,c,d
8,e,c
8,f,c
8,c,g
8,c,h
8,e,d
8,f,d
8,g,d
8,h,d
8,e,f
8,e,g
8,h,e
8,g,f
8,f,h
8,h,g
9,b,a
9,c,a
9,d,a
9,e,a
9,f,a
9,g,a
9,h,a
9,c,b
9,d,b
9,e,b
9,f,b
9,g,b
9,h,b
9,c,d
9,c,e
9,c,f
9,c,g
9,c,h
9,d,e
9,f,d
9,g,d
9,h,d
9,f,e
9,g,e
9,h,e
9,g,f
9,h,f
9,h,g
10,a,b
10,c,a
10,d,a
10,e,a
10,f,a
10,a,g
10,h,a
10,c,b
10,d,b
10,e,b
10,f,b
10,g,b
10,h,b
10,d,c
10,c,e
10,c,f
10,g,c
10,h,c
10,d,e
10,d,f
10,g,d
10,h,d
10,f,e
10,e,g
10,h,e
10,g,f
10,h,f
10,h,g
11,b,a
11,a,c
11,a,d
11,e,a
11,a,f
11,g,a
11,a,h
11,b,c
11,b,d
11,e,b
11,b,f
11,g,b
11,b,h
11,d,c
11,e,c
11,f,c
11,g,c
11,c,h
11,e,d
11,d,f
11,g,d
11,d,h
11,f,e
11,g,e
11,e,h
11,f,g
11,f,h
11,h,g
12,a,b
12,c,a
12,a,d
12,e,a
12,a,f
12,g,a
12,h,a
12,c,b
12,d,b
12,e,b
12,f,b
12,g,b
12,h,b
12,c,d
12,c,e
12,c,f
12,c,g
12,c,h
12,d,e
12,d,f
12,g,d
12,h,d
12,f,e
12,g,e
12,h,e
12,g,f
12,h,f
12,h,g
13,b,a
13,c,a
13,d,a
13,a,e
13,a,f
13,g,a
13,h,a
13,c,b
13,b,d
13,b,e
13,b,f
13,g,b
13,h,b
13,c,d
13,c,e
13,c,f
13,c,g
13,c,h
13,e,d
13,d,f
13,d,g
13,d,h
13,f,e
13,g,e
13,h,e
13,f,g
13,f,h
13,g,h
14,b,a
14,a,c
14,d,a
14,a,e
14,f,a
14,g,a
14,h,a
14,b,c
14,b,d
14,b,e
14,f,b
14,g,b
14,h,b
14,d,c
14,e,c
14,f,c
14,g,c
14,h,c
14,d,e
14,f,d
14,g,d
14,h,d
14,f,e
14,g,e
14,h,e
14,g,f
14,h,f
14,g,h
15,b,a
15,c,a
15,a,d
15,a,e
15,a,f
15,g,a
15,a,h
15,c,b
15,b,d
15,b,e
15,b,f
15,g,b
15,b,h
15,c,d
15,c,e
15,c,f
15,c,g
15,c,h
15,d,e
15,d,f
15,g,d
15,d,h
15,f,e
15,g,e
15,e,h
15,g,f
15,f,h
15,g,h
16,b,a
16,c,a
16,a,d
16,e,a
16,f,a
16,g,a
16,h,a
16,c,b
16,d,b
16,e,b
16,f,b
16,g,b
16,h,b
16,c,d
16,c,e
16,c,f
16,g,c
16,h,c
16,e,d
16,f,d
16,g,d
16,h,d
16,f,e
16,g,e
16,h,e
16,g,f
16,h,f
16,h,g
17,b,a
17,a,c
17,a,d
17,a,e
17,a,f
17,a,g
17,h,a
17,b,c
17,b,d
17,b,e
17,b,f
17,b,g
17,h,b
17,d,c
17,e,c
17,f,c
17,g,c
17,h,c
17,e,d
17,d,f
17,g,d
17,h,d
17,e,f
17,g,e
17,h,e
17,f,g
17,h,f
17,h,g
18,a,b
18,a,c
18,d,a
18,a,e
18,a,f
18,a,g
18,h,a
18,b,c
18,d,b
18,e,b
18,f,b
18,b,g
18,b,h
18,d,c
18,e,c
18,f,c
18,g,c
18,h,c
18,d,e
18,f,d
18,d,g
18,d,h
18,f,e
18,e,g
18,e,h
18,f,g
18,f,h
18,h,g
19,a,b
19,a,c
19,a,d
19,e,a
19,a,f
19,a,g
19,a,h
19,c,b
19,d,b
19,e,b
19,b,f
19,b,g
19,b,h
19,d,c
19,e,c
19,c,f
19,c,g
19,c,h
19,e,d
19,d,f
19,d,g
19,d,h
19,e,f
19,e,g
19,e,h
19,f,g
19,f,h
19,h,g
20,a,b
20,c,a
20,a,d
20,a,e
20,a,f
20,a,g
20,h,a
20,b,c
20,b,d
20,b,e
20,b,f
20,b,g
20,h,b
20,c,d
20,c,e
20,c,f
20,c,g
20,h,c
20,e,d
20,d,f
20,d,g
20,h,d
20,e,f
20,e,g
20,h,e
20,f,g
20,h,f
20,h,g
21,a,b
21,c,a
21,d,a
21,e,a
21,a,f
21,g,a
21,a,h
21,c,b
21,d,b
21,e,b
21,b,f
21,g,b
21,h,b
21,c,d
21,c,e
21,c,f
21,g,c
21,c,h
21,e,d
21,f,d
21,g,d
21,h,d
21,e,f
21,g,e
21,e,h
21,g,f
21,f,h
21,g,h
22,a,b
22,a,c
22,d,a
22,e,a
22,a,f
22,a,g
22,a,h
22,b,c
22,d,b
22,e,b
22,b,f
22,b,g
22,b,h
22,d,c
22,e,c
22,c,f
22,c,g
22,c,h
22,e,d
22,d,f
22,d,g
22,d,h
22,f,e
22,e,g
22,e,h
22,f,g
22,f,h
22,g,h
23,b,a
23,c,a
23,d,a
23,e,a
23,f,a
23,a,g
23,a,h
23,c,b
23,d,b
23,e,b
23,f,b
23,b,g
23,b,h
23,d,c
23,e,c
23,c,f
23,g,c
23,c,h
23,e,d
23,d,f
23,d,g
23,h,d
23,e,f
23,e,g
23,h,e
23,f,g
23,f,h
23,h,g
24,a,b
24,c,a
24,d,a
24,e,a
24,f,a
24,g,a
24,a,h
24,c,b
24,d,b
24,e,b
24,b,f
24,g,b
24,h,b
24,d,c
24,c,e
24,f,c
24,g,c
24,c,h
24,d,e
24,d,f
24,g,d
24,d,h
24,e,f
24,g,e
24,e,h
24,g,f
24,h,f
24,h,g
25,a,b
25,c,a
25,d,a
25,e,a
25,f,a
25,g,a
25,h,a
25,c,b
25,b,d
25,b,e
25,f,b
25,b,g
25,h,b
25,c,d
25,c,e
25,f,c
25,c,g
25,h,c
25,e,d
25,f,d
25,g,d
25,h,d
25,f,e
25,e,g
25,e,h
25,f,g
25,f,h
25,h,g
26,a,b
26,c,a
26,d,a
26,e,a
26,f,a
26,g,a
26,h,a
26,c,b
26,d,b
26,e,b
26,f,b
26,g,b
26,h,b
26,d,c
26,e,c
26,c,f
26,c,g
26,c,h
26,e,d
26,d,f
26,g,d
26,d,h
26,e,f
26,e,g
26,h,e
26,f,g
26,h,f
26,h,g
27,a,b
27,a,c
27,a,d
27,e,a
27,f,a
27,a,g
27,a,h
27,c,b
27,d,b
27,e,b
27,f,b
27,b,g
27,b,h
27,d,c
27,c,e
27,f,c
27,c,g
27,c,h
27,d,e
27,f,d
27,d,g
27,d,h
27,f,e
27,e,g
27,e,h
27,f,g
27,f,h
27,g,h
28,b,a
28,c,a
28,a,d
28,e,a
28,f,a
28,a,g
28,h,a
28,b,c
28,b,d
28,e,b
28,b,f
28,g,b
28,h,b
28,c,d
28,c,e
28,c,f
28,g,c
28,h,c
28,e,d
28,f,d
28,g,d
28,h,d
28,e,f
28,g,e
28,h,e
28,g,f
28,h,f
28,h,g
29,a,b
29,c,a
29,a,d
29,e,a
29,f,a
29,g,a
29,h,a
29,c,b
29,d,b
29,e,b
29,f,b
29,g,b
29,h,b
29,c,d
29,c,e
29,c,f
29,g,c
29,h,c
29,e,d
29,f,d
29,g,d
29,h,d
29,e,f
29,g,e
29,h,e
29,g,f
29,h,f
29,h,g
30,a,b
30,a,c
30,d,a
30,e,a
30,a,f
30,g,a
30,a,h
30,b,c
30,b,d
30,e,b
30,f,b
30,g,b
30,b,h
30,d,c
30,e,c
30,f,c
30,g,c
30,c,h
30,e,d
30,d,f
30,g,d
30,d,h
30,e,f
30,e,g
30,e,h
30,f,g
30,f,h
30,g,h
31,a,b
31,a,c
31,a,d
31,e,a
31,a,f
31,a,g
31,h,a
31,c,b
31,b,d
31,e,b
31,b,f
31,b,g
31,b,h
31,c,d
31,e,c
31,c,f
31,c,g
31,h,c
31,e,d
31,d,f
31,g,d
31,h,d
31,e,f
31,e,g
31,e,h
31,g,f
31,h,f
31,h,g
32,a,b
32,c,a
32,a,d
32,a,e
32,a,f
32,a,g
32,a,h
32,c,b
32,d,b
32,e,b
32,f,b
32,b,g
32,b,h
32,c,d
32,c,e
32,c,f
32,c,g
32,c,h
32,d,e
32,f,d
32,d,g
32,d,h
32,f,e
32,e,g
32,e,h
32,f,g
32,f,h
32,g,h
33,a,b
33,c,a
33,a,d
33,e,a
33,a,f
33,g,a
33,h,a
33,c,b
33,d,b
33,e,b
33,f,b
33,g,b
33,h,b
33,c,d
33,c,e
33,c,f
33,c,g
33,c,h
33,e,d
33,f,d
33,g,d
33,h,d
33,e,f
33,e,g
33,e,h
33,g,f
33,h,f
33,h,g
34,b,a
34,a,c
34,a,d
34,e,a
34,a,f
34,a,g
34,a,h
34,b,c
34,b,d
34,e,b
34,b,f
34,b,g
34,b,h
34,c,d
34,e,c
34,c,f
34,c,g
34,c,h
34,e,d
34,d,f
34,d,g
34,d,h
34,e,f
34,e,g
34,e,h
34,f,g
34,f,h
34,g,h
35,a,b
35,c,a
35,a,d
35,e,a
35,a,f
35,a,g
35,h,a
35,c,b
35,b,d
35,e,b
35,b,f
35,b,g
35,h,b
35,c,d
35,c,e
35,c,f
35,c,g
35,h,c
35,e,d
35,d,f
35,d,g
35,h,d
35,e,f
35,e,g
35,h,e
35,f,g
35,h,f
35,h,g
36,a,b
36,a,c
36,d,a
36,e,a
36,a,f
36,a,g
36,a,h
36,b,c
36,d,b
36,e,b
36,b,f
36,b,g
36,b,h
36,d,c
36,e,c
36,f,c
36,c,g
36,h,c
36,e,d
36,d,f
36,d,g
36,d,h
36,e,f
36,e,g
36,e,h
36,f,g
36,f,h
36,h,g
37,b,a
37,a,c
37,d,a
37,a,e
37,a,f
37,g,a
37,a,h
37,b,c
37,b,d
37,b,e
37,b,f
37,g,b
37,b,h
37,d,c
37,c,e
37,c,f
37,g,c
37,c,h
37,d,e
37,d,f
37,g,d
37,d,h
37,f,e
37,g,e
37,e,h
37,g,f
37,f,h
37,g,h
38,b,a
38,a,c
38,a,d
38,a,e
38,a,f
38,a,g
38,a,h
38,b,c
38,b,d
38,b,e
38,b,f
38,b,g
38,b,h
38,d,c
38,e,c
38,c,f
38,c,g
38,c,h
38,d,e
38,d,f
38,d,g
38,d,h
38,e,f
38,e,g
38,e,h
38,f,g
38,f,h
38,g,h
39,b,a
39,c,a
39,a,d
39,e,a
39,f,a
39,a,g
39,h,a
39,b,c
39,b,d
39,e,b
39,f,b
39,b,g
39,b,h
39,c,d
39,e,c
39,f,c
39,c,g
39,c,h
39,e,d
39,f,d
39,g,d
39,h,d
39,e,f
39,e,g
39,e,h
39,f,g
39,f,h
39,h,g
40,b,a
40,c,a
40,d,a
40,e,a
40,a,f
40,g,a
40,a,h
40,c,b
40,d,b
40,e,b
40,b,f
40,g,b
40,b,h
40,c,d
40,c,e
40,c,f
40,c,g
40,c,h
40,d,e
40,f,d
40,d,g
40,h,d
40,e,f
40,e,g
40,h,e
40,f,g
40,h,f
40,g,h
41,b,a
41,c,a
41,a,d
41,a,e
41,f,a
41,g,a
41,h,a
41,c,b
41,b,d
41,b,e
41,b,f
41,g,b
41,h,b
41,c,d
41,c,e
41,c,f
41,g,c
41,h,c
41,d,e
41,f,d
41,g,d
41,h,d
41,f,e
41,g,e
41,h,e
41,g,f
41,h,f
41,h,g
42,a,b
42,a,c
42,a,d
42,e,a
42,f,a
42,a,g
42,a,h
42,c,b
42,b,d
42,e,b
42,f,b
42,b,g
42,b,h
42,c,d
42,e,c
42,c,f
42,c,g
42,c,h
42,e,d
42,f,d
42,d,g
42,d,h
42,f,e
42,e,g
42,e,h
42,f,g
42,f,h
42,h,g
43,b,a
43,c,a
43,a,d
43,e,a
43,f,a
43,g,a
43,a,h
43,c,b
43,b,d
43,e,b
43,f,b
43,b,g
43,b,h
43,d,c
43,c,e
43,f,c
43,c,g
43,c,h
43,e,d
43,f,d
43,d,g
43,d,h
43,f,e
43,e,g
43,e,h
43,f,g
43,f,h
43,g,h
44,b,a
44,c,a
44,a,d
44,a,e
44,f,a
44,a,g
44,a,h
44,c,b
44,b,d
44,b,e
44,b,f
44,b,g
44,b,h
44,c,d
44,c,e
44,c,f
44,c,g
44,c,h
44,d,e
44,f,d
44,d,g
44,d,h
44,f,e
44,e,g
44,e,h
44,f,g
44,f,h
44,h,g
45,a,b
45,c,a
45,d,a
45,e,a
45,f,a
45,g,a
45,h,a
45,c,b
45,d,b
45,e,b
45,f,b
45,g,b
45,h,b
45,c,d
45,c,e
45,c,f
45,c,g
45,c,h
45,e,d
45,f,d
45,g,d
45,h,d
45,e,f
45,g,e
45,h,e
45,f,g
45,f,h
45,g,h
46,b,a
46,c,a
46,a,d
46,a,e
46,a,f
46,a,g
46,a,h
46,c,b
46,b,d
46,b,e
46,b,f
46,b,g
46,b,h
46,c,d
46,c,e
46,c,f
46,c,g
46,c,h
46,d,e
46,d,f
46,g,d
46,d,h
46,f,e
46,g,e
46,e,h
46,g,f
46,f,h
46,g,h
47,b,a
47,a,c
47,a,d
47,a,e
47,a,f
47,a,g
47,a,h
47,b,c
47,b,d
47,b,e
47,b,f
47,b,g
47,b,h
47,d,c
47,e,c
47,f,c
47,c,g
47,c,h
47,e,d
47,d,f
47,d,g
47,d,h
47,e,f
47,e,g
47,e,h
47,f,g
47,f,h
47,h,g
48,b,a
48,c,a
48,d,a
48,e,a
48,a,f
48,a,g
48,h,a
48,b,c
48,b,d
48,e,b
48,f,b
48,b,g
48,h,b
48,d,c
48,e,c
48,c,f
48,c,g
48,h,c
48,e,d
48,f,d
48,d,g
48,h,d
48,e,f
48,e,g
48,e,h
48,f,g
48,h,f
48,h,g
49,b,a
49,a,c
49,a,d
49,e,a
49,f,a
49,g,a
49,a,h
49,b,c
49,b,d
49,e,b
49,b,f
49,g,b
49,b,h
49,d,c
49,e,c
49,f,c
49,g,c
49,c,h
49,e,d
49,f,d
49,g,d
49,d,h
49,f,e
49,e,g
49,e,h
49,f,g
49,f,h
49,g,h
50,b,a
50,c,a
50,a,d
50,e,a
50,f,a
50,g,a
50,h,a
50,c,b
50,b,d
50,e,b
50,b,f
50,b,g
50,b,h
50,c,d
50,e,c
50,c,f
50,g,c
50,c,h
50,e,d
50,d,f
50,g,d
50,h,d
50,e,f
50,g,e
50,h,e
50,g,f
50,h,f
50,h,g
51,a,b
51,a,c
51,a,d
51,e,a
51,a,f
51,a,g
51,a,h
51,c,b
51,b,d
51,e,b
51,b,f
51,g,b
51,b,h
51,c,d
51,e,c
51,c,f
51,g,c
51,c,h
51,e,d
51,d,f
51,g,d
51,h,d
51,e,f
51,e,g
51,e,h
51,f,g
51,f,h
51,g,h
52,a,b
52,c,a
52,a,d
52,e,a
52,a,f
52,a,g
52,h,a
52,c,b
52,b,d
52,e,b
52,b,f
52,b,g
52,h,b
52,c,d
52,c,e
52,c,f
52,c,g
52,h,c
52,e,d
52,f,d
52,g,d
52,h,d
52,e,f
52,g,e
52,h,e
52,g,f
52,h,f
52,h,g
53,a,b
53,c,a
53,d,a
53,a,e
53,f,a
53,a,g
53,a,h
53,b,c
53,b,d
53,b,e
53,f,b
53,b,g
53,h,b
53,d,c
53,e,c
53,f,c
53,g,c
53,c,h
53,e,d
53,f,d
53,d,g
53,h,d
53,f,e
53,e,g
53,h,e
53,f,g
53,f,h
53,h,g
54,b,a
54,c,a
54,d,a
54,a,e
54,f,a
54,g,a
54,h,a
54,c,b
54,b,d
54,e,b
54,f,b
54,g,b
54,h,b
54,d,c
54,c,e
54,c,f
54,c,g
54,c,h
54,e,d
54,f,d
54,g,d
54,d,h
54,e,f
54,e,g
54,e,h
54,g,f
54,h,f
54,h,g
55,b,a
55,c,a
55,d,a
55,e,a
55,a,f
55,a,g
55,a,h
55,c,b
55,b,d
55,e,b
55,b,f
55,b,g
55,b,h
55,c,d
55,c,e
55,c,f
55,c,g
55,c,h
55,e,d
55,d,f
55,g,d
55,h,d
55,e,f
55,e,g
55,e,h
55,f,g
55,h,f
55,h,g
56,b,a
56,a,c
56,d,a
56,e,a
56,a,f
56,a,g
56,a,h
56,b,c
56,d,b
56,e,b
56,b,f
56,b,g
56,b,h
56,d,c
56,e,c
56,f,c
56,g,c
56,h,c
56,e,d
56,d,f
56,g,d
56,d,h
56,e,f
56,e,g
56,e,h
56,g,f
56,f,h
56,g,h
57,a,b
57,c,a
57,a,d
57,a,e
57,a,f
57,g,a
57,h,a
57,c,b
57,b,d
57,b,e
57,b,f
57,g,b
57,h,b
57,c,d
57,c,e
57,c,f
57,g,c
57,h,c
57,d,e
57,f,d
57,g,d
57,h,d
57,f,e
57,g,e
57,h,e
57,g,f
57,h,f
57,h,g
58,a,b
58,c,a
58,a,d
58,a,e
58,f,a
58,g,a
58,h,a
58,c,b
58,b,d
58,b,e
58,f,b
58,g,b
58,h,b
58,c,d
58,c,e
58,c,f
58,c,g
58,h,c
58,e,d
58,f,d
58,g,d
58,h,d
58,f,e
58,e,g
58,h,e
58,f,g
58,h,f
58,h,g
59,b,a
59,a,c
59,a,d
59,e,a
59,f,a
59,g,a
59,h,a
59,b,c
59,b,d
59,e,b
59,f,b
59,g,b
59,h,b
59,c,d
59,e,c
59,c,f
59,g,c
59,h,c
59,e,d
59,f,d
59,g,d
59,h,d
59,e,f
59,e,g
59,e,h
59,f,g
59,f,h
59,g,h
60,a,b
60,a,c
60,a,d
60,a,e
60,a,f
60,a,g
60,a,h
60,b,c
60,b,d
60,e,b
60,b,f
60,b,g
60,h,b
60,d,c
60,e,c
60,c,f
60,c,g
60,c,h
60,d,e
60,d,f
60,d,g
60,d,h
60,f,e
60,e,g
60,e,h
60,f,g
60,f,h
60,g,h
61,a,b
