judge,candidate_chosen,candidate_not_chosen,group
507,2,28,expert2
507,2,35,expert2
705,2,43,expert2
509,2,144,expert2
505,2,148,expert2
703,2,201,expert2
503,2,206,expert2
707,3,2,expert2
507,3,8,expert2
705,3,26,expert2
507,3,56,expert2
707,3,92,expert2
714,3,102,expert2
509,3,108,expert2
505,3,119,expert2
507,4,23,expert2
505,4,27,expert2
503,4,64,expert2
701,4,65,expert2
507,4,96,expert2
507,4,115,expert2
507,4,115,expert2
706,4,123,expert2
703,4,142,expert2
503,4,192,expert2
507,4,195,expert2
701,4,200,expert2
507,6,69,expert2
507,6,111,expert2
706,6,147,expert2
706,6,198,expert2
705,6,212,expert2
507,6,215,expert2
706,7,20,expert2
503,7,92,expert2
505,7,144,expert2
503,7,157,expert2
505,7,157,expert2
706,7,187,expert2
715,7,189,expert2
707,7,193,expert2
505,7,208,expert2
714,7,217,expert2
507,8,3,expert2
509,8,3,expert2
505,8,33,expert2
509,8,36,expert2
507,8,43,expert2
509,8,49,expert2
715,8,69,expert2
701,8,95,expert2
705,8,97,expert2
507,8,122,expert2
509,8,167,expert2
715,8,190,expert2
705,8,211,expert2
706,8,215,expert2
706,20,29,expert2
507,20,94,expert2
707,20,213,expert2
507,21,40,expert2
507,21,94,expert2
509,21,114,expert2
503,21,116,expert2
507,21,141,expert2
507,21,167,expert2
509,21,167,expert2
503,21,218,expert2
715,22,45,expert2
703,22,48,expert2
507,22,75,expert2
509,22,75,expert2
706,22,77,expert2
507,22,87,expert2
701,22,104,expert2
703,22,125,expert2
509,22,146,expert2
701,23,30,expert2
503,23,38,expert2
705,23,88,expert2
705,23,91,expert2
503,23,102,expert2
503,23,102,expert2
707,23,141,expert2
507,23,142,expert2
706,24,22,expert2
503,24,27,expert2
507,24,27,expert2
507,24,55,expert2
509,24,69,expert2
714,24,72,expert2
703,24,87,expert2
503,24,130,expert2
706,24,169,expert2
509,24,224,expert2
505,25,23,expert2
701,25,29,expert2
503,25,37,expert2
703,25,38,expert2
507,25,104,expert2
707,25,119,expert2
707,25,121,expert2
507,25,131,expert2
509,25,175,expert2
703,25,205,expert2
505,25,209,expert2
701,25,223,expert2
714,26,52,expert2
507,26,144,expert2
505,26,198,expert2
706,26,198,expert2
714,26,198,expert2
707,27,26,expert2
707,27,28,expert2
509,27,47,expert2
509,27,57,expert2
507,27,93,expert2
503,27,212,expert2
507,28,30,expert2
707,28,31,expert2
505,28,164,expert2
507,28,199,expert2
715,28,201,expert2
507,28,210,expert2
503,29,20,expert2
507,29,20,expert2
714,29,20,expert2
714,29,57,expert2
503,29,94,expert2
503,29,163,expert2
505,29,163,expert2
509,29,163,expert2
706,29,179,expert2
706,30,94,expert2
707,30,164,expert2
715,30,179,expert2
707,30,199,expert2
706,30,213,expert2
505,31,91,expert2
505,31,92,expert2
503,31,99,expert2
509,31,144,expert2
706,31,184,expert2
714,31,194,expert2
715,31,206,expert2
509,31,208,expert2
707,32,31,expert2
705,32,35,expert2
503,32,90,expert2
505,32,203,expert2
507,33,36,expert2
509,33,43,expert2
509,33,49,expert2
707,33,109,expert2
707,33,123,expert2
701,33,132,expert2
505,33,143,expert2
503,33,155,expert2
503,33,167,expert2
505,33,182,expert2
705,33,191,expert2
703,33,212,expert2
507,33,229,expert2
505,34,29,expert2
509,34,38,expert2
503,34,46,expert2
703,34,89,expert2
701,34,93,expert2
507,34,94,expert2
505,34,113,expert2
505,34,113,expert2
507,34,193,expert2
507,34,205,expert2
509,35,7,expert2
505,35,88,expert2
703,35,122,expert2
707,35,220,expert2
715,36,29,expert2
503,36,39,expert2
503,36,49,expert2
714,36,159,expert2
701,37,35,expert2
503,37,78,expert2
507,37,120,expert2
503,37,140,expert2
503,37,145,expert2
507,37,205,expert2
705,38,28,expert2
701,38,29,expert2
715,38,128,expert2
707,38,134,expert2
507,39,21,expert2
509,39,56,expert2
705,39,104,expert2
507,39,109,expert2
701,39,136,expert2
507,39,151,expert2
509,39,171,expert2
503,39,229,expert2
507,40,43,expert2
503,40,49,expert2
706,40,103,expert2
503,40,143,expert2
701,40,145,expert2
503,40,229,expert2
701,41,33,expert2
505,41,44,expert2
509,41,44,expert2
703,41,136,expert2
703,41,214,expert2
503,43,48,expert2
503,43,49,expert2
705,43,132,expert2
701,43,171,expert2
503,43,181,expert2
503,43,181,expert2
715,44,53,expert2
507,44,132,expert2
509,44,199,expert2
507,44,200,expert2
703,45,48,expert2
507,45,64,expert2
509,45,122,expert2
503,45,126,expert2
703,45,169,expert2
503,45,171,expert2
503,45,176,expert2
503,45,192,expert2
509,45,195,expert2
503,46,123,expert2
507,46,123,expert2
509,46,123,expert2
701,46,126,expert2
706,46,176,expert2
505,46,199,expert2
507,46,218,expert2
505,47,26,expert2
509,47,26,expert2
505,47,53,expert2
507,47,136,expert2
505,47,206,expert2
507,47,212,expert2
705,47,218,expert2
705,47,219,expert2
507,47,220,expert2
503,48,34,expert2
503,48,40,expert2
503,48,142,expert2
507,48,144,expert2
706,48,192,expert2
509,48,227,expert2
509,49,32,expert2
701,49,53,expert2
505,49,70,expert2
707,49,70,expert2
701,49,89,expert2
707,49,130,expert2
505,49,143,expert2
505,49,181,expert2
507,49,187,expert2
503,49,218,expert2
509,50,41,expert2
706,50,44,expert2
505,50,99,expert2
507,50,110,expert2
703,50,142,expert2
706,50,175,expert2
701,50,191,expert2
507,50,194,expert2
505,50,198,expert2
507,50,198,expert2
505,50,211,expert2
509,50,216,expert2
507,52,26,expert2
705,52,111,expert2
707,52,128,expert2
503,52,136,expert2
705,52,205,expert2
714,53,3,expert2
507,53,190,expert2
714,53,219,expert2
715,53,219,expert2
505,55,20,expert2
507,55,35,expert2
715,55,69,expert2
509,55,89,expert2
701,55,153,expert2
509,55,201,expert2
715,55,215,expert2
509,55,220,expert2
503,56,3,expert2
706,56,8,expert2
503,56,32,expert2
503,56,64,expert2
706,56,69,expert2
503,56,125,expert2
703,56,205,expert2
701,56,209,expert2
703,56,229,expert2
715,57,20,expert2
706,57,94,expert2
714,57,193,expert2
715,57,193,expert2
505,57,210,expert2
714,58,43,expert2
715,58,52,expert2
503,58,105,expert2
507,58,119,expert2
707,58,120,expert2
507,58,142,expert2
503,58,205,expert2
701,58,217,expert2
707,58,220,expert2
507,63,26,expert2
505,63,36,expert2
509,63,36,expert2
507,63,56,expert2
705,63,163,expert2
509,63,167,expert2
507,63,195,expert2
707,63,198,expert2
707,63,206,expert2
701,63,220,expert2
509,64,21,expert2
503,64,36,expert2
707,64,43,expert2
701,64,71,expert2
715,64,92,expert2
505,64,116,expert2
507,64,122,expert2
509,64,141,expert2
505,64,190,expert2
715,64,219,expert2
505,65,53,expert2
707,65,147,expert2
505,65,201,expert2
507,65,221,expert2
509,65,221,expert2
509,65,221,expert2
507,69,24,expert2
503,69,52,expert2
507,69,52,expert2
509,69,52,expert2
507,69,146,expert2
507,69,228,expert2
503,70,31,expert2
507,70,57,expert2
503,70,112,expert2
507,70,227,expert2
701,70,229,expert2
706,71,26,expert2
507,71,52,expert2
507,71,63,expert2
714,71,88,expert2
505,71,120,expert2
509,71,130,expert2
705,71,132,expert2
503,71,135,expert2
703,71,207,expert2
714,71,212,expert2
507,71,219,expert2
715,72,24,expert2
507,72,40,expert2
507,72,43,expert2
701,72,45,expert2
509,72,49,expert2
507,72,86,expert2
715,72,86,expert2
507,72,95,expert2
509,72,116,expert2
509,72,135,expert2
509,72,135,expert2
714,72,136,expert2
706,72,152,expert2
503,72,170,expert2
505,72,229,expert2
703,73,4,expert2
505,73,70,expert2
507,73,71,expert2
503,73,74,expert2
505,73,77,expert2
706,73,97,expert2
509,73,103,expert2
503,73,130,expert2
706,73,151,expert2
714,73,169,expert2
505,73,219,expert2
509,73,219,expert2
507,73,227,expert2
703,73,230,expert2
701,74,27,expert2
507,74,49,expert2
706,74,63,expert2
509,74,70,expert2
505,74,71,expert2
503,74,72,expert2
505,74,72,expert2
701,74,122,expert2
507,74,182,expert2
706,74,230,expert2
715,75,38,expert2
505,75,111,expert2
505,75,112,expert2
703,75,120,expert2
714,75,128,expert2
503,75,137,expert2
703,75,144,expert2
505,75,208,expert2
503,75,211,expert2
509,75,213,expert2
715,75,221,expert2
503,76,3,expert2
503,76,78,expert2
703,76,90,expert2
505,76,143,expert2
703,76,163,expert2
705,76,176,expert2
701,76,218,expert2
705,76,219,expert2
706,76,230,expert2
505,77,6,expert2
701,77,47,expert2
705,77,56,expert2
507,77,65,expert2
507,77,70,expert2
507,77,71,expert2
703,77,87,expert2
503,77,95,expert2
509,77,130,expert2
503,77,151,expert2
507,77,154,expert2
706,77,182,expert2
715,77,190,expert2
509,77,226,expert2
507,78,7,expert2
507,78,37,expert2
707,78,70,expert2
707,78,191,expert2
507,79,30,expert2
505,79,94,expert2
714,79,112,expert2
507,79,194,expert2
509,79,194,expert2
705,79,210,expert2
509,86,6,expert2
503,86,71,expert2
706,86,72,expert2
507,86,96,expert2
715,86,96,expert2
507,86,124,expert2
509,86,124,expert2
503,86,167,expert2
507,86,190,expert2
505,86,202,expert2
509,87,46,expert2
705,87,103,expert2
701,87,108,expert2
503,87,157,expert2
507,87,180,expert2
706,87,226,expert2
505,88,28,expert2
715,88,34,expert2
703,88,71,expert2
509,88,79,expert2
507,88,112,expert2
715,88,134,expert2
505,88,144,expert2
703,88,148,expert2
507,88,199,expert2
507,88,216,expert2
507,88,217,expert2
