judge,candidate_chosen,candidate_not_chosen,group
604,2,77,novice
606,2,113,novice
606,2,142,novice
601,2,179,novice
606,2,184,novice
604,2,210,novice
607,3,27,novice
601,3,28,novice
604,3,56,novice
603,3,72,novice
605,3,74,novice
603,3,109,novice
608,3,109,novice
608,3,146,novice
607,3,175,novice
608,3,181,novice
605,3,195,novice
602,3,228,novice
602,4,40,novice
604,4,92,novice
609,4,92,novice
609,4,132,novice
602,4,143,novice
607,4,180,novice
608,4,192,novice
605,4,205,novice
601,4,221,novice
602,6,25,novice
603,6,40,novice
607,6,64,novice
601,6,71,novice
608,6,73,novice
608,6,152,novice
609,6,152,novice
607,6,220,novice
605,7,20,novice
606,7,23,novice
609,7,34,novice
606,7,37,novice
601,7,41,novice
603,7,50,novice
609,7,122,novice
609,7,122,novice
605,7,164,novice
609,7,229,novice
608,8,46,novice
605,8,91,novice
605,8,95,novice
609,8,95,novice
606,8,135,novice
607,8,181,novice
605,8,202,novice
601,20,44,novice
606,20,94,novice
608,20,189,novice
606,20,206,novice
606,20,207,novice
605,21,71,novice
604,21,97,novice
602,21,112,novice
609,21,121,novice
601,21,212,novice
603,21,224,novice
604,21,224,novice
605,21,224,novice
606,22,57,novice
606,22,94,novice
606,22,163,novice
606,22,189,novice
605,23,27,novice
606,23,76,novice
606,23,113,novice
602,23,148,novice
609,23,212,novice
608,23,214,novice
605,24,23,novice
603,24,38,novice
609,24,103,novice
606,24,119,novice
606,24,122,novice
606,24,123,novice
602,24,199,novice
603,24,215,novice
602,24,217,novice
608,25,52,novice
605,25,105,novice
607,25,134,novice
604,25,198,novice
601,25,218,novice
602,25,228,novice
604,25,228,novice
602,26,7,novice
603,26,7,novice
609,26,87,novice
609,26,90,novice
605,26,97,novice
602,26,137,novice
602,26,140,novice
601,26,194,novice
605,26,203,novice
606,27,23,novice
608,27,53,novice
603,27,115,novice
609,27,130,novice
602,27,159,novice
605,27,194,novice
609,27,200,novice
603,27,213,novice
606,27,216,novice
607,28,2,novice
607,28,43,novice
608,28,154,novice
606,28,164,novice
606,28,171,novice
602,28,187,novice
606,28,207,novice
608,28,214,novice
605,29,28,novice
605,29,31,novice
608,29,32,novice
602,29,114,novice
601,29,120,novice
606,29,135,novice
607,29,147,novice
609,30,79,novice
605,30,91,novice
606,31,34,novice
602,31,48,novice
608,31,87,novice
606,31,111,novice
605,31,187,novice
609,31,191,novice
607,31,194,novice
602,32,29,novice
606,32,29,novice
609,32,29,novice
602,32,45,novice
604,32,53,novice
609,32,119,novice
605,32,206,novice
602,33,78,novice
606,33,97,novice
603,33,99,novice
609,33,137,novice
602,33,191,novice
607,34,2,novice
605,34,89,novice
607,34,110,novice
608,34,110,novice
602,34,115,novice
608,34,147,novice
605,34,187,novice
606,34,214,novice
602,35,21,novice
602,35,38,novice
601,35,45,novice
602,35,52,novice
607,35,52,novice
609,35,52,novice
605,35,149,novice
602,35,200,novice
604,35,203,novice
606,36,128,novice
604,36,202,novice
607,36,206,novice
609,36,207,novice
606,36,213,novice
606,36,219,novice
601,37,20,novice
602,37,30,novice
605,37,30,novice
607,37,128,novice
608,37,200,novice
607,37,206,novice
605,37,221,novice
602,38,32,novice
603,38,45,novice
605,38,48,novice
606,38,70,novice
605,38,145,novice
607,38,148,novice
601,38,201,novice
609,38,211,novice
609,39,6,novice
607,39,26,novice
604,39,58,novice
605,39,73,novice
603,39,136,novice
609,39,149,novice
605,39,152,novice
608,39,192,novice
602,39,214,novice
608,39,220,novice
608,39,225,novice
608,40,96,novice
605,40,116,novice
602,40,119,novice
607,40,135,novice
605,40,141,novice
604,40,151,novice
608,40,170,novice
609,40,170,novice
609,40,192,novice
601,40,213,novice
607,40,218,novice
608,41,22,novice
606,41,57,novice
609,41,144,novice
605,41,159,novice
609,41,184,novice
606,41,202,novice
608,41,210,novice
608,43,47,novice
606,43,79,novice
606,43,111,novice
608,43,112,novice
605,43,120,novice
609,43,213,novice
609,43,216,novice
