judge,candidate_chosen,candidate_not_chosen,group
138,2,79,peer2
90,2,94,peer2
143,2,212,peer2
7,2,216,peer2
94,3,4,peer2
94,3,28,peer2
196,3,37,peer2
37,3,38,peer2
212,3,50,peer2
135,3,74,peer2
197,3,77,peer2
77,3,87,peer2
27,3,112,peer2
196,3,122,peer2
37,3,122,peer2
143,3,170,peer2
135,3,215,peer2
220,4,103,peer2
224,4,110,peer2
114,4,124,peer2
54,4,142,peer2
36,4,193,peer2
123,4,193,peer2
240,4,216,peer2
197,6,72,peer2
70,6,89,peer2
21,6,114,peer2
220,6,179,peer2
27,6,190,peer2
163,7,33,peer2
230,7,38,peer2
240,7,43,peer2
230,7,128,peer2
152,7,202,peer2
106,8,21,peer2
101,8,27,peer2
136,8,39,peer2
136,8,53,peer2
42,8,97,peer2
101,8,108,peer2
62,8,124,peer2
2,8,124,peer2
42,8,128,peer2
106,8,152,peer2
169,8,164,peer2
54,8,194,peer2
2,8,227,peer2
75,20,30,peer2
162,20,30,peer2
162,20,148,peer2
75,20,189,peer2
2,20,189,peer2
93,20,214,peer2
194,20,214,peer2
114,21,30,peer2
196,21,55,peer2
164,21,110,peer2
7,21,113,peer2
164,21,120,peer2
7,21,131,peer2
183,21,170,peer2
184,21,212,peer2
209,22,159,peer2
2,22,168,peer2
173,22,212,peer2
186,22,214,peer2
40,23,50,peer2
201,23,53,peer2
184,23,90,peer2
115,23,141,peer2
136,23,141,peer2
201,23,149,peer2
224,23,195,peer2
196,23,213,peer2
142,23,223,peer2
240,23,225,peer2
114,24,36,peer2
21,24,49,peer2
135,24,92,peer2
135,24,192,peer2
21,24,198,peer2
152,24,214,peer2
87,25,2,peer2
115,25,27,peer2
60,25,58,peer2
161,25,58,peer2
184,25,75,peer2
175,25,88,peer2
115,25,132,peer2
38,25,187,peer2
54,25,189,peer2
142,25,190,peer2
179,25,224,peer2
88,25,224,peer2
224,26,31,peer2
23,26,34,peer2
202,26,79,peer2
202,26,95,peer2
203,26,128,peer2
77,26,151,peer2
65,26,210,peer2
240,27,88,peer2
45,27,102,peer2
161,27,102,peer2
201,27,134,peer2
41,27,143,peer2
212,27,218,peer2
52,28,4,peer2
106,28,46,peer2
169,28,93,peer2
52,28,120,peer2
183,28,130,peer2
79,28,149,peer2
141,28,194,peer2
184,28,203,peer2
200,28,218,peer2
201,29,22,peer2
77,29,44,peer2
45,29,87,peer2
65,29,103,peer2
34,29,119,peer2
201,29,140,peer2
152,29,171,peer2
59,30,94,peer2
90,30,179,peer2
59,30,213,peer2
183,31,38,peer2
54,31,41,peer2
196,31,50,peer2
40,31,64,peer2
164,31,76,peer2
144,31,91,peer2
40,31,114,peer2
240,31,148,peer2
144,31,179,peer2
201,31,181,peer2
169,31,187,peer2
201,31,189,peer2
145,31,193,peer2
196,31,213,peer2
147,32,110,peer2
186,32,119,peer2
147,32,121,peer2
21,32,163,peer2
173,32,194,peer2
