judge,candidate_chosen,candidate_not_chosen,session
23,7,14,Bowland070211data
23,13,14,Bowland070211data
23,10,13,Bowland070211data
23,10,15,Bowland070211data
23,7,15,Bowland070211data
23,7,9,Bowland070211data
23,9,6,Bowland070211data
23,14,6,Bowland070211data
23,14,16,Bowland070211data
23,5,16,Bowland070211data
23,18,5,Bowland070211data
23,18,11,Bowland070211data
23,3,11,Bowland070211data
21,3,2,Bowland070211data
21,6,2,Bowland070211data
21,14,6,Bowland070211data
21,7,14,Bowland070211data
21,7,12,Bowland070211data
21,5,12,Bowland070211data
21,10,5,Bowland070211data
21,17,10,Bowland070211data
21,17,18,Bowland070211data
21,18,4,Bowland070211data
21,15,4,Bowland070211data
21,15,16,Bowland070211data
13,11,5,Bowland070211data
13,10,5,Bowland070211data
13,17,10,Bowland070211data
13,17,14,Bowland070211data
13,14,12,Bowland070211data
13,13,12,Bowland070211data
13,13,4,Bowland070211data
13,18,4,Bowland070211data
13,5,18,Bowland070211data
20,3,15,Bowland070211data
20,7,3,Bowland070211data
20,7,9,Bowland070211data
20,6,9,Bowland070211data
20,6,14,Bowland070211data
20,11,14,Bowland070211data
20,5,11,Bowland070211data
20,17,5,Bowland070211data
20,17,13,Bowland070211data
20,13,4,Bowland070211data
20,15,4,Bowland070211data
20,15,2,Bowland070211data
16,15,3,Bowland070211data
16,15,18,Bowland070211data
16,6,18,Bowland070211data
16,6,4,Bowland070211data
16,17,4,Bowland070211data
16,17,9,Bowland070211data
19,8,1,Bowland070211data
19,10,6,Bowland070211data
19,5,6,Bowland070211data
19,3,5,Bowland070211data
19,7,3,Bowland070211data
19,7,4,Bowland070211data
19,15,4,Bowland070211data
19,15,14,Bowland070211data
19,13,14,Bowland070211data
19,13,2,Bowland070211data
19,12,2,Bowland070211data
19,9,12,Bowland070211data
19,9,14,Bowland070211data
19,10,14,Bowland070211data
19,13,10,Bowland070211data
19,13,18,Bowland070211data
19,18,1,Bowland070211data
18,15,18,Bowland070211data
18,14,18,Bowland070211data
18,14,2,Bowland070211data
18,10,2,Bowland070211data
18,10,18,Bowland070211data
18,15,18,Bowland070211data
18,15,8,Bowland070211data
18,12,8,Bowland070211data
18,1,12,Bowland070211data
18,6,1,Bowland070211data
18,6,16,Bowland070211data
18,5,16,Bowland070211data
18,13,5,Bowland070211data
18,13,4,Bowland070211data
18,3,4,Bowland070211data
18,3,9,Bowland070211data
15,15,4,Bowland070211data
15,14,15,Bowland070211data
15,13,14,Bowland070211data
15,13,3,Bowland070211data
15,18,3,Bowland070211data
15,18,15,Bowland070211data
15,7,15,Bowland070211data
15,7,8,Bowland070211data
15,2,8,Bowland070211data
15,2,1,Bowland070211data
15,11,1,Bowland070211data
15,5,11,Bowland070211data
15,13,5,Bowland070211data
15,13,10,Bowland070211data
15,7,10,Bowland070211data
14,7,18,Bowland070211data
14,7,3,Bowland070211data
14,3,8,Bowland070211data
14,2,8,Bowland070211data
14,2,1,Bowland070211data
14,6,1,Bowland070211data
14,6,16,Bowland070211data
14,9,16,Bowland070211data
14,17,9,Bowland070211data
14,17,5,Bowland070211data
14,5,4,Bowland070211data
14,15,4,Bowland070211data
14,15,11,Bowland070211data
17,6,5,Bowland070211data
17,3,5,Bowland070211data
17,7,3,Bowland070211data
17,7,15,Bowland070211data
17,15,18,Bowland070211data
17,14,18,Bowland070211data
17,14,2,Bowland070211data
17,3,2,Bowland070211data
17,10,3,Bowland070211data
17,10,18,Bowland070211data
17,6,18,Bowland070211data
17,6,14,Bowland070211data
17,13,14,Bowland070211data
17,13,4,Bowland070211data
17,15,4,Bowland070211data
17,15,16,Bowland070211data
22,14,18,Bowland070211data
22,13,14,Bowland070211data
22,13,10,Bowland070211data
22,7,10,Bowland070211data
22,7,3,Bowland070211data
22,3,12,Bowland070211data
22,12,2,Bowland070211data
22,2,1,Bowland070211data
22,16,1,Bowland070211data
22,11,16,Bowland070211data
22,11,5,Bowland070211data
22,5,4,Bowland070211data
22,2,4,Bowland070211data
22,8,2,Bowland070211data
