judge,candidate_chosen,candidate_not_chosen
17,2,299
14,2,222
3,335,2
4,2,267
6,2,877
3,3,748
5,249,3
8,54,3
1,118,3
9,3,94
3,4,41
5,4,751
8,57,4
9,5,4
1,4,758
17,5,749
5,531,5
8,839,5
9,515,5
5,6,904
9,6,286
2,6,364
12,10,459
11,825,10
1,341,10
6,616,10
17,271,11
5,329,11
3,11,374
9,11,225
10,11,331
17,336,12
5,380,12
9,12,375
4,12,371
6,12,398
10,12,92
5,13,211
12,13,79
2,13,476
14,276,13
17,101,14
5,404,14
3,14,684
4,395,14
10,14,724
17,105,15
5,15,325
14,910,15
4,15,226
6,15,885
17,86,16
12,372,16
3,16,340
1,16,907
18,17,26
8,401,17
13,177,17
1,17,489
4,17,284
17,18,194
12,18,504
13,404,18
4,18,114
6,18,216
10,18,760
5,805,19
8,19,56
2,19,99
10,19,59
14,19,486
17,374,20
12,116,20
1,20,332
4,20,696
6,20,255
5,22,203
12,333,22
3,22,89
10,22,479
6,22,822
5,23,843
12,23,285
1,23,483
4,333,23
13,23,604
2,24,61
12,24,279
13,88,24
14,328,24
1,34,24
10,24,492
14,912,25
13,25,634
9,25,918
4,212,25
6,306,25
2,25,230
18,26,314
13,26,665
9,26,682
1,26,550
8,26,441
6,314,26
14,391,27
12,27,343
11,27,184
9,165,27
4,400,27
6,27,769
13,512,27
2,28,96
14,261,28
11,279,28
1,28,218
10,28,853
5,34,304
8,34,403
9,688,34
18,35,398
8,34,35
1,801,35
4,35,119
6,35,806
14,380,35
17,36,325
5,534,36
3,36,303
10,36,558
17,37,663
5,37,883
3,98,37
13,37,503
17,5,38
3,736,38
1,40,38
4,453,38
10,367,38
3,71,39
13,39,765
8,824,39
9,109,39
3,40,54
5,71,40
8,460,40
1,40,771
4,583,40
3,41,840
5,779,41
8,445,41
1,393,41
14,497,41
14,236,42
12,42,362
11,119,42
9,42,51
6,42,260
10,881,42
18,869,44
14,44,792
2,120,44
1,44,506
6,44,362
13,311,44
14,45,263
18,45,391
11,480,45
10,45,146
9,792,45
17,365,46
12,46,835
2,46,772
4,46,513
18,47,282
13,244,47
9,47,363
6,538,47
18,231,48
11,48,451
10,82,48
6,48,423
18,586,49
11,282,49
1,49,384
9,49,53
4,729,49
18,49,50
11,50,421
9,47,50
2,51,827
3,445,51
14,493,51
9,27,51
4,697,51
10,51,736
6,471,51
3,52,677
14,858,52
11,28,52
9,50,52
4,10,52
2,52,683
5,771,53
12,53,758
8,39,53
4,53,754
6,460,53
3,768,54
5,811,54
8,890,54
9,423,54
4,680,54
13,666,54
18,793,56
8,169,56
3,373,56
9,857,56
10,56,443
17,441,57
3,57,759
9,388,57
13,61,57
14,634,58
8,61,58
11,58,788
2,58,247
6,269,58
3,772,59
13,482,59
8,856,59
2,58,59
17,60,751
5,790,60
8,60,769
2,633,60
4,285,60
12,60,38
2,201,61
8,61,895
11,496,61
9,318,61
3,214,61
17,500,62
18,195,62
14,556,62
3,489,62
2,62,869
11,63,264
11,63,264
11,63,264
12,483,63
4,63,854
14,64,69
12,444,64
11,64,813
2,192,64
1,787,64
13,341,64
6,64,57
18,65,537
11,65,391
2,258,65
9,65,205
12,65,680
10,645,65
5,209,66
12,714,66
2,66,80
4,66,256
3,67,73
5,67,180
14,67,591
10,905,67
2,67,863
9,68,599
3,467,68
14,518,68
2,63,68
14,78,69
18,354,69
11,290,69
2,69,775
13,69,727
17,38,70
3,700,70
9,81,70
1,295,70
3,676,71
5,677,71
8,782,71
2,68,71
17,492,72
9,492,72
11,72,58
2,353,72
4,327,72
10,564,72
3,73,456
14,533,73
11,81,73
2,72,73
6,73,418
14,74,27
18,505,74
11,74,750
9,74,96
4,74,747
5,401,77
14,115,77
3,115,77
1,77,845
4,77,454
10,77,241
14,78,179
12,585,78
11,505,78
10,611,78
6,78,143
18,104,79
12,885,79
3,79,490
9,79,331
6,337,79
10,79,258
18,254,80
14,907,80
2,80,760
1,340,80
10,80,488
13,80,499
17,81,640
12,81,42
11,81,241
9,81,816
4,601,81
13,869,81
6,336,81
18,288,82
13,82,608
10,538,82
4,807,82
6,82,668
17,357,83
5,306,83
3,83,208
4,83,847
2,83,546
18,84,392
11,448,84
2,84,558
9,814,84
6,84,444
17,380,85
5,85,386
3,85,2
4,85,835
14,85,812
17,86,338
12,86,414
3,37,86
13,86,343
10,86,422
11,88,321
13,321,88
2,88,849
4,463,88
18,89,611
13,520,89
3,921,89
1,89,448
17,90,12
5,90,101
13,380,90
4,90,849
3,92,863
5,852,92
8,676,92
4,486,92
6,39,92
3,93,758
13,783,93
8,529,93
9,417,93
6,218,93
12,852,94
5,92,94
4,756,94
10,422,94
6,675,94
17,529,95
5,853,95
14,283,95
2,556,95
2,147,96
12,588,96
14,96,278
9,26,96
1,96,765
3,96,777
17,185,97
5,335,97
13,97,686
10,97,243
6,97,758
9,330,98
17,330,98
5,98,367
3,98,799
18,99,223
11,48,99
2,425,99
1,99,727
13,99,852
10,843,99
17,100,684
13,100,226
14,468,100
9,100,614
17,101,807
5,921,101
14,101,293
3,101,186
18,114,102
12,685,102
1,880,102
9,376,102
13,102,600
17,308,103
5,103,311
14,103,410
1,103,221
3,103,108
18,104,523
13,104,412
2,104,553
1,396,104
17,105,276
5,908,105
14,105,723
9,105,805
6,105,815
18,106,393
8,106,254
1,237,106
10,14,106
17,310,108
12,108,479
14,108,216
4,108,793
6,108,672
18,109,725
11,193,109
9,109,827
1,846,109
2,490,109
5,514,110
14,110,500
1,110,422
