judge,candidate_chosen,candidate_not_chosen
103,457,680
103,671,680
103,529,671
103,248,529
103,248,147
103,752,147
103,514,752
103,514,58
103,546,58
103,546,245
103,169,245
103,169,794
103,466,794
103,171,466
103,171,851
103,868,851
103,868,253
103,253,222
103,325,222
103,16,325
103,16,559
103,860,559
103,378,860
103,333,378
103,333,306
103,306,336
103,336,473
103,663,473
103,469,663
103,312,469
103,312,100
103,132,100
103,272,132
103,272,101
103,334,101
103,369,334
103,369,46
103,46,882
103,882,474
103,86,474
103,375,86
103,375,881
103,881,397
103,397,81
103,81,401
103,901,401
103,901,293
103,293,83
103,83,641
103,641,340
103,340,349
103,20,349
103,20,610
103,610,178
103,178,307
103,307,117
103,117,516
103,902,516
103,188,902
103,188,196
103,228,196
103,228,900
103,900,489
103,398,489
103,339,398
103,339,798
103,798,205
103,615,205
103,615,849
103,911,849
103,911,226
103,620,226
103,620,781
103,579,781
103,579,885
103,885,175
103,175,465
103,316,465
103,102,316
103,102,416
103,929,416
103,929,279
103,266,279
103,393,266
103,393,480
103,480,48
103,24,48
103,24,583
103,583,198
103,450,198
103,450,697
103,697,146
103,146,715
103,617,715
103,617,74
103,74,538
103,538,383
103,383,453
103,858,453
103,858,599
103,618,599
103,618,636
103,636,845
103,545,845
103,545,567
103,567,241
103,241,664
103,78,664
103,78,895
103,568,895
103,486,568
103,486,497
103,533,497
103,920,533
103,920,57
103,57,388
103,536,388
103,536,700
103,778,700
103,765,778
103,765,452
103,452,121
103,67,121
103,640,67
103,640,301
103,673,301
103,72,673
103,72,5
103,5,839
103,38,839
103,38,747
103,670,747
103,441,670
103,528,441
103,528,750
103,750,510
103,820,510
103,820,278
103,764,278
103,255,764
103,255,635
103,183,635
103,714,183
103,714,364
103,501,364
103,501,695
103,695,814
103,814,819
103,813,819
103,47,813
103,47,119
103,119,223
103,223,322
103,447,322
103,447,792
103,734,792
103,517,734
103,263,517
103,263,878
103,878,286
103,286,174
103,471,174
103,276,471
103,276,35
103,294,35
103,6,294
103,335,6
103,335,377
103,11,377
103,11,271
103,271,404
103,23,404
103,23,267
103,857,267
103,475,857
103,475,34
103,34,534
103,534,104
103,907,104
103,907,90
103,90,304
103,304,716
103,15,716
103,718,15
103,718,662
103,613,662
103,49,613
103,496,49
103,496,459
103,574,459
103,219,574
103,637,219
103,202,637
103,915,202
103,915,605
103,492,605
103,492,604
103,118,604
103,118,721
103,62,721
103,62,199
103,600,199
103,214,600
103,214,61
103,79,61
103,79,289
103,289,257
103,553,257
103,553,554
103,773,554
103,25,773
103,25,667
103,73,667
103,318,73
103,318,460
103,356,460
103,356,826
103,826,758
104,813,750
104,750,640
104,39,640
104,452,39
104,673,452
104,72,673
104,72,59
104,95,59
104,95,758
104,441,758
104,441,38
104,38,839
104,249,839
104,249,5
104,778,5
104,778,765
104,765,457
104,671,457
104,486,671
104,664,486
104,664,568
104,636,568
104,636,752
104,183,752
104,183,697
104,697,245
104,245,599
104,620,599
104,620,465
104,465,266
104,205,266
104,902,205
104,81,902
104,81,397
104,397,83
104,474,83
104,860,474
104,378,860
104,378,469
104,333,469
104,333,306
104,306,336
104,336,132
104,473,132
104,473,663
104,663,272
104,272,882
104,334,882
104,100,334
104,100,559
104,312,559
104,312,46
104,46,822
104,101,822
104,101,369
104,369,881
104,881,222
104,401,222
104,16,401
104,86,16
104,97,86
104,97,325
104,325,20
104,375,20
104,375,307
104,901,307
104,901,196
104,340,196
104,340,798
104,610,798
104,293,610
104,293,349
104,349,253
104,253,615
104,641,615
104,641,178
104,178,516
104,516,398
104,117,398
104,117,579
104,188,579
104,188,489
104,489,851
104,228,851
104,228,885
104,900,885
104,900,279
104,849,279
104,849,175
104,339,175
104,339,168
104,168,416
104,416,48
104,859,48
104,226,859
104,226,24
104,102,24
104,911,102
104,911,466
104,781,466
104,781,316
104,316,583
104,583,364
104,480,364
104,480,794
104,794,617
104,171,617
104,171,450
104,393,450
104,393,715
104,695,715
104,695,169
104,169,74
104,74,453
104,453,255
104,714,255
104,714,241
104,635,241
104,58,635
104,618,58
104,538,618
104,538,895
104,146,895
104,146,845
104,845,248
104,383,248
104,383,545
104,545,497
104,497,510
104,567,510
104,567,78
104,78,384
104,217,384
104,217,278
104,278,920
104,920,57
104,57,536
104,834,536
104,834,388
104,388,528
104,533,528
104,533,529
104,529,700
104,700,831
104,680,831
104,680,260
104,918,260
104,817,918
104,121,817
104,121,747
104,747,749
104,67,749
104,67,301
104,301,670
104,250,670
104,820,250
104,820,360
104,110,360
104,586,110
104,586,385
104,385,360
104,586,360
104,586,414
104,414,198
104,198,110
104,110,586
104,586,110
104,110,324
104,324,477
104,477,414
104,414,360
104,268,360
104,324,268
104,63,324
104,63,385
104,586,385
104,586,929
104,929,414
104,324,414
104,414,324
104,110,414
104,110,501
104,501,110
104,110,385
104,586,385
104,586,488
104,488,814
105,110,360
105,586,110
105,586,360
105,586,360
105,586,324
105,324,414
105,324,414
105,324,477
105,477,360
105,414,360
105,414,360
105,268,360
105,268,360
105,385,360
105,414,385
105,586,414
105,586,385
105,324,385
105,110,324
105,110,360
105,324,360
105,324,268
105,324,268
105,324,546
105,110,546
105,110,268
105,414,268
105,414,324
105,414,324
105,586,414
105,586,360
105,488,360
105,488,360
105,414,360
105,488,414
105,488,268
105,488,268
105,488,110
105,110,477
105,414,477
105,868,414
105,14,868
105,14,414
105,414,324
105,110,324
105,110,414
105,414,385
105,488,385
105,488,360
105,586,360
105,586,858
105,488,858
105,488,210
105,210,360
105,477,360
105,477,360
105,586,360
105,586,476
105,488,476
105,14,488
105,14,414
105,414,385
105,360,385
105,147,360
105,147,385
105,360,385
105,360,385
105,110,385
105,110,324
105,324,385
105,586,385
105,586,268
105,414,268
105,586,414
105,586,414
105,414,385
105,566,385
105,566,385
105,268,385
105,268,764
105,488,764
105,488,324
105,324,110
105,324,110
105,324,385
105,514,385
105,324,514
105,324,268
105,324,268
105,324,385
105,324,385
105,324,360
105,414,360
105,586,414
105,586,819
105,100,819
105,501,255
105,375,340
105,900,545
105,781,316
105,881,901
105,393,536
105,146,388
105,333,663
105,670,121
105,67,747
105,480,349
105,228,385
105,307,610
105,641,885
105,538,845
105,336,132
105,334,86
105,339,715
105,74,78
105,714,383
105,312,101
105,306,473
105,369,695
105,416,617
105,178,279
105,477,567
105,117,175
105,48,241
105,798,360
105,110,895
105,882,615
105,20,188
105,398,489
105,102,24
105,272,46
105,533,301
105,401,196
105,929,364
105,583,198
105,57,820
105,579,453
105,794,635
105,700,260
105,248,510
105,528,831
105,450,63
105,226,466
105,859,911
105,920,817
105,58,278
105,559,253
105,384,680
105,171,250
105,618,217
105,16,414
105,268,749
105,529,778
105,716,849
105,834,918
105,169,497
105,822,222
105,97,516
105,325,851
105,293,168
104,814,637
104,377,474
104,6,304
104,750,441
104,205,324
104,517,257
104,664,5
104,878,61
104,566,640
104,671,792
104,199,147
104,35,202
104,471,620
104,34,81
104,469,23
104,15,636
104,486,72
104,249,38
104,858,214
104,404,14
104,902,459
104,857,276
104,118,554
104,397,475
104,773,95
104,765,59
104,457,452
104,263,514
104,104,718
104,534,119
104,907,49
104,568,553
104,210,915
104,266,219
104,604,289
104,335,267
104,764,600
104,322,826
104,25,318
104,758,839
104,271,294
104,245,183
104,465,574
104,662,174
104,496,492
104,223,356
104,447,39
104,476,73
104,47,697
104,79,460
104,378,11
104,286,605
104,813,673
104,62,734
104,90,613
104,721,599
104,586,546
104,868,488
104,860,83
104,752,667
104,716,268
104,764,778
104,858,826
105,492,385
105,554,773
105,459,501
105,318,486
105,907,316
105,663,404
105,324,25
105,83,849
105,662,497
105,104,214
105,81,610
105,388,700
105,271,360
105,241,721
105,480,257
105,618,199
105,453,278
105,488,528
105,188,900
105,267,349
105,450,452
105,534,902
105,915,604
105,857,340
105,620,255
105,617,895
105,266,61
105,226,79
105,304,198
105,62,301
105,615,416
105,377,293
105,49,465
105,401,613
105,545,78
105,117,553
105,641,110
105,536,765
105,175,781
105,516,228
105,414,845
105,121,67
105,86,718
105,397,178
105,102,356
105,23,46
105,336,11
105,307,510
105,339,599
105,697,567
105,20,911
105,820,750
105,881,715
105,586,74
105,5,38
105,146,72
105,469,474
105,279,574
105,14,24
105,57,640
105,306,101
105,205,583
105,375,477
105,929,813
105,460,441
105,219,364
105,34,885
105,132,100
105,333,272
105,312,637
105,90,667
105,635,664
105,605,568
105,48,393
105,714,533
105,695,118
105,475,489
105,670,839
105,901,398
105,335,369
105,579,600
105,202,183
105,819,747
105,538,920
105,496,383
105,196,15
105,334,798
105,473,882
105,636,289
105,73,673
103,671,758
103,859,752
103,210,63
103,276,471
103,517,322
103,58,384
103,817,249
103,250,95
103,168,171
103,868,792
103,476,529
103,286,447
103,39,918
103,248,831
103,253,174
103,860,325
103,878,566
103,223,147
103,217,680
103,466,794
103,546,514
103,294,35
103,119,851
103,222,97
103,822,47
103,260,749
103,378,6
103,559,16
103,169,59
103,814,263
103,734,457
103,245,834
101,397,868
101,637,752
101,911,171
101,23,453
101,257,834
101,610,375
101,447,441
101,81,255
101,845,199
101,11,271
101,334,907
101,174,480
101,566,223
101,567,529
101,301,249
101,882,559
101,250,819
101,473,6
101,312,586
101,901,794
101,318,671
101,613,385
101,118,538
101,822,228
101,79,476
101,222,90
101,902,574
101,110,533
101,339,929
101,534,316
101,183,618
101,416,168
101,831,670
101,226,920
101,289,664
101,662,245
101,324,72
101,667,388
101,95,749
101,640,758
101,248,260
101,401,383
101,469,14
101,20,579
101,59,839
101,918,121
101,286,217
101,241,460
101,641,820
101,97,104
101,377,414
101,663,16
101,178,721
101,196,459
101,465,635
101,340,117
101,78,73
101,781,878
101,695,554
101,404,349
101,849,583
101,100,83
101,253,49
101,715,214
101,857,307
101,102,146
101,356,700
101,202,673
101,510,813
101,858,5
101,851,915
101,63,322
101,175,62
101,25,680
101,457,817
101,101,475
101,900,266
101,568,750
101,35,304
101,474,718
101,219,714
101,336,369
101,604,39
101,294,545
101,697,452
101,188,636
101,293,205
101,764,268
101,24,466
101,279,57
101,333,335
101,86,600
101,325,716
101,895,384
101,514,517
101,210,486
101,306,378
101,360,553
101,46,47
101,61,536
101,276,48
101,267,364
101,119,617
101,398,278
101,263,58
101,132,860
101,826,38
101,497,765
101,15,814
101,477,734
101,615,198
101,169,67
101,489,496
101,528,747
101,34,605
101,620,778
101,471,492
101,546,147
101,881,393
101,859,773
101,272,798
101,516,488
101,885,599
101,501,450
101,74,792
101,414,765
101,360,778
101,383,460
101,255,476
101,205,72
101,16,266
101,336,178
101,377,63
101,716,680
101,34,450
101,324,918
101,289,817
101,401,620
101,47,534
101,378,814
101,267,641
101,885,488
101,39,839
101,860,168
101,637,245
101,306,900
101,14,385
101,46,492
101,781,826
101,404,615
101,851,219
101,480,199
101,667,831
101,911,217
101,322,67
101,388,749
101,272,375
101,222,604
101,501,670
101,715,384
101,586,734
101,929,169
101,312,845
101,794,618
101,610,465
101,325,878
101,335,553
101,907,773
101,882,617
101,97,514
101,567,260
101,613,286
101,416,568
101,477,121
101,196,635
101,23,364
101,915,263
101,333,24
101,752,820
101,86,226
101,750,301
101,278,57
101,583,895
101,188,664
101,79,457
101,599,792
101,663,307
101,58,248
101,349,340
101,171,183
101,11,104
101,49,339
101,559,117
101,466,223
101,489,859
101,441,38
101,228,662
101,48,257
101,545,61
101,902,175
101,174,74
101,35,920
101,453,452
101,605,546
101,554,249
101,497,671
101,119,536
101,316,210
101,533,59
101,469,579
101,510,528
101,673,747
101,475,822
101,393,146
101,62,268
101,83,721
101,198,714
101,798,574
101,517,95
101,102,5
101,6,471
101,276,110
101,100,90
101,81,516
101,271,334
101,718,459
101,73,566
101,538,640
101,473,304
101,600,241
101,214,78
101,397,695
101,881,147
101,700,250
101,636,834
101,369,901
101,857,356
101,25,819
101,132,15
101,293,813
101,447,758
101,486,318
101,101,253
101,118,858
101,697,764
101,849,529
101,474,294
101,398,279
101,496,202
101,20,868
102,636,813
102,202,58
102,24,453
102,721,752
102,397,819
102,49,929
102,14,885
102,820,121
102,61,566
102,895,749
102,100,460
102,293,750
102,492,920
102,901,205
102,404,734
102,377,301
102,695,533
102,604,538
102,375,267
102,385,72
102,902,477
102,553,545
102,306,97
102,900,214
102,715,289
102,334,35
102,255,73
102,716,268
102,356,918
102,378,536
102,168,878
102,174,248
102,178,183
102,110,673
102,574,416
102,534,546
102,469,147
102,480,758
102,794,118
102,618,517
102,196,670
102,529,839
102,333,86
102,579,583
102,663,263
102,474,414
102,83,20
102,48,95
102,620,697
102,132,849
102,834,671
102,272,171
102,257,250
102,907,260
102,228,102
102,146,486
102,473,279
102,814,915
102,16,599
102,452,5
102,369,78
102,364,859
102,90,398
102,851,501
102,222,567
102,253,217
102,516,497
102,778,747
102,278,67
102,459,792
102,276,781
102,600,700
102,476,764
102,117,662
102,223,817
102,11,586
102,514,667
102,34,510
102,307,63
102,615,383
102,294,613
102,312,169
102,6,198
102,860,210
102,881,62
102,384,39
102,245,388
102,475,496
102,286,38
102,488,831
102,46,119
102,336,339
102,489,441
102,15,175
102,559,465
102,680,249
102,304,188
102,857,324
102,605,858
102,349,911
102,226,457
102,882,199
102,81,322
102,617,241
102,335,641
102,798,466
102,47,450
102,271,637
102,325,318
102,104,868
102,822,360
102,57,59
102,23,765
102,773,25
102,266,635
102,610,79
102,568,447
102,101,393
102,664,554
102,471,219
102,845,528
102,316,640
102,340,401
102,718,74
102,714,826
102,579,110
102,307,476
102,266,477
102,349,397
102,279,819
102,20,851
102,492,858
102,333,377
102,101,680
102,534,528
102,383,257
102,641,620
102,217,826
102,304,605
102,453,73
102,901,228
102,210,529
102,241,667
102,24,758
102,119,34
102,253,286
102,15,715
102,496,714
102,401,857
102,219,640
102,465,223
102,617,618
102,336,604
102,599,480
102,920,817
102,546,25
102,360,457
102,72,38
102,271,516
102,175,318
102,416,554
102,378,384
102,798,794
102,635,567
102,915,118
102,849,452
102,663,39
102,911,501
102,6,489
102,868,276
102,466,49
102,117,514
102,459,764
102,86,716
102,334,312
