judge,candidate_chosen,candidate_not_chosen
288,88,89
288,88,109
288,81,109
288,81,95
288,82,95
288,82,87
288,104,87
288,104,93
288,102,93
288,107,102
288,107,105
288,105,92
288,85,92
288,106,85
288,106,91
288,91,810
288,810,94
288,83,94
288,83,84
288,1010,84
288,101,1010
288,101,86
288,103,86
331,85,104
331,104,93
331,89,93
331,82,89
331,810,82
331,95,810
331,101,95
331,103,101
331,103,81
331,81,1010
331,91,1010
331,91,86
331,86,87
331,87,106
331,106,102
331,102,105
331,109,105
331,109,83
331,83,107
331,107,92
331,92,84
331,84,94
331,94,88
294,103,83
294,83,91
294,94,91
294,82,94
294,81,82
294,93,87
294,89,93
294,1010,89
294,1010,109
294,107,109
294,107,82
294,82,105
294,103,105
294,103,94
294,94,810
294,810,84
294,104,84
294,104,91
294,88,91
294,81,88
294,81,102
294,85,102
294,86,85
294,106,86
294,101,106
294,101,92
294,83,92
294,83,95
305,83,91
305,104,106
305,104,89
305,85,89
305,85,93
305,105,93
305,105,810
305,95,810
305,84,95
305,109,84
305,86,109
305,83,86
305,83,94
305,87,94
305,101,87
305,101,1010
305,88,1010
305,88,92
305,103,92
305,103,82
305,82,102
305,102,91
305,107,91
305,81,107
305,107,83
305,83,104
305,104,103
305,103,91
305,91,87
305,87,92
305,92,105
305,105,93
305,93,81
305,88,81
305,88,810
305,810,109
305,109,84
305,84,102
305,102,106
305,106,1010
305,101,1010
305,101,82
305,82,94
286,86,102
286,105,102
286,105,109
286,82,109
286,82,95
286,95,91
286,91,93
286,92,93
286,106,92
286,106,1010
286,1010,89
286,89,94
286,84,94
286,84,104
286,104,87
286,88,87
286,88,83
286,83,103
286,103,85
286,101,85
286,101,107
286,107,810
286,810,81
286,105,83
286,105,94
286,94,85
286,85,87
286,87,86
286,86,82
286,810,82
286,102,810
286,102,95
286,91,95
286,101,91
286,101,93
286,107,93
286,107,81
286,103,81
286,103,84
286,84,89
286,106,89
286,106,109
286,109,92
286,88,92
286,88,1010
286,1010,104
306,107,93
306,85,93
306,85,109
306,102,109
306,104,102
306,104,94
306,94,91
306,83,91
306,81,83
306,81,87
306,87,89
306,103,89
306,103,82
306,82,95
306,95,92
306,92,84
306,1010,84
306,101,1010
306,105,101
306,86,105
306,86,88
306,106,88
306,106,810
314,810,84
314,87,84
314,87,91
314,102,91
314,104,102
314,103,104
314,103,109
314,109,94
314,101,94
314,101,82
314,95,82
314,1010,95
314,1010,92
314,106,92
314,81,106
314,81,89
314,86,89
314,85,86
314,85,105
314,105,93
314,88,93
314,88,83
314,83,107
289,103,810
289,81,810
289,81,86
289,1010,86
289,1010,107
289,107,93
289,89,93
289,82,89
289,106,82
289,106,102
289,102,92
289,101,92
289,101,84
289,95,84
289,85,95
289,83,85
289,104,83
289,104,88
289,105,88
289,105,91
289,94,91
289,109,94
289,109,87
281,89,92
281,101,89
281,105,101
281,105,94
281,83,94
281,83,95
281,93,95
281,93,810
281,85,810
281,81,85
281,1010,81
281,1010,91
281,103,91
281,103,87
281,107,87
281,107,82
281,109,82
281,106,109
281,106,86
281,86,84
281,104,84
281,104,102
281,88,102
299,103,104
299,104,84
299,84,93
299,107,93
299,107,87
299,87,82
299,82,91
299,89,91
299,85,89
299,85,1010
299,86,1010
299,88,86
299,83,88
299,83,810
299,810,109
299,109,95
299,95,92
299,101,92
299,106,101
299,106,81
299,81,94
299,102,94
299,105,102
282,86,84
282,82,84
282,82,95
282,109,95
282,109,81
282,105,81
282,105,87
282,87,89
282,102,89
282,88,102
282,88,92
282,106,92
282,103,106
282,1010,103
282,1010,107
282,107,94
282,101,94
282,101,91
282,810,91
282,85,810
282,85,93
282,104,93
282,83,104
319,107,95
319,107,810
319,89,810
319,89,102
319,81,102
319,81,92
319,85,92
319,85,94
319,82,94
319,83,82
319,104,83
319,104,91
319,1010,91
319,1010,101
319,84,101
319,88,84
319,109,88
319,86,109
319,105,86
319,87,105
319,103,87
319,93,103
319,106,93
329,810,93
329,810,103
329,103,95
329,95,81
329,85,81
329,85,91
329,109,91
329,106,109
329,106,86
329,86,92
329,101,92
329,1010,101
329,107,1010
329,104,107
329,104,87
329,87,94
329,88,94
329,88,84
329,83,84
329,83,89
329,82,89
329,105,82
329,105,102
295,101,92
295,101,91
295,91,82
295,94,82
295,94,85
295,81,85
295,103,81
295,104,103
295,104,89
295,89,106
295,106,84
295,109,84
295,107,109
295,107,102
295,87,102
295,95,87
295,1010,95
295,105,1010
295,105,86
295,86,88
295,88,810
295,93,810
295,83,93
300,105,810
300,105,109
300,109,102
300,93,102
300,86,93
300,86,91
300,107,91
300,1010,107
300,103,1010
300,103,84
300,89,84
300,89,85
300,85,95
300,95,82
300,101,82
300,101,83
300,83,106
300,106,88
300,104,88
300,104,92
300,87,92
300,81,87
300,81,94
297,102,93
297,102,85
297,87,85
297,83,87
297,83,91
297,104,91
297,103,104
297,103,1010
297,1010,89
297,105,89
297,105,92
297,81,92
297,81,109
297,109,106
297,106,84
297,810,84
297,107,810
297,88,107
297,86,88
297,86,95
297,95,94
297,101,94
297,82,101
290,105,88
290,105,93
290,93,95
290,101,95
290,101,87
290,102,87
290,102,82
290,82,94
290,92,94
290,86,92
290,83,86
290,81,83
290,85,81
290,85,1010
290,103,1010
290,103,91
290,109,91
290,810,109
290,89,810
322,95,91
322,91,104
322,104,105
322,107,105
322,84,107
322,82,84
322,82,101
322,109,101
322,109,85
322,85,89
322,1010,89
322,106,1010
322,106,87
322,87,83
322,83,86
322,88,86
322,88,810
322,103,810
322,103,92
322,92,94
322,94,102
322,102,81
322,81,93
303,105,88
303,88,82
303,810,82
303,84,810
303,101,84
303,101,104
303,104,102
303,81,102
303,1010,81
303,1010,86
303,86,91
303,89,91
303,92,89
303,92,109
303,109,85
303,85,94
303,93,94
303,83,93
303,87,83
303,87,106
303,107,106
303,107,103
303,103,95
278,1010,89
278,82,89
278,82,86
278,93,86
278,87,93
278,87,107
278,107,84
278,81,84
278,81,105
278,105,91
278,91,88
278,88,85
278,94,85
278,94,95
278,104,95
