judge,candidate_chosen,candidate_not_chosen
MoK.,2012Q1,2012Q7
MoK.,1996Q10,2012Q1
MoK.,1996Q11,1996Q10
MoK.,1996Q11,1996Q1
MoK.,1968Q2,1996Q1
MoK.,1968Q2,1964Q5
MoK.,1968Q6,1964Q5
MoK.,1968Q6,1968Q9
MoK.,1996Q8,1968Q9
MoK.,1996Q8,1996Q2
MoK.,1996Q4,1996Q2
MoK.,1996Q9,1996Q4
MoK.,1964Q4,1996Q9
MoK.,1964Q4,1964Q6
MoK.,1964Q6,1996Q7
MoK.,2012Q3,1996Q7
MoK.,1968Q1,2012Q3
MoK.,1968Q1,1964Q9
MoK.,1964Q9,1996Q5
MoK.,1996Q5,1968Q3
MoK.,1968Q3,2012Q2
MoK.,1996Q13,2012Q2
MoK.,1996Q13,2012Q5
MoK.,2012Q5,1996Q12
MoK.,1964Q1,1996Q12
MoK.,1964Q1,1968Q4
MoK.,1968Q4,2012Q6
MoK.,2012Q4,2012Q6
MoK.,1964Q3,2012Q4
MoK.,2012Q8,1964Q3
MoK.,2012Q8,1968Q8
MoK.,1968Q8,1996Q3
MoK.,1964Q2,1996Q3
MoK.,1968Q7,1964Q2
MoK.,1968Q7,1968Q5
MoK.,1968Q5,1996Q6
MoK.,1964Q8,1996Q6
MoK.,1964Q8,1996Q2
MoK.,1968Q9,1996Q2
MoK.,1968Q9,1964Q4
MoK.,1964Q4,1964Q9
MoK.,1964Q9,2012Q6
MoK.,2012Q1,2012Q6
MoK.,1996Q4,2012Q1
MoK.,1996Q4,2012Q3
anX.,2012Q4,1964Q5
anX.,1964Q5,2012Q7
anX.,2012Q7,1968Q5
anX.,2012Q1,1968Q5
anX.,2012Q1,1996Q4
anX.,1996Q4,2012Q5
anX.,2012Q5,1996Q2
anX.,1968Q6,1996Q2
anX.,1968Q6,1964Q8
anX.,1964Q8,1996Q7
anX.,1968Q8,1996Q7
anX.,1968Q8,1964Q6
anX.,1996Q10,1964Q8
anX.,1996Q10,1968Q5
anX.,1996Q8,1968Q5
anX.,1996Q9,1996Q8
anX.,1996Q9,2012Q2
