judge,candidate_chosen,candidate_not_chosen
12,28196852,20196841
12,20196841,20196849
3,71201257,20196841
3,20196841,28196855
7,29196851,20196841
7,20196841,581996513
2,20196841,21196816
14,20196841,80201244
10,20196841,651996113
16,85196455,20196843
16,58199653,20196843
4,58199658,20196843
17,20196843,88196459
17,103201253,20196843
5,20196843,34196814
5,79201243,20196843
5,73201216,20196843
5,20196843,621996110
5,33196853,20196843
11,32196857,20196843
11,20196843,65199616
11,20196843,95196446
11,20196843,631996111
10,85196451,20196843
16,20196844,100196415
16,70201251,20196844
18,20196844,66199613
18,24196817,20196844
12,20196844,95196449
3,20196844,58199652
17,83201242,20196844
19,20196846,58199658
19,28196859,20196846
8,24196818,20196846
17,20196846,581996510
5,20196846,102196413
13,20196846,102196414
9,20196846,611996511
11,98196416,20196846
11,20196846,60199651
11,20196846,74201213
12,20196847,65199615
15,20196847,58199656
13,20196847,102196413
13,20196847,29196855
11,20196843,20196847
11,20196847,37196847
2,20196847,74201217
18,20196844,20196848
17,20196848,97196416
17,20196848,26196849
15,20196848,71201254
9,20196848,31196841
9,32196858,20196848
2,59199654,20196848
2,20196848,37196848
18,20196849,61199657
18,23196859,20196849
1,20196849,59199656
12,94196445,20196849
4,23196852,20196849
13,68201258,20196849
10,20196849,92196442
18,95196442,21196811
18,29196851,21196811
18,21196811,651996113
12,57199655,21196811
3,69201254,21196811
8,21196811,73201212
4,21196811,94196449
7,94196443,21196811
7,21196811,73201212
20,23196853,21196811
20,21196811,65199615
11,21196811,27196818
11,64199616,21196811
19,58199654,21196812
12,752012115,21196812
6,79201242,21196812
8,92196447,21196812
4,59199659,21196812
2,60199653,21196812
2,21196812,64199613
2,79201247,21196812
10,98196416,21196812
10,21196812,98196414
16,33196853,21196813
19,69201253,21196813
19,21196813,81201242
7,93196444,21196813
7,21196813,26196849
5,97196416,21196813
5,21196813,20196843
16,66199619,21196814
18,59199653,21196814
18,21196814,76201215
8,71201257,21196814
8,671996112,21196814
7,57199656,21196814
7,65199611,21196814
5,29196858,21196814
15,96196442,21196814
15,34196818,21196814
9,581996513,21196814
2,64199618,21196814
12,21196816,661996110
3,21196816,29196853
2,601996511,21196816
18,33196853,21196818
18,21196818,85196453
1,21196818,63199617
5,21196818,77201211
13,33196858,21196818
11,23196859,21196818
11,21196818,1021964110
2,21196818,66199612
2,601996513,21196818
2,21196818,91196443
14,36196849,21196818
14,21196818,61199652
16,21196819,67199614
16,631996112,21196819
7,21196819,24196814
13,71201251,21196819
13,36196847,21196819
13,71201255,21196819
9,31196849,21196819
11,60199657,21196819
2,21196819,98196413
2,581996510,21196819
14,21196819,79201248
14,61199654,21196819
16,22196841,65199617
3,22196841,80201247
8,37196844,22196841
8,22196841,581996511
7,22196841,631996111
16,22196843,752012118
18,22196843,63199618
18,57199652,22196843
1,22196843,73201211
19,22196843,75201211
6,22196843,78201218
7,22196843,58199652
20,22196843,63199613
11,22196843,86196459
16,22196844,103201257
19,22196844,62199611
4,97196416,22196844
7,22196844,60199658
5,101196419,22196844
13,80201242,22196844
13,22196844,77201212
11,22196844,103201251
2,29196859,22196844
12,22196847,72201258
4,22196847,27196818
7,22196847,621996112
13,22196847,86196456
11,22196847,87196458
2,22196847,103201258
2,31196848,22196847
1,22196848,67199614
19,78201217,22196848
19,22196848,22196841
4,22196848,66199615
17,22196848,84201242
13,22196848,21196819
9,22196848,101196417
11,22196848,661996111
11,22196848,100196413
