judge,candidate_chosen,candidate_not_chosen
2A12ABy12ABr,2J12JBs12JBr,2A12ACy12ACo
2A12ABy12ABr,2G12GRn12GRO,2J12JBy12JBe
2A12ABy12ABr,2J12JBy12JBe,2T12TBn12TBr
2A12ABy12ABr,2T12TBn12TBr,2C12CSs12CSt
2A12ABy12ABr,2C12CSs12CSt,2M12MDs12MDa
2A12ABy12ABr,2M12MDs12MDa,1R11RDs11RDM
2A12ABy12ABr,1R11RDs11RDM,2V12VJn12VJF
2A12ABy12ABr,2L12LL512LLi,2V12VJn12VJF
2A12ABy12ABr,2L12LL512LLi,2J12JTl12JTN
2A12ABy12ABr,2G12GRa12GRa,2J12JTl12JTN
2A12ABy12ABr,2H12HRs12HRo,2G12GRa12GRa
2A12ABy12ABr,2A12AEn12AEL,2H12HRs12HRo
2A12ABy12ABr,2A12AEn12AEL,2A12AKi12AKo
2A12ABy12ABr,2A12AKi12AKo,2D12DMy12DMa
2A12ABy12ABr,2D12DMy12DMa,2J12JBs12JBr
2A12ABy12ABr,2R12RDr12RDC,2A12ASi12ASe
2A12ABy12ABr,2L12LFy12LFa,2R12RDr12RDC
2A12ABy12ABr,2M12MWn12MWa,2L12LFy12LFa
2A12ABy12ABr,2J12JEy12JEM,2Y12YZ512YZh
2A12ACy12ACo,2B12BJs12BJG,2P12PHn12PHa
2A12ACy12ACo,2O12OJn12OJB,2Z12ZAn12ZAy
2A12ACy12ACo,2J12JHn12JHo,2Z12ZAn12ZAy
2A12ACy12ACo,2S12SFh12SFr,2J12JHn12JHo
2A12ACy12ACo,2S12SHw12SHa,2S12SFh12SFr
2A12ACy12ACo,2V12VMa12VMa,2S12SHw12SHa
2A12ACy12ACo,2V12VMa12VMa,2T12TH212THu
2A12ACy12ACo,2T12TH212THu,2D12DMr12DMi
2A12ACy12ACo,2O12OSb12OSa,2D12DMr12DMi
2A12ACy12ACo,2O12OSb12OSa,2A12AKi12AKo
2A12ACy12ACo,2A12AKi12AKo,2C12CAs12CAL
2A12ACy12ACo,2C12CAs12CAL,2Y12YZ512YZh
2A12ACy12ACo,2Y12YZ512YZh,2H12HYo12HYH
2A12ACy12ACo,2W12WJs12WJo,2H12HYo12HYH
2A12ACy12ACo,2W12WJs12WJo,2M12MGy12MGH
2A12ACy12ACo,2W12WJe12WJS,2M12MGy12MGH
2A12ADn12ADa,2K12KMi12KMa,2D12DBe12DBy
2A12ADn12ADa,2K12KMi12KMa,2E12EAa12EAd
2A12ADn12ADa,2A12AHr12AHa,2E12EAa12EAd
2A12ADn12ADa,2A12AHr12AHa,1L11LMn11LMc
2A12ADn12ADa,2N12NLn12NLE,1L11LMn11LMc
2A12ADn12ADa,2N12NLn12NLE,2C12CAs12CAL
2A12ADn12ADa,2S12SVe12SVi,2C12CAs12CAL
2A12ADn12ADa,2S12SVe12SVi,2L12LWe12LWh
2A12ADn12ADa,2W12WHh12WHa,2L12LWe12LWh
2A12ADn12ADa,2W12WHh12WHa,2T12TSu12TSa
2A12ADn12ADa,2J12JCd12JCR,2T12TSu12TSa
2A12ADn12ADa,2J12JCd12JCR,2J12JGs12JGr
2A12ADn12ADa,2Y12YZ512YZh,2J12JGs12JGr
2A12ADn12ADa,2A12AKi12AKo,2Y12YZ512YZh
2A12ADn12ADa,2A12AGl12AGo,2A12AKi12AKo
2A12ADn12ADa,2A12AGl12AGo,2J12JJt12JJS
2A12ADn12ADa,2J12JJt12JJS,2J12JL212JLB
2A12ADn12ADa,2J12JL212JLB,2J12JSn12JSh
2A12ADn12ADa,1M11MJo11MJi,2J12JSn12JSh
2A12AEn12AEL,2E12EKn12EKH,2C12CAs12CAL
2A12AEn12AEL,2E12EAa12EAd,2C12CAs12CAL
2A12AEn12AEL,2Y12YZ712YZh,2E12EAa12EAd
2A12AEn12AEL,2Y12YZ712YZh,2Y12YL112YLi
2A12AEn12AEL,2Y12YL112YLi,2H12HYo12HYH
2A12AEn12AEL,2N12NMu12NML,2H12HYo12HYH
2A12AEn12AEL,2A12ATs12ATh,2N12NMu12NML
2A12AEn12AEL,2A12ATs12ATh,2Y12YZ512YZh
2A12AEn12AEL,2X12XJn12XJC,2Y12YZ512YZh
2A12AEn12AEL,2X12XJn12XJC,2D12DRd12DRi
2A12AEn12AEL,2D12DRd12DRi,2W12WJe12WJS
2A12AEn12AEL,2W12WJe12WJS,2Z12ZAn12ZAy
2A12AEn12AEL,2M12MJr12MJT,2Z12ZAn12ZAy
2A12AEn12AEL,2M12MJr12MJT,1C11CFu11CFA
2A12AEn12AEL,1C11CFu11CFA,2A12AW212AWi
2A12AEn12AEL,1L11LAr11LAH,2A12AW212AWi
2A12AEn12AEL,1L11LAr11LAH,1Z11ZC211ZCh
2A12AEn12AEL,2K12KGk12KGl,1Z11ZC211ZCh
2A12AGl12AGo,2Y12YXo12YXi,2H12HRs12HRo
2A12AGl12AGo,2Y12YXo12YXi,2S12SVe12SVi
2A12AGl12AGo,2S12SVe12SVi,2J12JHe12JHa
2A12AGl12AGo,2J12JHe12JHa,2Y12YZ512YZh
2A12AGl12AGo,2K12KMi12KMa,2Y12YZ512YZh
2A12AGl12AGo,2K12KMi12KMa,2J12JBs12JBr
2A12AGl12AGo,2V12VJn12VJF,2J12JBs12JBr
2A12AGl12AGo,2V12VJn12VJF,2M12MNi12MNk
2A12AGl12AGo,2S12SHs12SHa,2M12MNi12MNk
2A12AGl12AGo,2S12SHs12SHa,2A12ASi12ASe
2A12AGl12AGo,2A12ASi12ASe,2S12SPt12SPa
2A12AGl12AGo,2R12RDr12RDC,2S12SPt12SPa
2A12AGl12AGo,2L12LWu12LWu,2R12RDr12RDC
2A12AGl12AGo,2O12OSb12OSa,2L12LWu12LWu
2A12AGl12AGo,2O12OSb12OSa,1R11RDs11RDM
2A12AGl12AGo,1R11RDs11RDM,2H12HYo12HYH
2A12AGl12AGo,2E12EKn12EKH,2H12HYo12HYH
2A12AGl12AGo,2E12EKn12EKH,2S12SKe12SKe
2A12AGl12AGo,2N12NLn12NLE,2S12SKe12SKe
2A12AHr12AHa,2P12PHn12PHa,2Z12ZPr12ZPr
2A12AHr12AHa,2M12MWn12MWa,2P12PHn12PHa
2A12AHr12AHa,2C12CSs12CSt,2M12MWn12MWa
2A12AHr12AHa,2C12CSs12CSt,2N12NLn12NLE
2A12AHr12AHa,2N12NLn12NLE,2V12VJn12VJF
2A12AHr12AHa,2S12SPt12SPa,2V12VJn12VJF
2A12AHr12AHa,2L12LGg12LGK,2S12SPt12SPa
2A12AHr12AHa,2J12JHe12JHa,2L12LGg12LGK
2A12AHr12AHa,2J12JHe12JHa,2N12NMu12NML
2A12AHr12AHa,2K12KMi12KMa,2N12NMu12NML
2A12AHr12AHa,2B12BDy12BDA,2K12KMi12KMa
2A12AHr12AHa,2B12BDy12BDA,2M12MJk12MJH
2A12AHr12AHa,2M12MJk12MJH,2J12JHn12JHo
2A12AHr12AHa,2J12JBy12JBe,2J12JHn12JHo
2A12AHr12AHa,2J12JCd12JCR,2A12ACy12ACo
2A12AHr12AHa,2A12ASi12ASe,2J12JCd12JCR
2A12AHr12AHa,2A12ASi12ASe,2D12DRd12DRi
2A12AHr12AHa,2L12LGg12LGK,2K12KGk12KGl
2A12AHr12AHa,2L12LFy12LFa,2K12KGk12KGl
2A12AHr12AHa,2L12LFy12LFa,2M12MHm12MHH
2A12AKi12AKo,2M12MWn12MWa,2S12SVe12SVi
2A12AKi12AKo,2J12JHn12JHo,2S12SFh12SFr
2A12AKi12AKo,2K12KMi12KMa,2J12JHn12JHo
2A12AKi12AKo,2K12KMi12KMa,2A12AGl12AGo
2A12AKi12AKo,2A12AGl12AGo,2H12HJn12HJM
2A12AKi12AKo,2H12HJn12HJM,2S12SBl12SBa
2A12AKi12AKo,2K12KMl12KMV,2S12SBl12SBa
2A12AKi12AKo,2K12KMl12KMV,2P12PHt12PHu
2A12AKi12AKo,2S12SWy12SWe,2G12GRa12GRa
2A12AKi12AKo,2G12GRa12GRa,2J12JSn12JSh
2A12AKi12AKo,2A12ACy12ACo,2J12JBy12JBe
2A12AKi12AKo,2R12RFw12RFi,2A12ACy12ACo
2A12AKi12AKo,2N12NLn12NLE,2R12RFw12RFi
2A12AKi12AKo,2J12JJt12JJS,2N12NLn12NLE
2A12AKi12AKo,2J12JJt12JJS,2B12BJs12BJG
2A12AKi12AKo,2B12BJs12BJG,2G12GSl12GSh
2A12AKi12AKo,2Y12YL112YLi,2G12GSl12GSh
2A12AKi12AKo,2J12JPs12JPB,2Y12YL112YLi
2A12AKi12AKo,2J12JPs12JPB,2H12HJk12HJB
2A12AKi12AKo,2W12WJs12WJo,2H12HJk12HJB
2A12AKi12AKo,2W12WJs12WJo,2M12MJr12MJT
2A12AKi12AKo,1L11LMn11LMc,2M12MJr12MJT
2A12AKi12AKo,2B12BDy12BDA,2A12AHr12AHa
2A12AKi12AKo,2B12BJs12BJG,2A12AHr12AHa
2A12AKi12AKo,2B12BJs12BJG,1N11NSy11NSi
2A12AKi12AKo,2J12JJt12JJS,1N11NSy11NSi
2A12AKi12AKo,2J12JJt12JJS,2J12JBs12JBr
2A12AKi12AKo,2J12JBs12JBr,2R12RDr12RDC
2A12AKi12AKo,2R12RDr12RDC,2W12WJs12WJo
2A12AKi12AKo,2W12WJs12WJo,2E12EKn12EKH
2A12AKi12AKo,2L12LWn12LWi,2E12EKn12EKH
2A12AKi12AKo,2J12JBt12JBe,2L12LWn12LWi
2A12ALs12ALu,2O12OSb12OSa,2J12JHn12JHo
2A12ALs12ALu,2M12MJr12MJT,2J12JHn12JHo
2A12ALs12ALu,2M12MJr12MJT,2M12MNi12MNk
2A12ALs12ALu,2G12GSl12GSh,2M12MNi12MNk
2A12ALs12ALu,2G12GSl12GSh,2Z12ZLu12ZLu
2A12ALs12ALu,2Z12ZLu12ZLu,2C12CAs12CAL
2A12ALs12ALu,2S12SFh12SFr,2C12CAs12CAL
2A12ALs12ALu,2D12DMn12DMF,2S12SFh12SFr
2A12ALs12ALu,2D12DMn12DMF,2L12LHu12LHu
2A12ALs12ALu,2H12HYo12HYH,2L12LHu12LHu
2A12ALs12ALu,2O12OJn12OJB,2H12HYo12HYH
2A12ALs12ALu,2O12OJn12OJB,1C11CFu11CFA
2A12ALs12ALu,2J12JSm12JSS,1C11CFu11CFA
2A12ALs12ALu,2J12JSm12JSS,1M11MJo11MJi
2A12ALs12ALu,2J12JCd12JCR,1M11MJo11MJi
2A12ALs12ALu,2V12VMa12VMa,2J12JCd12JCR
2A12ALs12ALu,2A12AGl12AGo,2V12VMa12VMa
2A12ALs12ALu,2A12AGl12AGo,2A12AM212AMa
2A12ALs12ALu,2A12ATs12ATh,2A12AM212AMa
2A12ALs12ALu,2J12JKr12JKi,2Z12ZLu12ZLu
2A12ALs12ALu,2M12MDs12MDa,2Z12ZLu12ZLu
2A12ALs12ALu,2M12MDs12MDa,2Y12YL112YLi
2A12ALs12ALu,2Y12YL112YLi,2W12WWr12WWh
2A12ALs12ALu,2J12JEy12JEM,2W12WWr12WWh
2A12ALs12ALu,1R11RDs11RDM,2J12JEy12JEM
