study,judge,candidate_chosen,candidate_not_chosen
experts-even,110,4,20
experts-even,110,18,2
experts-even,110,10,14
experts-even,110,20,12
experts-even,110,10,8
experts-even,110,18,6
experts-even,110,16,14
experts-even,110,14,4
experts-even,110,12,2
experts-even,110,8,12
experts-even,110,12,6
experts-even,110,8,16
experts-even,110,2,20
experts-even,110,18,20
experts-even,110,10,6
experts-even,110,16,4
experts-even,110,12,18
experts-even,110,10,18
experts-even,110,8,4
experts-even,110,2,6
experts-even,111,10,16
experts-even,111,14,12
experts-even,112,14,6
experts-even,112,6,20
experts-even,112,18,4
experts-even,112,14,8
experts-even,112,20,16
experts-even,112,10,2
experts-even,112,4,2
experts-even,112,6,8
experts-even,112,16,2
experts-even,112,10,20
experts-even,112,18,16
experts-even,112,4,10
experts-even,112,10,12
experts-even,112,20,8
experts-even,111,20,16
experts-even,112,2,14
experts-even,112,18,8
experts-even,112,4,6
experts-even,112,16,12
experts-even,112,18,14
experts-even,112,4,12
experts-even,111,14,2
experts-even,111,2,8
experts-even,111,16,6
experts-even,111,10,20
experts-even,111,18,6
experts-even,111,2,4
experts-even,111,20,12
experts-even,111,12,8
experts-even,111,14,8
experts-even,111,14,18
experts-even,111,10,6
experts-even,111,4,20
experts-even,111,14,16
experts-even,111,18,16
experts-even,111,10,20
experts-even,111,4,16
experts-even,111,12,16
experts-even,113,12,8
experts-even,113,2,6
experts-even,113,6,18
experts-even,113,10,12
experts-even,113,2,4
experts-even,113,14,8
experts-even,113,20,12
experts-even,113,14,18
experts-even,113,10,4
experts-even,113,12,8
experts-even,113,6,8
experts-even,113,2,4
experts-even,113,10,20
experts-even,113,12,18
experts-even,113,12,6
experts-even,113,2,16
experts-even,113,14,6
experts-even,113,10,20
experts-even,113,10,18
experts-even,113,4,16
experts-even,114,6,8
experts-even,114,2,8
experts-even,114,20,14
experts-even,114,10,18
experts-even,114,2,4
experts-even,114,14,16
experts-even,114,20,16
experts-even,114,12,18
experts-even,114,4,12
experts-even,109,2,8
experts-even,109,20,6
experts-even,109,8,14
experts-even,109,18,6
experts-even,109,10,14
experts-even,114,8,18
experts-even,114,4,16
experts-even,114,2,8
experts-even,114,20,12
experts-even,114,10,8
experts-even,114,4,18
experts-even,109,4,14
experts-even,109,18,6
experts-even,114,6,4
experts-even,114,6,16
experts-even,109,16,6
experts-even,114,2,18
experts-even,114,20,12
experts-even,109,2,12
experts-even,114,10,2
experts-even,109,10,18
experts-even,109,16,14
experts-even,109,20,16
experts-even,109,4,14
experts-even,109,20,18
experts-even,109,10,6
experts-even,109,18,8
experts-even,109,2,8
experts-even,109,14,8
experts-even,109,20,14
experts-even,109,10,12
experts-even,115,4,6
experts-even,115,10,16
experts-even,115,2,8
experts-even,115,2,20
experts-even,115,4,6
experts-even,115,12,18
experts-even,115,12,16
experts-even,115,14,6
experts-even,115,14,20
experts-even,115,10,18
experts-even,115,4,6
experts-even,115,20,16
experts-even,115,2,12
experts-even,115,10,6
experts-even,115,8,4
experts-even,115,12,16
experts-even,115,2,6
experts-even,115,14,6
experts-even,115,12,20
experts-even,115,10,12
experts-even,116,18,4
experts-even,116,8,18
experts-even,116,10,16
experts-even,116,10,2
experts-even,116,4,14
experts-even,116,10,20
experts-even,116,8,4
experts-even,116,10,16
experts-even,116,6,2
experts-even,116,2,14
experts-even,116,20,12
experts-even,116,8,18
experts-even,116,20,16
experts-even,116,14,18
experts-even,116,14,4
experts-even,116,10,8
experts-even,116,8,16
experts-even,116,2,18
experts-even,116,10,20
experts-even,116,4,12
