study,judge,candidate_chosen,candidate_not_chosen
experts-odd,99,13,1
experts-odd,100,11,13
experts-odd,99,15,3
experts-odd,100,15,9
experts-odd,100,5,9
experts-odd,99,13,5
experts-odd,99,3,19
experts-odd,100,19,11
experts-odd,99,7,1
experts-odd,99,5,17
experts-odd,100,7,13
experts-odd,99,7,3
experts-odd,100,19,17
experts-odd,99,13,17
experts-odd,99,15,19
experts-odd,100,19,15
experts-odd,100,11,17
experts-odd,100,3,9
experts-odd,99,11,17
experts-odd,100,15,1
experts-odd,100,5,1
experts-odd,100,19,9
experts-odd,99,9,1
experts-odd,100,7,15
experts-odd,100,3,11
experts-odd,99,7,15
experts-odd,99,5,19
experts-odd,99,13,19
experts-odd,100,19,5
experts-odd,100,19,11
experts-odd,99,11,7
experts-odd,99,13,3
experts-odd,100,3,11
experts-odd,99,5,9
experts-odd,100,9,1
experts-odd,99,15,1
experts-odd,100,7,17
experts-odd,99,7,17
experts-odd,100,3,17
experts-odd,99,13,9
experts-odd,103,5,3
experts-odd,103,7,1
experts-odd,103,15,13
experts-odd,103,11,15
experts-odd,103,5,3
experts-odd,103,9,15
experts-odd,103,9,1
experts-odd,103,11,17
experts-odd,103,7,13
experts-odd,103,5,15
experts-odd,103,1,11
experts-odd,103,19,17
experts-odd,103,13,1
experts-odd,103,5,15
experts-odd,103,3,17
experts-odd,103,9,3
experts-odd,103,7,13
experts-odd,103,3,11
experts-odd,103,7,5
experts-odd,103,19,15
experts-odd,101,15,9
experts-odd,102,9,1
experts-odd,102,7,17
experts-odd,102,9,13
experts-odd,102,11,3
experts-odd,102,5,3
experts-odd,102,19,15
experts-odd,102,11,1
experts-odd,102,17,13
experts-odd,102,5,15
experts-odd,102,11,19
experts-odd,102,5,7
experts-odd,102,11,1
experts-odd,102,11,17
experts-odd,102,11,13
experts-odd,102,19,5
experts-odd,102,9,15
experts-odd,102,1,7
experts-odd,102,1,17
experts-odd,104,19,17
experts-odd,102,1,13
experts-odd,102,19,3
experts-odd,104,19,13
experts-odd,104,7,9
experts-odd,104,5,13
experts-odd,104,3,11
experts-odd,104,15,9
experts-odd,104,7,19
experts-odd,104,19,17
experts-odd,104,5,15
experts-odd,104,3,13
experts-odd,104,7,9
experts-odd,104,19,1
experts-odd,104,5,17
experts-odd,104,7,3
experts-odd,104,3,9
experts-odd,104,17,1
experts-odd,104,13,1
experts-odd,104,19,11
experts-odd,104,5,1
experts-odd,104,9,17
experts-odd,105,13,7
experts-odd,105,15,17
experts-odd,105,15,11
experts-odd,105,13,5
experts-odd,105,3,5
experts-odd,105,9,1
experts-odd,105,7,17
experts-odd,105,11,5
experts-odd,105,3,5
experts-odd,105,9,11
experts-odd,105,5,7
experts-odd,105,13,5
experts-odd,105,9,15
experts-odd,105,19,3
experts-odd,105,15,7
experts-odd,105,9,1
experts-odd,105,3,17
experts-odd,105,19,13
experts-odd,105,3,11
experts-odd,105,3,7
experts-odd,106,7,1
experts-odd,106,19,17
experts-odd,106,13,9
experts-odd,106,15,9
experts-odd,106,11,3
experts-odd,106,9,1
experts-odd,106,7,17
experts-odd,106,13,15
experts-odd,106,11,15
experts-odd,106,19,1
experts-odd,106,9,17
experts-odd,106,19,13
experts-odd,106,11,1
experts-odd,106,5,9
experts-odd,106,7,15
experts-odd,106,11,17
experts-odd,106,13,3
experts-odd,106,5,3
experts-odd,106,19,13
experts-odd,106,19,7
experts-odd,107,15,1
experts-odd,107,7,17
experts-odd,107,11,7
experts-odd,107,5,1
experts-odd,107,15,17
experts-odd,107,7,13
experts-odd,107,11,17
experts-odd,107,9,5
experts-odd,107,3,1
experts-odd,107,19,1
experts-odd,107,13,15
experts-odd,107,11,15
experts-odd,107,5,15
experts-odd,107,3,15
experts-odd,107,7,19
experts-odd,107,9,19
experts-odd,107,15,17
experts-odd,107,7,13
experts-odd,107,11,13
experts-odd,107,11,5
experts-odd,108,5,3
experts-odd,108,9,17
experts-odd,108,1,9
experts-odd,108,3,11
experts-odd,108,19,13
experts-odd,108,1,17
experts-odd,108,9,5
experts-odd,108,1,3
experts-odd,108,19,11
experts-odd,108,7,5
experts-odd,108,9,17
experts-odd,108,9,13
experts-odd,108,3,11
experts-odd,108,19,5
experts-odd,108,7,13
experts-odd,108,1,19
experts-odd,108,15,17
experts-odd,108,3,13
experts-odd,108,7,17
experts-odd,108,7,1
