study,judge,candidate_chosen,candidate_not_chosen
experts-withsolutions,87,8,20
experts-withsolutions,87,4,13
experts-withsolutions,87,18,11
experts-withsolutions,87,1,10
experts-withsolutions,87,7,15
experts-withsolutions,87,5,11
experts-withsolutions,87,3,17
experts-withsolutions,87,19,12
experts-withsolutions,87,9,12
experts-withsolutions,87,16,6
experts-withsolutions,87,2,19
experts-withsolutions,87,2,14
experts-withsolutions,87,20,19
experts-withsolutions,87,16,13
experts-withsolutions,87,18,12
experts-withsolutions,87,10,17
experts-withsolutions,87,20,15
experts-withsolutions,87,5,15
experts-withsolutions,87,3,16
experts-withsolutions,87,4,19
experts-withsolutions,87,8,11
experts-withsolutions,87,9,15
experts-withsolutions,87,19,6
experts-withsolutions,87,7,19
experts-withsolutions,87,2,1
experts-withsolutions,88,17,14
experts-withsolutions,88,13,1
experts-withsolutions,88,18,20
experts-withsolutions,88,11,10
experts-withsolutions,88,5,4
experts-withsolutions,88,3,9
experts-withsolutions,88,18,8
experts-withsolutions,88,6,15
experts-withsolutions,88,8,7
experts-withsolutions,88,5,14
experts-withsolutions,88,15,13
experts-withsolutions,88,3,10
experts-withsolutions,88,6,4
experts-withsolutions,88,12,4
experts-withsolutions,88,9,19
experts-withsolutions,88,14,16
experts-withsolutions,88,2,20
experts-withsolutions,88,18,7
experts-withsolutions,88,6,1
experts-withsolutions,88,17,4
experts-withsolutions,88,17,13
experts-withsolutions,88,4,10
experts-withsolutions,88,14,11
experts-withsolutions,88,5,9
experts-withsolutions,88,12,3
experts-withsolutions,93,9,8
experts-withsolutions,93,2,16
experts-withsolutions,93,7,1
experts-withsolutions,93,20,13
experts-withsolutions,93,13,18
experts-withsolutions,93,10,19
experts-withsolutions,93,11,17
experts-withsolutions,93,5,12
experts-withsolutions,93,3,15
experts-withsolutions,93,8,17
experts-withsolutions,93,6,17
experts-withsolutions,93,7,16
experts-withsolutions,93,2,8
experts-withsolutions,93,9,1
experts-withsolutions,93,14,15
experts-withsolutions,93,20,11
experts-withsolutions,93,19,18
experts-withsolutions,93,10,6
experts-withsolutions,93,20,5
experts-withsolutions,93,3,8
experts-withsolutions,93,11,12
experts-withsolutions,93,10,16
experts-withsolutions,93,2,6
experts-withsolutions,93,7,6
experts-withsolutions,93,8,1
experts-withsolutions,94,9,14
experts-withsolutions,94,19,13
experts-withsolutions,94,2,18
experts-withsolutions,94,5,16
experts-withsolutions,94,3,2
experts-withsolutions,94,4,18
experts-withsolutions,94,2,12
experts-withsolutions,94,7,17
experts-withsolutions,94,3,1
experts-withsolutions,94,7,14
experts-withsolutions,94,20,17
experts-withsolutions,94,10,13
experts-withsolutions,94,4,15
experts-withsolutions,94,11,6
experts-withsolutions,94,5,18
experts-withsolutions,94,14,12
experts-withsolutions,94,9,6
experts-withsolutions,94,11,16
experts-withsolutions,94,1,18
experts-withsolutions,94,10,20
experts-withsolutions,94,14,13
experts-withsolutions,94,2,15
experts-withsolutions,94,5,13
experts-withsolutions,94,3,6
experts-withsolutions,94,2,4
experts-withsolutions,89,10,12
experts-withsolutions,89,8,6
experts-withsolutions,89,9,16
experts-withsolutions,89,7,3
experts-withsolutions,89,1,17
experts-withsolutions,89,20,9
experts-withsolutions,89,15,17
experts-withsolutions,89,2,11
experts-withsolutions,89,7,5
experts-withsolutions,89,9,4
experts-withsolutions,89,19,5
experts-withsolutions,89,12,16
experts-withsolutions,89,8,13
experts-withsolutions,89,19,1
experts-withsolutions,89,14,1
experts-withsolutions,89,16,20
experts-withsolutions,89,17,18
experts-withsolutions,89,10,7
experts-withsolutions,89,12,15
experts-withsolutions,89,7,11
experts-withsolutions,89,20,3
experts-withsolutions,89,4,8
experts-withsolutions,89,14,4
experts-withsolutions,89,13,6
experts-withsolutions,89,16,18
experts-withsolutions,90,8,10
experts-withsolutions,90,15,19
experts-withsolutions,90,11,15
experts-withsolutions,90,5,17
experts-withsolutions,90,3,4
experts-withsolutions,90,8,12
experts-withsolutions,90,9,2
experts-withsolutions,90,5,1
experts-withsolutions,90,20,14
