study,judge,candidate_chosen,candidate_not_chosen
students-even,57,8,20
students-even,57,12,6
students-even,57,4,16
students-even,57,10,20
students-even,57,18,6
students-even,57,14,6
students-even,57,2,18
students-even,57,8,12
students-even,57,2,16
students-even,57,10,6
students-even,58,8,16
students-even,57,18,14
students-even,58,2,14
students-even,57,8,4
students-even,58,8,4
students-even,57,20,6
students-even,58,20,4
students-even,57,20,12
students-even,57,10,18
students-even,58,12,4
students-even,57,12,18
students-even,57,16,6
students-even,57,14,10
students-even,57,2,4
students-even,58,6,16
students-even,57,16,14
students-even,58,2,10
students-even,58,20,14
students-even,58,10,12
students-even,58,18,8
students-even,58,2,12
students-even,58,20,16
students-even,58,10,8
students-even,58,18,16
students-even,58,14,4
students-even,58,2,20
students-even,58,14,12
students-even,58,8,6
students-even,58,10,4
students-even,58,18,20
students-even,59,2,8
students-even,59,16,12
students-even,59,10,16
students-even,59,18,4
students-even,59,6,4
students-even,59,14,8
students-even,59,2,6
students-even,59,20,6
students-even,59,14,12
students-even,59,10,12
students-even,59,18,8
students-even,59,2,8
students-even,59,14,20
students-even,59,20,16
students-even,59,10,6
students-even,59,14,18
students-even,59,2,16
students-even,59,10,4
students-even,59,10,12
students-even,59,18,6
students-even,60,2,18
students-even,60,2,4
students-even,60,20,10
students-even,60,12,18
students-even,60,12,8
students-even,60,6,16
students-even,60,14,6
students-even,60,6,4
students-even,60,20,12
students-even,60,20,8
students-even,60,20,16
students-even,60,20,14
students-even,60,2,6
students-even,60,4,8
students-even,60,2,16
students-even,60,2,10
students-even,60,18,8
students-even,60,20,14
students-even,60,4,18
students-even,60,10,12
students-even,61,6,16
students-even,61,16,14
students-even,61,18,4
students-even,61,14,12
students-even,61,8,12
students-even,61,20,10
students-even,61,2,10
students-even,61,12,4
students-even,61,16,8
students-even,61,16,18
students-even,61,16,14
students-even,61,2,4
students-even,61,14,8
students-even,61,2,10
students-even,61,18,14
students-even,61,12,6
students-even,61,4,8
students-even,61,20,8
students-even,61,14,10
students-even,61,16,18
students-even,62,8,6
students-even,62,20,2
students-even,62,20,4
students-even,62,12,16
students-even,62,10,4
students-even,62,10,18
students-even,62,12,6
students-even,62,2,6
students-even,62,18,16
students-even,62,14,2
students-even,62,18,4
students-even,62,20,2
students-even,62,2,12
students-even,62,8,18
students-even,62,10,8
students-even,62,10,6
students-even,62,2,14
students-even,62,18,4
students-even,62,20,16
students-even,62,12,8
students-even,63,20,6
students-even,63,8,14
students-even,63,8,4
students-even,63,4,12
students-even,63,16,12
students-even,63,10,8
students-even,63,16,6
students-even,63,14,18
students-even,63,16,20
students-even,63,10,12
students-even,63,14,6
students-even,63,2,18
students-even,63,10,4
students-even,63,8,20
students-even,63,14,6
students-even,63,16,2
students-even,63,4,20
students-even,63,2,12
students-even,63,10,18
students-even,63,12,6
students-even,64,14,4
students-even,64,20,8
students-even,64,14,16
students-even,64,10,18
students-even,64,6,8
students-even,64,2,12
students-even,64,6,4
students-even,64,10,20
students-even,64,16,8
students-even,64,20,18
students-even,64,14,4
students-even,64,2,8
students-even,64,2,12
students-even,64,16,4
students-even,64,10,8
students-even,64,2,18
students-even,64,6,18
students-even,64,14,12
students-even,64,20,18
students-even,64,16,6
students-even,65,10,6
students-even,65,10,14
students-even,65,4,6
students-even,65,20,14
students-even,65,12,6
students-even,65,2,16
students-even,65,12,4
students-even,65,20,14
students-even,65,18,16
students-even,65,10,14
students-even,65,2,4
students-even,65,20,2
students-even,65,2,12
students-even,65,8,4
students-even,65,14,16
students-even,65,10,6
students-even,65,18,4
students-even,65,20,18
students-even,65,14,12
students-even,65,8,12
students-even,66,2,16
students-even,66,10,16
students-even,66,18,6
students-even,66,10,20
students-even,66,18,12
students-even,66,8,12
students-even,66,10,6
students-even,66,4,16
students-even,66,18,20
students-even,66,14,8
students-even,66,10,6
students-even,66,10,4
students-even,66,20,8
students-even,66,18,12
students-even,66,2,16
students-even,66,10,6
students-even,66,14,2
students-even,66,14,4
students-even,66,14,20
students-even,66,8,12
