study,judge,candidate_chosen,candidate_not_chosen
students-odd,45,13,1
students-odd,45,5,9
students-odd,45,5,15
students-odd,45,19,15
students-odd,45,9,11
students-odd,45,13,3
students-odd,45,17,1
students-odd,45,7,11
students-odd,45,19,1
students-odd,45,3,1
students-odd,45,17,11
students-odd,45,7,17
students-odd,45,13,17
students-odd,45,5,1
students-odd,45,3,15
students-odd,45,13,19
students-odd,45,9,17
students-odd,45,7,1
students-odd,45,5,17
students-odd,45,9,15
students-odd,46,5,19
students-odd,46,11,19
students-odd,46,7,3
students-odd,46,7,13
students-odd,46,15,17
students-odd,46,11,3
students-odd,46,9,19
students-odd,46,9,13
students-odd,46,7,5
students-odd,46,7,15
students-odd,46,15,11
students-odd,46,9,3
students-odd,46,15,13
students-odd,46,5,3
students-odd,46,19,17
students-odd,46,11,1
students-odd,46,5,13
students-odd,46,19,3
students-odd,46,11,13
students-odd,46,9,7
students-odd,47,1,15
students-odd,47,5,11
students-odd,47,7,19
students-odd,47,9,1
students-odd,47,3,17
students-odd,47,7,13
students-odd,47,5,19
students-odd,47,7,15
students-odd,47,5,11
students-odd,47,9,17
students-odd,47,3,5
students-odd,47,1,9
students-odd,47,13,11
students-odd,47,5,15
students-odd,47,19,17
students-odd,47,1,3
students-odd,47,13,17
students-odd,47,7,15
students-odd,47,19,17
students-odd,47,17,11
students-odd,48,9,11
students-odd,48,13,3
students-odd,48,1,17
students-odd,48,3,15
students-odd,48,19,11
students-odd,48,9,3
students-odd,48,3,7
students-odd,48,1,17
students-odd,48,7,13
students-odd,48,5,7
students-odd,48,15,3
students-odd,48,19,1
students-odd,48,9,1
students-odd,48,5,13
students-odd,48,17,15
students-odd,48,9,19
students-odd,48,11,19
students-odd,48,13,15
students-odd,48,5,3
students-odd,48,11,3
students-odd,49,19,9
students-odd,49,3,7
students-odd,49,17,1
students-odd,49,9,13
students-odd,49,5,7
students-odd,49,15,17
students-odd,49,11,7
students-odd,49,7,1
students-odd,49,9,13
students-odd,49,19,5
students-odd,49,15,13
students-odd,49,19,11
students-odd,49,1,7
students-odd,49,5,3
students-odd,49,15,7
students-odd,49,11,17
students-odd,49,9,11
students-odd,49,15,1
students-odd,49,9,13
students-odd,49,5,7
students-odd,50,19,13
students-odd,50,7,1
students-odd,50,5,1
students-odd,50,13,15
students-odd,50,19,1
students-odd,50,5,11
students-odd,50,9,15
students-odd,50,3,15
students-odd,50,17,3
students-odd,50,1,19
students-odd,50,3,11
students-odd,50,13,9
students-odd,50,17,11
students-odd,50,17,5
students-odd,50,19,13
students-odd,50,5,9
students-odd,50,1,15
students-odd,51,7,5
students-odd,51,1,19
students-odd,51,11,5
students-odd,51,9,7
students-odd,52,7,3
students-odd,52,17,11
students-odd,52,19,13
students-odd,52,15,17
students-odd,52,9,1
students-odd,52,5,3
students-odd,52,5,13
students-odd,52,9,15
students-odd,52,19,7
students-odd,52,1,11
students-odd,52,3,15
students-odd,52,17,1
students-odd,52,9,13
students-odd,52,5,19
students-odd,52,9,11
students-odd,52,7,3
students-odd,52,17,1
students-odd,54,13,17
students-odd,54,15,7
students-odd,54,19,17
students-odd,54,9,11
students-odd,54,3,11
students-odd,54,9,13
students-odd,54,15,13
students-odd,54,15,19
students-odd,54,3,7
students-odd,54,5,13
students-odd,54,19,17
students-odd,54,15,11
students-odd,54,3,9
students-odd,54,15,1
students-odd,54,5,17
students-odd,54,19,17
students-odd,54,15,11
students-odd,53,3,19
students-odd,53,7,13
students-odd,53,17,1
students-odd,53,5,3
students-odd,53,7,11
students-odd,53,1,9
students-odd,53,19,13
students-odd,53,15,5
students-odd,53,11,9
students-odd,53,3,11
students-odd,53,15,7
students-odd,53,3,1
students-odd,53,7,13
students-odd,53,5,17
students-odd,53,5,19
students-odd,53,19,9
students-odd,53,3,1
students-odd,53,3,13
students-odd,53,3,11
students-odd,53,3,9
students-odd,55,19,17
students-odd,55,7,9
students-odd,55,1,15
students-odd,55,13,7
students-odd,55,5,15
students-odd,55,5,11
students-odd,55,13,17
students-odd,55,13,1
students-odd,55,5,19
students-odd,55,9,11
students-odd,55,3,17
students-odd,55,7,13
students-odd,55,13,1
students-odd,55,13,15
students-odd,55,3,19
students-odd,55,19,11
students-odd,55,9,11
students-odd,55,19,17
students-odd,55,7,13
students-odd,55,1,15
students-odd,56,5,17
students-odd,56,9,13
students-odd,56,7,17
students-odd,56,5,1
students-odd,56,13,15
students-odd,56,11,13
students-odd,56,9,13
students-odd,56,7,5
students-odd,56,5,1
students-odd,56,15,1
students-odd,56,19,9
students-odd,56,11,1
students-odd,56,7,3
students-odd,56,1,17
students-odd,56,5,15
students-odd,56,19,17
students-odd,56,11,1
students-odd,56,9,17
students-odd,56,13,3
students-odd,56,19,7
