study,judge,candidate_chosen,candidate_not_chosen
students-withoutsolutions,1,5,2
students-withoutsolutions,1,4,17
students-withoutsolutions,1,10,13
students-withoutsolutions,1,8,2
students-withoutsolutions,1,18,15
students-withoutsolutions,1,12,16
students-withoutsolutions,1,8,19
students-withoutsolutions,1,15,17
students-withoutsolutions,1,14,12
students-withoutsolutions,1,20,9
students-withoutsolutions,1,1,5
students-withoutsolutions,1,7,1
students-withoutsolutions,1,10,5
students-withoutsolutions,1,11,13
students-withoutsolutions,1,19,18
students-withoutsolutions,1,5,12
students-withoutsolutions,1,20,14
students-withoutsolutions,1,3,13
students-withoutsolutions,1,7,19
students-withoutsolutions,1,6,9
students-withoutsolutions,2,1,4
students-withoutsolutions,2,3,12
students-withoutsolutions,2,5,15
students-withoutsolutions,2,7,18
students-withoutsolutions,2,18,9
students-withoutsolutions,2,17,6
students-withoutsolutions,2,5,11
students-withoutsolutions,2,10,15
students-withoutsolutions,2,8,1
students-withoutsolutions,2,2,3
students-withoutsolutions,2,18,13
students-withoutsolutions,2,14,6
students-withoutsolutions,2,20,18
students-withoutsolutions,2,16,13
students-withoutsolutions,2,19,3
students-withoutsolutions,2,5,7
students-withoutsolutions,2,7,9
students-withoutsolutions,2,2,4
students-withoutsolutions,2,9,11
students-withoutsolutions,2,20,10
students-withoutsolutions,3,19,9
students-withoutsolutions,3,6,4
students-withoutsolutions,3,11,9
students-withoutsolutions,3,10,5
students-withoutsolutions,3,2,13
students-withoutsolutions,3,15,12
students-withoutsolutions,3,3,12
students-withoutsolutions,3,7,15
students-withoutsolutions,3,11,9
students-withoutsolutions,3,10,9
students-withoutsolutions,3,4,17
students-withoutsolutions,3,2,18
students-withoutsolutions,3,14,20
students-withoutsolutions,3,5,16
students-withoutsolutions,3,10,7
students-withoutsolutions,3,19,8
students-withoutsolutions,3,13,18
students-withoutsolutions,3,16,8
students-withoutsolutions,3,5,4
students-withoutsolutions,3,7,2
students-withoutsolutions,4,3,4
students-withoutsolutions,4,11,16
students-withoutsolutions,4,14,7
students-withoutsolutions,4,15,12
students-withoutsolutions,4,7,20
students-withoutsolutions,4,5,19
students-withoutsolutions,4,18,6
students-withoutsolutions,4,19,4
students-withoutsolutions,4,19,11
students-withoutsolutions,4,10,11
students-withoutsolutions,4,8,4
students-withoutsolutions,4,14,2
students-withoutsolutions,4,14,17
students-withoutsolutions,4,18,12
students-withoutsolutions,4,5,20
students-withoutsolutions,4,1,12
students-withoutsolutions,4,3,17
students-withoutsolutions,4,10,9
students-withoutsolutions,4,8,6
students-withoutsolutions,4,2,16
students-withoutsolutions,5,17,3
students-withoutsolutions,5,7,12
students-withoutsolutions,5,20,19
students-withoutsolutions,5,16,12
students-withoutsolutions,5,2,1
students-withoutsolutions,5,17,5
students-withoutsolutions,5,9,14
students-withoutsolutions,5,2,6
students-withoutsolutions,5,2,13
students-withoutsolutions,5,6,15
students-withoutsolutions,5,16,18
students-withoutsolutions,5,20,6
students-withoutsolutions,5,1,14
students-withoutsolutions,5,3,11
students-withoutsolutions,5,17,14
students-withoutsolutions,5,2,18
students-withoutsolutions,5,20,1
students-withoutsolutions,5,10,16
students-withoutsolutions,5,19,1
students-withoutsolutions,5,3,18
students-withoutsolutions,6,9,4
students-withoutsolutions,6,4,6
students-withoutsolutions,6,10,11
students-withoutsolutions,6,16,14
students-withoutsolutions,6,1,17
students-withoutsolutions,6,7,18
students-withoutsolutions,6,13,20
students-withoutsolutions,6,19,7
