study,judge,candidate_chosen,candidate_not_chosen
students-withsolutions,23,19,13
students-withsolutions,23,13,11
students-withsolutions,23,10,4
students-withsolutions,23,3,4
students-withsolutions,23,16,13
students-withsolutions,23,16,9
students-withsolutions,23,20,8
students-withsolutions,23,18,14
students-withsolutions,23,11,1
students-withsolutions,23,5,12
students-withsolutions,23,2,12
students-withsolutions,23,2,1
students-withsolutions,23,6,14
students-withsolutions,23,17,8
students-withsolutions,23,17,14
students-withsolutions,23,12,1
students-withsolutions,23,15,3
students-withsolutions,23,15,14
students-withsolutions,23,7,5
students-withsolutions,23,7,19
students-withsolutions,24,19,12
students-withsolutions,24,10,20
students-withsolutions,24,10,16
students-withsolutions,24,10,13
students-withsolutions,24,20,15
students-withsolutions,24,4,18
students-withsolutions,24,8,14
students-withsolutions,24,11,15
students-withsolutions,24,1,10
students-withsolutions,24,1,14
students-withsolutions,24,5,7
students-withsolutions,24,5,14
students-withsolutions,24,6,10
students-withsolutions,24,6,17
students-withsolutions,24,12,16
students-withsolutions,24,7,10
students-withsolutions,24,7,3
students-withsolutions,24,7,2
students-withsolutions,24,9,1
students-withsolutions,24,9,11
students-withsolutions,25,19,17
students-withsolutions,25,10,9
students-withsolutions,25,16,1
students-withsolutions,25,20,4
students-withsolutions,25,20,12
students-withsolutions,25,4,17
students-withsolutions,25,4,19
students-withsolutions,25,18,1
students-withsolutions,25,8,1
students-withsolutions,25,11,17
students-withsolutions,25,11,3
students-withsolutions,25,5,15
students-withsolutions,25,5,18
students-withsolutions,25,2,13
students-withsolutions,25,14,20
students-withsolutions,25,12,13
students-withsolutions,25,15,14
students-withsolutions,25,7,14
students-withsolutions,25,7,3
students-withsolutions,25,9,2
students-withsolutions,26,19,6
students-withsolutions,26,13,12
students-withsolutions,26,10,7
students-withsolutions,26,10,16
students-withsolutions,26,3,6
students-withsolutions,26,20,7
students-withsolutions,26,20,5
students-withsolutions,26,4,15
students-withsolutions,26,18,12
students-withsolutions,26,11,17
students-withsolutions,26,11,14
students-withsolutions,26,1,16
students-withsolutions,26,1,18
students-withsolutions,26,1,4
students-withsolutions,26,5,17
