study,judge,candidate_chosen,candidate_not_chosen
students-withsolutions2,78,20,2
students-withsolutions2,78,19,13
students-withsolutions2,78,6,11
students-withsolutions2,78,13,15
students-withsolutions2,78,18,10
students-withsolutions2,78,5,10
students-withsolutions2,78,3,19
students-withsolutions2,78,14,4
students-withsolutions2,78,12,2
students-withsolutions2,78,8,12
students-withsolutions2,78,10,9
students-withsolutions2,78,2,7
students-withsolutions2,78,16,18
students-withsolutions2,78,1,9
students-withsolutions2,78,6,17
students-withsolutions2,78,20,10
students-withsolutions2,78,11,9
students-withsolutions2,78,19,15
students-withsolutions2,78,18,5
students-withsolutions2,78,6,3
students-withsolutions2,78,6,4
students-withsolutions2,78,8,3
students-withsolutions2,78,1,7
students-withsolutions2,78,20,16
students-withsolutions2,78,17,2
students-withsolutions2,78,1,14
students-withsolutions2,78,13,9
students-withsolutions2,78,16,11
students-withsolutions2,78,15,11
students-withsolutions2,78,5,13
students-withsolutions2,78,5,4
students-withsolutions2,78,15,12
students-withsolutions2,78,6,8
students-withsolutions2,78,7,4
students-withsolutions2,78,19,17
students-withsolutions2,78,2,14
students-withsolutions2,78,20,1
students-withsolutions2,78,8,18
students-withsolutions2,78,20,3
students-withsolutions2,78,11,12
students-withsolutions2,79,7,17
students-withsolutions2,79,10,16
students-withsolutions2,79,14,6
students-withsolutions2,79,6,13
students-withsolutions2,79,8,15
students-withsolutions2,79,15,18
students-withsolutions2,79,3,5
students-withsolutions2,79,10,4
students-withsolutions2,79,19,18
students-withsolutions2,79,7,12
students-withsolutions2,79,20,9
students-withsolutions2,79,16,12
students-withsolutions2,79,19,1
students-withsolutions2,79,1,17
students-withsolutions2,79,8,14
students-withsolutions2,79,2,13
students-withsolutions2,79,11,2
students-withsolutions2,79,19,5
students-withsolutions2,79,3,2
students-withsolutions2,79,19,4
students-withsolutions2,79,9,14
students-withsolutions2,79,7,16
students-withsolutions2,79,20,17
students-withsolutions2,79,18,13
students-withsolutions2,79,11,4
students-withsolutions2,79,10,15
students-withsolutions2,79,14,5
students-withsolutions2,79,14,3
students-withsolutions2,79,18,12
students-withsolutions2,79,8,9
students-withsolutions2,79,19,7
students-withsolutions2,79,16,2
students-withsolutions2,79,1,5
students-withsolutions2,79,8,17
students-withsolutions2,79,20,14
students-withsolutions2,79,20,13
students-withsolutions2,79,20,11
students-withsolutions2,79,14,15
students-withsolutions2,79,19,10
students-withsolutions2,79,3,13
students-withsolutions2,80,4,8
students-withsolutions2,80,20,12
students-withsolutions2,80,19,9
students-withsolutions2,80,1,6
students-withsolutions2,80,7,11
students-withsolutions2,80,1,16
students-withsolutions2,80,17,10
students-withsolutions2,80,1,15
students-withsolutions2,80,18,14
students-withsolutions2,80,5,2
students-withsolutions2,80,3,9
students-withsolutions2,80,4,15
students-withsolutions2,80,12,13
students-withsolutions2,80,20,6
students-withsolutions2,80,7,5
students-withsolutions2,80,16,15
students-withsolutions2,80,5,17
students-withsolutions2,80,11,13
students-withsolutions2,80,10,11
students-withsolutions2,80,18,1
students-withsolutions2,80,3,15
students-withsolutions2,80,4,18
students-withsolutions2,80,9,12
students-withsolutions2,80,8,10
students-withsolutions2,80,19,6
students-withsolutions2,80,7,9
students-withsolutions2,80,16,19
students-withsolutions2,80,17,9
students-withsolutions2,80,1,3
students-withsolutions2,80,4,9
students-withsolutions2,80,14,12
students-withsolutions2,80,5,8
students-withsolutions2,80,2,6
students-withsolutions2,80,7,13
students-withsolutions2,80,8,16
students-withsolutions2,80,17,15
students-withsolutions2,80,11,18
students-withsolutions2,80,10,6
students-withsolutions2,80,10,3
students-withsolutions2,80,4,2
students-withsolutions2,81,12,6
students-withsolutions2,81,7,6
students-withsolutions2,81,16,9
students-withsolutions2,81,14,17
students-withsolutions2,81,20,8
students-withsolutions2,81,16,13
students-withsolutions2,81,11,17
students-withsolutions2,81,9,18
students-withsolutions2,81,5,16
students-withsolutions2,81,11,3
students-withsolutions2,81,12,4
students-withsolutions2,81,7,18
students-withsolutions2,81,19,2
students-withsolutions2,81,11,1
students-withsolutions2,81,7,20
students-withsolutions2,81,8,13
students-withsolutions2,81,5,15
students-withsolutions2,81,2,10
students-withsolutions2,81,3,4
students-withsolutions2,81,17,12
students-withsolutions2,81,1,4
students-withsolutions2,81,14,13
students-withsolutions2,81,15,20
students-withsolutions2,81,14,10
students-withsolutions2,81,18,6
students-withsolutions2,81,5,6
students-withsolutions2,81,16,3
students-withsolutions2,81,14,19
students-withsolutions2,81,1,12
students-withsolutions2,81,11,8
students-withsolutions2,81,14,7
students-withsolutions2,81,2,8
students-withsolutions2,81,16,17
students-withsolutions2,81,5,20
students-withsolutions2,81,10,13
students-withsolutions2,81,15,6
students-withsolutions2,81,18,17
students-withsolutions2,81,3,12
students-withsolutions2,81,13,4
students-withsolutions2,81,19,12
students-withsolutions2,82,5,9
students-withsolutions2,82,7,15
students-withsolutions2,82,18,2
students-withsolutions2,82,1,13
students-withsolutions2,82,4,20
students-withsolutions2,82,5,11
students-withsolutions2,82,10,12
students-withsolutions2,82,3,17
students-withsolutions2,82,19,11
students-withsolutions2,82,8,19
students-withsolutions2,82,9,15
students-withsolutions2,82,7,3
students-withsolutions2,82,14,16
students-withsolutions2,82,1,2
students-withsolutions2,82,19,20
students-withsolutions2,82,10,7
students-withsolutions2,82,18,3
students-withsolutions2,82,4,17
students-withsolutions2,82,8,1
students-withsolutions2,82,9,6
students-withsolutions2,82,4,16
students-withsolutions2,82,15,2
students-withsolutions2,82,18,20
students-withsolutions2,82,13,17
students-withsolutions2,82,14,11
students-withsolutions2,82,10,1
students-withsolutions2,82,12,5
students-withsolutions2,82,8,7
students-withsolutions2,82,2,9
students-withsolutions2,82,16,6
students-withsolutions2,82,20,12
students-withsolutions2,82,13,11
students-withsolutions2,82,10,15
students-withsolutions2,82,18,17
students-withsolutions2,82,5,3
students-withsolutions2,82,4,17
students-withsolutions2,82,19,7
students-withsolutions2,82,8,19
students-withsolutions2,82,9,20
students-withsolutions2,82,3,6
students-withsolutions2,83,16,12
students-withsolutions2,83,2,15
students-withsolutions2,83,9,1
students-withsolutions2,83,14,17
students-withsolutions2,83,13,17
students-withsolutions2,83,11,14
students-withsolutions2,83,10,16
students-withsolutions2,83,18,15
students-withsolutions2,83,5,1
students-withsolutions2,83,4,14
students-withsolutions2,83,9,8
students-withsolutions2,83,15,6
students-withsolutions2,83,10,7
students-withsolutions2,83,5,2
students-withsolutions2,83,20,18
students-withsolutions2,83,17,13
students-withsolutions2,83,11,6
students-withsolutions2,83,3,13
students-withsolutions2,83,4,16
students-withsolutions2,83,19,9
students-withsolutions2,83,12,17
students-withsolutions2,83,8,16
students-withsolutions2,83,7,9
students-withsolutions2,83,2,9
students-withsolutions2,83,10,1
students-withsolutions2,83,20,18
students-withsolutions2,83,7,11
students-withsolutions2,83,5,1
students-withsolutions2,83,3,6
students-withsolutions2,83,19,4
students-withsolutions2,83,12,1
students-withsolutions2,83,8,1
students-withsolutions2,83,2,1
students-withsolutions2,83,14,17
students-withsolutions2,83,20,13
students-withsolutions2,83,11,14
students-withsolutions2,83,15,14
students-withsolutions2,83,10,16
students-withsolutions2,83,18,15
students-withsolutions2,83,5,19
students-withsolutions2,84,1,3
students-withsolutions2,84,4,2
students-withsolutions2,84,9,12
students-withsolutions2,84,4,8
students-withsolutions2,84,6,3
students-withsolutions2,84,7,19
students-withsolutions2,84,10,20
students-withsolutions2,84,11,13
students-withsolutions2,84,18,12
students-withsolutions2,84,5,13
students-withsolutions2,84,16,8
students-withsolutions2,84,1,6
students-withsolutions2,84,7,17
students-withsolutions2,84,2,13
students-withsolutions2,84,1,20
students-withsolutions2,84,11,14
students-withsolutions2,84,15,19
students-withsolutions2,84,10,18
students-withsolutions2,84,5,4
students-withsolutions2,84,9,3
students-withsolutions2,84,18,12
students-withsolutions2,84,10,8
students-withsolutions2,84,6,14
students-withsolutions2,84,1,7
students-withsolutions2,84,16,15
students-withsolutions2,84,9,2
students-withsolutions2,84,7,20
students-withsolutions2,84,11,13
students-withsolutions2,84,5,20
students-withsolutions2,84,11,3
students-withsolutions2,84,4,18
students-withsolutions2,84,15,19
students-withsolutions2,84,19,12
students-withsolutions2,84,15,8
students-withsolutions2,84,6,12
students-withsolutions2,84,16,12
students-withsolutions2,84,15,2
students-withsolutions2,84,19,10
students-withsolutions2,84,5,13
students-withsolutions2,84,15,3
students-withsolutions2,85,9,4
students-withsolutions2,85,10,8
students-withsolutions2,85,6,10
students-withsolutions2,85,7,5
students-withsolutions2,85,15,16
students-withsolutions2,85,2,11
students-withsolutions2,85,19,17
students-withsolutions2,85,14,15
students-withsolutions2,85,20,15
students-withsolutions2,85,18,10
students-withsolutions2,85,13,3
students-withsolutions2,85,14,4
students-withsolutions2,85,9,8
students-withsolutions2,85,6,8
students-withsolutions2,85,7,9
students-withsolutions2,85,16,17
students-withsolutions2,85,19,2
students-withsolutions2,85,20,8
students-withsolutions2,85,11,4
students-withsolutions2,85,18,11
students-withsolutions2,85,5,16
students-withsolutions2,85,10,3
students-withsolutions2,85,12,3
students-withsolutions2,85,6,2
students-withsolutions2,85,6,7
students-withsolutions2,85,17,4
students-withsolutions2,85,14,5
students-withsolutions2,85,20,15
students-withsolutions2,85,14,13
students-withsolutions2,85,15,18
students-withsolutions2,85,12,9
students-withsolutions2,85,7,4
students-withsolutions2,85,15,16
students-withsolutions2,85,17,2
students-withsolutions2,85,14,1
students-withsolutions2,85,20,1
students-withsolutions2,85,7,13
students-withsolutions2,85,17,11
students-withsolutions2,85,18,1
students-withsolutions2,85,7,5
students-withsolutions2,86,4,3
students-withsolutions2,86,5,19
students-withsolutions2,86,19,12
students-withsolutions2,86,4,8
students-withsolutions2,86,6,19
students-withsolutions2,86,6,16
students-withsolutions2,86,7,2
students-withsolutions2,86,20,12
students-withsolutions2,86,7,13
students-withsolutions2,86,7,11
students-withsolutions2,86,10,4
