session,judge,candidate_chosen,candidate_not_chosen
1,1,Pepsi Real Sugar,Coca Cola
1,1,Sams,Coca Cola
1,1,Mexican Coke,Coca Cola
1,1,Pepsi,Mexican Coke
1,1,Pepsi,Pepsi Real Sugar
1,2,Pepsi,Coca Cola
1,2,RC,Coca Cola
1,2,Pepsi,Pepsi Real Sugar
1,2,Pepsi Real Sugar,Coca Cola
1,2,Mexican Coke,Pepsi Real Sugar
1,3,Sams,Coca Cola
1,3,Coca Cola,RC
1,3,Coca Cola,Pepsi
1,3,Mexican Coke,Pepsi
1,3,Pepsi,RC
1,4,Coca Cola,Pepsi Real Sugar
1,4,Sams,Coca Cola
1,4,Mexican Coke,Coca Cola
1,4,Mexican Coke,Pepsi
1,4,Pepsi,Pepsi Real Sugar
1,5,Pepsi,Coca Cola
1,5,Pepsi,Pepsi Real Sugar
1,5,Pepsi,RC
1,5,Pepsi Real Sugar,Sams
1,5,Pepsi,Sams
1,6,Pepsi,Coca Cola
1,6,Pepsi Real Sugar,Pepsi
1,6,Sams,Pepsi
1,6,Sams,Pepsi Real Sugar
1,6,RC,Pepsi Real Sugar
1,7,Mexican Coke,Coca Cola
1,7,Pepsi,Pepsi Real Sugar
1,7,Coca Cola,Pepsi Real Sugar
1,7,Pepsi Real Sugar,Sams
1,7,Pepsi Real Sugar,Mexican Coke
1,8,Coca Cola,Pepsi
1,8,RC,Pepsi
1,8,Coca Cola,Pepsi Real Sugar
1,8,Sams,Pepsi Real Sugar
1,8,Sams,Coca Cola
1,9,Coca Cola,Mexican Coke
1,9,Pepsi,Coca Cola
1,9,RC,Pepsi
1,9,Pepsi Real Sugar,Coca Cola
1,9,Sams,Pepsi Real Sugar
1,10,Pepsi Real Sugar,Coca Cola
1,10,Sams,Coca Cola
1,10,Pepsi,Sams
1,10,Pepsi Real Sugar,RC
1,10,Sams,Pepsi Real Sugar
1,11,Pepsi Real Sugar,Coca Cola
1,11,Coca Cola,Sams
1,11,Sams,Pepsi
1,11,Pepsi,Mexican Coke
1,11,Pepsi Real Sugar,RC
1,12,Pepsi,Coca Cola
1,12,Pepsi,Pepsi Real Sugar
1,12,Sams,Pepsi
1,12,RC,Pepsi Real Sugar
1,12,Coca Cola,Sams
1,14,Coca Cola,Pepsi Real Sugar
1,14,Coca Cola,Mexican Coke
1,14,Coca Cola,RC
1,14,Pepsi,Coca Cola
1,14,Sams,Pepsi
1,15,Coca Cola,RC
1,15,Pepsi,Coca Cola
1,15,Pepsi,Mexican Coke
1,15,Pepsi,RC
1,15,Pepsi,Pepsi Real Sugar
1,16,RC,Coca Cola
1,16,Coca Cola,Pepsi
1,16,Pepsi,Pepsi Real Sugar
1,16,Sams,Pepsi
1,16,Pepsi,RC
1,17,Sams,Coca Cola
1,17,RC,Coca Cola
1,17,Pepsi,Coca Cola
1,17,Pepsi,Pepsi Real Sugar
1,17,Coca Cola,Pepsi Real Sugar
1,18,Pepsi Real Sugar,Coca Cola
1,18,Pepsi,Pepsi Real Sugar
1,18,Sams,Pepsi Real Sugar
1,18,Mexican Coke,Pepsi Real Sugar
1,18,RC,Pepsi Real Sugar
1,19,Pepsi,Coca Cola
1,19,Pepsi,Mexican Coke
1,19,Pepsi,Pepsi Real Sugar
1,19,Mexican Coke,Pepsi Real Sugar
1,19,Coca Cola,Sams
1,20,Coca Cola,Pepsi
1,20,Coca Cola,Pepsi Real Sugar
1,20,Sams,Coca Cola
1,20,Sams,Pepsi
1,20,RC,Pepsi
1,21,Coca Cola,Mexican Coke
1,21,Pepsi Real Sugar,Coca Cola
1,21,Sams,Coca Cola
1,21,Sams,Pepsi
1,21,Pepsi Real Sugar,Sams
1,22,Mexican Coke,Coca Cola
