judge,candidate_chosen,candidate_not_chosen
1,RC 7,RC 3
1,COM,RC 7
1,COM,RC 3
2,RC 3,COM
2,RC 3,RC 7
2,COM,RC 7
3,RC 7,RC 3
3,COM,RC 3
3,COM,RC 7
4,RC 7,RC 3
4,RC 7,COM
4,RC 3,COM
5,RC 7,RC 3
5,COM,RC 3
5,COM,RC 7
6,RC 3,RC 7
6,COM,RC 3
6,RC 7,COM
7,RC 3,RC 7
7,RC 3,COM
7,COM,RC 7
8,RC 3,RC 7
8,RC 7,COM
8,RC 3,COM
9,COM,RC 3
9,RC 3,RC 7
9,COM,RC 7
10,RC 7,RC 3
10,RC 7,COM
10,RC 3,COM
11,COM,RC 3
11,RC 3,RC 7
11,COM,RC 7
12,RC 3,RC 7
12,RC 7,COM
12,RC 3,COM
13,RC 3,RC 7
13,RC 3,COM
13,COM,RC 7
14,COM,RC 3
14,RC 3,RC 7
14,COM,RC 7
15,RC 7,RC 3
15,RC 7,COM
15,RC 3,COM
16,RC 3,RC 7
16,COM,RC 7
16,RC 3,COM
17,RC 3,RC 7
17,COM,RC 3
17,COM,RC 7
18,RC 3,RC 7
18,COM,RC 3
18,COM,RC 7
19,RC 3,RC 7
19,COM,RC 7
19,RC 3,COM
20,RC 3,RC 7
20,RC 3,COM
20,COM,RC 7
21,RC 7,RC 3
21,RC 7,COM
21,COM,RC 3
22,RC 3,RC 7
22,RC 3,COM
22,RC 7,COM
23,RC 7,RC 3
23,COM,RC 3
23,COM,RC 7
24,RC 3,RC 7
24,RC 3,COM
24,COM,RC 7
25,RC 3,RC 7
25,RC 3,COM
25,RC 7,COM
26,RC 3,RC 7
26,RC 7,COM
26,RC 3,COM
27,RC 3,RC 7
27,COM,RC 3
27,COM,RC 7
28,RC 3,RC 7
28,RC 3,COM
28,RC 7,COM
29,RC 3,RC 7
29,COM,RC 3
29,RC 7,COM
30,RC 3,RC 7
30,RC 3,COM
30,RC 7,COM
31,RC 7,RC 3
31,COM,RC 3
31,COM,RC 7
32,RC 3,RC 7
32,COM,RC 3
32,COM,RC 7
33,RC 3,RC 7
33,RC 3,COM
33,COM,RC 7
34,RC 3,RC 7
34,COM,RC 7
34,COM,RC 3
35,RC 7,RC 3
35,RC 3,COM
35,COM,RC 7
36,RC 3,RC 7
36,COM,RC 7
36,COM,RC 3
37,RC 3,RC 7
37,COM,RC 3
37,RC 7,COM
38,RC 7,RC 3
38,COM,RC 7
38,COM,RC 3
39,RC 3,RC 7
39,COM,RC 3
39,COM,RC 7
40,RC 3,RC 7
40,COM,RC 7
40,RC 3,COM
41,RC 7,RC 3
41,RC 7,COM
41,COM,RC 3
42,RC 3,COM
42,RC 3,RC 7
42,COM,RC 7
43,RC 3,RC 7
43,COM,RC 7
43,COM,RC 3
44,RC 3,COM
44,RC 7,RC 3
44,RC 7,COM
45,RC 3,RC 7
45,COM,RC 3
45,RC 7,COM
46,COM,RC 3
46,RC 7,RC 3
46,RC 7,COM
47,RC 3,COM
47,RC 3,RC 7
47,COM,RC 7
48,RC 3,RC 7
48,COM,RC 3
48,COM,RC 7
49,RC 3,RC 7
49,COM,RC 3
49,COM,RC 7
50,RC 3,RC 7
