judge,candidate_chosen,candidate_not_chosen
session1_subject1,Breyer's,Mayfield
session1_subject1,Blue Bell,Private Selection
session1_subject1,Blue Bell,Turkey Hill
session1_subject1,Turkey Hill,Private Selection
session1_subject1,Turkey Hill,Breyer's
session1_subject2,Breyer's,Mayfield
session1_subject2,Breyer's,Blue Bell
session1_subject2,Turkey Hill,Blue Bell
session1_subject2,Breyer's,Turkey Hill
session1_subject2,Private Selection,Turkey Hill
session1_subject3,Turkey Hill,Mayfield
session1_subject3,Private Selection,Mayfield
session1_subject3,Private Selection,Breyer's
session1_subject3,Mayfield,Blue Bell
session1_subject3,Blue Bell,Private Selection
session1_subject4,Private Selection,Breyer's
session1_subject4,Private Selection,Blue Bell
session1_subject4,Breyer's,Mayfield
session1_subject4,Breyer's,Turkey Hill
session1_subject4,Turkey Hill,Blue Bell
session1_subject5,Mayfield,Private Selection
session1_subject5,Blue Bell,Mayfield
session1_subject5,Private Selection,Breyer's
session1_subject5,Blue Bell,Breyer's
session1_subject5,Mayfield,Turkey Hill
session1_subject6,Mayfield,Private Selection
session1_subject6,Mayfield,Blue Bell
session1_subject6,Blue Bell,Breyer's
session1_subject6,Turkey Hill,Mayfield
session1_subject6,Private Selection,Turkey Hill
session1_subject7,Turkey Hill,Mayfield
session1_subject7,Breyer's,Private Selection
session1_subject7,Private Selection,Blue Bell
session1_subject7,Mayfield,Breyer's
session1_subject7,Turkey Hill,Breyer's
session1_subject8,Mayfield,Private Selection
session1_subject8,Private Selection,Turkey Hill
session1_subject8,Blue Bell,Breyer's
session1_subject8,Blue Bell,Turkey Hill
session1_subject8,Breyer's,Turkey Hill
session1_subject9,Blue Bell,Mayfield
session1_subject9,Mayfield,Breyer's
session1_subject9,Private Selection,Blue Bell
session1_subject9,Breyer's,Private Selection
session1_subject9,Mayfield,Turkey Hill
session1_subject10,Mayfield,Private Selection
session1_subject10,Private Selection,Turkey Hill
session1_subject10,Blue Bell,Mayfield
session1_subject10,Breyer's,Blue Bell
session1_subject10,Turkey Hill,Blue Bell
session1_subject11,Private Selection,Mayfield
session1_subject11,Blue Bell,Mayfield
session1_subject11,Blue Bell,Private Selection
session1_subject11,Breyer's,Blue Bell
session1_subject11,Blue Bell,Turkey Hill
session1_subject12,Private Selection,Mayfield
session1_subject12,Mayfield,Blue Bell
session1_subject12,Blue Bell,Private Selection
session1_subject12,Mayfield,Turkey Hill
session1_subject12,Blue Bell,Turkey Hill
session1_subject13,Mayfield,Turkey Hill
session1_subject13,Breyer's,Mayfield
session1_subject13,Breyer's,Private Selection
session1_subject13,Private Selection,Turkey Hill
session1_subject13,Turkey Hill,Breyer's
session1_subject14,Breyer's,Mayfield
session1_subject14,Blue Bell,Private Selection
session1_subject14,Private Selection,Breyer's
session1_subject14,Blue Bell,Breyer's
session1_subject14,Turkey Hill,Breyer's
session1_subject15,Mayfield,Private Selection
session1_subject15,Blue Bell,Private Selection
session1_subject15,Blue Bell,Turkey Hill
session1_subject15,Blue Bell,Breyer's
session1_subject15,Turkey Hill,Breyer's
session1_subject16,Private Selection,Blue Bell
session1_subject16,Breyer's,Private Selection
session1_subject16,Blue Bell,Breyer's
session1_subject16,Turkey Hill,Blue Bell
session1_subject16,Breyer's,Turkey Hill
session1_subject17,Turkey Hill,Mayfield
session1_subject17,Private Selection,Mayfield
session1_subject17,Blue Bell,Mayfield
session1_subject17,Blue Bell,Turkey Hill
session1_subject17,Turkey Hill,Private Selection
session1_subject18,Mayfield,Turkey Hill
session1_subject18,Blue Bell,Mayfield
session1_subject18,Breyer's,Mayfield
session1_subject18,Private Selection,Breyer's
session1_subject18,Turkey Hill,Private Selection
session1_subject19,Mayfield,Breyer's
session1_subject19,Breyer's,Private Selection
session1_subject19,Private Selection,Turkey Hill
session1_subject19,Breyer's,Blue Bell
session1_subject19,Turkey Hill,Breyer's
session1_subject20,Mayfield,Blue Bell
session1_subject20,Mayfield,Breyer's
session1_subject20,Mayfield,Private Selection
session1_subject20,Private Selection,Turkey Hill
session1_subject20,Turkey Hill,Mayfield
session1_subject21,Mayfield,Breyer's
session1_subject21,Mayfield,Private Selection
session1_subject21,Private Selection,Turkey Hill
session1_subject21,Mayfield,Blue Bell
session1_subject21,Private Selection,Breyer's
session1_subject22,Mayfield,Blue Bell
session1_subject22,Breyer's,Blue Bell
session1_subject22,Private Selection,Breyer's
session1_subject22,Mayfield,Turkey Hill
session1_subject22,Breyer's,Turkey Hill
session1_subject23,Blue Bell,Mayfield
session1_subject23,Private Selection,Breyer's
session1_subject23,Blue Bell,Breyer's
session1_subject23,Breyer's,Turkey Hill
session1_subject23,Private Selection,Turkey Hill
session1_subject24,Private Selection,Mayfield
session1_subject24,Private Selection,Turkey Hill
session1_subject24,Mayfield,Breyer's
session1_subject24,Breyer's,Private Selection
session1_subject24,Blue Bell,Turkey Hill
session1_subject25,Turkey Hill,Mayfield
session1_subject25,Blue Bell,Private Selection
session1_subject25,Blue Bell,Mayfield
session1_subject25,Breyer's,Blue Bell
session1_subject25,Turkey Hill,Breyer's
session1_subject26,Mayfield,Private Selection
session1_subject26,Mayfield,Breyer's
session1_subject26,Blue Bell,Private Selection
session1_subject26,Blue Bell,Turkey Hill
session1_subject26,Private Selection,Turkey Hill
session1_subject27,Private Selection,Blue Bell
session1_subject27,Blue Bell,Turkey Hill
session1_subject27,Blue Bell,Breyer's
