judge,candidate_chosen,candidate_not_chosen
1,DiGiorno,Freschetta
1,Tombstone,Red Barron
1,DiGiorno,Red Barron
1,Kroger,Freschetta
2,Freschetta,Tombstone
2,Kroger,Red Barron
2,DiGiorno,Kroger
2,DiGiorno,Tombstone
3,Red Barron,Freschetta
3,DiGiorno,Freschetta
3,Tombstone,Red Barron
3,Kroger,Freschetta
4,Freschetta,Red Barron
4,Freschetta,Tombstone
4,Kroger,Red Barron
4,Tombstone,Kroger
5,Freschetta,Kroger
5,Freschetta,Red Barron
5,Tombstone,Kroger
5,Freschetta,Tombstone
6,Freschetta,DiGiorno
6,DiGiorno,Red Barron
6,DiGiorno,Kroger
6,Tombstone,DiGiorno
7,Freschetta,Kroger
7,Red Barron,Freschetta
7,Red Barron,Tombstone
7,Tombstone,Kroger
8,Tombstone,Red Barron
8,Tombstone,DiGiorno
8,Freschetta,DiGiorno
8,Red Barron,DiGiorno
9,Red Barron,Kroger
9,Tombstone,Kroger
9,DiGiorno,Kroger
9,Tombstone,Freschetta
10,Kroger,Red Barron
10,Red Barron,DiGiorno
10,DiGiorno,Kroger
10,DiGiorno,Tombstone
11,Freschetta,Kroger
11,Tombstone,Red Barron
11,DiGiorno,Red Barron
11,DiGiorno,Tombstone
12,Freschetta,Red Barron
12,Freschetta,DiGiorno
12,Kroger,DiGiorno
12,Tombstone,DiGiorno
13,Freschetta,Red Barron
13,Freschetta,Tombstone
13,Kroger,Tombstone
13,DiGiorno,Freschetta
14,Tombstone,Freschetta
14,DiGiorno,Freschetta
14,Red Barron,Kroger
14,Tombstone,Kroger
15,Freschetta,Kroger
15,Kroger,Red Barron
15,Tombstone,Red Barron
15,Red Barron,DiGiorno
16,Freschetta,Kroger
16,Red Barron,Kroger
16,Tombstone,Kroger
16,Tombstone,Freschetta
17,Tombstone,Red Barron
17,DiGiorno,Red Barron
17,DiGiorno,Kroger
17,DiGiorno,Tombstone
18,Red Barron,Freschetta
18,Tombstone,Kroger
18,DiGiorno,Freschetta
18,DiGiorno,Kroger
19,Red Barron,Freschetta
19,Red Barron,DiGiorno
19,DiGiorno,Kroger
19,Tombstone,DiGiorno
20,Freschetta,Tombstone
20,Red Barron,Kroger
20,Tombstone,Red Barron
20,Freschetta,Kroger
21,Kroger,Freschetta
21,Freschetta,Tombstone
21,Tombstone,Kroger
21,DiGiorno,Kroger
22,Freschetta,Kroger
22,Freschetta,Tombstone
22,Freschetta,Red Barron
22,Kroger,DiGiorno
23,Freschetta,DiGiorno
23,Freschetta,Kroger
23,Tombstone,Kroger
23,Tombstone,DiGiorno
24,Red Barron,Tombstone
24,Tombstone,Kroger
24,DiGiorno,Tombstone
24,DiGiorno,Freschetta
25,Freschetta,DiGiorno
25,Kroger,Freschetta
25,Kroger,Tombstone
25,DiGiorno,Kroger
26,Red Barron,Kroger
26,Tombstone,Red Barron
26,DiGiorno,Red Barron
26,DiGiorno,Tombstone
27,Red Barron,DiGiorno
27,Red Barron,Tombstone
27,DiGiorno,Tombstone
27,Freschetta,DiGiorno
28,Freschetta,Red Barron
28,Kroger,Red Barron
28,Tombstone,Freschetta
28,Red Barron,DiGiorno
29,Red Barron,Freschetta
29,Red Barron,Kroger
29,Tombstone,Freschetta
29,DiGiorno,Kroger
30,Freschetta,Red Barron
30,Tombstone,Red Barron
30,DiGiorno,Red Barron
30,Red Barron,Kroger
31,Kroger,Freschetta
31,Freschetta,Tombstone
31,Red Barron,Tombstone
31,DiGiorno,Red Barron
32,Red Barron,Kroger
32,Freschetta,Kroger
32,Tombstone,Red Barron
32,Red Barron,DiGiorno
33,Freschetta,Red Barron
33,DiGiorno,Freschetta
33,Red Barron,Kroger
33,Red Barron,Tombstone
34,Freschetta,DiGiorno
34,Tombstone,Kroger
34,Tombstone,DiGiorno
34,DiGiorno,Kroger
35,DiGiorno,Freschetta
35,Red Barron,Freschetta
35,Kroger,Tombstone
35,DiGiorno,Kroger
36,Freschetta,Tombstone
36,DiGiorno,Kroger
36,Kroger,Tombstone
36,DiGiorno,Tombstone
37,Kroger,DiGiorno
37,Freschetta,Tombstone
37,DiGiorno,Tombstone
37,DiGiorno,Red Barron
38,Kroger,Freschetta
38,Freschetta,Tombstone
38,Red Barron,DiGiorno
38,DiGiorno,Tombstone
39,Kroger,Freschetta
39,Red Barron,Freschetta
39,Red Barron,Kroger
39,Tombstone,Red Barron
40,Freschetta,Red Barron
40,Red Barron,Kroger
40,Tombstone,Kroger
40,DiGiorno,Freschetta
41,Red Barron,Freschetta
41,Freschetta,DiGiorno
41,Tombstone,Kroger
41,Kroger,DiGiorno
42,Tombstone,Red Barron
42,Kroger,Red Barron
42,Freschetta,Tombstone
42,Red Barron,DiGiorno
43,Freschetta,Kroger
43,Tombstone,Kroger
43,Red Barron,Tombstone
43,Red Barron,DiGiorno
44,Freschetta,Red Barron
44,Kroger,Red Barron
44,Tombstone,DiGiorno
44,DiGiorno,Kroger
45,Freschetta,Kroger
45,Red Barron,Freschetta
45,Kroger,Tombstone
45,Freschetta,DiGiorno
46,Freschetta,Kroger
46,Red Barron,Tombstone
46,Tombstone,Kroger
46,Freschetta,DiGiorno
47,Red Barron,Kroger
47,Freschetta,Tombstone
47,Red Barron,DiGiorno
47,DiGiorno,Tombstone
48,Tombstone,Freschetta
48,Red Barron,Kroger
48,Kroger,DiGiorno
48,Tombstone,DiGiorno
49,Tombstone,Freschetta
49,Red Barron,DiGiorno
49,Freschetta,Kroger
49,Red Barron,Tombstone
50,Freschetta,DiGiorno
50,Freschetta,Red Barron
50,Kroger,DiGiorno
50,DiGiorno,Tombstone
51,Freschetta,Red Barron
51,Kroger,Freschetta
51,Kroger,Tombstone
51,Freschetta,DiGiorno
52,DiGiorno,Kroger
52,Freschetta,Tombstone
52,Kroger,Tombstone
