judge,candidate_chosen,candidate_not_chosen
6,carvone,linalool
9,carvone,linalool
10,carvone,linalool
12,carvone,linalool
13,carvone,linalool
14,carvone,linalool
27,carvone,linalool
28,carvone,linalool
30,carvone,linalool
33,carvone,linalool
35,carvone,linalool
37,carvone,linalool
38,carvone,linalool
39,carvone,linalool
42,carvone,linalool
43,carvone,linalool
47,carvone,linalool
54,carvone,linalool
55,carvone,linalool
58,carvone,linalool
59,carvone,linalool
64,carvone,linalool
71,carvone,linalool
74,carvone,linalool
75,carvone,linalool
77,carvone,linalool
80,carvone,linalool
5,carvone,PEA
6,carvone,PEA
10,carvone,PEA
12,carvone,PEA
13,carvone,PEA
14,carvone,PEA
15,carvone,PEA
17,carvone,PEA
27,carvone,PEA
28,carvone,PEA
29,carvone,PEA
30,carvone,PEA
32,carvone,PEA
37,carvone,PEA
38,carvone,PEA
39,carvone,PEA
40,carvone,PEA
43,carvone,PEA
47,carvone,PEA
49,carvone,PEA
54,carvone,PEA
57,carvone,PEA
59,carvone,PEA
61,carvone,PEA
62,carvone,PEA
63,carvone,PEA
64,carvone,PEA
65,carvone,PEA
71,carvone,PEA
74,carvone,PEA
75,carvone,PEA
76,carvone,PEA
77,carvone,PEA
79,carvone,PEA
80,carvone,PEA
83,carvone,PEA
6,carvone,pentyl acetate
10,carvone,pentyl acetate
12,carvone,pentyl acetate
13,carvone,pentyl acetate
14,carvone,pentyl acetate
16,carvone,pentyl acetate
26,carvone,pentyl acetate
27,carvone,pentyl acetate
28,carvone,pentyl acetate
29,carvone,pentyl acetate
30,carvone,pentyl acetate
32,carvone,pentyl acetate
33,carvone,pentyl acetate
34,carvone,pentyl acetate
37,carvone,pentyl acetate
38,carvone,pentyl acetate
40,carvone,pentyl acetate
43,carvone,pentyl acetate
47,carvone,pentyl acetate
49,carvone,pentyl acetate
54,carvone,pentyl acetate
57,carvone,pentyl acetate
59,carvone,pentyl acetate
62,carvone,pentyl acetate
63,carvone,pentyl acetate
64,carvone,pentyl acetate
65,carvone,pentyl acetate
75,carvone,pentyl acetate
76,carvone,pentyl acetate
77,carvone,pentyl acetate
79,carvone,pentyl acetate
80,carvone,pentyl acetate
9,carvone,vanillin
10,carvone,vanillin
13,carvone,vanillin
14,carvone,vanillin
15,carvone,vanillin
27,carvone,vanillin
29,carvone,vanillin
30,carvone,vanillin
37,carvone,vanillin
40,carvone,vanillin
47,carvone,vanillin
48,carvone,vanillin
49,carvone,vanillin
58,carvone,vanillin
59,carvone,vanillin
61,carvone,vanillin
63,carvone,vanillin
64,carvone,vanillin
72,carvone,vanillin
75,carvone,vanillin
5,linalool,carvone
11,linalool,carvone
15,linalool,carvone
16,linalool,carvone
17,linalool,carvone
26,linalool,carvone
29,linalool,carvone
31,linalool,carvone
32,linalool,carvone
34,linalool,carvone
36,linalool,carvone
40,linalool,carvone
48,linalool,carvone
49,linalool,carvone
57,linalool,carvone
61,linalool,carvone
62,linalool,carvone
63,linalool,carvone
65,linalool,carvone
72,linalool,carvone
73,linalool,carvone
76,linalool,carvone
79,linalool,carvone
83,linalool,carvone
5,linalool,PEA
10,linalool,PEA
11,linalool,PEA
14,linalool,PEA
15,linalool,PEA
16,linalool,PEA
17,linalool,PEA
26,linalool,PEA
28,linalool,PEA
29,linalool,PEA
30,linalool,PEA
32,linalool,PEA
36,linalool,PEA
38,linalool,PEA
39,linalool,PEA
48,linalool,PEA
49,linalool,PEA
54,linalool,PEA
57,linalool,PEA
58,linalool,PEA
59,linalool,PEA
61,linalool,PEA
65,linalool,PEA
71,linalool,PEA
73,linalool,PEA
74,linalool,PEA
76,linalool,PEA
77,linalool,PEA
83,linalool,PEA
5,linalool,pentyl acetate
9,linalool,pentyl acetate
