judge,candidate_chosen,candidate_not_chosen
1,linalool,pentyl acetate
1,carvone,pentyl acetate
1,vanillin,pentyl acetate
1,pentyl acetate,PEA
1,linalool,vanillin
1,linalool,PEA
1,linalool,carvone
1,carvone,vanillin
1,carvone,PEA
1,vanillin,PEA
2,linalool,pentyl acetate
2,carvone,pentyl acetate
2,vanillin,pentyl acetate
2,PEA,pentyl acetate
2,vanillin,linalool
2,linalool,PEA
2,linalool,carvone
2,vanillin,carvone
2,PEA,carvone
2,vanillin,PEA
3,linalool,pentyl acetate
3,carvone,pentyl acetate
3,PEA,pentyl acetate
3,vanillin,linalool
3,linalool,PEA
3,linalool,carvone
3,carvone,PEA
3,vanillin,pentyl acetate
3,carvone,vanillin
3,vanillin,PEA
4,pentyl acetate,linalool
4,carvone,linalool
4,carvone,pentyl acetate
4,PEA,carvone
4,vanillin,pentyl acetate
4,vanillin,linalool
4,vanillin,carvone
4,vanillin,PEA
4,pentyl acetate,PEA
4,linalool,PEA
5,vanillin,pentyl acetate
5,linalool,pentyl acetate
5,linalool,carvone
5,vanillin,linalool
5,pentyl acetate,carvone
5,vanillin,carvone
5,pentyl acetate,PEA
5,linalool,PEA
5,PEA,carvone
5,vanillin,PEA
6,pentyl acetate,vanillin
6,pentyl acetate,linalool
6,pentyl acetate,carvone
6,carvone,linalool
6,carvone,vanillin
6,carvone,PEA
6,vanillin,linalool
6,pentyl acetate,PEA
6,linalool,PEA
6,vanillin,PEA
7,linalool,pentyl acetate
7,carvone,pentyl acetate
7,PEA,pentyl acetate
7,linalool,PEA
7,carvone,linalool
7,vanillin,carvone
7,carvone,PEA
7,vanillin,pentyl acetate
7,linalool,vanillin
7,vanillin,PEA
8,pentyl acetate,linalool
8,carvone,pentyl acetate
8,pentyl acetate,PEA
8,linalool,carvone
8,vanillin,linalool
8,linalool,PEA
8,pentyl acetate,vanillin
8,vanillin,carvone
8,vanillin,PEA
8,carvone,PEA
9,linalool,pentyl acetate
9,carvone,pentyl acetate
9,PEA,pentyl acetate
9,linalool,carvone
9,linalool,vanillin
9,PEA,linalool
9,vanillin,pentyl acetate
9,carvone,vanillin
9,PEA,vanillin
9,carvone,PEA
10,vanillin,pentyl acetate
10,linalool,pentyl acetate
10,linalool,carvone
10,linalool,vanillin
10,linalool,PEA
10,carvone,pentyl acetate
10,carvone,vanillin
10,vanillin,PEA
10,pentyl acetate,PEA
10,carvone,PEA
11,vanillin,pentyl acetate
11,linalool,pentyl acetate
11,pentyl acetate,carvone
11,linalool,carvone
11,vanillin,carvone
11,carvone,PEA
11,vanillin,linalool
11,PEA,pentyl acetate
11,linalool,PEA
