judge,candidate_chosen,candidate_not_chosen
m3om36com36k,rOerOlderOli,aMlaMailaMar
m3om36com36k,nOanOseanOsk,sKesKanesKay
m3om36com36k,rMerManerMax,nKonKasonKat
m3om36com36k,ySaySoeaySop,aTgaTungaTui
m3om36com36k,oKpoKaapoKat,mMamMahamMar
m3om36com36k,yIpyIzppyIzr,lJelJatelJay
m3om36com36k,nAinAmrinAmy,aMlaMailaMar
m3om36com36k,lIelIseelIsa,kJckJaockJac
m3om36com36k,lRllReillRei,tAttAcittAca
m3om36com36k,lZelZatelZah,tTttThittTha
m3om36com36k,dMrdMaOrdMar,aMlaMailaMar
m3om36com36k,yJryJatryJay,iPaiPataiPai
m3om36com36k,eWceWiuceWil,aVoaViloaVit
m3om36com36k,hAkhAaikhAas,xFoxFrCoxFra
m3om36com36k,rLarLylarLya,tAttAcittAca
m3om36com36k,tMttMaattMax,yIpyIzppyIzr
m3om36com36k,lAllAuullAus,wRawRerawReb
m3om36com36k,iEaiElmaiEla,aVoaVimoaVic
m3om36com36k,yCayCowayCos,gJngJoingJoe
m3om36com36k,yJeyJuneyJud,rRerReterRee
m3om36com36k,lOllOsellOsc,aBnaByunaByr
m3om36com36k,nRenRusenRub,xEixEanixEag
m3om36com36k,eCzeCatzeCam,rSerSoterSop
m3om36com36k,aPmaParmaPat,yJeyJoleyJos
m3om36com36k,oKpoKaapoKat,lJllJoillJoh
m3om36com36k,yHhyHaphyHaz,eAteAleteAlf
m3om36com36k,tFotFinotFin,aAlaAnolaAng
m3om36com36k,rFerFrmerFra,eTheTeeheTe-
m3om36com36k,sAesAlnesAle,dCrdCaardCai
m3om36com36k,nSenStlenSte,hAkhAaikhAas
m3om36com36k,nAonArlonArt,sGlsGullsGuy
m3om36com36k,lAllAdullAdr,nRonRhsonRha
m3om36com36k,rRerRelerRem,dEndEtandEth
m3om36com36k,nConCasonCal,dEndElandEll
m3om36com36k,tMttMaattMax,rSerSoterSop
m3om36com36k,eReeRuneeRub,tMttMaettMat
m3om36com36k,eLneLuineLue,nNanNgmanNga
m3om36com36k,eWceWiuceWil,uAhuAnehuAna
m3om36com36k,kJckJaickJam,sOesOtlesOti
m3om36com36k,yHhyHophyHol,xEixEanixEag
m3om36com36k,sNlsNillsNic,eAteAleteAlf
m3om36com36k,rMerManerMax,yMryMawryMad
m3om36com36k,iEaiElmaiEla,rFerFrnerFra
m3om36com36k,nManMamanMar,gMngMaingMat
m3om36com36k,lJllJaollJai,iDsiDaisiDav
m3om36com36k,eCzeCatzeCam,dPidPheidPhi
m3om36com36k,lTllTrellTre,tSntSaantSam
m3om36com36k,yBeyBeneyBen,uAnuAnunuAng
m3om36com36k,mIamImDamImo,aSoaSetoaSel
m3om36com36k,kBekBreekBri,uMiuMahiuMas
m3om36com36k,sAesAlnesAle,dMrdMaOrdMar
m3om36com36k,nMonMasonMax,nUonUisonUir
m3om36com36k,sTnsTeansTer,dCrdCaardCai
m3om36com36k,eReeRuneeRub,nAinAmvinAmy
m3om36com36k,uAhuAnehuAna,hAkhAaikhAas
m3om36com36k,sNlsNillsNic,eWceWiuceWil
m3om36com36k,iGniGainiGab,nMonMisonMit
m3om36com36k,eReeRuneeRub,iEoiEtPoiEth
m3om36com36k,sMisMorisMok,yHhyHathyHar
m3om36com36k,fGffGaiffGar,aLdaLirdaLia
m3om36com36k,rGerGrlerGra,nAinAmrinAmy
m3om36com36k,tLttLoettLou,iWpiWaipiWai
m3om36com36k,dJedJiyedJin,rJerJokerJor
m3om36com36k,AAHAAlSHAAll,dAedAhmedAhm
m3om36com36k,lAllAuullAus,yQeyQukeyQui
m3om36com36k,rFerFrmerFra,nMonMalonMar
m3om36com36k,dGedGaoedGab,rRerRonerRob
m3om36com36k,lOllOlillOli,uSiuSiLiuSiy
m3om36com36k,yMryMawryMad,lRllRoellRos
m3om36com36k,yUryUpuryUpa,nBanBimanBij
m3om36com36k,sCasCalasCam,iEaiElmaiEla
m3om36com36k,rSerSyterSyl,yHhyHathyHar
m3om36com36k,nAinAmvinAmy,lTllTrellTre
m3om36com36k,nAonArlonArt,nAonAnsonAng
m3om36com36k,sEnsElonsEli,nJenJaeenJac
m3om36com36k,dIrdIserdIsa,xEixEanixEag
m3om36com36k,gCngCeingCel,fNefNieefNic
m3om36com36k,sMtsMartsMai,eHteHatteHar
m3om36com36k,eCzeCatzeCam,uSiuSiLiuSiy
m3om36com36k,yLeyLuleyLuk,hSahSiiahSia
m3om36com36k,tMttMaettMat,yReyRaseyRav
m3om36com36k,lFalFlnalFlo,nRnnRoannRob
m3om36com36k,nMonMatonMax,hCOhChnOhCha
m3om36com36k,oNtoNgotoNga,aPmaParmaPat
m3om36com36k,lIelIseelIsa,sTnsTeansTer
m3om36com36k,dJedJiyedJin,aLdaLirdaLia
m3om36com36k,tLttLoettLou,iLsiLaisiLat
m3om36com36k,eCieCazieCai,lJllJoellJos
m3om36com36k,rLarLylarLya,sGlsGullsGuy
m3om36com36k,gMngMaingMat,lRllRoellRos
m3om36com36k,kFokFrookFra,nMonMalonMar
m3om36com36k,eBteBetteBen,aCcaCaicaCar
m3om36com36k,nIwnIhownIha,rRerReterRee
m3om36com36k,nCenCheenChi,rUerUnkerUna
m3om36com36k,uMnuMyanuMyr,nJenJaeenJac
m3om36com36k,nMonMatonMax,dPidPheidPhi
m3om36com36k,lFalFlnalFlo,aPmaParmaPat
m3om36com36k,tKrtKeartKei,yUryUpuryUpa
m3om36com36k,lMelMabelMar,eWleWayleWal
m3om36com36k,iWpiWaipiWai,sKesKanesKay
m3om36com36k,rFerFrmerFra,eMneMoaneMon
m3om36com36k,nCenCheenChi,tMttMaattMax
m3om36com36k,rRerRonerRob,eBneBeaneBen
m3om36com36k,dPidPheidPho,eTheTeeheTe-
m3om36com36k,nJenJaeenJac,rBirBeairBen
m3om36com36k,sMisMorisMok,yTeyThseyTho
m3om36com36k,eWceWiuceWil,yLeyLuleyLuk
m3om36com36k,eTheTeeheTe-,mSomShlomSho
m3om36com36k,nUonUisonUir,uAnuAnunuAng
m3om36com36k,yJryJatryJay,oKpoKaapoKat
m3om36com36k,gAngAningAng,oNtoNgotoNga
m3om36com36k,yJeyJuneyJud,nAinAmrinAmy
m3om36com36k,sBisBevisBen,tBntBeontBen
m3om36com36k,sAesAlnesAle,nMonMasonMax
m3om36com36k,nSonSisonSie,sTrsTrersTri
m3om36com36k,sSesSonesSop,sMtsMartsMai
m3om36com36k,lFalFlnalFlo,nAonAnsonAng
m3om36com36k,dOrdOlOrdOli,iLsiLaisiLat
m3om36com36k,lZelZatelZah,rSerStherSte
ztnztalnztai,aSoaSetoaSel,bLbbLuibbLuc
ztnztalnztai,eAteAleteAlf,tTttThittTha
ztnztalnztai,lJllJoillJoh,nKonKasonKat
ztnztalnztai,tLttLoettLou,lJelJatelJay
ztnztalnztai,aVoaVimoaVic,nLonLesonLev
ztnztalnztai,tLrtLaertLaw,hLthLuithLuc
ztnztalnztai,eMleMaaleMax,eLleLualeLuk
ztnztalnztai,nAunAnrunAni,yVeyViseyVin
ztnztalnztai,ySaySoeaySop,nEnnEvunnEva
ztnztalnztai,nRnnRoannRob,aMlaMailaMar
ztnztalnztai,aMyaMuayaMur,nOanOlmanOli
ztnztalnztai,nManMamanMar,iEaiElmaiEla
ztnztalnztai,hCOhChnOhCha,aVoaViloaVit
ztnztalnztai,gXngXaongXav,tSntSaantSam
ztnztalnztai,ePrePhorePho,kJckJaockJac
ztnztalnztai,rRerReterRee,yIayIsrayIsa
ztnztalnztai,rJorJosorJoh,lJelJatelJay
ztnztalnztai,nJenJaeenJac,nJonJesonJem
