judge,candidate_chosen,candidate_not_chosen
kaAh,39,73
kaAh,57,73
kaAh,119,57
kaAh,119,150
kaAh,150,23
kaAh,88,23
kaAh,50,88
kaAh,50,59
kaAh,59,153
kaAh,32,153
kaAh,81,32
kaAh,81,96
kaAh,96,3
kaAh,130,3
kaAh,130,65
kaAh,76,65
kaAh,102,76
kaAh,142,102
kaAh,111,142
kaAh,111,12
kaAh,13,12
kaAh,46,13
kaAh,46,43
kaAh,60,43
kaAh,60,64
kaAh,64,99
kaAh,71,99
kaAh,71,67
kaAh,94,67
kaAh,94,87
kaAh,58,87
kaAh,58,113
kaAh,25,113
kaAh,25,97
kaAh,56,97
kaAh,103,56
kaAh,148,103
kaAh,148,26
kaAh,26,86
kaAh,92,86
kaAh,15,92
kaAh,15,33
lyO',107,26
lyO',2,26
lyO',15,2
lyO',15,73
lyO',130,73
lyO',130,62
lyO',131,62
lyO',145,131
lyO',145,45
lyO',74,45
lyO',74,14
lyO',14,154
lyO',152,154
lyO',152,42
lyO',42,77
lyO',122,77
lyO',122,10
lyO',119,10
lyO',119,39
lyO',6,39
lyO',149,6
lyO',149,115
lyO',115,43
lyO',78,43
lyO',78,57
lyO',57,128
lyO',40,128
lyO',75,40
lyO',75,19
lyO',3,19
lyO',3,1
lyO',1,53
lyO',137,53
lyO',137,34
lyO',111,34
lyO',111,61
lyO',61,66
lyO',66,99
lyO',18,99
lyO',101,18
lyO',101,97
lyO',126,97
lyO',126,85
lyO',85,134
lyO',134,151
lyO',151,91
lyO',91,5
lyO',117,5
lyO',121,117
lyO',121,104
lyO',105,104
lyO',31,105
lyO',31,20
lyO',20,118
lyO',35,118
lyO',35,153
lyO',153,38
lyO',38,36
lyO',125,36
lyO',106,125
lyO',106,30
lyO',4,30
lyO',4,138
lyO',138,64
lyO',90,64
lyO',90,135
lyO',135,95
lyO',9,95
lyO',21,9
lyO',132,21
lyO',132,65
lyO',12,65
lyO',12,96
lyO',96,120
lyO',120,155
lyO',58,155
lyO',58,70
lyO',88,70
lyO',88,93
lyO',93,114
lyO',28,114
lyO',123,28
lyO',11,123
lyO',68,11
lyO',13,68
lyO',13,48
lyO',48,69
lyO',7,69
lyO',81,7
lyO',127,81
lyO',127,54
lyO',54,25
lyO',116,25
lyO',116,60
lyO',16,60
lyO',16,100
lyO',22,100
lyO',83,22
lyO',83,79
lyO',79,87
anDe,69,97
anDe,68,69
anDe,104,68
anDe,104,152
anDe,58,152
anDe,127,58
anDe,127,7
anDe,7,8
anDe,121,8
anDe,121,42
anDe,84,42
anDe,84,78
anDe,67,78
anDe,67,73
anDe,112,73
anDe,112,27
anDe,27,128
anDe,145,128
anDe,122,145
anDe,19,122
anDe,118,19
anDe,34,118
anDe,34,146
anDe,14,146
anDe,40,14
anDe,5,40
anDe,5,62
anDe,95,62
anDe,95,4
anDe,120,4
anDe,120,61
anDe,61,30
anDe,11,30
anDe,65,11
anDe,65,100
anDe,123,100
anDe,124,123
anDe,124,141
anDe,141,93
anDe,83,93
anDe,83,108
anDe,108,85
anDe,139,85
anDe,139,63
anDe,33,63
anDe,94,33
anDe,94,75
anDe,75,76
anDe,88,76
anDe,117,88
anDe,134,117
anDe,46,134
anDe,46,109
anDe,81,109
anDe,81,32
anDe,18,32
anDe,35,18
anDe,35,47
anDe,131,47
anDe,131,87
anDe,116,87
anDe,116,89
anDe,147,89
anDe,147,148
anDe,148,79
anDe,21,79
anDe,21,9
anDe,50,9
anDe,50,31
anDe,55,31
anDe,55,153
anDe,153,28
anDe,151,28
anDe,10,151
anDe,105,10
anDe,53,105
anDe,53,111
anDe,111,70
anDe,91,70
anDe,138,91
anDe,138,39
anDe,92,39
anDe,92,17
anDe,17,99
anDe,142,99
anDe,142,77
anDe,130,77
anDe,12,130
anDe,102,12
anDe,15,102
anDe,15,136
anDe,24,136
anDe,24,6
anDe,80,6
anDe,107,80
anDe,107,114
anDe,2,114
anDe,2,150
anDe,60,150
anDe,22,60
lyMo,108,3
lyMo,36,108
lyMo,148,36
lyMo,148,32
lyMo,32,57
lyMo,101,57
lyMo,101,73
lyMo,33,73
lyMo,33,18
lyMo,18,128
lyMo,119,128
lyMo,119,63
lyMo,81,63
lyMo,81,141
lyMo,143,141
lyMo,143,72
lyMo,72,69
lyMo,69,152
lyMo,110,152
lyMo,110,48
lyMo,47,48
lyMo,37,47
lyMo,66,37
lyMo,151,66
lyMo,151,55
lyMo,55,94
lyMo,137,94
lyMo,137,99
lyMo,114,99
lyMo,114,43
lyMo,112,43
lyMo,29,112
lyMo,29,14
lyMo,124,14
lyMo,124,41
lyMo,67,41
lyMo,126,67
lyMo,126,107
lyMo,79,107
lyMo,79,154
lyMo,154,131
lyMo,135,131
lyMo,34,135
lyMo,34,113
lyMo,106,113
lyMo,96,106
lyMo,96,136
lyMo,117,136
lyMo,90,117
lyMo,90,6
lyMo,6,39
lyMo,39,16
lyMo,142,16
lyMo,68,142
lyMo,75,68
lyMo,85,75
lyMo,85,42
lyMo,77,42
lyMo,38,77
lyMo,38,22
lyMo,133,22
lyMo,133,78
lyMo,78,11
lyMo,11,98
lyMo,139,98
lyMo,83,139
lyMo,83,153
lyMo,153,27
lyMo,27,88
lyMo,80,88
lyMo,134,80
lyMo,24,134
lyMo,24,17
lyMo,26,17
lyMo,26,150
lyMo,76,150
lyMo,91,76
lyMo,111,91
lyMo,111,58
lyMo,58,31
lyMo,31,120
lyMo,132,120
lyMo,132,53
lyMo,53,51
lyMo,127,51
lyMo,2,127
lyMo,2,123
lyMo,104,123
lyMo,118,104
lyMo,95,118
lyMo,95,60
lyMo,60,45
lyMo,62,45
lyMo,35,62
lyMo,35,64
lyMo,116,64
lyMo,116,28
lyMo,144,28
lyMo,144,20
lyMo,105,20
neO',8,35
neO',119,14
neO',101,14
neO',140,101
neO',140,33
neO',33,99
neO',136,99
neO',136,48
neO',74,48
neO',74,25
neO',25,23
neO',129,23
neO',69,129
neO',103,69
neO',51,103
neO',51,11
neO',11,54
neO',114,54
neO',7,114
neO',130,7
neO',130,109
neO',109,60
neO',122,60
neO',141,122
neO',141,9
neO',151,9
neO',21,151
neO',92,21
neO',92,45
neO',79,45
neO',132,79
neO',132,61
neO',82,61
neO',82,148
neO',26,148
neO',26,84
neO',36,84
neO',31,36
neO',31,57
neO',3,57
neO',3,107
neO',107,77
neO',85,77
neO',94,85
neO',143,94
neO',143,150
neO',124,150
neO',124,144
neO',75,144
neO',75,43
