judge,candidate_chosen,candidate_not_chosen
1,74,73
1,11,73
1,46,11
1,46,137
1,137,23
1,6,23
1,6,86
1,134,86
1,134,40
1,91,40
1,59,91
1,25,59
1,83,25
1,83,51
1,20,51
1,20,117
1,154,117
1,15,154
1,15,116
1,116,37
1,37,113
1,113,48
1,28,48
1,28,5
1,120,5
1,120,9
1,90,9
1,90,33
1,33,87
1,19,87
1,19,100
1,84,100
1,84,89
1,70,89
1,69,70
1,108,69
1,107,108
1,107,122
1,124,122
1,124,29
1,29,14
1,14,17
1,95,17
1,95,75
1,38,75
1,38,131
1,1,131
1,1,36
1,82,36
1,82,66
1,66,80
1,27,80
1,27,93
1,101,93
1,101,146
1,53,146
1,53,132
1,52,132
1,52,64
1,85,64
1,129,85
1,129,10
1,10,138
1,138,49
1,136,49
1,133,136
1,22,84
1,22,49
1,49,34
1,134,34
1,79,134
1,79,142
1,110,142
1,151,110
1,151,54
1,54,9
1,51,9
1,51,16
1,16,91
1,1,91
1,1,74
1,74,99
1,61,99
1,105,61
1,105,15
1,15,80
1,80,145
1,148,145
1,148,152
1,152,57
1,62,57
1,62,153
1,52,153
1,116,52
1,116,27
1,30,27
1,123,30
1,123,77
1,95,77
1,6,95
1,6,33
1,55,67
1,67,47
1,135,47
1,135,142
1,96,142
1,127,27
1,118,27
1,118,16
1,28,16
1,149,28
1,149,30
1,155,30
1,155,72
1,116,72
1,81,116
1,81,115
1,115,80
1,111,80
1,111,42
1,108,42
1,19,108
1,19,99
1,59,99
1,25,59
1,25,88
1,88,89
1,131,89
1,94,131
1,94,60
1,125,60
1,125,147
1,147,41
1,90,41
1,90,20
1,20,43
1,25,150
1,29,150
1,29,30
1,30,136
1,151,136
1,151,4
1,144,4
1,144,23
1,63,23
1,63,97
1,36,97
1,53,36
1,53,52
1,52,41
1,41,58
1,119,58
1,119,86
1,20,86
1,20,93
1,26,93
1,124,26
1,124,155
1,155,5
1,5,61
1,117,61
1,117,90
1,132,90
1,132,74
1,54,74
1,112,54
1,112,122
1,35,122
1,35,42
1,121,42
1,31,121
1,31,50
