judge,candidate_chosen,candidate_not_chosen
6,498,362
6,369,342
6,392,178
6,207,385
6,146,78
6,234,187
6,81,30
11,413,232
11,70,440
4,319,217
12,405,121
12,87,259
12,153,285
13,167,343
13,116,356
13,511,76
13,310,225
13,459,244
13,156,193
13,208,239
13,300,397
13,445,290
13,209,503
10,220,252
10,456,27
13,65,298
10,218,545
13,477,173
10,52,533
13,50,6
10,145,282
13,549,188
13,341,260
13,561,192
13,505,377
13,53,368
13,10,393
12,5,502
13,401,553
13,200,222
12,326,504
2,381,478
12,541,111
12,134,147
2,61,110
2,351,558
12,228,422
2,418,38
2,223,124
2,40,271
2,425,417
12,361,278
2,104,400
12,453,337
2,109,458
2,352,454
2,91,90
2,388,314
2,135,512
2,14,291
2,108,92
12,423,41
12,493,88
12,141,281
12,142,297
12,471,125
12,535,85
13,270,102
13,132,379
13,517,86
10,338,39
10,449,71
2,25,340
2,60,94
10,441,249
10,516,31
2,489,424
10,35,29
2,203,513
10,179,119
2,304,113
10,148,556
17,79,421
17,1,64
17,172,140
13,335,308
13,474,416
13,510,367
13,366,406
13,48,33
13,411,128
7,452,305
7,15,408
7,246,524
7,302,359
7,433,269
7,273,354
7,494,375
7,51,93
7,144,151
7,202,544
7,245,22
7,451,114
7,67,560
7,36,280
7,105,11
7,376,155
7,521,399
16,117,370
16,467,139
16,438,562
16,564,275
16,169,83
16,284,255
16,491,73
16,34,112
16,506,349
16,307,24
16,330,468
16,21,322
16,17,241
21,346,191
21,235,538
21,420,355
21,464,443
21,215,501
6,136,170
6,149,72
6,312,437
6,427,480
6,95,389
6,42,277
6,508,288
6,350,133
6,403,469
6,62,490
6,419,219
6,329,483
13,57,251
6,216,353
13,444,257
6,89,460
13,546,309
6,174,236
6,436,118
6,543,253
6,204,554
13,212,537
6,19,414
13,396,59
6,75,152
13,323,293
7,195,559
13,547,287
7,552,159
13,28,507
7,557,520
7,439,166
7,430,551
7,409,237
7,463,43
7,197,32
7,328,46
13,383,267
7,431,127
13,432,390
7,378,254
13,243,488
7,448,365
7,2,23
7,229,563
13,410,487
7,325,509
7,242,211
7,198,261
7,8,256
7,138,461
13,482,457
7,519,266
7,475,292
7,303,311
7,74,296
7,472,214
7,210,165
13,316,447
13,84,382
13,548,268
13,82,374
13,100,306
13,470,171
21,274,339
21,550,176
21,404,529
21,531,434
21,283,294
21,315,16
21,49,97
21,230,131
21,26,320
21,213,462
2,68,527
2,227,69
2,485,532
2,526,515
2,160,13
2,272,348
2,333,384
2,429,233
2,324,186
2,168,47
2,175,45
2,481,248
2,528,3
2,157,415
12,264,534
12,221,514
12,473,289
12,276,184
12,37,499
12,286,536
12,150,386
12,357,347
12,476,479
12,106,44
12,162,56
12,80,115
12,530,262
21,182,372
12,120,196
17,122,402
12,96,327
17,130,345
17,435,539
17,371,360
17,66,380
17,321,332
17,199,137
17,336,99
17,181,373
17,12,492
17,522,263
17,107,500
20,158,205
17,161,523
17,542,247
20,206,398
6,177,450
17,518,189
6,55,194
17,126,344
20,295,395
6,240,317
17,465,363
6,4,555
6,318,154
6,185,495
6,358,313
20,238,496
6,426,486
20,446,98
6,9,201
6,58,250
6,143,540
20,497,63
20,77,180
6,484,364
6,407,190
20,123,455
