judge,candidate_chosen,candidate_not_chosen
20,52,67
10,41,64
2,18,3
17,73,27
2,54,63
16,25,27
15,62,46
14,70,16
9,17,3
2,37,47
13,12,69
1,18,65
10,62,2
17,37,66
6,54,69
4,34,13
2,53,42
8,1,66
16,7,56
2,28,10
14,11,31
6,51,74
9,58,15
15,10,20
7,10,7
1,23,24
2,55,15
6,49,4
17,59,58
13,5,56
6,14,50
1,45,19
4,7,74
16,45,32
2,6,5
10,14,53
8,40,33
14,75,32
6,57,8
9,43,6
13,19,29
7,6,4
1,30,68
15,43,61
16,21,29
6,36,71
17,75,19
9,60,35
14,30,60
6,22,44
4,61,22
6,9,26
9,72,9
10,38,39
2,21,8
2,13,48
10,72,48
9,28,48
6,48,72
2,11,1
16,63,68
1,46,70
17,64,67
9,20,38
13,67,44
6,42,2
10,36,1
15,40,17
6,41,25
17,57,50
9,41,31
6,73,51
2,40,49
7,21,71
6,52,16
13,23,36
16,51,67
10,35,55
15,12,26
1,2,44
6,65,34
17,23,39
9,34,59
6,24,47
2,23,35
4,72,49
10,65,33
1,34,24
8,23,26
6,15,33
17,33,24
15,65,47
9,33,47
7,52,55
10,42,63
16,47,24
2,57,33
1,64,3
17,37,56
6,64,63
9,54,12
16,11,8
13,59,33
6,54,46
15,28,70
14,45,50
6,43,74
10,37,30
9,53,22
6,73,68
4,24,33
13,75,60
14,17,68
1,27,31
9,17,4
6,75,29
7,69,31
14,68,71
16,74,60
17,8,60
6,75,13
15,9,4
16,60,39
6,32,13
13,75,13
9,32,4
8,9,55
6,32,66
7,66,69
16,39,16
1,32,27
9,32,16
6,5,66
13,66,13
14,71,39
2,50,30
15,16,4
17,32,60
9,61,16
13,20,66
6,5,20
10,58,69
16,5,16
6,20,38
2,20,30
17,20,32
14,39,20
6,18,38
7,20,66
13,20,25
16,5,38
6,18,62
15,58,16
8,9,16
2,20,25
6,14,62
10,25,69
1,20,32
9,61,25
4,66,38
17,20,25
16,14,38
2,14,25
10,22,25
9,70,25
17,22,25
13,22,25
2,45,14
1,20,35
7,20,14
14,20,25
17,22,2
8,22,16
9,70,2
14,25,2
2,45,52
15,58,14
4,66,70
17,15,2
16,14,52
7,14,11
9,1,2
2,73,52
9,1,49
14,15,2
9,19,49
2,43,73
9,19,46
14,19,15
17,1,15
14,19,12
9,7,46
9,7,42
1,15,35
9,51,42
9,51,36
9,10,36
9,21,10
9,40,21
7,57,11
14,12,59
14,59,53
14,53,6
14,6,41
14,28,41
14,28,3
14,3,26
10,22,59
14,29,26
14,29,44
17,1,44
14,56,44
10,59,44
17,44,31
17,71,31
14,56,27
17,55,71
10,44,31
14,67,27
17,55,74
17,48,74
10,31,74
14,67,48
17,48,63
10,34,74
17,72,63
14,48,72
17,72,62
17,17,62
14,8,72
17,61,17
17,61,65
17,54,65
14,64,8
10,50,34
10,57,50
10,18,57
10,18,43
10,40,43
10,37,40
14,7,64
14,36,7
10,37,54
10,73,54
10,21,73
14,9,36
14,9,42
14,47,42
14,47,35
14,49,35
10,21,10
14,49,46
14,58,46
14,58,51
14,23,51
14,45,23
10,10,11
10,11,12
10,68,12
10,56,68
16,52,30
16,30,3
16,26,3
16,53,26
16,53,41
16,6,41
16,6,28
16,28,29
16,71,29
16,71,70
16,55,70
16,13,55
16,13,62
16,62,64
16,34,64
16,17,34
16,17,50
13,8,22
13,24,8
13,24,39
13,39,63
13,63,27
13,4,27
13,65,4
13,65,57
13,61,57
13,43,61
13,40,43
13,40,45
13,18,45
13,37,18
13,37,5
13,5,67
13,67,56
13,56,69
13,75,69
13,75,21
8,15,22
8,15,38
8,60,38
8,60,29
8,29,35
8,46,35
8,42,46
8,47,42
8,47,49
8,68,49
8,68,3
8,30,3
8,12,30
8,36,12
8,7,36
17,28,54
17,28,53
17,11,53
17,11,41
17,9,41
17,52,9
17,52,51
17,10,51
17,6,10
17,6,26
17,50,26
17,59,50
15,14,1
4,70,1
4,58,1
4,19,58
15,19,1
15,73,19
15,23,73
15,23,54
15,57,54
4,19,17
4,65,17
4,5,65
4,5,59
4,59,64
4,48,64
4,62,48
4,55,62
4,55,39
4,63,39
4,63,71
4,56,71
4,8,56
5,21,61
13,21,34
4,8,67
4,69,67
4,69,27
13,7,34
13,7,72
13,72,74
13,31,74
13,31,33
13,24,33
13,24,13
13,4,13
13,45,4
8,7,43
8,18,43
8,18,75
8,37,75
8,40,37
8,40,45
8,45,61
8,73,61
8,6,73
8,6,57
8,57,10
5,45,61
5,23,45
5,23,28
5,58,28
5,58,11
5,53,11
5,53,9
5,9,36
5,36,41
5,47,41
5,47,68
5,60,68
5,38,60
5,38,35
5,35,3
5,44,3
5,27,44
5,27,26
5,2,26
5,2,29
5,46,29
