judge,candidate_chosen,candidate_not_chosen
3,26,3
3,16,31
2,19,30
3,25,11
3,20,33
3,10,36
2,22,4
2,17,40
3,6,1
3,28,8
3,32,21
4,24,2
4,15,5
4,23,34
1,37,14
1,18,9
1,35,39
3,27,38
3,13,12
4,29,7
4,38,31
4,24,22
4,15,26
4,32,20
4,27,19
3,9,7
3,18,23
3,6,29
4,1,30
4,17,13
4,28,16
1,36,3
1,40,21
4,37,35
4,4,8
4,39,11
4,12,33
1,10,25
4,14,34
1,2,5
4,7,2
1,10,6
1,20,7
1,17,24
1,13,4
1,40,12
1,15,28
1,19,25
1,27,32
4,21,11
4,37,18
2,29,38
4,14,9
4,36,35
4,3,34
2,16,26
4,30,33
4,1,39
1,22,23
4,8,5
2,31,2
4,22,26
4,31,11
1,38,26
4,40,19
4,25,2
1,30,7
4,6,1
4,17,10
1,16,13
1,34,5
4,29,18
1,33,35
4,3,21
1,8,23
4,39,12
4,9,4
4,20,32
4,28,24
1,36,14
4,27,22
4,19,36
1,20,15
4,37,16
1,1,13
4,6,10
4,9,38
4,40,29
1,31,39
4,25,24
1,11,5
4,23,35
4,28,22
1,27,17
4,18,32
4,21,12
4,30,14
2,8,3
2,33,2
2,34,26
2,18,15
2,6,37
2,26,4
2,24,23
3,3,14
3,17,28
3,20,40
3,39,32
3,33,34
3,5,12
3,35,7
1,29,8
1,13,21
2,11,2
2,9,19
2,31,1
1,16,25
1,22,38
1,30,36
1,27,10
1,37,40
1,40,4
1,4,35
1,7,35
1,15,7
1,15,19
1,24,19
1,32,24
1,32,31
1,9,31
3,30,7
3,37,30
3,37,10
3,10,17
2,31,36
2,36,14
2,39,14
2,39,21
3,17,27
3,27,29
3,18,29
3,18,16
3,16,1
3,38,1
3,38,13
3,8,13
3,8,23
3,34,23
3,11,34
3,11,5
3,25,5
3,3,25
3,3,33
1,9,28
1,28,6
1,6,33
1,33,12
1,20,12
1,20,26
2,3,21
2,3,22
2,15,22
2,15,4
3,33,2
3,4,2
3,24,4
3,19,24
3,19,36
3,36,26
3,21,26
2,4,35
2,12,35
2,5,12
2,5,13
3,21,14
3,39,14
3,9,39
3,40,9
2,25,13
2,32,25
2,28,32
2,20,28
2,20,10
2,10,27
2,27,37
2,6,37
2,6,18
2,18,29
2,16,29
2,16,38
2,38,30
2,30,8
2,8,11
2,11,34
2,23,34
2,1,23
2,17,1
2,17,7
2,40,7
2,40,15
