judge,candidate_chosen,candidate_not_chosen
2,41,51
1,14,17
1,3,10
1,20,31
1,16,63
1,67,69
1,1,62
1,55,64
1,12,72
1,30,19
1,38,4
1,40,60
1,37,48
1,59,53
1,33,66
2,42,71
2,5,54
2,21,61
2,7,23
2,45,68
2,36,58
2,35,44
2,15,11
2,29,47
2,13,50
2,49,26
4,8,39
4,28,18
4,22,9
4,32,24
4,69,27
4,25,56
4,52,34
4,6,66
4,70,72
4,50,43
4,65,17
4,46,56
4,40,42
4,64,68
4,7,16
4,23,9
4,54,62
4,60,19
4,30,5
4,13,20
4,34,44
4,4,10
4,21,59
4,36,6
4,66,11
4,3,29
4,52,1
4,48,71
4,57,24
4,14,41
2,65,43
2,33,67
2,31,18
2,22,25
2,32,15
2,38,69
2,8,12
2,28,45
2,58,53
2,55,35
2,39,61
2,63,47
2,49,37
2,27,26
2,39,70
2,2,43
2,69,46
2,51,44
2,6,48
2,60,12
2,1,42
2,9,71
2,22,30
2,3,52
2,10,17
2,67,20
2,26,19
2,25,34
2,24,47
2,58,64
2,59,41
2,14,36
2,4,66
2,68,62
2,8,40
2,56,18
2,29,16
2,72,53
3,13,65
3,54,15
3,61,11
3,33,7
3,35,27
5,45,63
5,49,28
5,55,38
5,37,57
5,32,21
5,31,23
5,5,50
5,34,46
3,27,51
3,26,2
3,68,70
3,50,23
3,31,36
1,70,46
1,15,61
1,45,6
1,11,62
1,42,57
1,30,21
1,37,58
1,38,29
1,4,7
1,44,71
1,65,52
1,59,54
1,17,43
1,18,47
1,14,13
1,69,5
1,22,32
1,12,24
1,67,25
1,60,39
1,3,49
1,66,41
1,33,8
1,1,28
1,40,35
1,16,56
1,64,9
1,20,48
1,19,53
1,10,63
1,24,51
1,37,55
1,9,2
1,72,56
1,26,52
1,64,68
1,44,23
1,58,50
1,20,34
1,28,36
1,27,7
1,65,8
1,29,25
1,57,11
1,6,10
1,38,49
1,47,53
1,14,22
1,63,18
1,70,35
1,43,71
1,19,41
1,1,45
1,15,5
1,66,42
5,4,59
5,48,17
5,54,16
3,31,40
3,21,39
3,46,62
3,32,12
3,30,67
3,69,13
3,60,61
1,51,61
1,28,55
1,33,65
1,2,56
1,68,72
1,3,4
1,51,46
1,60,69
1,22,32
1,13,20
1,39,19
1,27,54
1,35,50
1,34,7
1,45,26
1,21,8
1,31,38
1,36,10
1,43,23
1,47,41
1,71,62
1,40,6
1,67,49
1,12,25
1,48,16
1,24,5
1,58,29
1,17,11
1,9,42
1,52,63
1,59,70
1,44,57
1,30,37
1,64,15
1,61,18
1,14,1
1,66,53
1,66,72
1,2,72
1,55,2
1,55,3
1,3,32
1,33,32
1,33,13
1,21,13
1,69,21
1,69,36
1,36,39
1,39,27
1,27,68
3,47,61
3,47,18
3,18,71
3,53,71
3,56,53
3,41,56
3,41,43
3,43,63
3,57,63
3,16,57
3,16,42
3,44,42
3,9,44
4,33,3
4,67,3
4,31,67
4,31,37
4,37,38
4,38,49
4,49,45
4,45,12
4,26,12
4,26,35
4,35,15
4,15,51
4,58,51
4,58,64
4,29,64
4,70,29
4,70,25
4,25,19
4,54,19
4,54,5
4,50,5
4,50,46
4,46,23
4,23,11
4,62,11
4,62,17
4,17,7
4,7,10
4,48,10
4,59,48
4,4,59
4,1,4
4,1,8
4,8,40
4,40,28
4,28,20
4,65,20
4,60,65
4,60,30
4,22,30
4,22,14
4,52,14
4,52,6
4,66,6
4,66,34
4,34,24
4,2,24
4,55,2
4,55,68
4,68,72
4,72,9
4,47,9
4,61,47
4,61,53
4,63,53
4,63,18
4,71,18
4,43,71
4,43,42
4,57,42
4,57,41
4,44,41
4,44,16
4,27,16
4,39,27
4,39,36
4,36,13
4,32,13
4,32,21
4,69,21
4,69,33
4,33,31
4,31,67
4,37,67
4,37,49
4,45,49
4,58,45
4,58,26
4,35,26
4,35,12
4,15,12
4,15,51
4,51,56
4,38,56
4,8,38
4,8,28
4,28,4
4,4,20
4,59,20
4,70,59
2,11,53
2,11,62
2,23,62
2,23,17
2,46,17
2,10,46
2,7,10
2,7,24
2,24,19
2,5,19
2,50,5
2,34,50
2,34,54
2,48,54
2,6,48
2,6,64
2,52,64
2,40,52
3,25,9
3,29,25
3,1,29
3,14,1
3,22,14
3,60,22
3,60,30
5,54,40
5,65,40
5,52,65
3,55,30
3,55,3
3,3,72
3,2,72
3,2,68
3,70,68
3,64,70
3,48,64
3,34,48
3,34,5
3,24,5
3,24,19
3,19,17
3,17,10
3,66,10
3,6,66
3,6,20
3,59,20
3,59,45
3,4,45
3,4,49
3,58,49
3,58,28
3,28,8
3,52,8
3,52,38
3,37,38
3,37,67
3,67,40
3,39,40
3,36,39
3,21,36
3,21,65
3,32,65
3,69,32
3,33,69
3,26,33
3,35,26
3,35,12
3,15,12
3,50,15
3,7,50
3,7,51
3,46,51
3,46,23
3,23,11
3,11,62
3,71,62
3,18,71
3,56,18
3,56,42
3,63,42
3,47,63
