judge,candidate_chosen,candidate_not_chosen
2,344,254
5,155,82
4,311,329
7,135,300
6,172,106
8,69,278
14,212,296
10,55,243
2,80,275
4,248,314
2,115,361
7,362,186
10,222,165
17,54,294
14,260,22
17,229,46
5,71,359
4,177,154
7,203,287
4,257,305
6,13,25
7,77,110
2,352,252
17,348,137
8,315,36
10,256,63
7,189,339
2,118,271
4,350,328
5,65,266
2,310,285
14,334,133
1,23,51
12,104,303
6,218,140
2,123,269
9,216,251
12,113,223
1,43,290
9,354,180
8,343,142
2,255,28
10,199,30
14,27,129
6,195,211
3,105,213
12,227,10
1,188,101
12,204,128
10,281,219
12,175,58
9,130,114
2,112,156
3,41,351
10,98,91
9,364,333
1,274,247
12,89,131
2,164,42
1,228,16
17,159,117
10,347,11
3,138,356
15,146,270
1,193,235
9,17,349
11,325,134
17,231,92
18,12,29
1,298,221
9,369,288
13,370,293
11,96,237
15,226,184
10,66,73
17,14,166
18,116,207
9,171,108
1,147,220
11,178,262
17,40,292
10,331,45
11,318,326
5,125,194
3,340,289
5,242,239
3,44,52
3,7,168
5,20,358
5,307,121
3,57,68
5,9,49
5,144,93
3,191,299
5,258,100
5,153,284
5,295,225
5,34,99
5,179,88
5,141,312
5,279,122
5,282,119
5,64,324
5,365,332
5,261,232
5,103,132
5,76,185
9,139,87
5,319,148
5,341,143
9,173,163
5,19,160
5,363,253
9,366,151
5,297,136
9,152,360
5,234,79
9,236,90
5,230,268
5,5,264
5,56,24
5,202,286
5,107,15
5,62,245
5,190,169
5,267,187
5,309,330
5,209,217
16,205,95
16,181,3
5,158,322
5,127,161
5,109,306
5,250,2
5,265,70
5,367,353
5,26,8
5,85,111
5,345,210
5,313,323
5,196,72
5,192,263
14,308,4
14,200,246
14,240,337
14,238,283
14,48,224
14,327,33
5,157,61
5,321,316
5,170,126
5,35,198
5,183,233
5,74,149
5,338,215
5,273,342
4,120,214
4,317,355
4,75,259
4,60,206
4,336,244
8,124,102
8,320,6
9,145,304
9,174,39
9,21,50
9,81,346
9,272,357
9,18,335
9,67,59
9,97,1
9,301,280
9,291,94
9,167,32
9,241,83
9,276,31
9,47,86
9,37,78
9,53,162
9,84,182
9,201,176
1,208,277
1,197,150
1,249,302
1,368,38
1,3,293
1,181,148
1,239,283
1,271,33
1,363,123
1,29,187
1,48,138
1,39,119
1,46,245
1,329,52
1,189,272
1,210,264
1,97,76
1,217,270
1,122,206
1,250,18
1,213,161
1,281,218
1,194,114
1,330,349
1,13,139
1,103,127
1,269,42
1,226,152
1,81,196
1,348,85
1,287,268
1,95,59
1,248,34
1,61,108
1,193,115
1,205,230
1,258,362
1,256,222
1,285,102
1,275,51
1,290,335
1,184,358
1,57,124
6,28,359
6,302,143
6,58,36
6,212,341
6,201,44
6,247,149
5,360,244
5,343,107
5,214,182
5,209,75
5,145,308
5,170,231
7,254,288
7,233,223
7,278,332
7,237,353
7,331,105
7,229,69
7,11,219
7,86,355
7,88,293
7,320,191
7,259,252
7,328,142
7,277,296
7,294,150
7,176,221
7,224,151
7,354,113
7,20,47
7,284,25
7,49,163
7,154,323
7,356,253
7,303,126
7,116,5
7,325,295
7,336,334
7,104,317
6,300,30
6,367,67
6,94,134
11,99,129
11,72,137
11,4,140
11,207,24
11,17,291
11,220,2
11,346,32
11,243,82
11,273,84
11,120,146
11,168,101
11,246,38
11,183,167
9,313,41
11,298,364
11,1,169
11,23,236
11,112,7
11,19,261
11,310,345
11,70,78
11,110,133
4,155,338
4,92,91
4,3,21
4,31,225
4,321,197
6,361,262
4,228,80
4,160,289
8,202,144
4,369,267
8,172,9
8,55,62
4,339,251
4,211,63
7,71,98
8,74,204
8,309,216
7,128,131
7,195,54
8,171,40
7,333,324
7,342,166
7,306,87
7,79,314
8,118,301
7,238,178
8,307,173
7,68,165
8,347,203
7,60,27
8,177,240
7,255,56
7,312,337
7,100,357
8,315,319
7,265,274
7,64,276
8,135,352
8,117,136
8,96,125
8,327,158
8,147,179
10,200,157
8,286,45
10,111,10
10,43,35
10,37,249
6,6,292
2,106,326
10,83,121
10,311,190
2,370,53
6,14,340
2,280,198
2,299,186
2,242,350
6,109,141
