judge,candidate_chosen,candidate_not_chosen
36,57,118
36,113,86
4,2,87
4,3,84
4,19,30
4,81,123
4,23,16
4,34,94
4,44,132
4,12,54
4,75,66
4,52,36
5,9,83
4,40,119
4,28,64
4,128,71
4,10,109
4,88,131
4,85,70
4,65,26
4,105,24
4,4,95
4,126,32
4,1,69
4,14,62
4,45,43
4,31,102
4,22,21
2,33,98
2,50,73
2,51,76
2,7,8
2,99,130
2,117,37
2,67,25
2,56,125
2,49,121
2,93,47
2,120,108
2,59,53
2,42,61
2,35,103
2,107,116
2,55,92
2,60,110
2,13,115
2,48,17
2,29,72
2,74,68
2,111,100
2,77,80
2,20,18
2,133,6
8,46,112
8,129,15
8,101,5
8,11,39
8,122,78
8,27,97
8,114,82
8,96,106
8,41,79
8,91,63
8,38,90
8,134,89
8,127,104
8,58,124
8,9,87
8,104,86
11,83,86
24,113,119
14,68,78
14,16,26
14,127,9
14,44,20
14,46,67
14,89,69
11,55,104
11,10,81
14,125,115
11,129,88
11,31,126
11,79,95
11,43,66
14,118,116
11,52,23
11,124,71
14,72,82
11,53,8
14,117,133
9,101,1
14,35,45
14,97,25
9,73,5
14,2,11
9,28,65
14,94,112
9,131,103
14,85,3
9,41,7
9,123,30
9,17,98
9,47,39
8,122,13
8,60,105
8,84,62
8,58,111
8,102,70
8,114,75
8,121,110
8,109,100
8,128,93
9,63,130
9,38,59
9,42,96
9,108,36
9,37,15
9,106,24
9,61,21
9,12,91
9,64,6
9,120,19
9,74,51
9,76,80
9,56,50
9,90,18
9,132,92
9,107,34
9,27,14
12,48,134
12,29,77
12,32,54
12,99,4
12,49,57
12,40,33
12,87,22
12,113,103
12,119,24
12,59,83
12,3,85
12,113,119
12,96,50
12,21,70
12,5,15
12,112,98
12,100,78
12,61,14
12,52,120
12,9,75
12,102,88
12,110,18
12,43,11
12,46,129
12,101,38
5,117,28
5,122,58
5,92,8
5,34,118
5,66,62
5,74,55
5,132,84
5,56,40
5,79,1
5,130,115
5,128,35
5,105,131
5,133,63
5,90,19
5,44,114
5,71,80
5,106,125
5,81,87
5,126,22
5,124,73
5,60,41
5,17,65
5,97,45
5,39,82
3,48,29
3,69,25
3,20,53
3,23,47
3,30,6
3,10,99
3,91,67
3,54,86
3,108,77
3,32,93
3,37,109
3,16,68
3,76,51
3,26,95
3,121,89
3,36,103
3,127,49
3,13,64
3,116,24
3,107,31
3,7,57
3,4,94
3,104,123
3,33,72
3,27,12
1,2,42
1,111,14
1,134,71
1,16,3
1,113,129
1,85,75
1,62,78
1,10,44
1,57,66
1,115,70
1,104,32
1,28,23
1,11,63
11,101,2
33,54,30
33,38,13
33,21,45
33,112,67
33,42,126
33,51,39
33,31,12
33,131,72
33,121,91
1,124,59
10,34,43
10,47,110
10,130,125
10,80,18
10,107,56
10,60,117
10,52,48
10,89,93
10,99,76
10,84,1
10,106,40
10,17,49
10,58,96
10,128,74
10,109,77
15,132,4
10,22,64
10,36,73
15,19,92
10,61,97
15,55,81
10,15,25
15,50,88
10,133,41
15,102,79
10,116,119
15,5,83
10,127,122
15,33,20
10,9,27
15,118,26
15,37,120
10,114,7
15,68,65
10,53,69
15,94,100
15,86,95
15,98,103
15,105,29
15,82,8
15,90,46
15,87,123
15,6,24
15,108,35
15,134,111
37,42,101
15,2,108
37,112,85
15,3,87
37,48,113
37,91,32
37,28,99
37,96,59
37,107,128
37,97,118
37,25,103
37,88,66
37,47,50
37,117,56
37,13,130
37,35,126
37,1,69
37,93,64
37,6,72
37,133,106
37,71,45
37,79,22
37,34,90
37,27,17
37,119,100
37,38,55
37,95,70
11,83,77
11,114,74
11,125,14
11,110,67
11,116,53
11,105,33
11,36,57
11,122,16
11,98,75
11,41,68
11,19,109
11,134,37
11,20,131
11,39,86
6,61,46
30,21,23
30,44,132
30,40,129
30,60,52
30,43,7
30,26,15
30,30,62
30,58,124
30,73,63
30,9,127
30,10,102
30,11,120
30,24,78
30,29,89
30,81,5
30,51,94
30,18,8
30,49,111
30,65,123
30,115,80
30,104,121
30,54,76
33,4,84
33,92,82
32,12,31
1,76,5
39,74,31
14,31,13
15,83,76
15,61,21
15,54,93
32,29,113
32,46,102
32,66,92
32,64,82
32,26,109
32,30,94
32,15,100
32,52,42
32,19,55
32,18,62
32,84,71
32,78,8
32,53,131
32,17,4
32,101,134
32,115,130
32,60,9
32,51,35
32,114,2
32,40,97
32,38,105
32,20,99
32,81,43
32,14,95
22,6,22
6,104,133
6,122,117
6,72,67
6,11,91
6,106,79
6,96,85
19,36,132
26,126,39
26,89,129
26,47,124
26,121,112
26,59,65
26,34,44
26,118,88
26,33,16
26,120,87
26,125,68
26,23,73
6,110,5
6,56,37
26,111,119
26,32,7
6,12,74
26,58,128
6,27,28
26,48,127
26,107,61
6,25,45
26,86,69
6,77,75
6,63,80
26,41,116
6,13,31
6,21,3
6,49,90
6,123,24
24,76,98
24,108,83
6,1,50
24,57,70
24,10,103
6,22,1
24,103,92
24,92,82
6,22,54
24,6,82
6,111,54
24,111,6
6,36,111
24,36,111
6,36,43
6,93,43
26,116,26
26,26,109
26,109,77
24,36,4
7,55,132
7,41,55
7,113,41
7,113,126
7,126,4
7,4,3
7,129,3
7,130,129
7,130,64
7,88,64
7,88,15
7,15,69
7,25,69
7,25,100
7,62,100
7,62,78
7,8,78
7,8,70
7,18,70
7,18,95
7,66,95
7,67,66
7,75,67
7,75,80
7,72,80
1,123,5
1,53,123
33,92,70
33,98,70
33,98,86
33,14,86
33,14,71
33,115,71
33,115,94
33,63,94
1,45,53
1,45,131
33,63,65
1,39,131
33,65,85
1,39,30
1,112,30
33,68,85
1,112,68
33,50,68
1,50,68
1,50,73
33,57,50
33,57,118
14,13,90
14,90,37
14,40,37
14,40,19
14,19,102
14,102,132
14,32,132
14,124,32
14,59,124
24,110,4
24,84,110
24,84,7
24,7,16
24,125,16
24,125,47
24,51,47
24,51,35
24,35,79
24,23,79
24,23,97
24,97,99
24,91,99
24,91,81
36,113,74
36,46,74
36,11,46
36,89,11
36,89,20
36,33,20
36,108,33
36,108,120
36,121,120
36,121,106
36,133,106
36,133,28
36,96,28
36,96,12
36,128,12
36,29,128
36,49,29
36,56,49
36,56,134
38,107,48
38,34,48
38,38,34
38,2,38
38,2,134
38,134,17
38,105,17
38,105,114
38,117,114
38,117,58
38,58,44
38,42,44
38,27,42
38,101,27
38,101,122
38,122,127
38,10,127
38,10,52
38,52,60
38,9,60
38,9,56
38,56,31
38,104,31
38,104,61
38,59,61
34,54,73
26,77,72
26,24,72
26,6,24
26,83,6
34,1,73
34,116,1
34,116,87
34,118,87
34,76,118
34,76,22
34,22,93
34,81,93
34,81,21
34,119,21
34,107,119
34,52,107
34,52,122
34,42,122
34,58,42
34,58,134
34,134,29
34,121,29
34,121,90
34,41,90
34,11,41
34,11,91
34,91,23
34,125,23
39,51,74
39,51,124
39,124,47
39,63,47
39,63,16
39,83,16
39,83,88
39,88,85
39,85,64
39,131,64
39,25,131
39,25,66
39,103,66
39,103,62
39,95,62
39,8,95
39,8,78
39,82,78
39,82,100
39,80,100
39,18,80
39,18,69
39,67,69
39,75,67
25,109,94
25,15,109
25,15,77
25,30,77
25,98,30
25,123,98
25,123,5
25,26,5
25,26,53
25,45,53
25,45,71
25,71,65
25,3,65
25,3,112
25,39,112
25,39,110
25,84,110
25,84,7
25,43,7
25,54,43
25,14,54
25,14,129
25,132,129
25,79,132
25,79,115
30,54,130
30,57,130
30,57,32
6,93,99
6,97,99
6,97,102
6,20,102
6,126,20
6,126,35
6,19,35
6,55,19
6,59,55
6,33,59
6,120,33
6,89,120
5,46,82
5,37,46
5,37,12
5,13,12
5,108,13
5,108,49
5,96,49
5,48,96
5,48,127
5,27,127
5,2,27
5,38,2
5,101,38
5,101,10
5,10,60
5,60,117
6,89,40
6,128,40
6,128,17
6,44,17
6,114,44
6,105,114
6,34,105
6,133,34
6,133,106
6,28,106
28,32,81
28,32,115
28,115,21
28,21,1
28,1,73
28,87,73
28,87,94
28,94,75
28,86,75
28,86,24
28,92,24
28,72,92
28,72,6
28,119,6
28,22,119
28,118,22
28,116,118
28,125,116
28,61,125
28,36,61
28,36,28
28,28,104
28,56,104
28,56,117
28,117,9
21,107,2
21,34,2
21,133,34
21,133,114
21,114,121
21,121,49
21,49,17
21,40,17
21,31,40
21,91,31
21,91,124
21,81,124
21,81,76
21,76,132
21,132,50
21,45,50
21,112,45
21,112,5
21,5,30
21,30,25
21,64,25
21,64,67
21,67,69
21,80,69
21,95,80
36,44,134
36,44,13
36,90,13
36,59,90
8,128,113
8,113,120
8,33,120
8,33,55
8,57,55
8,14,57
8,14,99
8,43,99
8,43,7
8,71,7
8,71,123
8,98,123
8,98,85
8,131,85
8,131,18
8,18,66
8,66,8
8,103,8
8,77,103
8,77,53
8,68,53
8,68,65
27,29,89
27,89,11
27,12,11
27,12,74
27,19,74
27,20,19
27,20,79
27,130,79
27,84,130
27,84,16
27,16,26
27,26,88
27,88,109
27,109,15
27,15,110
27,110,3
27,4,3
27,4,129
27,39,129
27,39,83
27,47,83
27,47,93
27,93,63
27,102,63
27,102,23
7,35,72
7,35,97
7,46,97
7,51,46
7,111,51
7,37,111
7,37,106
7,108,106
7,108,96
7,127,96
7,105,127
7,27,105
7,27,122
7,42,122
7,42,58
7,58,48
7,38,48
7,38,9
7,60,9
7,60,107
7,52,107
7,52,101
20,126,41
20,10,126
20,10,62
20,62,100
20,78,100
20,78,70
20,82,70
20,82,95
20,24,95
20,24,92
20,6,92
20,6,75
20,94,75
20,94,86
20,65,86
20,73,65
20,1,73
20,87,1
20,87,119
20,21,119
20,21,115
20,22,115
20,22,118
20,118,116
20,23,116
4,21,125
4,125,41
4,61,41
4,61,59
4,29,59
4,29,104
4,117,104
4,101,117
4,36,101
4,128,36
4,128,28
4,28,32
4,97,32
4,97,47
4,63,47
4,63,83
4,83,50
4,98,50
4,15,98
4,15,53
4,53,77
4,25,77
23,51,111
19,36,121
22,6,72
19,49,121
22,72,67
23,14,51
19,37,49
22,67,66
19,11,37
23,14,124
19,126,11
22,66,69
23,54,124
19,126,20
22,8,69
19,81,20
23,43,54
22,8,78
19,81,102
22,70,78
23,43,130
22,70,100
19,39,102
22,62,100
23,130,71
22,62,80
19,84,39
22,18,80
23,3,71
22,103,18
19,84,4
23,3,123
22,103,64
19,4,7
22,85,64
23,123,30
19,26,7
22,131,85
19,26,88
23,5,30
22,5,131
19,5,88
19,5,109
22,109,5
23,109,5
22,109,68
23,109,68
19,68,109
22,45,68
19,45,68
22,112,45
23,112,68
19,45,112
22,129,112
19,112,129
23,110,112
22,129,110
19,129,110
22,110,16
23,110,16
22,79,16
19,79,110
23,79,16
19,79,99
23,79,99
19,93,99
23,93,99
23,93,76
23,23,76
23,23,57
23,55,57
23,55,35
23,19,35
3,12,90
5,117,42
5,107,42
5,107,52
5,52,134
5,113,134
5,89,113
3,90,74
3,46,74
3,120,46
3,106,120
3,106,17
3,40,17
3,40,96
3,44,96
3,114,44
3,122,114
3,122,105
3,56,105
3,133,56
3,133,34
3,2,34
3,58,2
3,58,9
3,9,38
3,38,60
3,27,60
3,27,48
