judge,candidate_chosen,candidate_not_chosen
4,99,61
4,1,93
4,39,74
4,66,41
4,75,53
4,38,88
4,78,8
4,19,50
4,18,94
4,97,27
7,44,11
7,47,82
7,77,72
7,43,46
7,63,31
9,22,37
9,95,20
9,34,25
9,76,89
9,15,68
9,84,23
9,79,6
9,81,26
9,85,40
9,35,71
9,54,48
9,100,55
9,57,64
9,62,33
4,49,80
4,12,51
4,21,90
4,29,60
4,36,24
9,3,98
9,16,30
9,45,5
7,65,96
7,10,83
4,9,14
4,86,28
4,32,69
7,2,92
4,7,58
4,59,4
7,70,87
9,67,73
9,56,17
9,42,13
7,91,52
9,51,31
7,39,75
10,11,31
10,19,51
9,37,53
10,40,72
10,93,98
10,68,20
1,14,71
1,48,69
10,77,47
9,26,60
1,100,44
9,59,16
1,76,34
9,21,91
1,8,90
1,92,46
1,65,29
1,38,84
1,3,70
1,94,25
4,24,6
4,64,73
4,87,89
4,63,22
4,2,18
10,95,32
10,41,74
10,81,1
10,30,55
7,85,62
7,23,28
7,9,56
7,86,42
8,96,82
4,49,35
4,57,10
4,79,45
4,61,83
4,33,5
7,67,36
7,99,66
4,54,12
4,80,52
4,17,88
7,78,97
7,27,13
7,50,4
7,43,7
7,64,51
4,26,51
4,95,64
4,46,74
4,42,68
7,62,30
7,17,22
7,90,6
7,79,86
7,60,25
9,10,87
7,98,53
9,9,38
9,73,4
7,18,12
9,77,2
7,72,89
9,99,67
9,16,36
9,49,78
9,14,8
1,83,5
1,54,21
1,80,41
1,56,47
1,65,43
1,57,59
1,88,28
1,40,11
1,39,100
1,48,97
1,69,13
1,32,23
1,66,93
1,29,33
1,7,50
4,34,70
4,75,84
4,85,3
4,91,1
4,52,20
8,94,44
8,45,27
8,81,63
7,61,71
7,92,24
7,19,35
7,76,10
7,83,51
8,72,51
4,15,52
4,15,58
4,58,82
4,82,55
4,96,55
4,96,37
4,37,71
4,71,31
7,83,73
7,74,73
7,74,20
7,20,5
7,58,5
9,8,28
9,50,28
9,69,50
9,69,47
9,70,47
9,46,70
9,1,46
6,3,87
6,89,87
6,89,25
6,53,25
6,6,53
6,6,4
6,13,4
6,98,13
6,98,30
6,36,30
6,36,35
6,35,33
6,33,27
6,23,27
1,24,50
6,23,88
6,84,88
6,84,93
6,24,93
1,24,68
6,24,97
1,22,68
6,41,97
1,22,60
1,15,60
6,41,12
1,67,15
6,12,90
6,11,90
1,63,67
6,11,44
1,63,62
1,62,17
6,44,42
6,94,42
6,94,7
6,7,45
1,17,45
6,45,26
6,34,26
1,18,45
6,92,34
1,78,18
6,92,29
6,40,29
1,78,91
6,40,32
6,32,100
1,86,91
6,86,100
6,86,61
7,58,16
6,61,16
1,86,16
6,16,14
6,48,14
1,16,75
6,48,43
6,43,75
1,2,75
6,80,75
7,16,80
1,2,19
6,80,66
1,19,95
6,66,38
6,56,38
1,95,81
6,56,21
1,79,81
6,21,59
6,76,59
7,49,80
1,85,79
6,85,76
1,85,49
1,49,9
1,99,9
4,65,31
4,77,65
4,77,54
4,57,54
4,57,39
4,39,72
4,72,8
4,10,8
4,10,3
4,99,3
9,1,96
9,52,96
9,52,82
9,82,55
9,64,55
9,37,64
9,37,74
9,97,74
9,97,90
9,90,88
9,27,88
4,99,40
4,81,40
4,92,81
4,92,67
8,84,72
4,67,62
8,12,84
8,12,26
8,26,23
8,33,23
8,98,33
8,68,98
4,43,62
4,43,56
4,48,56
4,48,76
4,76,100
10,30,53
4,11,100
4,11,44
4,47,44
4,47,30
4,13,30
7,49,54
7,57,54
7,95,57
7,95,21
9,27,93
9,83,93
9,41,83
9,29,41
9,29,66
9,66,58
9,58,32
9,7,32
9,7,61
9,94,61
9,39,94
9,39,18
9,18,63
9,65,63
8,68,71
8,20,71
8,20,53
8,53,5
8,5,25
8,4,25
8,4,28
8,28,31
8,73,31
8,73,6
4,13,6
4,6,60
4,87,60
4,87,89
4,42,89
10,35,53
10,35,14
10,70,14
10,38,70
2,78,9
10,38,22
2,15,9
10,46,22
10,46,69
2,91,15
10,69,36
2,91,34
2,34,1
2,1,36
2,36,17
2,59,17
2,79,59
2,19,79
2,19,2
2,77,2
2,77,99
4,42,50
4,50,73
4,69,73
4,21,69
4,21,78
4,85,78
4,85,77
4,77,65
7,21,3
7,3,37
7,37,8
5,52,96
5,10,52
5,99,10
5,99,64
5,64,82
5,82,55
4,65,55
4,55,25
4,23,25
4,23,98
4,93,98
4,93,90
4,20,90
4,20,4
4,4,5
4,28,5
4,28,27
4,33,27
7,8,88
7,68,88
7,26,68
7,26,14
7,14,100
9,92,65
9,92,86
7,100,84
9,43,86
7,45,84
9,80,43
9,75,80
9,11,75
9,11,44
9,44,72
9,12,72
9,24,12
9,19,24
9,19,2
9,2,79
9,79,48
9,81,48
9,81,40
1,99,61
1,61,58
1,36,58
1,36,35
1,35,96
1,42,96
1,42,74
1,87,74
1,87,89
1,89,51
1,51,6
1,82,6
1,82,31
1,1,31
1,66,1
1,66,46
1,46,41
1,32,41
1,70,32
1,70,47
1,97,47
1,97,83
1,13,83
1,13,71
1,38,71
1,34,38
5,55,60
5,22,60
1,59,34
5,22,17
1,7,59
5,62,17
5,9,62
5,15,9
5,29,15
5,56,29
5,91,56
5,67,91
5,67,63
5,63,94
5,76,94
5,76,18
5,18,54
5,54,39
5,49,39
5,57,49
5,57,95
5,77,95
7,69,45
5,77,85
5,78,85
5,78,40
5,7,40
7,69,33
7,64,33
5,7,3
5,37,3
5,37,50
5,50,8
7,64,30
7,52,30
7,10,52
8,6,88
8,88,60
8,90,60
8,90,13
8,93,13
8,93,8
8,83,8
1,10,7
1,10,12
1,26,12
1,72,26
1,72,20
1,20,27
1,27,73
1,73,4
1,4,53
1,98,53
8,89,83
1,98,23
1,23,28
1,5,28
1,5,25
1,25,84
1,84,14
1,14,44
1,11,44
8,89,74
1,80,11
1,56,80
1,56,94
1,94,43
8,87,74
9,34,40
9,36,34
9,36,62
9,62,38
9,38,35
9,22,35
9,22,45
9,45,100
7,10,15
7,29,15
9,42,100
9,68,42
7,29,1
9,68,51
9,51,71
9,71,31
7,59,1
9,17,31
7,59,32
7,32,41
7,48,41
6,95,85
6,95,79
6,79,65
8,87,47
6,65,18
6,18,63
6,91,63
6,91,9
6,9,58
8,97,47
6,58,46
6,70,46
6,70,96
6,67,96
6,39,67
6,39,81
6,81,54
6,54,49
6,99,49
6,2,99
6,57,2
6,57,19
6,19,92
10,16,36
6,92,76
10,16,24
6,76,21
10,75,24
6,86,21
10,66,75
6,86,61
6,66,61
10,66,61
10,61,52
6,66,52
6,52,17
6,37,17
6,64,37
6,64,50
6,50,82
6,82,55
6,78,55
6,77,78
6,77,3
6,3,97
6,97,33
6,30,33
6,43,30
6,43,48
6,15,48
6,15,1
6,62,1
6,62,69
6,22,69
6,22,68
6,68,72
6,72,47
6,74,47
10,52,45
10,26,45
10,100,26
7,48,81
5,73,8
7,94,81
5,73,6
5,6,71
5,5,71
7,94,40
5,5,25
5,31,25
5,53,31
5,28,53
5,28,88
5,4,88
5,90,4
5,90,51
5,51,27
5,13,27
5,23,13
5,23,98
5,98,20
5,93,20
5,83,93
5,83,84
5,89,84
5,89,100
5,100,14
5,44,14
5,44,12
5,12,42
5,87,42
5,87,35
5,41,35
5,24,41
5,11,24
5,11,32
5,70,32
5,70,46
5,75,46
5,75,38
5,38,58
5,58,16
7,40,34
7,34,9
7,9,7
10,100,96
10,80,96
10,59,80
10,29,59
10,29,63
7,63,7
7,56,63
9,91,17
9,21,91
9,54,21
9,54,76
9,49,76
7,67,56
7,67,18
7,39,18
7,39,65
7,79,65
7,79,99
5,86,16
5,92,86
5,2,92
5,2,19
5,19,95
5,85,95
5,57,85
5,57,60
5,60,30
5,33,30
5,33,74
5,97,74
5,97,43
5,29,43
5,10,29
5,78,10
5,78,49
5,99,49
7,99,55
7,82,55
10,3,63
10,3,64
10,37,64
10,37,50
10,50,8
10,77,8
10,2,77
7,93,82
7,93,38
7,70,38
7,24,70
7,24,87
7,87,17
7,17,44
7,96,44
7,96,47
7,47,23
7,23,90
7,27,90
7,27,6
7,6,28
10,85,2
10,85,92
10,39,92
10,65,39
10,18,65
10,18,91
10,15,91
10,15,9
10,9,34
5,79,99
5,79,81
5,81,48
5,48,66
5,66,80
5,80,61
5,36,61
5,36,1
5,69,1
5,69,45
10,34,62
8,97,41
8,41,42
8,42,35
8,14,35
8,32,14
10,62,58
10,89,58
10,89,83
10,83,84
8,22,32
8,22,46
8,46,11
8,11,75
8,75,16
8,40,16
8,7,40
8,7,59
8,56,59
8,21,56
8,21,86
8,67,86
8,67,76
8,76,54
8,95,54
8,19,95
8,19,57
8,94,57
8,94,51
8,4,51
8,4,5
10,84,73
10,13,73
10,13,88
10,71,88
10,71,25
10,25,60
10,12,60
10,72,12
10,98,72
10,98,20
10,68,20
10,68,31
10,53,31
10,26,53
10,26,33
10,82,33
10,82,28
10,28,5
10,43,5
10,10,43
10,10,49
10,49,78
10,78,74
10,74,55
10,6,55
10,6,4
10,90,4
10,90,27
2,39,99
2,39,54
2,54,81
2,29,81
2,29,63
2,63,40
2,40,80
2,62,80
2,62,70
10,23,27
10,23,44
10,44,42
10,17,42
10,17,87
10,87,97
10,7,97
2,70,38
2,41,38
2,41,89
10,56,7
2,68,89
2,68,72
2,72,47
2,98,47
2,98,13
2,13,73
2,73,51
2,51,53
2,60,53
2,31,60
2,31,25
2,88,25
2,71,88
2,20,71
2,84,20
2,14,84
2,93,14
2,93,35
2,83,35
2,83,96
2,12,96
2,12,100
2,100,26
2,32,26
2,32,69
2,69,58
2,74,58
2,82,74
2,82,33
2,28,33
2,28,55
2,55,5
2,7,5
2,43,7
2,10,43
2,49,10
2,78,49
2,67,78
2,21,67
2,21,86
2,56,86
2,66,56
2,66,75
2,75,46
2,87,46
2,87,97
2,42,97
