judge,candidate_chosen,candidate_not_chosen
1,71,66
1,8,27
15,46,49
15,63,31
15,21,2
15,81,35
15,22,74
15,57,20
15,65,84
15,75,30
15,72,34
15,44,17
15,45,43
15,67,14
15,85,79
15,73,4
15,51,59
15,82,53
15,50,68
15,62,5
15,78,13
15,87,10
15,42,16
15,41,9
15,83,55
1,28,56
1,12,39
1,89,64
1,15,37
1,38,32
1,69,70
1,11,47
1,1,40
1,3,7
1,54,25
1,33,48
1,61,23
1,26,6
1,77,36
1,60,18
1,76,24
1,19,80
1,88,90
1,58,29
11,66,86
11,90,52
11,61,76
11,16,68
11,82,41
11,71,88
11,56,2
11,8,3
11,31,17
11,25,37
11,15,44
11,58,67
11,86,20
11,66,46
11,65,69
11,77,28
11,64,10
11,78,11
11,80,47
11,89,73
11,5,53
11,54,12
11,85,57
11,26,1
11,49,24
11,48,6
11,79,30
11,21,51
11,35,59
11,42,75
14,63,83
14,9,23
14,33,81
14,43,84
14,18,13
14,22,50
14,36,70
14,87,45
14,74,40
14,32,34
11,29,4
11,60,19
11,14,7
11,38,62
11,55,39
11,72,27
11,52,39
11,74,18
11,90,32
11,53,40
11,23,84
15,29,36
15,28,44
15,63,71
15,59,37
15,77,26
15,27,6
15,1,69
6,9,73
6,38,89
6,64,49
6,72,61
6,16,41
6,34,68
6,4,13
6,86,25
6,5,50
6,8,33
6,81,43
6,46,48
6,17,70
6,58,21
6,14,51
6,79,57
6,67,19
6,10,30
6,85,42
6,15,22
6,78,87
6,56,80
6,54,60
6,12,45
6,7,47
6,82,65
6,31,88
6,83,35
6,24,2
6,76,55
6,62,75
6,3,11
6,66,20
6,52,75
6,37,30
6,10,59
6,87,74
6,50,18
6,8,63
6,6,40
6,69,57
6,32,48
6,79,29
6,25,27
6,62,26
6,42,1
6,11,44
6,20,39
6,2,84
6,24,23
6,71,65
6,73,53
2,47,70
2,82,15
6,22,28
2,51,7
2,67,16
2,54,58
6,77,72
2,64,33
6,36,35
2,12,60
6,86,90
2,5,21
6,19,4
2,83,89
2,56,14
6,85,66
2,55,45
6,61,46
2,17,41
6,34,80
2,3,76
2,68,13
2,81,9
2,88,43
2,38,78
2,49,31
11,52,14
11,81,61
11,40,13
11,50,89
11,39,70
11,87,62
11,76,9
11,79,63
11,3,22
11,28,36
11,45,35
11,83,42
11,74,33
11,43,53
11,17,34
11,23,4
11,10,16
11,37,2
11,18,7
10,12,67
10,46,60
7,1,31
7,55,32
7,78,58
7,44,41
7,30,84
7,66,71
7,80,47
7,20,27
7,11,29
7,65,88
7,19,21
14,57,6
14,69,90
14,77,54
14,59,68
14,49,73
14,75,48
14,24,51
14,56,15
14,38,85
14,64,86
12,26,25
12,72,5
12,82,8
12,22,52
12,65,11
12,68,30
12,9,36
12,27,53
7,58,69
7,85,56
7,57,23
7,42,76
7,10,61
7,87,3
7,86,49
7,50,5
12,35,6
7,89,45
7,16,44
7,47,2
7,1,62
7,38,82
7,48,40
7,25,18
7,83,66
7,7,4
7,79,54
7,67,74
7,81,77
7,26,28
7,12,8
7,51,33
7,39,41
7,43,60
7,90,73
7,15,19
7,34,32
7,14,37
7,72,64
7,88,59
7,63,24
7,31,75
7,70,84
7,55,46
7,71,17
7,13,80
7,29,20
7,78,21
7,78,52
7,9,52
7,9,36
7,35,36
7,35,68
7,68,6
7,6,53
7,22,53
7,28,22
7,86,28
14,55,86
14,46,55
14,29,46
14,29,25
14,25,60
14,60,21
14,39,21
14,41,39
14,27,41
14,27,7
14,37,7
12,6,80
12,47,80
12,47,70
12,70,2
12,2,84
12,13,84
12,13,40
12,4,40
12,48,4
12,48,23
12,23,59
12,73,59
12,73,18
12,18,34
12,34,32
12,32,75
12,51,75
13,26,42
9,15,1
9,15,61
9,11,61
9,11,74
9,45,74
9,45,44
13,26,62
13,64,62
13,64,50
13,50,76
13,49,76
13,49,88
13,90,88
13,90,24
13,24,33
13,14,33
13,14,19
13,19,17
13,43,17
13,43,20
14,37,30
14,20,30
13,57,20
14,31,20
14,16,31
14,5,16
14,67,5
13,69,57
14,67,10
14,89,10
13,89,69
14,89,65
14,58,65
14,58,3
14,71,3
14,71,72
14,72,8
14,12,8
14,12,79
14,82,79
14,87,82
14,87,63
14,63,83
13,89,56
14,81,83
14,56,81
14,56,54
14,77,54
14,77,85
14,38,85
14,78,38
14,78,66
14,42,66
13,56,1
13,1,44
13,52,44
13,52,51
13,51,21
13,21,75
13,37,75
13,7,37
13,7,4
13,4,80
13,80,40
13,40,2
13,2,84
13,84,70
13,70,30
13,13,30
13,47,13
13,47,53
13,53,68
13,68,59
13,23,59
13,23,48
13,32,48
13,32,34
13,36,34
13,18,36
13,35,18
13,35,39
13,39,41
13,27,41
13,73,27
13,73,9
13,9,60
13,74,60
13,74,31
13,31,25
13,16,25
13,16,45
13,45,46
9,44,14
9,19,14
9,17,19
9,33,17
12,24,51
12,43,24
12,43,57
12,88,57
10,90,60
10,76,90
10,49,76
10,49,69
10,55,69
10,55,61
10,29,61
10,86,29
10,86,5
10,5,11
10,10,11
10,10,50
10,50,22
10,28,22
10,65,28
10,65,62
10,3,62
10,42,3
10,42,15
10,64,15
10,83,64
10,83,26
10,81,26
10,81,8
10,71,8
10,71,54
10,63,54
10,72,63
10,72,58
10,79,58
10,85,79
10,85,82
10,82,77
10,87,77
10,87,38
10,38,12
10,67,12
10,67,46
10,45,46
10,45,88
8,66,78
8,66,1
8,52,1
8,52,33
8,33,6
8,6,80
8,40,80
8,40,30
8,84,30
8,2,84
8,2,70
8,13,70
8,13,53
8,4,53
8,4,47
8,47,68
8,68,75
8,59,75
8,59,37
8,48,37
8,48,7
8,7,23
8,23,34
8,34,21
8,21,41
8,32,41
8,39,32
8,51,39
8,51,36
8,17,36
8,17,18
8,18,27
8,27,19
8,20,19
8,20,14
8,35,14
8,35,44
8,44,57
8,24,57
8,24,9
8,73,9
8,73,25
8,43,25
8,43,88
8,88,90
8,31,90
8,74,31
8,74,69
8,69,76
8,61,76
8,61,46
8,29,46
8,49,29
8,49,16
8,16,11
8,22,11
8,22,62
8,62,55
8,5,55
8,5,28
13,46,15
13,86,15
10,56,88
10,56,89
10,78,89
10,85,78
10,85,72
10,72,81
10,81,42
10,26,42
10,3,26
10,50,3
10,10,50
10,65,10
10,65,8
10,54,8
10,58,54
10,64,58
10,79,64
10,83,79
15,12,1
15,38,12
15,38,82
15,71,82
15,71,67
15,67,77
15,77,87
12,63,88
12,66,63
12,83,66
12,83,86
12,86,28
12,87,28
12,87,33
12,33,60
15,87,52
15,52,6
15,47,6
15,47,80
15,40,80
15,40,70
15,7,70
15,48,7
15,23,48
15,32,23
15,32,39
15,39,19
15,19,18
15,18,60
15,25,60
15,25,24
15,24,90
15,90,76
15,61,76
15,61,11
15,11,15
15,3,15
15,3,8
12,17,60
12,17,14
12,14,21
12,21,41
12,37,41
12,37,20
12,20,44
12,31,44
12,31,69
12,74,69
12,74,1
12,1,29
12,29,55
12,55,45
12,16,45
12,16,62
12,49,62
12,49,50
12,50,10
12,10,42
12,54,42
12,58,54
9,33,51
9,51,36
9,36,34
9,34,59
9,4,59
9,4,75
9,53,75
9,53,2
9,84,2
9,84,30
9,13,30
9,68,13
9,27,68
9,27,57
9,9,57
9,35,9
9,35,73
9,43,73
9,43,22
9,22,5
9,26,5
9,65,26
9,65,89
9,64,89
9,64,56
9,56,12
9,81,12
9,81,63
9,79,63
9,79,67
9,82,67
9,82,72
9,77,72
9,71,77
9,71,78
9,85,78
9,85,38
9,83,38
9,83,66
9,66,58
9,86,58
9,86,8
9,28,8
9,52,28
9,6,52
9,40,6
9,40,80
9,80,70
9,47,70
9,47,41
