judge,candidate_chosen,candidate_not_chosen
5,83,11
5,176,32
5,96,164
5,134,55
5,119,44
5,12,199
5,87,181
5,31,49
5,175,20
5,107,45
1,178,187
1,67,72
1,99,138
1,64,197
1,51,198
1,77,128
1,183,110
1,189,160
6,68,38
1,88,141
1,144,60
6,191,194
6,66,76
6,161,148
6,80,152
6,168,92
6,132,106
6,151,159
6,136,145
6,163,174
6,103,47
6,158,154
6,21,63
6,101,33
6,173,2
6,190,90
6,36,116
6,115,169
6,98,147
6,166,121
6,17,94
6,62,29
6,177,41
6,16,185
6,114,73
6,26,7
6,74,162
6,91,167
6,22,50
6,52,155
6,89,195
6,18,170
6,130,180
6,48,39
6,85,82
6,123,75
6,120,28
6,108,100
6,102,3
6,53,65
6,126,193
6,184,86
6,40,78
6,117,143
6,23,15
6,146,37
6,105,30
6,95,113
6,186,58
6,9,111
6,153,81
6,69,140
6,46,200
6,112,156
6,14,35
6,79,6
6,42,137
6,10,70
6,19,135
6,27,188
6,139,157
6,13,192
6,25,150
6,5,97
6,172,34
6,122,131
6,182,8
6,71,133
6,43,118
6,59,54
6,142,56
6,127,171
6,125,84
6,124,109
6,24,196
6,129,93
6,165,149
6,179,61
6,4,57
6,104,1
6,193,197
6,44,3
6,142,107
6,78,138
6,148,199
6,164,143
6,158,31
6,92,198
6,60,55
6,141,195
6,45,75
1,82,11
6,88,13
1,84,100
6,96,183
1,43,48
6,128,194
6,83,14
6,72,110
6,196,187
1,87,22
6,184,176
1,168,124
6,163,178
1,24,98
6,123,189
1,21,91
6,120,134
6,20,135
1,127,117
6,77,132
1,151,10
6,175,115
1,125,64
6,76,181
6,190,51
1,16,165
6,160,156
1,102,80
6,32,118
1,174,70
6,12,186
6,172,119
1,33,154
6,49,57
1,34,30
1,85,136
6,99,101
1,129,114
6,26,67
6,144,130
1,185,133
6,27,103
1,109,111
6,15,192
1,79,166
6,169,188
6,122,177
1,113,41
6,139,46
1,39,200
6,73,140
1,159,137
6,147,56
6,59,53
1,61,180
6,116,167
6,171,150
6,23,108
1,126,4
6,89,104
6,170,97
1,9,173
6,38,90
1,50,47
6,28,152
1,5,17
6,131,155
6,63,54
1,6,157
6,42,105
1,69,18
6,146,95
6,8,149
1,35,162
6,37,7
6,65,93
1,179,68
6,66,153
1,74,191
6,62,52
6,1,29
1,40,112
6,161,36
6,145,2
1,19,25
6,58,94
1,121,106
6,71,182
6,81,86
1,81,86
1,49,132
1,84,108
6,151,87
1,107,45
6,194,11
6,64,50
1,62,66
6,112,174
1,90,137
6,60,51
6,24,144
1,77,139
6,85,96
6,70,7
1,192,155
6,169,109
6,41,138
1,37,160
6,116,178
1,44,105
6,162,157
6,47,29
1,167,30
6,91,134
1,175,168
6,191,98
1,152,197
6,117,193
6,83,79
1,12,142
