judge,candidate_chosen,candidate_not_chosen
49,459,367
49,210,305
49,478,482
49,696,527
49,225,204
49,794,768
49,426,105
49,514,552
49,657,386
49,306,93
49,91,299
49,349,327
49,357,376
49,760,101
49,346,473
49,701,517
49,650,332
49,690,116
49,149,643
49,539,136
16,614,254
16,274,600
16,450,668
16,230,725
16,232,273
16,184,738
16,692,60
16,106,542
16,677,155
16,792,156
16,718,424
16,586,333
16,658,414
16,479,40
16,637,574
16,795,412
16,271,686
16,481,675
16,170,113
16,659,525
16,756,235
8,118,512
32,634,314
32,313,421
32,633,100
32,335,363
32,590,253
33,697,108
32,10,77
32,396,119
33,495,41
32,446,602
33,518,394
32,244,193
32,16,19
33,785,770
33,203,687
22,460,777
8,753,774
8,631,323
8,513,408
8,413,294
8,112,679
8,616,56
8,246,739
8,300,79
8,64,515
8,463,369
8,464,453
27,90,99
27,743,670
27,511,388
27,533,189
27,158,469
27,673,38
27,387,769
27,209,526
27,211,35
27,477,621
18,606,569
18,451,128
18,97,338
18,44,86
18,219,598
18,24,772
18,74,489
18,373,417
18,551,200
18,30,25
18,775,707
18,529,268
18,523,381
18,220,366
18,689,145
18,494,191
18,620,229
18,76,240
24,238,434
24,411,364
24,84,506
33,555,129
24,748,597
33,638,301
33,763,53
24,122,483
33,553,406
33,734,283
24,339,433
24,432,284
24,92,383
24,374,89
48,257,599
48,436,205
48,724,476
48,324,124
48,351,438
48,72,272
48,535,296
48,615,207
48,691,427
48,358,237
48,596,717
48,754,740
48,532,797
48,212,110
48,4,626
48,779,497
48,736,662
48,715,326
48,549,353
48,465,776
48,588,255
48,256,591
48,55,486
48,121,640
48,578,316
48,239,519
48,78,242
33,651,309
33,397,605
33,758,82
33,171,57
33,540,107
33,454,727
33,582,435
33,443,530
33,505,403
33,337,26
6,766,322
6,625,449
6,315,468
6,447,782
6,259,726
6,181,188
6,604,688
6,343,528
6,13,227
6,786,278
6,80,501
6,564,560
6,54,399
6,667,470
6,496,2
6,138,584
6,5,536
33,359,42
33,50,218
33,159,375
33,437,71
33,674,700
33,154,499
33,213,75
33,285,168
33,790,231
24,802,178
24,680,729
33,516,721
24,773,461
24,410,472
24,455,176
24,206,117
24,325,221
24,444,439
24,471,405
24,708,360
24,665,262
50,23,260
27,722,545
27,733,669
27,66,491
50,310,350
27,165,719
27,778,556
27,571,141
12,416,96
27,81,328
27,61,157
12,224,102
27,645,559
27,607,716
50,236,22
12,340,69
50,661,222
12,248,365
50,377,767
50,656,85
12,420,345
50,83,198
50,174,803
40,632,291
40,771,487
40,452,587
33,51,355
33,493,744
33,216,111
33,694,702
33,764,36
33,723,761
33,798,510
33,547,368
33,286,619
33,344,6
18,63,613
18,270,752
46,192,522
46,544,15
46,654,354
46,563,32
33,281,566
33,747,249
33,130,796
33,401,356
33,746,466
33,31,628
33,233,684
33,730,561
33,382,317
33,395,370
12,137,485
12,179,9
12,653,277
12,627,161
12,330,311
12,500,800
12,475,21
49,187,635
49,287,664
32,457,251
49,290,508
32,538,275
49,712,202
32,418,46
32,280,565
49,624,252
32,143,784
49,409,185
49,705,642
49,581,371
32,70,762
49,126,400
32,456,583
49,263,167
49,172,241
32,644,546
32,389,617
49,676,585
49,710,261
32,425,573
49,320,682
49,67,140
32,531,750
49,264,737
49,521,217
49,759,127
49,601,8
49,183,423
49,243,629
49,791,342
49,655,279
49,698,177
49,144,88
49,671,307
49,672,215
49,480,109
49,503,228
49,34,297
33,422,151
49,321,554
33,266,347
49,534,639
33,336,139
49,666,742
33,557,282
49,579,7
49,131,576
33,611,757
49,498,115
49,799,334
33,504,520
49,142,39
49,783,474
33,458,647
49,1,593
33,732,801
49,29,442
33,589,87
49,125,685
49,201,749
33,804,649
49,713,223
49,308,292
49,265,603
49,580,352
49,11,488
49,169,45
49,190,94
8,134,622
8,289,3
8,648,429
8,312,146
8,567,594
8,610,390
8,704,693
8,303,27
33,62,660
33,699,402
33,711,548
8,319,298
8,575,331
8,59,379
33,681,430
33,160,492
33,385,419
8,765,751
33,462,577
8,612,341
33,537,120
8,618,52
33,18,623
33,636,65
8,164,180
8,348,147
8,678,731
8,558,276
33,440,288
8,507,392
8,384,197
8,133,663
15,14,214
15,484,95
15,431,550
15,448,33
15,755,441
15,781,48
15,49,714
15,378,404
15,524,182
15,329,245
15,199,148
15,12,407
15,123,293
15,735,208
15,788,570
15,467,58
15,194,595
15,372,543
15,175,398
15,789,318
15,608,302
15,162,28
15,741,630
15,683,20
15,68,509
15,250,391
15,47,304
15,695,98
15,114,104
15,445,43
15,787,166
15,706,135
15,196,103
15,490,745
15,163,295
15,380,572
15,37,728
15,780,226
15,152,153
15,393,234
15,186,269
15,415,703
15,720,541
15,195,362
1,609,592
1,793,73
1,709,641
1,652,361
1,267,258
1,562,17
1,568,173
1,502,428
1,132,247
48,646,150
48,440,129
48,460,485
48,803,32
48,270,394
48,140,587
48,486,288
48,475,429
48,509,452
48,777,104
15,752,449
15,247,375
15,132,82
15,368,174
48,685,21
15,557,230
48,78,265
15,583,226
15,236,68
48,450,49
15,160,481
15,288,43
48,446,415
15,267,710
15,47,535
15,742,294
48,167,745
15,576,670
15,539,62
48,149,346
15,778,134
48,8,136
15,794,568
48,454,310
48,740,98
48,505,783
48,571,780
48,243,798
48,775,143
48,461,682
48,673,657
15,344,133
15,601,791
48,524,790
15,96,750
15,549,212
15,683,743
15,768,408
15,386,227
15,55,638
15,125,611
15,86,32
15,364,87
15,89,400
15,691,181
15,67,648
15,797,6
15,712,422
15,663,392
33,58,241
33,792,588
33,719,668
33,405,150
33,597,295
33,741,655
33,223,316
33,245,536
33,320,209
27,678,425
27,511,413
27,614,479
27,486,658
27,552,468
27,383,391
27,706,121
27,543,354
27,472,767
27,501,363
10,260,398
10,565,22
10,641,559
10,688,376
15,165,507
15,469,128
10,572,228
10,671,652
15,520,94
15,716,639
10,18,144
10,91,753
15,201,244
10,345,153
15,176,157
10,232,300
15,270,106
10,680,385
15,141,40
10,356,594
15,173,406
10,251,65
15,787,722
10,14,378
15,254,279
10,419,542
15,36,427
10,339,705
15,662,41
10,186,567
15,34,138
10,156,546
15,494,803
15,504,732
10,15,442
10,35,570
15,409,701
15,503,589
15,799,140
15,373,723
15,796,561
15,599,282
15,604,183
15,613,291
10,11,348
10,681,51
10,266,580
10,203,90
10,7,577
10,12,735
10,222,253
10,634,531
10,100,161
10,114,159
10,500,734
10,627,29
10,739,407
10,46,342
10,81,436
10,548,483
10,702,333
10,725,292
10,643,525
10,801,39
10,578,665
10,748,759
10,108,757
10,421,492
10,358,764
10,423,350
10,769,487
10,71,506
10,322,19
10,155,326
12,330,616
12,397,10
12,83,523
12,154,349
12,579,533
6,361,623
6,216,199
6,283,628
6,590,718
33,16,551
33,771,70
33,208,146
33,172,257
33,609,61
33,164,518
33,651,340
33,473,52
33,622,522
33,607,455
33,434,193
23,640,217
23,360,168
23,84,357
23,402,700
23,69,207
23,430,261
23,334,782
23,28,269
23,532,195
32,33,369
23,119,371
32,776,73
23,693,242
32,517,103
32,728,107
23,730,303
32,675,352
32,123,463
32,456,736
23,162,274
32,347,115
23,321,793
32,746,674
23,95,686
23,151,474
23,697,50
23,632,285
23,63,618
23,4,337
23,558,490
23,537,393
23,188,512
23,102,117
23,636,137
23,372,224
23,305,198
23,215,592
23,53,545
48,654,382
48,202,365
8,661,458
48,234,761
8,374,169
48,278,17
48,64,225
48,514,534
8,573,180
48,163,659
8,158,581
48,644,766
8,271,411
48,417,3
48,470,727
8,495,785
48,650,31
48,708,206
8,126,804
48,462,788
48,699,239
48,317,197
8,437,586
48,762,362
8,218,429
48,600,127
17,171,420
23,711,478
23,287,54
23,286,196
23,690,513
23,264,210
23,466,774
23,332,585
23,516,384
23,615,387
23,177,424
23,297,296
23,630,593
23,498,538
23,606,544
23,755,44
23,480,696
23,213,656
23,713,457
23,390,309
23,433,751
23,698,13
23,695,426
23,765,447
23,231,560
23,508,587
23,24,677
23,377,563
23,284,527
23,605,318
23,262,642
23,649,56
23,721,497
23,76,37
23,754,562
23,694,646
23,477,192
23,526,619
23,48,221
23,112,5
23,281,612
23,610,789
23,441,273
33,629,635
33,496,313
23,26,738
33,185,717
33,338,166
23,625,582
28,205,489
28,353,200
28,99,101
28,598,258
28,418,336
28,235,129
28,584,428
28,233,779
28,412,664
28,781,410
28,280,493
28,444,184
28,438,554
28,749,703
28,574,57
28,277,669
28,540,306
28,502,448
27,443,324
28,772,191
27,553,130
28,179,773
27,626,110
28,459,308
27,331,355
28,42,595
27,416,460
28,653,529
28,182,240
27,731,379
27,519,113
27,275,145
28,439,105
27,80,389
27,631,1
10,259,248
10,666,395
10,464,187
10,633,484
10,268,556
33,88,617
33,715,325
45,45,679
45,23,122
45,704,709
45,414,729
45,293,530
45,555,194
45,77,252
45,786,547
45,148,2
45,20,435
10,672,802
10,272,85
10,676,432
10,311,25
10,66,170
10,152,72
10,109,660
10,404,214
10,499,541
10,229,204
10,131,359
10,289,756
10,116,189
10,256,575
10,784,304
10,381,482
10,178,60
10,491,726
10,737,299
10,388,327
10,763,692
10,602,566
10,453,298
10,396,667
10,521,219
10,687,394
10,343,608
23,92,263
23,335,637
23,246,59
23,74,190
23,647,591
23,75,403
23,9,714
23,366,621
23,124,684
23,79,120
23,467,238
23,445,351
23,323,528
23,135,569
23,510,276
23,476,301
23,689,471
23,142,312
23,97,451
23,220,290
23,319,795
23,302,770
33,237,139
33,515,255
33,401,30
33,645,315
33,707,367
33,733,380
10,603,485
16,250,596
16,328,744
16,329,720
16,93,38
49,399,488
49,724,465
49,624,564
49,118,620
16,27,341
49,431,760
49,370,307
49,550,800
49,747,211
49,175,758
49,147,314
16,249,111
49,475,440
49,777,412
16,124,579
49,752,205
49,559,174
49,656,247
49,132,378
49,420,737
49,218,406
49,658,533
49,171,386
49,452,750
49,579,53
16,706,289
16,641,345
17,519,696
49,458,507
49,553,236
49,604,532
49,168,682
16,678,631
17,477,524
49,569,98
16,447,249
49,153,21
49,761,258
17,500,571
49,299,679
17,362,660
17,680,794
17,778,607
17,558,765
16,523,144
17,769,732
16,581,616
17,101,32
17,291,375
17,241,136
17,238,476
17,109,54
16,510,596
17,472,155
17,445,624
17,372,16
16,74,711
17,267,67
17,497,592
16,384,71
17,412,803
17,421,784
17,111,252
16,512,296
17,211,35
16,355,129
16,133,758
17,332,30
16,121,490
17,398,664
17,337,589
16,657,300
16,441,710
16,716,572
16,359,262
33,693,460
33,281,34
33,720,194
33,339,92
33,178,77
33,259,97
16,792,18
16,358,787
33,777,724
16,49,478
16,744,193
16,705,508
48,629,513
48,346,42
48,802,598
48,311,209
48,432,448
33,202,515
48,224,148
33,659,795
33,740,562
48,123,690
48,254,493
48,170,10
48,642,261
48,695,713
48,103,394
48,271,83
48,319,142
48,463,576
48,184,102
48,11,440
48,286,112
48,33,93
48,232,694
48,540,47
48,481,244
48,483,38
48,23,374
48,192,602
48,189,561
48,265,90
48,531,315
48,66,578
48,351,543
8,743,347
8,753,728
8,804,361
8,443,131
8,505,373
8,446,539
8,185,548
8,608,788
8,243,343
8,20,348
23,200,628
23,263,655
27,416,504
23,163,80
23,81,666
27,627,495
23,172,555
27,487,43
27,62,8
27,566,482
27,326,365
27,186,114
33,708,712
27,280,118
33,665,731
27,595,619
27,464,220
33,6,25
33,650,590
33,2,371
33,324,526
33,96,360
28,264,377
28,560,227
28,354,214
28,612,600
28,683,409
28,78,673
28,537,158
18,618,143
18,154,12
18,733,698
18,459,431
18,334,196
18,617,228
18,725,630
18,242,506
18,39,253
18,161,301
18,677,701
18,275,404
18,108,550
18,457,611
18,719,173
18,221,621
18,396,444
18,29,433
24,31,195
24,726,639
24,603,303
24,748,502
24,86,563
24,556,530
24,272,692
24,790,402
24,791,588
24,599,26
24,13,338
24,742,70
24,99,277
24,106,702
24,516,521
24,411,156
24,715,730
24,273,217
24,469,7
24,467,644
24,276,204
6,425,159
6,182,451
6,609,256
6,723,176
6,125,763
6,164,697
6,735,430
6,557,124
6,466,141
6,783,336
6,55,175
28,177,422
28,567,190
28,117,94
28,424,745
28,634,632
33,226,577
33,622,534
33,198,717
33,188,381
33,307,428
33,292,700
33,496,514
33,210,575
33,610,330
33,266,450
33,544,284
33,149,320
33,568,27
33,48,626
33,282,407
33,638,393
33,89,470
33,772,662
33,671,84
33,643,95
17,511,321
17,545,279
17,335,287
17,120,593
17,283,773
17,584,766
17,652,620
17,498,201
