judge,candidate_chosen,candidate_not_chosen
1,119,107
1,8,107
1,2,8
1,2,98
1,69,98
1,69,90
1,108,85
1,3,27
1,87,28
1,51,47
2,128,114
2,128,100
2,100,27
2,97,27
2,3,97
2,45,3
2,45,100
2,100,35
2,65,35
2,65,94
3,97,49
3,97,49
3,49,95
3,100,95
3,100,34
3,45,34
3,45,3
3,25,3
3,25,53
3,96,53
4,80,46
4,118,46
4,118,92
4,92,24
4,51,24
4,51,58
4,58,95
4,14,95
4,124,14
4,15,32
7,123,81
7,9,81
7,9,1
7,1,122
7,122,83
7,113,83
7,113,103
7,27,103
7,97,27
7,97,74
8,100,86
8,124,24
8,102,101
8,69,80
8,95,60
8,1,18
8,34,125
8,20,39
8,70,105
8,88,62
9,124,109
9,66,124
9,66,84
9,116,84
9,59,116
9,59,38
9,49,38
9,49,95
9,27,95
9,98,27
10,107,83
10,83,117
10,28,117
10,28,47
10,47,94
10,94,89
10,36,89
10,60,36
10,60,52
10,52,103
11,16,99
11,124,24
11,35,101
11,65,78
11,121,107
11,96,85
11,20,89
11,81,55
11,33,123
11,17,59
12,15,8
12,107,38
12,2,118
12,17,24
12,35,102
12,78,80
12,50,4
12,125,21
12,115,113
12,81,43
13,77,27
13,76,77
13,76,99
13,54,99
13,54,18
13,112,18
13,112,48
13,48,14
13,73,14
13,49,73
14,5,123
14,5,41
14,31,41
14,31,115
14,88,115
14,45,88
14,45,81
14,34,81
14,34,44
14,44,104
15,59,77
15,59,97
15,59,97
15,59,97
15,95,97
15,95,72
15,81,72
15,75,81
15,75,34
15,34,5
16,75,34
16,123,34
16,123,124
16,124,77
16,27,77
16,27,113
16,113,63
16,63,114
16,114,71
16,99,71
17,116,84
17,66,116
17,66,72
17,72,81
17,81,16
17,56,16
17,56,1
17,3,1
17,3,75
17,75,82
18,36,71
18,77,36
18,77,113
18,113,71
18,49,71
18,49,76
18,26,76
18,40,26
18,12,114
18,120,5
19,105,84
19,84,21
19,43,21
19,43,102
19,42,102
19,42,113
19,20,113
19,20,79
19,51,79
19,82,51
20,122,103
20,122,71
20,36,71
20,1,36
20,120,1
20,120,56
20,56,81
20,75,81
20,75,124
20,124,125
21,119,95
21,84,119
21,84,59
21,59,61
21,43,61
21,43,103
21,103,122
21,122,11
21,66,11
21,66,42
22,23,44
22,23,87
22,31,87
22,88,31
22,9,88
22,120,9
22,120,37
22,67,37
22,67,19
22,19,111
23,68,40
23,68,40
23,68,71
23,36,71
23,59,36
23,42,59
23,42,39
23,120,39
23,120,56
23,25,56
24,108,52
24,103,63
24,74,68
24,37,47
24,104,95
24,56,83
24,106,7
24,24,102
24,69,6
24,3,111
25,125,84
25,125,83
25,70,83
25,123,70
25,123,33
25,100,33
25,100,46
25,45,46
25,45,11
25,126,11
27,27,7
27,7,39
27,39,63
27,65,63
27,65,23
27,87,23
27,87,12
27,13,12
27,13,109
27,109,5
28,33,98
28,123,98
28,10,123
28,10,88
28,3,88
28,3,34
28,34,58
28,44,58
28,31,47
28,67,59
29,66,105
29,86,105
29,86,110
29,110,83
29,36,83
29,36,117
29,94,117
29,93,94
29,77,93
29,77,68
30,22,79
30,49,79
30,49,27
30,59,27
30,59,85
30,102,85
30,62,102
30,62,6
30,54,6
30,128,54
31,75,34
31,34,123
31,124,123
31,124,114
31,113,114
31,113,68
31,42,68
31,42,11
31,11,122
31,20,122
32,34,122
32,122,86
32,86,58
32,58,110
32,79,110
32,79,93
32,75,93
32,75,105
32,105,43
32,43,90
33,31,17
33,120,17
33,120,9
33,9,56
33,56,16
33,26,16
33,26,123
33,13,123
33,13,10
33,50,10
34,27,63
34,27,36
34,19,36
34,19,22
34,22,47
34,47,113
34,113,93
34,93,68
34,77,68
34,77,32
35,95,60
35,60,22
35,127,22
35,127,29
35,29,105
35,19,105
35,19,53
35,123,53
35,67,123
35,67,33
36,23,77
36,23,83
36,23,83
36,23,38
36,109,38
36,109,43
36,109,43
36,66,109
36,66,109
36,23,109
37,115,30
37,70,18
37,36,73
37,2,20
37,74,52
37,37,64
37,13,76
37,53,29
37,124,80
37,55,70
38,16,92
38,42,92
38,42,43
38,116,43
38,107,116
38,107,32
38,32,23
38,23,109
38,35,109
38,35,9
39,92,42
39,43,42
39,43,116
39,107,116
39,107,59
39,107,59
39,84,107
39,84,107
39,107,49
39,49,26
40,100,41
40,50,100
40,1,50
40,120,1
40,120,56
40,72,56
40,72,38
40,97,38
40,97,126
40,126,127
41,87,78
41,87,12
41,20,12
41,20,125
41,82,125
41,92,82
41,92,55
41,55,57
41,57,111
41,2,111
42,25,9
42,120,9
42,120,99
42,63,99
42,63,39
42,47,39
42,47,32
42,23,32
42,23,109
42,31,109
43,73,94
43,94,117
43,32,117
43,83,32
43,83,38
43,38,97
43,97,66
43,98,66
43,98,8
43,8,64
44,28,59
44,44,49
44,46,76
44,27,126
44,72,36
44,94,71
44,14,4
44,117,93
44,8,66
44,24,22
45,33,98
45,67,33
45,67,128
45,128,65
45,65,35
45,35,1
45,120,1
45,120,16
45,123,16
45,13,123
46,107,38
46,38,47
46,47,77
46,77,113
46,103,113
46,27,103
46,49,27
46,95,49
46,95,34
46,30,34
47,23,109
47,109,59
47,66,59
47,35,66
47,35,128
47,122,128
47,122,71
47,36,71
47,42,36
47,42,69
48,16,26
48,98,10
48,66,110
48,23,58
48,118,2
48,79,36
48,104,94
48,67,53
48,83,52
48,31,71
49,13,16
49,16,100
49,57,100
49,57,36
49,36,63
49,47,63
49,47,27
49,27,84
49,84,59
49,59,127
50,85,99
50,59,99
50,59,4
50,7,4
50,7,101
50,101,114
50,114,18
50,73,18
50,73,54
50,6,54
51,64,57
51,64,57
51,64,57
51,64,57
51,64,57
51,64,57
51,64,57
51,37,64
51,37,64
51,64,61
52,2,37
52,37,124
52,124,121
52,121,40
52,64,40
52,64,74
52,95,74
52,95,70
52,70,119
52,119,108
53,116,60
53,60,108
53,125,108
53,125,53
53,20,53
53,75,20
53,75,106
53,45,106
53,81,45
53,81,128
54,104,98
54,104,100
54,100,15
54,15,25
54,34,25
54,34,44
54,44,72
54,2,72
54,124,2
54,75,124
55,4,48
55,4,7
55,7,101
55,114,101
55,114,47
55,47,27
55,40,27
55,121,40
55,121,127
55,118,127
56,92,86
56,118,86
56,118,124
56,124,2
56,2,57
56,8,57
56,8,61
56,55,61
56,125,55
56,125,121
57,47,83
57,77,47
57,77,49
57,100,49
57,100,34
57,34,45
57,45,3
57,3,25
57,25,49
57,107,49
58,66,59
58,66,124
58,124,9
58,1,9
58,1,65
58,65,56
58,56,92
58,42,92
58,42,49
58,64,49
59,58,8
59,8,20
59,20,75
59,75,15
59,15,30
59,91,30
59,91,45
59,81,45
59,81,72
59,72,34
60,67,34
60,34,72
60,96,72
60,17,96
60,17,115
60,115,3
60,3,41
60,41,46
60,46,44
60,31,44
61,70,86
61,107,70
61,107,11
61,11,122
61,84,122
61,49,84
61,49,126
61,79,126
61,79,43
61,42,43
62,56,81
62,30,81
62,30,50
62,3,50
62,3,69
62,69,12
62,45,12
62,45,22
62,22,126
62,58,126
63,31,81
63,31,100
63,1,100
63,1,9
63,120,9
63,120,56
