judge,candidate_chosen,candidate_not_chosen
2,573,375
4,582,432
8,388,253
7,180,533
3,237,668
8,495,20
6,664,370
4,190,369
1,690,331
8,276,191
8,288,118
7,70,674
4,467,395
8,125,567
3,137,638
4,501,541
8,181,645
2,244,440
3,119,47
7,112,350
1,298,657
8,595,239
4,291,200
8,199,75
8,603,319
8,256,403
4,188,232
8,172,415
3,49,691
3,8,124
18,471,514
12,69,624
14,419,337
11,485,460
10,12,217
11,377,666
9,439,413
11,267,552
11,238,13
7,623,590
9,633,636
18,260,105
16,576,35
12,445,155
7,316,66
9,408,594
17,182,639
18,647,63
14,434,40
9,490,293
16,551,203
18,526,93
12,604,423
10,681,126
9,144,151
14,54,150
17,110,272
16,327,396
18,420,309
10,115,226
9,473,689
11,646,186
14,613,525
11,686,97
9,14,405
18,341,487
17,265,349
14,648,484
9,329,496
11,518,113
9,178,176
16,149,611
18,698,87
14,520,359
12,251,231
10,24,418
16,209,549
12,656,92
23,407,162
13,428,677
26,136,10
20,211,169
23,157,16
19,374,534
21,143,696
23,77,625
25,456,410
22,338,366
23,308,252
20,198,675
21,21,367
13,74,218
23,465,280
22,175,531
26,17,644
20,352,592
19,566,22
22,228,401
21,269,314
20,424,356
26,258,569
23,56,529
13,283,183
20,537,354
19,282,129
23,458,117
25,86,5
13,546,160
20,364,57
22,301,122
21,235,116
19,682,46
25,94,342
23,80,263
13,398,429
26,547,38
21,579,425
19,630,3
20,64,493
23,336,202
25,608,98
13,161,73
22,414,617
26,412,330
19,174,242
21,478,339
23,32,42
20,249,2
19,142,207
20,426,653
25,320,593
7,368,179
7,171,584
20,462,659
20,527,39
20,259,82
7,545,50
20,313,100
20,422,230
20,219,133
7,457,72
7,83,627
7,609,381
15,79,290
15,345,71
15,671,343
15,296,107
15,433,472
15,363,27
27,164,437
27,550,575
28,563,474
28,25,81
28,187,649
28,620,516
28,101,503
28,233,299
28,213,140
28,654,197
28,41,385
28,6,515
27,629,355
27,687,511
27,378,587
27,492,307
27,210,542
27,120,254
27,386,444
27,632,220
27,489,286
27,610,365
27,84,435
27,585,607
5,694,588
27,634,141
5,184,134
7,89,234
7,33,438
7,321,287
2,159,680
27,614,616
2,676,29
20,294,297
20,469,470
27,247,95
20,68,508
20,130,679
27,361,459
27,353,222
12,452,468
19,482,285
7,486,275
27,215,145
7,565,34
7,572,480
7,323,660
4,311,312
4,103,208
25,663,391
25,315,693
25,481,216
25,442,555
25,570,166
25,447,58
5,271,451
5,90,509
20,488,535
7,665,441
25,600,530
4,507,158
7,387,499
4,334,559
11,9,397
4,362,257
4,132,521
11,519,580
11,450,443
11,23,201
25,669,427
11,523,560
20,491,96
25,430,477
25,303,688
25,1,121
10,221,554
4,193,661
4,581,651
10,475,699
10,455,344
2,167,51
2,672,561
2,284,513
2,476,389
2,59,358
2,517,411
5,76,223
5,273,558
2,52,26
5,599,553
2,612,596
11,279,351
5,406,449
11,194,264
5,578,266
11,658,245
20,317,431
5,214,466
11,85,409
20,621,357
6,111,255
27,62,139
11,348,589
20,700,494
25,601,564
20,404,571
25,557,170
27,380,246
14,306,173
25,399,123
6,597,540
20,300,335
14,11,372
20,402,48
27,332,185
6,281,324
14,328,28
27,586,524
20,340,615
27,522,15
20,446,510
6,227,640
6,574,205
14,53,502
14,60,243
14,670,292
7,626,30
2,78,206
2,104,270
7,528,189
2,131,562
7,376,310
25,384,304
8,544,262
25,577,65
8,127,606
25,250,598
27,18,147
8,153,538
14,289,697
27,512,229
4,44,394
27,662,498
27,212,347
4,108,631
27,532,652
4,7,163
27,583,643
2,568,673
13,135,148
2,619,102
7,556,383
13,268,192
7,628,236
2,196,261
13,360,99
13,333,36
4,416,497
13,114,128
6,371,417
2,453,684
6,667,421
13,504,692
25,240,483
6,379,325
13,505,635
25,302,539
13,602,463
25,454,88
7,224,390
13,373,322
13,19,55
6,225,156
7,67,146
13,650,326
7,204,642
6,500,400
13,106,91
13,346,277
25,393,622
13,165,436
5,685,152
7,31,678
13,37,683
25,448,461
5,618,45
7,168,248
4,479,177
4,591,61
25,464,548
13,305,695
25,4,392
13,543,536
5,241,154
4,138,637
13,295,605
4,43,641
13,506,195
4,109,274
12,278,655
4,382,318
25,203,500
12,549,657
4,209,441
12,91,684
25,400,554
23,97,538
12,453,185
25,146,153
25,156,292
23,206,516
23,386,101
23,366,649
11,645,680
8,219,581
8,104,579
11,461,640
8,214,17
8,580,293
6,12,9
8,653,319
11,667,694
8,373,281
8,621,492
6,210,336
11,250,54
11,479,543
6,29,5
6,317,235
6,650,612
14,634,85
6,37,672
14,549,268
14,129,418
8,362,465
8,493,73
8,354,487
8,44,528
8,457,382
14,45,122
14,199,259
10,489,665
10,205,497
10,504,685
10,577,237
10,689,641
10,415,678
10,195,121
10,330,218
10,343,423
10,309,615
4,11,203
4,605,359
4,527,62
4,346,532
10,512,306
10,588,243
10,567,189
10,502,254
10,610,302
10,204,591
10,338,419
21,664,501
21,103,568
21,246,297
21,574,462
21,202,515
21,256,648
21,490,340
21,137,424
21,407,550
2,534,200
2,556,33
28,671,120
25,65,335
28,213,144
25,632,321
28,258,482
20,524,431
16,661,529
20,408,241
11,566,315
20,696,624
11,142,111
20,18,52
25,363,115
11,23,345
24,291,473
11,572,184
24,109,361
24,187,112
24,402,70
24,150,370
20,454,143
24,13,542
24,395,409
11,428,157
24,216,644
24,78,174
24,177,394
24,223,128
24,401,26
24,98,436
24,508,325
20,635,695
24,647,633
24,662,227
24,72,607
24,262,55
24,604,595
20,506,629
24,416,404
24,168,619
24,305,601
24,314,668
24,410,139
24,659,58
24,131,89
24,288,41
24,592,677
24,176,365
24,272,287
24,356,351
24,138,458
24,186,533
24,193,646
24,324,463
24,232,429
24,602,368
24,628,341
24,491,190
24,509,477
16,252,638
6,240,663
24,433,609
6,513,2
16,537,420
24,263,160
24,181,681
