judge,candidate_chosen,candidate_not_chosen
7,232,18
6,128,237
20,41,271
2,289,171
7,253,287
2,211,25
2,163,101
7,130,160
2,126,178
20,23,135
6,87,267
6,159,89
6,264,138
6,112,280
6,242,106
15,105,91
5,49,227
13,170,133
5,37,71
13,17,109
16,199,90
14,197,73
19,100,38
17,43,281
17,45,12
18,44,156
16,74,260
16,236,120
19,102,57
14,153,97
16,166,99
11,268,1
16,164,82
10,7,55
18,226,117
16,221,39
19,180,191
16,19,254
10,234,198
14,61,307
14,311,296
20,146,175
20,15,312
20,155,181
17,224,58
17,107,113
17,121,256
6,243,185
6,114,255
6,297,52
6,125,169
17,184,262
18,238,147
18,124,21
18,261,72
18,80,186
13,317,26
13,16,257
13,64,148
13,22,172
18,283,27
15,246,231
15,204,270
15,65,137
13,136,259
13,6,195
13,212,245
13,291,47
15,318,35
15,319,304
15,216,176
15,222,249
15,229,14
15,2,13
8,62,157
18,302,266
14,250,308
14,285,210
14,134,29
8,247,68
14,278,93
14,290,103
14,141,139
14,182,110
11,151,165
11,123,293
11,201,79
11,42,92
11,129,173
11,11,303
8,217,219
11,167,67
11,310,150
11,189,32
11,192,174
1,220,10
8,88,77
8,83,30
8,292,132
8,286,276
1,314,51
1,244,190
1,248,104
1,251,218
20,8,188
20,140,265
20,154,194
18,306,59
1,33,31
1,235,143
1,277,279
4,315,309
4,241,252
4,69,3
4,179,225
4,320,269
20,9,295
20,108,63
3,284,183
3,233,76
3,118,300
3,86,196
3,98,28
3,177,213
3,20,205
13,272,313
13,94,116
13,203,158
13,258,152
13,56,288
5,131,75
5,239,85
13,298,149
5,142,282
5,301,5
5,209,4
13,207,202
5,46,161
5,316,54
13,193,84
5,206,144
13,122,214
18,127,111
13,208,78
18,24,95
17,66,187
17,230,81
17,50,263
17,299,36
17,60,96
18,162,34
4,40,70
4,294,215
4,53,223
20,274,305
4,273,240
4,115,228
4,275,48
4,168,200
4,119,145
4,130,19
4,67,192
17,180,279
17,191,256
4,160,103
20,254,259
4,178,263
4,174,194
20,191,165
4,126,313
20,277,29
4,209,268
20,85,73
20,87,123
20,83,178
20,315,229
11,134,49
11,284,264
11,256,202
11,203,2
15,113,76
15,66,41
13,19,269
5,216,230
5,309,195
5,223,287
5,22,319
13,121,182
5,127,298
5,290,64
5,304,219
5,227,57
5,114,105
15,317,180
5,252,293
15,135,48
6,187,97
6,25,55
15,119,160
15,196,237
13,163,20
13,27,52
15,44,199
13,42,272
11,300,149
15,254,164
11,170,306
13,276,282
13,168,206
11,39,116
18,94,69
13,266,150
11,142,250
18,130,46
11,104,26
11,110,205
4,30,68
13,7,275
4,79,231
13,255,91
4,108,141
4,171,139
4,86,140
1,224,247
6,117,240
15,312,228
1,72,13
6,174,201
6,261,302
1,279,307
1,291,107
6,118,67
1,15,33
1,62,154
1,92,3
17,151,294
4,246,311
4,167,100
4,111,152
15,32,18
15,10,175
1,157,59
15,81,51
1,297,8
15,70,305
15,212,217
20,169,156
17,28,77
20,179,235
4,314,37
4,101,218
5,214,95
5,220,238
5,283,244
5,303,12
5,17,80
13,271,172
5,148,225
5,248,45
5,112,128
13,232,102
5,53,115
5,71,35
6,280,257
6,96,36
6,193,241
6,145,138
13,289,236
6,184,43
6,133,190
13,198,161
13,159,6
13,239,301
13,109,89
15,56,189
13,278,286
15,285,146
13,166,310
13,281,265
1,124,16
17,233,273
17,183,54
17,58,75
6,40,9
20,288,270
14,188,63
14,38,90
14,260,1
14,211,292
20,11,299
4,23,320
4,249,262
4,65,221
14,50,88
14,82,99
14,213,93
14,4,215
4,316,24
14,47,78
4,162,153
1,185,308
20,34,147
7,242,129
7,61,208
7,106,173
17,258,251
15,186,245
15,122,74
15,197,192
15,14,143
6,120,295
6,177,204
6,132,84
6,226,207
15,263,31
6,210,181
5,60,136
5,155,222
15,274,131
5,194,296
20,234,98
5,176,21
15,5,259
5,243,318
20,158,103
20,144,137
5,253,125
5,200,267
5,210,63
5,152,110
4,144,150
5,80,258
11,106,103
11,91,181
11,126,263
11,46,102
1,173,93
14,273,109
4,87,246
7,29,295
7,195,228
14,301,153
14,14,128
7,201,199
14,265,267
7,98,88
14,189,70
20,276,227
20,269,231
14,238,229
19,209,289
14,157,192
19,65,253
19,130,193
20,213,250
14,187,141
19,145,169
14,154,281
19,305,36
14,308,205
19,147,190
20,247,58
11,76,54
20,72,208
17,19,198
17,108,234
17,260,133
17,306,255
17,244,160
15,303,292
15,69,207
15,280,8
6,27,272
6,82,45
15,50,40
6,15,232
6,235,28
15,204,264
15,168,278
15,37,125
13,11,17
13,26,138
8,243,167
8,107,38
18,252,131
18,297,239
11,22,220
11,226,314
17,236,79
11,90,270
11,248,118
17,148,249
17,302,304
18,300,105
18,74,182
19,119,151
19,206,309
4,166,254
4,6,39
3,217,96
17,44,7
3,219,12
19,5,20
3,186,81
19,92,16
19,218,259
1,175,97
1,120,123
1,282,165
1,51,75
1,159,53
17,33,9
17,245,215
8,200,171
8,298,268
6,41,311
6,274,62
6,47,132
6,296,139
6,4,310
6,162,66
18,52,225
18,35,57
8,224,315
8,256,71
4,49,140
20,233,122
18,137,84
