judge,candidate_chosen,candidate_not_chosen
13,90,168
18,139,258
1,242,173
2,116,262
16,19,159
10,164,98
14,194,206
10,266,34
14,107,149
10,260,210
10,89,318
10,221,193
1,311,147
19,249,142
6,255,302
12,275,29
20,4,133
20,223,102
20,292,283
12,178,118
3,144,120
9,8,276
5,199,96
9,121,281
11,220,125
9,181,188
3,67,68
11,39,319
7,50,20
7,64,26
7,287,66
7,99,176
8,298,280
3,128,94
10,62,265
10,157,109
10,32,232
10,162,84
10,154,316
12,267,12
13,175,313
13,238,305
13,167,270
13,213,204
15,155,130
19,56,217
6,235,11
6,273,169
7,75,63
7,10,207
7,46,233
15,17,226
15,22,170
19,278,16
19,166,53
12,293,317
7,297,320
7,21,205
14,9,126
12,72,314
12,279,196
2,18,152
2,224,243
2,82,161
2,190,163
12,122,277
13,208,179
13,30,110
13,49,43
13,123,70
13,141,248
6,247,146
6,28,237
19,252,290
2,257,101
19,115,6
2,291,308
2,73,240
15,79,76
2,105,44
2,93,137
12,48,91
7,310,51
11,212,108
11,129,61
11,81,195
14,143,135
11,288,77
14,306,25
11,231,246
14,172,307
11,177,250
11,55,264
11,111,85
11,158,197
19,263,185
19,214,119
19,38,309
12,40,160
19,41,303
12,150,27
14,87,151
14,254,58
14,256,124
14,80,296
14,52,24
19,234,301
19,202,271
6,282,229
1,97,289
6,284,45
1,200,171
6,47,201
6,7,156
6,1,230
1,86,114
1,92,140
1,187,245
1,251,225
1,216,113
1,274,227
16,203,138
16,215,191
16,134,3
16,69,183
16,23,5
16,268,228
16,112,182
16,241,211
16,13,192
8,35,42
8,36,71
8,165,15
19,153,269
19,83,132
19,299,174
19,104,148
19,244,57
20,236,59
20,103,180
20,2,106
20,33,253
20,261,312
20,315,136
20,294,239
20,117,60
8,88,304
8,286,131
8,219,186
8,37,295
8,65,14
19,54,198
19,31,272
19,285,189
19,74,145
19,222,209
19,78,259
8,218,300
19,95,184
19,127,100
19,137,158
18,52,193
19,120,24
19,119,94
19,52,253
15,102,128
15,197,316
15,27,269
6,13,99
15,110,230
6,19,123
6,104,218
9,162,54
15,86,92
9,191,270
9,220,129
9,221,62
9,150,115
15,174,290
9,80,23
14,315,28
15,200,81
14,93,116
14,262,160
15,169,149
15,287,89
15,238,310
15,63,233
15,48,219
15,140,265
15,187,273
17,83,241
17,132,16
17,267,18
17,204,250
17,257,67
17,97,117
17,96,225
17,234,251
17,232,198
3,176,76
3,98,258
17,112,288
3,55,65
3,78,292
3,255,155
15,236,165
15,141,224
12,25,243
12,73,167
3,9,274
3,53,179
3,87,127
15,170,146
15,40,75
12,286,164
14,20,109
15,154,30
14,88,72
14,177,10
15,261,247
14,266,2
9,210,151
9,145,184
14,4,56
14,277,152
14,31,293
14,1,231
9,207,301
14,103,157
14,166,190
14,59,196
14,227,195
14,91,130
18,147,313
18,61,71
7,206,304
7,45,303
15,240,211
15,192,185
15,202,297
15,306,291
15,252,50
17,178,74
17,296,264
17,144,22
17,242,294
17,173,148
19,124,66
17,259,188
17,100,305
19,114,248
17,171,158
19,209,239
17,125,29
17,106,77
19,194,120
17,17,49
19,156,51
17,24,271
19,214,105
19,201,226
19,279,268
19,35,282
17,6,182
17,134,254
3,249,90
17,199,21
3,308,320
17,235,172
3,318,217
3,118,101
17,300,14
17,143,222
3,8,284
3,215,213
17,175,208
3,12,317
17,181,39
3,133,245
3,135,180
3,7,139
15,85,131
15,159,15
14,36,121
15,205,44
12,60,193
14,33,111
15,302,142
14,42,280
15,43,307
14,285,260
15,186,309
9,47,275
14,168,34
9,246,295
9,5,57
14,137,64
9,37,107
9,228,113
14,272,161
9,289,319
14,58,229
9,298,79
14,281,26
14,3,108
9,312,70
9,126,163
15,11,283
15,136,68
7,41,32
15,314,183
15,263,82
5,122,299
9,46,212
15,84,189
19,278,216
19,237,138
19,203,244
12,153,311
19,276,94
19,223,119
19,38,69
19,95,256
3,138,3
12,190,299
3,124,218
12,256,23
19,94,108
8,104,212
5,46,21
8,179,84
8,157,41
8,3,189
8,288,197
8,32,58
5,305,185
8,86,235
9,320,149
9,250,309
9,125,106
5,196,77
8,227,244
9,270,148
8,20,293
8,76,225
5,194,134
12,246,213
5,13,95
9,14,51
9,89,81
9,316,16
2,110,156
9,42,218
3,255,242
2,88,285
2,47,178
2,210,90
9,201,172
9,319,290
9,73,78
14,273,205
9,199,257
2,158,265
9,183,269
9,279,234
6,264,307
10,146,130
6,175,220
2,283,226
5,207,155
10,186,107
6,70,182
10,102,308
10,206,289
3,297,30
5,281,92
10,258,233
3,302,219
10,166,203
2,37,143
2,237,165
2,200,150
2,312,292
5,223,266
5,209,260
18,65,169
18,67,204
18,136,296
18,160,245
18,61,275
18,163,198
19,7,93
19,79,240
15,306,97
15,311,140
15,315,153
15,249,38
15,271,295
19,238,103
19,25,18
19,128,241
19,36,215
12,83,35
5,184,253
12,286,261
5,216,300
17,164,192
19,105,129
19,101,211
17,247,82
17,193,15
10,57,243
17,112,187
10,268,72
12,301,152
10,68,303
17,99,12
10,69,145
17,230,161
17,91,167
5,141,177
17,180,248
17,34,131
17,317,142
5,114,318
5,5,135
15,127,64
14,259,208
5,217,188
15,162,87
12,11,45
15,121,53
2,229,151
12,170,262
2,278,48
3,159,49
5,63,232
14,191,174
2,123,10
3,29,66
3,50,116
2,98,176
18,22,133
2,287,202
11,109,313
2,154,80
11,252,263
11,60,100
11,274,62
11,168,54
2,56,310
11,231,132
11,55,236
11,117,126
10,40,298
11,28,59
11,291,224
10,96,277
5,115,139
2,118,27
18,31,17
5,144,1
2,173,276
12,26,71
15,43,251
8,181,9
15,239,113
15,282,74
8,33,221
15,6,119
19,8,122
19,75,171
8,2,299
8,228,284
8,314,272
19,19,137
19,147,111
