judge,time_taken,candidate_chosen,candidate_not_chosen,group
570023-570014-56126900@x.xx,49687,PXSQJB,7VAUKB,Auckland
570023-570014-56126900@x.xx,22317,Y6JTCZ,HPPDXP,Auckland
570023-570014-56126900@x.xx,13542,69J9SW,7VAUKB,Auckland
570023-570014-56126900@x.xx,15649,PXSQJB,TBEEEN,Auckland
570023-570014-56126900@x.xx,16252,N2Q9EZ,7VAUKB,Auckland
570023-570014-56126900@x.xx,27169,Y6JTCZ,URVVWM,Auckland
570023-570014-56126900@x.xx,4193,69J9SW,URVVWM,Auckland
570023-570014-56126900@x.xx,3485,Y6JTCZ,TBEEEN,Auckland
570023-570014-56126900@x.xx,19712,WP7BYJ,7VAUKB,Auckland
570023-570014-56126900@x.xx,6854,69J9SW,N2Q9EZ,Auckland
570023-570014-56126900@x.xx,6738,HPPDXP,N2Q9EZ,Auckland
570023-570014-56126900@x.xx,9005,TBEEEN,7VAUKB,Auckland
570023-570014-56126900@x.xx,4329,HPPDXP,WP7BYJ,Auckland
570023-570014-56126900@x.xx,4746,N2Q9EZ,URVVWM,Auckland
570023-570014-56126900@x.xx,3377,Y6JTCZ,WP7BYJ,Auckland
570023-570014-56126900@x.xx,6790,PXSQJB,69J9SW,Auckland
570023-570014-56126900@x.xx,6495,TBEEEN,69J9SW,Auckland
570023-570014-56126900@x.xx,3151,PXSQJB,URVVWM,Auckland
570023-570014-56126900@x.xx,4501,Y6JTCZ,7VAUKB,Auckland
570023-570014-56126900@x.xx,4725,HPPDXP,7VAUKB,Auckland
570023-570014-56190490@x.xx,20194,PXSQJB,N2Q9EZ,Auckland
570023-570014-56190490@x.xx,4984,HPPDXP,URVVWM,Auckland
570023-570014-56190490@x.xx,4581,69J9SW,Y6JTCZ,Auckland
570023-570014-56190490@x.xx,4066,N2Q9EZ,TBEEEN,Auckland
570023-570014-56190490@x.xx,11503,WP7BYJ,URVVWM,Auckland
570023-570014-56190490@x.xx,8376,Y6JTCZ,TBEEEN,Auckland
570023-570014-56190490@x.xx,5947,69J9SW,7VAUKB,Auckland
570023-570014-56190490@x.xx,12179,PXSQJB,HPPDXP,Auckland
570023-570014-56190490@x.xx,13104,PXSQJB,WP7BYJ,Auckland
570023-570014-56190490@x.xx,7130,N2Q9EZ,TBEEEN,Auckland
570023-570014-56190490@x.xx,2745,WP7BYJ,URVVWM,Auckland
570023-570014-56190490@x.xx,2809,Y6JTCZ,7VAUKB,Auckland
570023-570014-56190490@x.xx,4276,69J9SW,7VAUKB,Auckland
570023-570014-56190490@x.xx,5047,HPPDXP,WP7BYJ,Auckland
570023-570014-56190490@x.xx,7002,N2Q9EZ,TBEEEN,Auckland
570023-570014-56190490@x.xx,5724,Y6JTCZ,URVVWM,Auckland
570023-570014-56190490@x.xx,3183,69J9SW,WP7BYJ,Auckland
570023-570014-56190490@x.xx,3482,HPPDXP,7VAUKB,Auckland
570023-570014-56190490@x.xx,4913,PXSQJB,HPPDXP,Auckland
570023-570014-56190490@x.xx,3185,N2Q9EZ,URVVWM,Auckland
570023-570014-56197698@x.xx,96606,Y6JTCZ,7VAUKB,Auckland
570023-570014-56197698@x.xx,165704,69J9SW,TBEEEN,Auckland
570023-570014-56197698@x.xx,73012,PXSQJB,URVVWM,Auckland
570023-570014-56197698@x.xx,7674,Y6JTCZ,URVVWM,Auckland
570023-570014-56197698@x.xx,84780,HPPDXP,Y6JTCZ,Auckland
570023-570014-56197698@x.xx,84211,7VAUKB,WP7BYJ,Auckland
570023-570014-56197698@x.xx,16959,69J9SW,Y6JTCZ,Auckland
570023-570014-56197698@x.xx,4672,HPPDXP,WP7BYJ,Auckland
570023-570014-56197698@x.xx,9550,HPPDXP,TBEEEN,Auckland
570023-570014-56197698@x.xx,39808,PXSQJB,N2Q9EZ,Auckland
570023-570014-56197698@x.xx,12133,7VAUKB,URVVWM,Auckland
570023-570014-56197698@x.xx,10258,69J9SW,Y6JTCZ,Auckland
570023-570014-56197698@x.xx,1810,TBEEEN,WP7BYJ,Auckland
570023-570014-56197698@x.xx,11056,PXSQJB,7VAUKB,Auckland
570023-570014-56197698@x.xx,9973,PXSQJB,N2Q9EZ,Auckland
570023-570014-56197698@x.xx,3951,PXSQJB,URVVWM,Auckland
570023-570014-56197698@x.xx,33854,69J9SW,N2Q9EZ,Auckland
570023-570014-56197698@x.xx,14122,HPPDXP,Y6JTCZ,Auckland
570023-570014-56197698@x.xx,3240,TBEEEN,7VAUKB,Auckland
570023-570014-56197698@x.xx,2885,HPPDXP,WP7BYJ,Auckland
570023-570014-56197817@x.xx,56791,Y6JTCZ,HPPDXP,Auckland
570023-570014-56197817@x.xx,16369,69J9SW,URVVWM,Auckland
570023-570014-56197817@x.xx,20472,Y6JTCZ,TBEEEN,Auckland
570023-570014-56197817@x.xx,15808,69J9SW,PXSQJB,Auckland
570023-570014-56197817@x.xx,13506,Y6JTCZ,N2Q9EZ,Auckland
570023-570014-56197817@x.xx,9880,TBEEEN,N2Q9EZ,Auckland
570023-570014-56197817@x.xx,7580,PXSQJB,N2Q9EZ,Auckland
570023-570014-56197817@x.xx,11331,N2Q9EZ,WP7BYJ,Auckland
570023-570014-56197817@x.xx,57327,WP7BYJ,7VAUKB,Auckland
570023-570014-56197817@x.xx,7647,PXSQJB,URVVWM,Auckland
570023-570014-56197817@x.xx,44355,69J9SW,HPPDXP,Auckland
570023-570014-56197817@x.xx,8543,N2Q9EZ,TBEEEN,Auckland
570023-570014-56197817@x.xx,8093,WP7BYJ,URVVWM,Auckland
570023-570014-56197817@x.xx,4163,69J9SW,WP7BYJ,Auckland
570023-570014-56197817@x.xx,6611,HPPDXP,URVVWM,Auckland
570023-570014-56197817@x.xx,4764,TBEEEN,7VAUKB,Auckland
570023-570014-56197817@x.xx,10613,Y6JTCZ,PXSQJB,Auckland
570023-570014-56197817@x.xx,6153,69J9SW,N2Q9EZ,Auckland
570023-570014-56197817@x.xx,20441,HPPDXP,PXSQJB,Auckland
