judge,time_taken,candidate_chosen,candidate_not_chosen,group
570023-570014-58839011@x.xx,40012,HPPDXP,WP7BYJ,Rutgers
570023-570014-58839011@x.xx,39477,TBEEEN,URVVWM,Rutgers
570023-570014-58839011@x.xx,24562,PXSQJB,HPPDXP,Rutgers
570023-570014-58839011@x.xx,10172,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58839011@x.xx,21420,PXSQJB,7VAUKB,Rutgers
570023-570014-58839011@x.xx,15532,N2Q9EZ,URVVWM,Rutgers
570023-570014-58839011@x.xx,21394,69J9SW,7VAUKB,Rutgers
570023-570014-58839011@x.xx,15360,N2Q9EZ,Y6JTCZ,Rutgers
570023-570014-58839011@x.xx,18812,HPPDXP,TBEEEN,Rutgers
570023-570014-58839011@x.xx,5166,TBEEEN,WP7BYJ,Rutgers
570023-570014-58839011@x.xx,4103,PXSQJB,WP7BYJ,Rutgers
570023-570014-58839011@x.xx,14335,N2Q9EZ,TBEEEN,Rutgers
570023-570014-58839011@x.xx,17682,TBEEEN,7VAUKB,Rutgers
570023-570014-58839011@x.xx,4709,N2Q9EZ,URVVWM,Rutgers
570023-570014-58839011@x.xx,5478,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58839011@x.xx,20057,HPPDXP,Y6JTCZ,Rutgers
570023-570014-58839011@x.xx,9791,PXSQJB,TBEEEN,Rutgers
570023-570014-58839011@x.xx,13211,TBEEEN,7VAUKB,Rutgers
570023-570014-58839011@x.xx,4262,N2Q9EZ,URVVWM,Rutgers
570023-570014-58839011@x.xx,5591,Y6JTCZ,7VAUKB,Rutgers
570023-570014-58839019@x.xx,52230,HPPDXP,69J9SW,Rutgers
570023-570014-58839019@x.xx,33043,69J9SW,TBEEEN,Rutgers
570023-570014-58839019@x.xx,27075,Y6JTCZ,PXSQJB,Rutgers
570023-570014-58839019@x.xx,39097,7VAUKB,URVVWM,Rutgers
570023-570014-58839019@x.xx,38466,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58839019@x.xx,9037,69J9SW,TBEEEN,Rutgers
570023-570014-58839019@x.xx,23191,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58839019@x.xx,12144,7VAUKB,69J9SW,Rutgers
570023-570014-58839019@x.xx,4567,7VAUKB,URVVWM,Rutgers
570023-570014-58839019@x.xx,6317,Y6JTCZ,69J9SW,Rutgers
570023-570014-58839019@x.xx,7315,HPPDXP,URVVWM,Rutgers
570023-570014-58839019@x.xx,3415,HPPDXP,N2Q9EZ,Rutgers
570023-570014-58839019@x.xx,7827,PXSQJB,N2Q9EZ,Rutgers
570023-570014-58839019@x.xx,3114,Y6JTCZ,TBEEEN,Rutgers
570023-570014-58839019@x.xx,5258,PXSQJB,69J9SW,Rutgers
570023-570014-58839019@x.xx,2016,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58839019@x.xx,3817,7VAUKB,69J9SW,Rutgers
570023-570014-58839019@x.xx,6095,TBEEEN,URVVWM,Rutgers
570023-570014-58839019@x.xx,1855,HPPDXP,WP7BYJ,Rutgers
570023-570014-58839019@x.xx,2644,7VAUKB,TBEEEN,Rutgers
570023-570014-58839418@x.xx,84723,HPPDXP,7VAUKB,Rutgers
570023-570014-58839418@x.xx,21916,PXSQJB,URVVWM,Rutgers
570023-570014-58839418@x.xx,25875,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58839418@x.xx,20213,PXSQJB,Y6JTCZ,Rutgers
570023-570014-58839418@x.xx,33918,PXSQJB,69J9SW,Rutgers
570023-570014-58839418@x.xx,24999,HPPDXP,WP7BYJ,Rutgers
570023-570014-58839418@x.xx,92829,WP7BYJ,URVVWM,Rutgers
570023-570014-58839418@x.xx,39718,Y6JTCZ,7VAUKB,Rutgers
570023-570014-58839418@x.xx,9119,PXSQJB,69J9SW,Rutgers
570023-570014-58839418@x.xx,77532,HPPDXP,N2Q9EZ,Rutgers
570023-570014-58839418@x.xx,15223,PXSQJB,URVVWM,Rutgers
570023-570014-58839418@x.xx,3628,Y6JTCZ,WP7BYJ,Rutgers
570023-570014-58839418@x.xx,11813,69J9SW,N2Q9EZ,Rutgers
570023-570014-58839418@x.xx,21601,PXSQJB,HPPDXP,Rutgers
570023-570014-58839418@x.xx,8859,TBEEEN,URVVWM,Rutgers
570023-570014-58839418@x.xx,6921,PXSQJB,Y6JTCZ,Rutgers
570023-570014-58839418@x.xx,14980,Y6JTCZ,69J9SW,Rutgers
570023-570014-58839418@x.xx,14689,HPPDXP,7VAUKB,Rutgers
570023-570014-58839418@x.xx,4006,PXSQJB,WP7BYJ,Rutgers
570023-570014-58839418@x.xx,3644,TBEEEN,URVVWM,Rutgers
570023-570014-58840172@x.xx,39962,N2Q9EZ,69J9SW,Rutgers
570023-570014-58840172@x.xx,40313,HPPDXP,7VAUKB,Rutgers
570023-570014-58840172@x.xx,13702,N2Q9EZ,WP7BYJ,Rutgers
570023-570014-58840172@x.xx,42924,TBEEEN,URVVWM,Rutgers
