session,judge,candidate_chosen,candidate_not_chosen,time_taken
study1-insight,2715,37,29,24
study1-insight,2715,38,29,13
study1-insight,2850,32,29,59
study1-insight,1104,37,29,11
study1-insight,1104,33,29,8
study1-insight,1104,43,29,6
study1-insight,2046,38,29,46
study1-insight,2046,34,29,59
study1-insight,248,38,29,67
study1-insight,248,33,29,12
study1-insight,248,32,29,11
study1-insight,248,37,29,5
study1-insight,605,32,29,107
study1-insight,22,32,29,15
study1-insight,22,38,29,41
study1-insight,22,31,29,3
study1-insight,544,43,29,155
study1-insight,539,34,29,96
study1-insight,539,33,29,4
study1-insight,562,38,29,22
study1-insight,562,30,29,20
study1-insight,909,43,29,283
study1-insight,909,32,29,10
study1-insight,909,38,29,5
study1-insight,2400,38,29,22
study1-insight,2400,33,29,10
study1-insight,2400,34,29,5
study1-insight,2400,40,29,4
study1-insight,560,32,29,112
study1-insight,560,37,29,10
study1-insight,560,39,29,7
study1-insight,560,34,29,4
study1-insight,127,37,29,4
study1-insight,127,39,29,4
study1-insight,572,38,29,18
study1-insight,572,33,29,4
study1-insight,572,34,29,3
study1-insight,572,36,29,2
study1-insight,831,33,29,181
study1-insight,829,35,29,3
study1-insight,829,32,29,6
study1-insight,55,38,29,69
study1-insight,55,30,29,3
study1-insight,55,32,29,5
study1-insight,55,43,29,3
study1-insight,1220,33,29,14
study1-insight,525,43,29,50
study1-insight,525,37,29,8
study1-insight,46,35,29,21
study1-insight,7851,33,29,261
study1-insight,7851,34,29,12
study1-insight,2920,40,29,374
study1-insight,2920,37,29,28
study1-insight,1071,40,29,46
study1-insight,2753,31,29,67
study1-insight,2753,34,29,5
study1-insight,2715,32,30,37
study1-insight,1153,32,30,20
study1-insight,248,35,30,9
study1-insight,248,37,30,4
study1-insight,248,40,30,4
study1-insight,605,39,30,109
study1-insight,22,38,30,6
study1-insight,560,39,30,421
study1-insight,560,38,30,8
study1-insight,560,43,30,4
study1-insight,127,38,30,29
study1-insight,829,37,30,60
study1-insight,829,39,30,3
study1-insight,829,29,30,4
study1-insight,55,36,30,2
study1-insight,46,43,30,21
study1-insight,2920,39,30,276
study1-insight,2753,35,30,87
study1-insight,2753,43,30,22
study1-insight,2753,38,30,71
study1-insight,2715,35,31,58
study1-insight,2715,39,31,16
study1-insight,2850,35,31,115
study1-insight,1104,35,31,23
study1-insight,1104,34,31,6
study1-insight,1104,36,31,3
study1-insight,1104,40,31,3
study1-insight,2046,36,31,81
study1-insight,2046,30,31,35
study1-insight,248,30,31,22
study1-insight,248,36,31,7
study1-insight,248,38,31,3
study1-insight,605,33,31,71
study1-insight,22,43,31,93
study1-insight,544,30,31,44
study1-insight,539,33,31,33
study1-insight,539,30,31,5
study1-insight,562,43,31,35
study1-insight,562,38,31,14
study1-insight,562,29,31,12
study1-insight,909,33,31,60
study1-insight,909,36,31,5
study1-insight,909,30,31,2
study1-insight,64,30,31,135
study1-insight,560,43,31,19
study1-insight,560,32,31,5
study1-insight,560,36,31,5
study1-insight,560,40,31,7
study1-insight,127,40,31,22
study1-insight,127,35,31,4
study1-insight,127,33,31,3
study1-insight,127,30,31,2
study1-insight,845,38,31,103
study1-insight,845,29,31,12
study1-insight,572,36,31,4
study1-insight,829,39,31,6
study1-insight,831,38,31,18
study1-insight,829,38,31,5
study1-insight,829,34,31,9
study1-insight,55,32,31,50
study1-insight,55,34,31,4
study1-insight,55,38,31,3
study1-insight,525,40,31,89
study1-insight,525,39,31,30
study1-insight,525,35,31,4
study1-insight,46,38,31,12
study1-insight,7851,34,31,144
study1-insight,7851,38,31,16
study1-insight,2920,35,31,168
study1-insight,2920,34,31,14
study1-insight,1071,43,31,40
study1-insight,2753,36,31,22
study1-insight,1104,35,32,5
study1-insight,1104,40,32,5
study1-insight,1104,30,32,2
study1-insight,2046,37,32,75
study1-insight,248,33,32,153
study1-insight,539,40,32,16
study1-insight,539,31,32,4
study1-insight,562,37,32,11
study1-insight,562,30,32,12
study1-insight,909,34,32,376
study1-insight,909,37,32,7
study1-insight,909,33,32,7
study1-insight,2400,30,32,2
study1-insight,127,34,32,59
study1-insight,127,29,32,32
