session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-marks,5244,146,121,26
study2-marks,5244,181,131,21
study2-marks,5244,176,126,78
study2-marks,5244,141,166,24
study2-marks,5244,161,116,126
study2-marks,5244,186,136,22
study2-marks,5244,171,151,25
study2-marks,5244,156,126,10
study2-marks,5244,156,116,3
study2-marks,5244,176,186,5
study2-marks,5244,161,151,5
study2-marks,5244,131,121,19
study2-marks,5486,136,171,107
study2-marks,5486,181,166,199
study2-marks,5486,141,146,53
study2-marks,5486,121,186,18
study2-marks,5486,116,131,46
study2-marks,5486,161,126,14
study2-marks,5486,156,176,68
study2-marks,5486,151,171,24
study2-marks,5486,141,181,14
study2-marks,5486,136,166,8
study2-marks,5486,146,156,34
study2-marks,5486,116,121,7
study2-marks,5486,151,126,5
study2-marks,5486,176,186,18
study2-marks,5486,161,131,15
study2-marks,5486,141,136,10
study2-marks,5486,146,181,9
study2-marks,5486,171,166,6
study2-marks,5486,156,126,7
study2-marks,5486,176,116,10
study2-marks,5486,161,121,5
study2-marks,5486,151,186,3
study2-marks,5486,131,181,21
study2-marks,5486,141,171,11
study2-marks,5486,146,166,4
study2-marks,5700,141,136,136
study2-marks,5700,166,176,148
study2-marks,5700,121,186,86
study2-marks,5700,116,126,28
study2-marks,5700,181,146,41
study2-marks,5700,151,131,22
study2-marks,5700,161,156,23
study2-marks,5700,171,136,22
study2-marks,5700,171,156,12
study2-marks,5700,131,126,10
study2-marks,5700,161,176,6
study2-marks,5249,186,121,84
study2-marks,5249,181,116,209
study2-marks,5249,136,166,121
study2-marks,5249,141,146,95
study2-marks,5249,151,156,228
study2-marks,5249,126,171,393
study2-marks,6581,136,146,578
study2-marks,6581,161,166,33
study2-marks,6581,156,141,6
study2-marks,6581,176,171,6
study2-marks,6581,181,126,4
study2-marks,6581,116,186,6
study2-marks,6581,151,131,6
study2-marks,6581,136,121,3
study2-marks,6581,146,166,4
study2-marks,6581,186,181,2
study2-marks,6581,116,161,6
study2-marks,6581,151,126,6
study2-marks,6581,121,171,4
study2-marks,6581,156,176,6
study2-marks,6581,141,131,5
study2-marks,6793,146,136,41
study2-marks,6793,146,136,59
study2-marks,6793,171,186,24
study2-marks,6793,161,131,14
study2-marks,6793,166,176,21
study2-marks,6793,156,121,11
study2-marks,6793,141,126,25
study2-marks,6793,181,151,11
study2-marks,6793,131,116,61
study2-marks,6793,151,126,16
study2-marks,6793,141,116,14
study2-marks,6793,171,176,17
study2-marks,6793,161,121,27
study2-marks,6793,156,186,14
study2-marks,6793,166,181,24
study2-marks,5847,136,146,116
study2-marks,5847,186,116,24
study2-marks,5847,131,141,20
study2-marks,5847,156,126,18
study2-marks,5847,181,176,42
study2-marks,5847,171,121,8
study2-marks,5847,161,151,18
study2-marks,5847,136,166,13
study2-marks,5250,146,126,58
study2-marks,5250,161,166,34
study2-marks,5250,181,121,26
study2-marks,5250,151,116,33
study2-marks,5250,131,186,61
study2-marks,5250,176,136,23
study2-marks,5250,171,141,49
study2-marks,5250,156,146,26
study2-marks,6815,146,121,82
study2-marks,6815,186,171,182
study2-marks,6815,181,136,44
study2-marks,6815,141,126,21
study2-marks,6815,131,176,28
study2-marks,6815,166,151,17
study2-marks,6815,161,116,12
study2-marks,6815,156,121,14
study2-marks,6815,156,131,803
study2-marks,6815,151,176,36
study2-marks,6815,161,146,15
study2-marks,6815,166,171,93
study2-marks,6815,186,116,6
study2-marks,6815,136,126,30
study2-marks,6815,181,141,20
study2-marks,6815,181,171,7
study2-marks,6815,161,166,5
study2-marks,6815,186,126,7
study2-marks,6815,136,146,14
study2-marks,6815,141,151,10
study2-marks,6815,121,116,4
study2-marks,6815,156,176,11
study2-marks,6815,131,121,5
study2-marks,6815,186,156,18
study2-marks,6815,136,171,15
study2-marks,7110,146,116,16
study2-marks,7110,161,166,36
study2-marks,7110,141,126,4
study2-marks,7110,181,131,6
study2-marks,7110,176,151,6
study2-marks,7110,171,186,3
study2-marks,7110,136,121,3
study2-marks,7110,141,156,6
study2-marks,7110,151,116,4
study2-marks,7110,146,176,4
study2-marks,7110,161,131,4
study2-marks,7110,166,126,49
study2-marks,7110,171,181,255
study2-marks,7110,156,136,57
study2-marks,7110,186,121,40
study2-marks,7110,161,126,36
study2-marks,5534,146,176,217
study2-marks,5534,151,181,6
study2-marks,5534,146,176,1675
study2-marks,5862,131,116,71
study2-marks,5862,141,166,323
study2-marks,5534,166,131,1057
study2-marks,5534,161,116,168
study2-marks,5862,181,186,393
study2-marks,5862,151,121,43
study2-marks,5862,156,126,48
study2-marks,5862,171,136,149
study2-marks,5862,161,176,28
study2-marks,5862,141,146,59
study2-marks,5862,166,186,35
study2-marks,5862,151,171,10
study2-marks,5862,181,136,91
study2-marks,5862,156,121,8
study2-marks,5862,131,126,20
study2-marks,5862,146,116,8
study2-marks,5862,141,176,7
study2-marks,5862,161,121,19
study2-marks,5862,181,131,8
study2-marks,5862,186,136,5
study2-marks,5862,156,116,4
study2-marks,5862,166,126,4
study2-marks,5534,126,171,1782
study2-marks,5862,161,151,12
study2-marks,5862,171,176,52
study2-marks,5862,181,146,6
study2-marks,5862,141,156,24
study2-marks,5862,151,166,8
study2-marks,5534,141,186,5426
study2-marks,5534,121,136,83
study2-marks,5765,131,116,44
study2-marks,5765,126,141,39
study2-marks,5765,171,136,54
study2-marks,5765,156,166,34
study2-marks,5765,181,121,18
study2-marks,5765,146,186,31
study2-marks,5765,161,151,35
study2-marks,5765,176,131,4
study2-marks,5599,186,116,452
study2-marks,5599,181,126,154
study2-marks,5599,146,131,458
study2-marks,5599,151,166,555
study2-marks,5599,161,141,199
study2-marks,5599,136,121,320
study2-marks,5599,156,171,424
study2-marks,5599,176,116,339
study2-marks,5599,141,171,22
study2-marks,5599,156,131,52
study2-marks,5599,181,121,9
study2-marks,5599,146,136,42
study2-marks,5599,151,126,11
study2-marks,3159,186,116,267
study2-marks,3159,161,176,12
study2-marks,3159,166,171,14
study2-marks,3159,141,136,155
study2-marks,3159,156,131,14
study2-marks,3159,181,146,8
study2-marks,3159,126,121,6
study2-marks,3159,166,151,5
study2-marks,3159,161,116,7
study2-marks,3159,186,176,9
study2-marks,3159,136,126,6
study2-marks,3159,151,131,9
study2-marks,3159,171,156,8
study2-marks,3159,141,121,4
study2-marks,3159,181,116,3
study2-marks,3159,146,186,5
study2-marks,3159,166,176,4
study2-marks,3159,181,161,7
study2-marks,3159,151,126,77
study2-marks,3159,141,146,13
study2-marks,3159,136,121,8
study2-marks,3159,171,131,4
study2-marks,3159,156,176,11
study2-marks,3159,161,186,4
study2-marks,3159,166,116,4
study2-marks,6899,171,176,27
study2-marks,6899,171,176,28
study2-marks,6899,186,131,26
study2-marks,7486,146,116,15
study2-marks,7486,161,141,21
study2-marks,6899,161,146,137
study2-marks,6899,161,146,138
study2-marks,6899,161,146,139
study2-marks,7486,166,121,7
study2-marks,7486,156,151,18
study2-marks,7486,136,126,8
study2-marks,7486,181,131,7
study2-marks,7486,171,186,5
study2-marks,7486,176,151,10
study2-marks,7486,121,126,12
study2-marks,7486,156,116,4
study2-marks,7486,166,136,3
study2-marks,7486,141,181,3
study2-marks,7486,186,131,5
study2-marks,7486,171,176,13
study2-marks,6899,166,136,125
study2-marks,7486,161,146,9
study2-marks,7486,151,116,3
study2-marks,7486,181,121,3
study2-marks,7486,141,126,3
study2-marks,7486,156,186,2
study2-marks,7486,166,131,3
study2-marks,7486,176,136,2
study2-marks,7486,161,171,7
study2-marks,7486,156,146,4
study2-marks,6899,151,116,35
study2-marks,6899,151,116,36
study2-marks,7486,181,126,2
study2-marks,7486,141,121,2
study2-marks,6899,141,126,14
study2-marks,6899,181,121,6
study2-marks,6899,186,156,18
study2-marks,6899,166,131,25
study2-marks,6899,136,121,9
study2-marks,6899,181,156,5
study2-marks,6899,171,141,12
study2-marks,6899,136,126,4
study2-marks,6899,176,116,4
study2-marks,6899,166,151,7
study2-marks,6899,181,131,7
study2-marks,6899,186,121,3
study2-marks,6899,156,126,3
study2-marks,6899,141,146,8
study2-marks,6899,161,131,4
study2-marks,6899,171,151,4
study2-marks,5274,176,186,29
study2-marks,5274,166,116,11
study2-marks,5274,136,121,5
study2-marks,5274,171,146,3
study2-marks,5274,141,126,2
study2-marks,5274,181,131,5
study2-marks,5274,156,151,56
study2-marks,5274,161,116,34
study2-marks,5274,186,166,38
study2-marks,5274,176,136,28
study2-marks,5274,151,126,27
study2-marks,5274,171,181,29
study2-marks,5274,156,141,36
study2-marks,5274,146,121,26
study2-marks,5274,161,131,18
study2-marks,5274,166,176,27
study2-marks,5274,136,116,19
study2-marks,5765,186,126,50
study2-marks,5765,161,121,30
study2-marks,5765,136,116,28
study2-marks,5765,146,171,47
study2-marks,5765,151,156,27
study2-marks,5765,181,176,28
study2-marks,5765,141,166,25
study2-marks,5765,131,121,22
study2-marks,5765,156,186,21
study2-marks,5765,141,171,29
study2-marks,5765,146,136,11
study2-marks,5765,161,166,6
study2-marks,5765,181,126,8
study2-marks,5765,176,116,10
study2-marks,5765,151,131,8
study2-marks,5765,136,121,6
study2-marks,5765,151,146,13
study2-marks,6614,131,141,63
study2-marks,6614,171,181,181
study2-marks,6614,186,116,25
study2-marks,6614,176,156,51
study2-marks,6614,166,126,34
study2-marks,6614,161,146,31
study2-marks,6614,136,151,43
study2-marks,6614,166,121,10
study2-marks,6614,161,116,8
study2-marks,6614,171,186,10
study2-marks,6614,141,156,13
study2-marks,6614,131,126,7
study2-marks,6614,176,181,10
study2-marks,6614,151,121,8
study2-marks,6614,136,146,12
study2-marks,6614,161,186,4
study2-marks,6614,166,181,6
study2-marks,6614,171,156,4
study2-marks,6614,131,176,10
study2-marks,6614,126,116,6
study2-marks,6614,141,151,13
study2-marks,6614,146,121,16
study2-marks,6614,136,116,8
study2-marks,6614,186,126,4
study2-marks,6614,161,171,6
study2-marks,6838,161,186,5
study2-marks,6205,141,171,179
study2-marks,6205,146,131,61
study2-marks,6205,186,126,40
study2-marks,6205,151,156,79
study2-marks,6205,181,176,48
study2-marks,6205,161,116,25
study2-marks,6205,166,136,112
study2-marks,6205,141,121,17
study2-marks,6205,131,171,52
study2-marks,6205,146,121,8
study2-marks,6205,166,186,7
study2-marks,6205,161,176,13
study2-marks,6205,181,151,18
study2-marks,6205,136,126,12
study2-marks,6205,116,156,8
study2-marks,6205,141,131,15
study2-marks,6205,146,171,38
study2-marks,5588,146,121,71
study2-marks,5588,141,156,45
study2-marks,5588,161,151,208
study2-marks,5588,176,131,9
study2-marks,5588,116,126,28
study2-marks,5588,186,136,13
study2-marks,5588,171,181,7
study2-marks,5588,166,156,10
study2-marks,5588,176,151,9
study2-marks,5588,131,116,9
study2-marks,6108,146,121,44
study2-marks,6108,161,141,52
study2-marks,6108,181,186,43
study2-marks,6108,116,126,194
study2-marks,6108,151,171,151
study2-marks,6108,176,136,45
study2-marks,6108,156,166,58
study2-marks,6108,131,146,23
study2-marks,6108,141,121,14
study2-marks,6108,161,176,7
study2-marks,6108,151,131,6
study2-marks,6108,136,186,7
study2-marks,6108,181,156,30
study2-marks,6108,171,166,10
study2-marks,6108,116,121,4
study2-marks,6108,141,126,6
study2-marks,6108,161,146,9
study2-marks,6108,151,166,6
study2-marks,6108,136,116,6
study2-marks,6108,156,126,5
study2-marks,6108,171,186,5
study2-marks,6108,181,176,8
study2-marks,6108,161,131,4
study2-marks,6108,141,146,17
study2-marks,6108,121,186,3
