session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-rigour,7438,172,117,13
study2-rigour,7438,122,137,5
study2-rigour,7438,157,152,19
study2-rigour,7438,162,167,9
study2-rigour,7438,147,112,6
study2-rigour,7438,177,127,5
study2-rigour,7438,142,182,5
study2-rigour,7438,127,132,9
study2-rigour,7438,147,167,7
study2-rigour,7438,157,112,2
study2-rigour,7438,172,142,12
study2-rigour,7438,132,117,11
study2-rigour,7438,152,182,2
study2-rigour,7438,177,122,4
study2-rigour,7438,162,137,11
study2-rigour,5584,132,117,276
study2-rigour,5584,137,122,207
study2-rigour,5584,182,177,136
study2-rigour,5584,142,112,107
study2-rigour,5584,167,127,182
study2-rigour,5584,157,152,87
study2-rigour,5595,147,162,183
study2-rigour,5595,172,112,58
study2-rigour,5595,142,132,92
study2-rigour,5595,127,137,76
study2-rigour,5595,152,122,46
study2-rigour,5595,177,167,111
study2-rigour,5595,157,117,24
study2-rigour,5595,172,182,6
study2-rigour,5595,162,117,2
study2-rigour,5595,147,142,11
study2-rigour,5595,157,127,30
study2-rigour,5595,152,182,2
study2-rigour,5595,137,167,27
study2-rigour,5595,177,122,6
study2-rigour,5595,132,112,4
study2-rigour,5595,147,172,14
study2-rigour,5595,162,132,15
study2-rigour,5595,117,122,5
study2-rigour,5595,137,152,4
study2-rigour,5595,167,182,4
study2-rigour,5595,127,112,5
study2-rigour,5595,142,177,5
study2-rigour,5595,157,172,5
study2-rigour,5595,162,177,12
study2-rigour,5595,147,167,5
study2-rigour,5267,132,122,40
study2-rigour,5267,142,182,83
study2-rigour,5267,137,127,90
study2-rigour,5267,162,172,141
study2-rigour,5267,147,117,15
study2-rigour,5267,157,112,7
study2-rigour,5267,152,177,23
study2-rigour,5267,167,112,7
study2-rigour,5267,122,117,21
study2-rigour,5267,172,142,77
study2-rigour,5267,162,147,11
study2-rigour,5267,152,132,12
study2-rigour,5267,137,182,17
study2-rigour,5267,157,127,16
study2-rigour,5267,167,177,14
study2-rigour,5267,162,122,4
study2-rigour,5267,137,142,8
study2-rigour,5978,182,117,80
study2-rigour,5978,142,112,34
study2-rigour,5978,127,152,115
study2-rigour,5978,147,172,74
study2-rigour,5978,157,132,18
study2-rigour,5978,167,137,35
study2-rigour,5978,177,162,74
study2-rigour,5978,142,122,23
study2-rigour,5978,147,117,57
study2-rigour,5528,152,132,75
study2-rigour,5528,182,127,174
study2-rigour,5528,157,112,96
study2-rigour,5528,172,137,353
study2-rigour,5528,147,117,86
study2-rigour,5528,177,142,36
study2-rigour,5528,167,162,849
study2-rigour,5528,182,122,86
study2-rigour,5528,157,172,190
study2-rigour,5528,127,112,53
study2-rigour,5528,147,152,69
study2-rigour,5528,177,132,6
study2-rigour,5528,167,137,8
study2-rigour,5528,117,122,11
study2-rigour,5528,162,142,9
study2-rigour,5528,127,172,4861
study2-rigour,5528,182,152,27
study2-rigour,5528,132,112,40
study2-rigour,6195,157,112,15
study2-rigour,6195,117,147,51
study2-rigour,6195,177,182,19
study2-rigour,6195,127,172,10
study2-rigour,6195,142,122,10
study2-rigour,6195,152,162,15
study2-rigour,6195,167,137,10
study2-rigour,6195,157,132,3
study2-rigour,6195,117,112,6
study2-rigour,6195,152,167,4
study2-rigour,6195,172,122,5
study2-rigour,6195,127,162,5
study2-rigour,6195,142,132,3
study2-rigour,6195,137,147,4
study2-rigour,6195,157,182,154
study2-rigour,5199,177,117,221
study2-rigour,5199,182,112,130
study2-rigour,5199,127,172,102
study2-rigour,5199,162,167,121
study2-rigour,5199,132,122,10
study2-rigour,5199,147,137,37
study2-rigour,5199,157,142,52
study2-rigour,5199,152,177,24
study2-rigour,5199,127,182,3
study2-rigour,5199,147,117,8
study2-rigour,5199,142,152,8
study2-rigour,5199,112,172,5
study2-rigour,5199,157,132,5
study2-rigour,5199,137,167,7
study2-rigour,5199,162,122,7
study2-rigour,5199,147,177,4
study2-rigour,5199,157,117,5
study2-rigour,5199,142,132,5
study2-rigour,5199,122,112,3
study2-rigour,5199,162,127,6
study2-rigour,5199,182,172,4
study2-rigour,5199,152,167,7
study2-rigour,5199,137,177,8
study2-rigour,5199,147,112,4
study2-rigour,5199,137,122,3
study2-rigour,6017,157,177,38
study2-rigour,6017,182,167,93
study2-rigour,6017,152,162,105
study2-rigour,6017,117,142,96
study2-rigour,6017,172,132,76
study2-rigour,6017,127,122,34
study2-rigour,6017,137,147,15
study2-rigour,6017,127,112,7
study2-rigour,6017,172,167,47
study2-rigour,6017,152,117,5
study2-rigour,5212,132,182,84
study2-rigour,5212,142,162,159
study2-rigour,5212,157,177,138
study2-rigour,5212,117,172,22
study2-rigour,5212,152,167,32
study2-rigour,5212,147,127,22
study2-rigour,5212,122,112,97
study2-rigour,5212,137,162,19
study2-rigour,5212,177,132,168
study2-rigour,5212,157,142,4
study2-rigour,5212,182,167,9
study2-rigour,5212,117,147,4
study2-rigour,5212,137,127,7
study2-rigour,5212,152,172,66
study2-rigour,5212,142,122,4
study2-rigour,5212,157,112,2
study2-rigour,5212,182,162,19
study2-rigour,5212,132,112,10
study2-rigour,5212,137,177,7
study2-rigour,5212,117,127,21
study2-rigour,5212,147,152,10
study2-rigour,5212,122,172,6
study2-rigour,5212,177,167,4
study2-rigour,5212,157,132,5
study2-rigour,5212,142,182,2
study2-rigour,6821,177,137,38
study2-rigour,6821,132,152,43
study2-rigour,6821,162,172,88
study2-rigour,6821,182,112,26
study2-rigour,6821,127,147,16
study2-rigour,6821,157,167,23
study2-rigour,6821,117,122,13
study2-rigour,5308,137,117,8
study2-rigour,5308,147,152,29
study2-rigour,5308,157,112,6
study2-rigour,5308,182,122,38
study2-rigour,5308,177,127,12
study2-rigour,5308,142,132,10
study2-rigour,5308,162,172,19
study2-rigour,5308,167,152,6
study2-rigour,5308,127,182,20
study2-rigour,5308,157,137,13
study2-rigour,5308,112,132,33
study2-rigour,5308,177,142,6
study2-rigour,5308,162,117,7
study2-rigour,5308,147,122,10
study2-rigour,5308,167,172,11
study2-rigour,5308,137,182,5
study2-rigour,5308,142,112,8
study2-rigour,5308,177,152,4
study2-rigour,5308,147,132,9
study2-rigour,5308,157,122,4
study2-rigour,5308,127,117,6
study2-rigour,5549,162,122,75
study2-rigour,5549,142,147,41
study2-rigour,5549,182,112,13
study2-rigour,5549,127,172,33
study2-rigour,5549,177,137,53
study2-rigour,5549,157,117,29
study2-rigour,5279,152,137,72
