session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-simple,6029,134,124,11
study2-simple,6029,169,174,6
study2-simple,6029,154,144,5
study2-simple,6029,179,149,3
study2-simple,6029,129,184,2
study2-simple,6029,164,119,8
study2-simple,6029,159,114,4
study2-simple,6029,159,139,5
study2-simple,6029,164,174,6
study2-simple,6029,154,169,3
study2-simple,6029,129,119,13
study2-simple,6029,179,114,13
study2-simple,6107,134,124,65
study2-simple,6107,184,144,144
study2-simple,6107,149,139,206
study2-simple,6107,154,179,229
study2-simple,6107,129,174,92
study2-simple,6107,119,169,36
study2-simple,6107,164,114,427
study2-simple,6107,159,139,74
study2-simple,6107,149,124,1402
study2-simple,6107,134,184,16
study2-simple,6107,144,164,164
study2-simple,6107,129,159,338
study2-simple,5345,169,174,62
study2-simple,5345,119,184,27
study2-simple,5345,134,154,8
study2-simple,5345,114,139,9
study2-simple,5345,144,124,7
study2-simple,5345,149,179,4
study2-simple,5345,159,164,4
study2-simple,5345,129,174,26
study2-simple,5345,119,149,9
study2-simple,6107,154,169,843
study2-simple,6107,179,114,347
study2-simple,6107,119,174,99
study2-simple,6107,134,144,25
study2-simple,6107,124,184,53
study2-simple,6107,139,114,35
study2-simple,6107,149,129,18
study2-simple,6107,169,164,133
study2-simple,6107,179,159,33
study2-simple,6107,119,154,33
study2-simple,5256,134,124,37
study2-simple,5256,139,144,112
study2-simple,5256,114,184,81
study2-simple,5256,179,164,104
study2-simple,5256,169,174,130
study2-simple,5256,159,154,19
study2-simple,5256,129,149,45
study2-simple,5256,119,144,13
study2-simple,5256,124,139,58
study2-simple,5256,134,184,4
study2-simple,5256,154,169,53
study2-simple,5256,159,129,9
study2-simple,5256,114,164,5
study2-simple,5256,179,174,15
study2-simple,5256,119,149,16
study2-simple,5256,134,139,21
study2-simple,5256,124,144,7
study2-simple,5256,184,174,8
study2-simple,5256,129,154,9
study2-simple,5256,159,114,9
study2-simple,5256,169,164,4
study2-simple,5256,179,149,7
study2-simple,5256,119,184,3
study2-simple,5256,134,144,3
study2-simple,5256,139,164,4
study2-simple,5589,139,124,117
study2-simple,5589,184,169,368
study2-simple,5589,114,179,96
study2-simple,5589,129,174,312
study2-simple,5589,149,154,9
study2-simple,5589,134,144,7
study2-simple,5589,159,164,7
study2-simple,5944,134,124,75
study2-simple,5944,179,129,241
study2-simple,6359,184,174,47
study2-simple,6359,149,154,27
study2-simple,6359,114,144,36
study2-simple,5944,154,119,224
study2-simple,6359,124,139,34
study2-simple,6359,159,169,29
study2-simple,6359,134,164,63
study2-simple,6359,129,179,24
study2-simple,6359,119,174,6
study2-simple,6359,144,149,16
study2-simple,6359,114,159,7
study2-simple,6359,124,184,7
study2-simple,6359,139,169,7
study2-simple,6359,119,164,4
study2-simple,6359,129,134,8
study2-simple,5944,139,169,437
study2-simple,5944,149,159,272
study2-simple,5944,144,184,105
study2-simple,5944,114,174,98
study2-simple,5944,179,164,75
study2-simple,5944,154,124,47
study2-simple,5944,144,114,64
study2-simple,5944,159,129,77
study2-simple,5944,139,174,94
study2-simple,3259,119,184,56
study2-simple,3259,134,154,64
study2-simple,3259,149,169,16
study2-simple,3259,179,124,36
study2-simple,3259,129,144,46
study2-simple,3259,114,159,25
study2-simple,3259,139,164,101
study2-simple,3259,179,174,204
study2-simple,3259,119,169,32
study2-simple,3259,149,124,6
study2-simple,3259,184,154,6
study2-simple,3259,134,129,16
study2-simple,3259,164,174,46
study2-simple,3259,159,139,8
study2-simple,3487,179,119,56
study2-simple,3487,169,184,16
study2-simple,3487,124,134,24
study2-simple,3487,149,114,4
study2-simple,3487,154,144,5
study2-simple,3487,139,174,9
study2-simple,3487,164,129,7
study2-simple,3487,179,159,8
study2-simple,3487,149,124,11
study2-simple,3487,144,114,7
study2-simple,3487,154,169,6
study2-simple,3487,134,184,7
study2-simple,3487,174,119,8
study2-simple,3487,159,164,11
study2-simple,3487,129,139,8
study2-simple,3487,119,124,17
study2-simple,3487,134,169,7
study2-simple,3487,154,184,3
